"ScoringAverageActual_RANKTHISWEEK_2009","ScoringAverageActual_RANKLASTWEEK_2009","ScoringAverageActual_PLAYERNAME_2009","ScoringAverageActual_ROUNDS_2009","ScoringAverageActual_AVG_2009","ScoringAverageActual_TOTALSTROKES_2009","ScoringAverageActual_TOTALROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",64,68.84,4268,62,"ScoringAverageActual",2009
2,2,"Steve Stricker",81,69.51,5491,79,"ScoringAverageActual",2009
3,3,"Tim Clark",81,69.68,5435,78,"ScoringAverageActual",2009
4,4,"David Toms",98,69.76,6836,98,"ScoringAverageActual",2009
5,5,"Zach Johnson",94,69.82,6423,92,"ScoringAverageActual",2009
6,6,"Justin Leonard",95,69.91,6362,91,"ScoringAverageActual",2009
7,7,"Greg Chalmers",85,69.99,5949,85,"ScoringAverageActual",2009
7,7,"Scott Verplank",88,69.99,6159,88,"ScoringAverageActual",2009
9,9,"Jerry Kelly",90,70.01,6301,90,"ScoringAverageActual",2009
10,10,"Jim Furyk",86,70.02,5812,83,"ScoringAverageActual",2009
11,11,"Jason Day",61,70.08,4275,61,"ScoringAverageActual",2009
12,12,"Steve Marino",98,70.09,6869,98,"ScoringAverageActual",2009
13,13,"Matt Kuchar",82,70.1,5748,82,"ScoringAverageActual",2009
14,14,"Hunter Mahan",94,70.11,6450,92,"ScoringAverageActual",2009
15,15,"Bryce Molder",69,70.12,4838,69,"ScoringAverageActual",2009
15,15,"Bo Van Pelt",100,70.12,7012,100,"ScoringAverageActual",2009
17,17,"Chris Riley",77,70.13,5400,77,"ScoringAverageActual",2009
18,18,"Kenny Perry",92,70.14,6383,91,"ScoringAverageActual",2009
19,19,"John Senden",100,70.18,7018,100,"ScoringAverageActual",2009
20,20,"Stephen Ames",77,70.19,5264,75,"ScoringAverageActual",2009
20,20,"Harrison Frazar",93,70.19,6528,93,"ScoringAverageActual",2009
22,22,"Kevin Na",91,70.21,6389,91,"ScoringAverageActual",2009
22,22,"Mark Wilson",99,70.21,6951,99,"ScoringAverageActual",2009
24,24,"Jonathan Byrd",89,70.31,6258,89,"ScoringAverageActual",2009
24,24,"Chad Campbell",90,70.31,6328,90,"ScoringAverageActual",2009
26,26,"Charley Hoffman",97,70.32,6821,97,"ScoringAverageActual",2009
26,26,"Matt Jones",56,70.32,3938,56,"ScoringAverageActual",2009
26,26,"Greg Owen",97,70.32,6821,97,"ScoringAverageActual",2009
26,26,"Tag Ridings",50,70.32,3516,50,"ScoringAverageActual",2009
30,30,"Ben Crane",93,70.34,6542,93,"ScoringAverageActual",2009
30,30,"Brian Gay",96,70.34,6753,96,"ScoringAverageActual",2009
30,30,"Lucas Glover",93,70.34,6542,93,"ScoringAverageActual",2009
33,33,"Bill Haas",91,70.36,6403,91,"ScoringAverageActual",2009
34,34,"Nick Watney",86,70.38,6053,86,"ScoringAverageActual",2009
34,34,"Matt Weibring",65,70.38,4575,65,"ScoringAverageActual",2009
36,36,"Nick OHern",90,70.39,6335,90,"ScoringAverageActual",2009
37,37,"Jason Bohn",88,70.41,6196,88,"ScoringAverageActual",2009
37,37,"George McNeill",82,70.41,5774,82,"ScoringAverageActual",2009
39,39,"Briny Baird",89,70.42,6267,89,"ScoringAverageActual",2009
39,39,"Robert Garrigus",83,70.42,5845,83,"ScoringAverageActual",2009
39,39,"Tim Petrovic",97,70.42,6831,97,"ScoringAverageActual",2009
39,39,"Mike Weir",85,70.42,5915,84,"ScoringAverageActual",2009
43,43,"Bill Lunde",83,70.43,5846,83,"ScoringAverageActual",2009
43,43,"Kevin Stadler",65,70.43,4578,65,"ScoringAverageActual",2009
45,45,"JJ Henry",97,70.44,6833,97,"ScoringAverageActual",2009
45,45,"Spencer Levin",75,70.44,5283,75,"ScoringAverageActual",2009
47,47,"Sean OHair",80,70.45,5354,76,"ScoringAverageActual",2009
48,48,"Bob Heintz",59,70.46,4157,59,"ScoringAverageActual",2009
48,48,"Ryan Moore",89,70.46,6271,89,"ScoringAverageActual",2009
48,48,"Charlie Wi",92,70.46,6482,92,"ScoringAverageActual",2009
51,51,"Luke Donald",79,70.47,5356,76,"ScoringAverageActual",2009
52,52,"Chris DiMarco",97,70.48,6837,97,"ScoringAverageActual",2009
52,52,"Jason Dufner",90,70.48,6343,90,"ScoringAverageActual",2009
52,52,"Dustin Johnson",85,70.48,5920,84,"ScoringAverageActual",2009
55,55,"Bob Estes",78,70.49,5498,78,"ScoringAverageActual",2009
55,55,"Patrick Sheehan",51,70.49,3595,51,"ScoringAverageActual",2009
57,57,"Vaughn Taylor",88,70.5,6204,88,"ScoringAverageActual",2009
57,57,"DJ Trahan",96,70.5,6768,96,"ScoringAverageActual",2009
59,59,"Michael Letzig",96,70.51,6769,96,"ScoringAverageActual",2009
59,59,"Scott Sterling",51,70.51,3596,51,"ScoringAverageActual",2009
59,59,"Kevin Streelman",97,70.51,6839,97,"ScoringAverageActual",2009
62,62,"Chris Stroud",88,70.52,6206,88,"ScoringAverageActual",2009
63,63,"Brian Davis",103,70.53,7265,103,"ScoringAverageActual",2009
63,63,"Heath Slocum",95,70.53,6700,95,"ScoringAverageActual",2009
65,65,"Scott McCarron",91,70.56,6421,91,"ScoringAverageActual",2009
66,66,"Jeff Klauk",97,70.57,6845,97,"ScoringAverageActual",2009
66,66,"Troy Matteson",95,70.57,6704,95,"ScoringAverageActual",2009
66,66,"Brandt Snedeker",81,70.57,5716,81,"ScoringAverageActual",2009
69,69,"Corey Pavin",73,70.58,5152,73,"ScoringAverageActual",2009
70,70,"Tim Herron",87,70.59,6141,87,"ScoringAverageActual",2009
70,70,"Joe Ogilvie",85,70.59,6000,85,"ScoringAverageActual",2009
72,72,"Marc Leishman",91,70.6,6425,91,"ScoringAverageActual",2009
73,73,"Rory Sabbatini",81,70.61,5649,80,"ScoringAverageActual",2009
74,74,"Sergio Garcia",59,70.62,4096,58,"ScoringAverageActual",2009
74,74,"Charles Howell III",99,70.62,6991,99,"ScoringAverageActual",2009
74,74,"Anthony Kim",76,70.62,5226,74,"ScoringAverageActual",2009
77,77,"Fred Couples",54,70.65,3815,54,"ScoringAverageActual",2009
77,77,"Freddie Jacobson",83,70.65,5864,83,"ScoringAverageActual",2009
79,79,"James Nitties",86,70.67,6078,86,"ScoringAverageActual",2009
80,80,"Woody Austin",84,70.68,5937,84,"ScoringAverageActual",2009
80,80,"Cameron Beckman",87,70.68,6149,87,"ScoringAverageActual",2009
80,80,"Geoff Ogilvy",78,70.68,5089,72,"ScoringAverageActual",2009
80,80,"Ted Purdy",101,70.68,7139,101,"ScoringAverageActual",2009
80,80,"Brett Quigley",92,70.68,6503,92,"ScoringAverageActual",2009
