"Scrambling_RANKTHISWEEK_2006","Scrambling_RANKLASTWEEK_2006","Scrambling_PLAYERNAME_2006","Scrambling_ROUNDS_2006","Scrambling_Pct_2006","Scrambling_PARORBETTER_2006","Scrambling_MISSEDGIR_2006","stat_name","year"
1,1,"Corey Pavin",74,66.45,305,459,"Scrambling",2006
2,2,"Steve Stricker",64,65.55,234,357,"Scrambling",2006
3,3,"Luke Donald",66,65.45,252,385,"Scrambling",2006
4,4,"Jim Furyk",89,64.66,300,464,"Scrambling",2006
5,5,"Brian Gay",107,64.6,458,709,"Scrambling",2006
6,6,"Steve Elkington",52,64.52,180,279,"Scrambling",2006
7,7,"Omar Uresti",61,63.59,227,357,"Scrambling",2006
8,8,"Paul Azinger",87,63.16,372,589,"Scrambling",2006
9,9,"Tjaart van der Walt",60,62.91,229,364,"Scrambling",2006
10,10,"Tiger Woods",55,62.81,152,242,"Scrambling",2006
11,11,"Greg Owen",79,62.61,273,436,"Scrambling",2006
12,12,"Scott Verplank",88,62.55,329,526,"Scrambling",2006
13,13,"Jason Bohn",104,61.97,396,639,"Scrambling",2006
14,14,"Brett Quigley",109,61.84,376,608,"Scrambling",2006
15,15,"Nick Watney",97,61.15,362,592,"Scrambling",2006
16,16,"Frank Lickliter II",99,61,341,559,"Scrambling",2006
17,17,"Nathan Green",108,60.98,422,692,"Scrambling",2006
17,17,"Jerry Kelly",100,60.98,361,592,"Scrambling",2006
19,19,"Stephen Leaney",84,60.97,303,497,"Scrambling",2006
20,20,"Jonathan Byrd",66,60.94,220,361,"Scrambling",2006
21,21,"Shigeki Maruyama",94,60.86,367,603,"Scrambling",2006
22,22,"Steve Flesch",119,60.8,428,704,"Scrambling",2006
23,23,"Doug Barron",74,60.77,316,520,"Scrambling",2006
24,24,"Ryuji Imada",105,60.68,392,646,"Scrambling",2006
25,25,"Paul Goydos",72,60.67,273,450,"Scrambling",2006
26,26,"Chris Riley",86,60.65,336,554,"Scrambling",2006
27,27,"Stewart Cink",93,60.61,337,556,"Scrambling",2006
28,28,"John Cook",67,60.59,246,406,"Scrambling",2006
28,28,"Jesper Parnevik",84,60.59,326,538,"Scrambling",2006
30,30,"Kevin Sutherland",100,60.58,332,548,"Scrambling",2006
31,31,"Tim Petrovic",95,60.57,384,634,"Scrambling",2006
32,32,"Trevor Immelman",86,60.54,290,479,"Scrambling",2006
33,33,"Larry Mize",53,60.49,199,329,"Scrambling",2006
34,34,"Brent Geiberger",99,60.46,370,612,"Scrambling",2006
35,35,"Billy Mayfair",94,60.42,342,566,"Scrambling",2006
36,36,"Padraig Harrington",54,60.38,189,313,"Scrambling",2006
36,36,"Ian Poulter",53,60.38,192,318,"Scrambling",2006
38,38,"David Branshaw",98,60.37,323,535,"Scrambling",2006
39,39,"Vijay Singh",103,60.28,349,579,"Scrambling",2006
40,40,"Bob Estes",85,60.12,306,509,"Scrambling",2006
41,41,"Jerry Smith",94,60.11,333,554,"Scrambling",2006
42,42,"Fred Funk",106,60.06,382,636,"Scrambling",2006
43,43,"Woody Austin",107,59.94,431,719,"Scrambling",2006
44,44,"Richard Johnson",94,59.83,344,575,"Scrambling",2006
45,45,"Joe Ogilvie",95,59.79,342,572,"Scrambling",2006
46,46,"Ryan Moore",68,59.77,257,430,"Scrambling",2006
47,47,"Mike Sposa",68,59.63,257,431,"Scrambling",2006
48,48,"Bill Haas",99,59.55,368,618,"Scrambling",2006
49,49,"Brian Davis",92,59.54,334,561,"Scrambling",2006
50,50,"Rory Sabbatini",84,59.43,315,530,"Scrambling",2006
51,51,"Aaron Baddeley",78,59.37,339,571,"Scrambling",2006
51,51,"Dean Wilson",115,59.37,412,694,"Scrambling",2006
53,53,"Ernie Els",69,59.33,248,418,"Scrambling",2006
54,54,"David Toms",76,59.29,249,420,"Scrambling",2006
55,55,"Jeff Overton",95,59.21,344,581,"Scrambling",2006
56,56,"Stuart Appleby",83,59.18,303,512,"Scrambling",2006
57,57,"Bernhard Langer",77,59.1,263,445,"Scrambling",2006
58,58,"Stephen Ames",63,59.09,221,374,"Scrambling",2006
58,58,"Tim Clark",80,59.09,286,484,"Scrambling",2006
60,60,"Patrick Sheehan",104,59.08,384,650,"Scrambling",2006
61,61,"Duffy Waldorf",96,59.03,330,559,"Scrambling",2006
62,62,"Chris DiMarco",83,59.02,278,471,"Scrambling",2006
63,63,"John Huston",74,58.97,286,485,"Scrambling",2006
64,64,"Dudley Hart",83,58.96,319,541,"Scrambling",2006
64,64,"Charles Warren",93,58.96,306,519,"Scrambling",2006
66,66,"Carl Pettersson",95,58.95,372,631,"Scrambling",2006
67,67,"KJ Choi",93,58.9,311,528,"Scrambling",2006
67,67,"Mark OMeara",52,58.9,215,365,"Scrambling",2006
69,69,"Geoff Ogilvy",76,58.89,275,467,"Scrambling",2006
70,70,"Michael Allen",84,58.87,332,564,"Scrambling",2006
71,71,"Jeff Sluman",101,58.86,372,632,"Scrambling",2006
72,72,"Billy Andrade",78,58.84,263,447,"Scrambling",2006
73,73,"Skip Kendall",72,58.82,250,425,"Scrambling",2006
74,74,"Ryan Palmer",101,58.78,375,638,"Scrambling",2006
75,75,"JP Hayes",55,58.76,208,354,"Scrambling",2006
76,76,"JL Lewis",57,58.75,225,383,"Scrambling",2006
77,77,"Justin Leonard",83,58.73,306,521,"Scrambling",2006
78,78,"Jeff Gove",91,58.68,257,438,"Scrambling",2006
79,79,"Mike Weir",88,58.67,301,513,"Scrambling",2006
80,80,"Tom Pernice Jr",108,58.58,389,664,"Scrambling",2006
81,81,"Thomas Levet",53,58.47,183,313,"Scrambling",2006
82,82,"Mark Wilson",79,58.45,256,438,"Scrambling",2006
83,83,"Bubba Watson",83,58.35,276,473,"Scrambling",2006
84,84,"Justin Rose",98,58.29,320,549,"Scrambling",2006
85,85,"Rod Pampling",89,58.2,330,567,"Scrambling",2006
86,86,"John Senden",96,58.18,281,483,"Scrambling",2006
87,87,"Peter Lonard",77,58.13,293,504,"Scrambling",2006
88,88,"Greg Kraft",79,58.05,292,503,"Scrambling",2006
89,89,"Matt Hansen",68,58.02,228,393,"Scrambling",2006
90,90,"Danny Ellis",68,58,250,431,"Scrambling",2006
91,91,"Adam Scott",70,57.94,219,378,"Scrambling",2006
92,92,"Steve Jones",83,57.92,318,549,"Scrambling",2006
93,93,"Chad Campbell",91,57.84,295,510,"Scrambling",2006
94,94,"Brian Bateman",69,57.83,240,415,"Scrambling",2006
95,95,"Jose Maria Olazabal",62,57.78,208,360,"Scrambling",2006
96,96,"Harrison Frazar",95,57.72,340,589,"Scrambling",2006
97,97,"Troy Matteson",101,57.68,353,612,"Scrambling",2006
98,98,"Arron Oberholser",82,57.67,252,437,"Scrambling",2006
99,99,"Bo Van Pelt",102,57.63,355,616,"Scrambling",2006
100,100,"Robert Damron",91,57.62,344,597,"Scrambling",2006
101,101,"Freddie Jacobson",56,57.58,209,363,"Scrambling",2006
102,102,"Jonathan Kaye",95,57.55,301,523,"Scrambling",2006
103,103,"Zach Johnson",98,57.52,302,525,"Scrambling",2006
104,104,"Daisuke Maruyama",83,57.5,276,480,"Scrambling",2006
105,105,"Shane Bertsch",104,57.47,381,663,"Scrambling",2006
105,105,"Daniel Chopra",110,57.47,404,703,"Scrambling",2006
107,107,"Mark Brooks",90,57.41,341,594,"Scrambling",2006
108,108,"Retief Goosen",68,57.37,214,373,"Scrambling",2006
109,109,"Henrik Bjornstad",97,57.31,349,609,"Scrambling",2006
110,110,"Brad Faxon",78,57.22,337,589,"Scrambling",2006
111,111,"Steve Lowery",99,57.21,345,603,"Scrambling",2006
112,112,"David McKenzie",82,57.11,281,492,"Scrambling",2006
113,113,"Arjun Atwal",97,57.07,351,615,"Scrambling",2006
114,114,"Paul Stankowski",70,56.98,245,430,"Scrambling",2006
115,115,"Charles Howell III",96,56.92,325,571,"Scrambling",2006
116,116,"Ben Curtis",86,56.88,306,538,"Scrambling",2006
117,117,"Todd Fischer",101,56.76,382,673,"Scrambling",2006
118,118,"Kris Cox",83,56.73,278,490,"Scrambling",2006
119,119,"Jason Schultz",77,56.54,281,497,"Scrambling",2006
120,120,"Ben Crane",85,56.49,309,547,"Scrambling",2006
121,121,"Eric Axley",91,56.47,310,549,"Scrambling",2006
121,121,"Marco Dawson",87,56.47,310,549,"Scrambling",2006
123,123,"Camilo Villegas",95,56.45,328,581,"Scrambling",2006
124,124,"Briny Baird",81,56.42,233,413,"Scrambling",2006
125,125,"Mathias Gronberg",92,56.34,302,536,"Scrambling",2006
126,126,"Greg Chalmers",71,56.28,278,494,"Scrambling",2006
127,127,"Shaun Micheel",96,56.27,305,542,"Scrambling",2006
128,128,"DJ Trahan",92,56.26,328,583,"Scrambling",2006
129,129,"Lucas Glover",105,56.23,334,594,"Scrambling",2006
130,130,"Mark Calcavecchia",94,56.22,357,635,"Scrambling",2006
131,131,"Robert Allenby",79,56.18,250,445,"Scrambling",2006
131,131,"DA Points",82,56.18,300,534,"Scrambling",2006
133,133,"Joe Durant",101,56,308,550,"Scrambling",2006
133,133,"Kirk Triplett",58,56,196,350,"Scrambling",2006
135,135,"Robert Gamez",94,55.97,333,595,"Scrambling",2006
136,136,"Kent Jones",103,55.89,351,628,"Scrambling",2006
137,137,"Charley Hoffman",100,55.86,329,589,"Scrambling",2006
138,138,"Phil Mickelson",74,55.84,220,394,"Scrambling",2006
139,139,"Sean OHair",100,55.79,347,622,"Scrambling",2006
140,140,"Jon Mills",68,55.76,247,443,"Scrambling",2006
141,141,"Heath Slocum",96,55.66,300,539,"Scrambling",2006
142,142,"Bart Bryant",87,55.46,269,485,"Scrambling",2006
143,143,"Len Mattiace",59,55.38,242,437,"Scrambling",2006
144,144,"Bob May",65,55.36,191,345,"Scrambling",2006
144,144,"Vaughn Taylor",88,55.36,315,569,"Scrambling",2006
146,146,"Mathew Goggin",72,55.31,229,414,"Scrambling",2006
147,147,"Bob Tway",81,55.27,278,503,"Scrambling",2006
148,148,"Tim Herron",82,55.23,301,545,"Scrambling",2006
149,149,"Davis Love III",85,55.14,252,457,"Scrambling",2006
