"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2008","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2008","FirstTeeEarlyScoringAverage_PLAYERNAME_2008","FirstTeeEarlyScoringAverage_ROUNDS_2008","FirstTeeEarlyScoringAverage_AVG_2008","FirstTeeEarlyScoringAverage_TOTALSTROKES_2008","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2008","stat_name","year"
1,1,"Bob Tway",70,69.56,1739,25,"FirstTeeEarlyScoringAverage",2008
2,2,"Steve Marino",119,69.74,2929,42,"FirstTeeEarlyScoringAverage",2008
3,3,"Tom Lehman",51,69.75,837,12,"FirstTeeEarlyScoringAverage",2008
4,4,"Ken Duke",116,69.79,2652,38,"FirstTeeEarlyScoringAverage",2008
5,5,"JB Holmes",86,69.89,1328,19,"FirstTeeEarlyScoringAverage",2008
6,6,"Briny Baird",113,69.91,2237,32,"FirstTeeEarlyScoringAverage",2008
7,7,"Aaron Baddeley",76,70,1610,23,"FirstTeeEarlyScoringAverage",2008
7,7,"Chris Riley",51,70,1190,17,"FirstTeeEarlyScoringAverage",2008
7,7,"Mark Wilson",107,70,2590,37,"FirstTeeEarlyScoringAverage",2008
10,10,"Jeff Maggert",86,70.04,1821,26,"FirstTeeEarlyScoringAverage",2008
11,11,"Steve Stricker",75,70.05,1401,20,"FirstTeeEarlyScoringAverage",2008
12,12,"Tom Pernice Jr",104,70.06,2382,34,"FirstTeeEarlyScoringAverage",2008
13,13,"Ben Crane",86,70.08,1822,26,"FirstTeeEarlyScoringAverage",2008
14,14,"Jason Gore",94,70.09,1542,22,"FirstTeeEarlyScoringAverage",2008
15,15,"Chad Collins",72,70.11,1963,28,"FirstTeeEarlyScoringAverage",2008
16,16,"Bill Haas",99,70.18,1544,22,"FirstTeeEarlyScoringAverage",2008
17,17,"Chad Campbell",94,70.24,2318,33,"FirstTeeEarlyScoringAverage",2008
18,18,"Tim Herron",97,70.28,2249,32,"FirstTeeEarlyScoringAverage",2008
19,19,"Ben Curtis",80,70.3,1617,23,"FirstTeeEarlyScoringAverage",2008
20,20,"Robert Garrigus",90,70.31,1828,26,"FirstTeeEarlyScoringAverage",2008
20,20,"Charlie Wi",97,70.31,2461,35,"FirstTeeEarlyScoringAverage",2008
20,20,"Tim Wilkinson",95,70.31,2039,29,"FirstTeeEarlyScoringAverage",2008
23,23,"JJ Henry",108,70.33,2743,39,"FirstTeeEarlyScoringAverage",2008
23,23,"Adam Scott",51,70.33,1055,15,"FirstTeeEarlyScoringAverage",2008
25,25,"Justin Leonard",101,70.34,2040,29,"FirstTeeEarlyScoringAverage",2008
26,26,"Dean Wilson",109,70.35,2603,37,"FirstTeeEarlyScoringAverage",2008
27,27,"Billy Andrade",71,70.41,1197,17,"FirstTeeEarlyScoringAverage",2008
28,28,"Parker McLachlin",88,70.43,1620,23,"FirstTeeEarlyScoringAverage",2008
29,29,"Corey Pavin",69,70.44,1902,27,"FirstTeeEarlyScoringAverage",2008
30,30,"Eric Axley",113,70.45,2043,29,"FirstTeeEarlyScoringAverage",2008
31,31,"Chez Reavie",102,70.46,1973,28,"FirstTeeEarlyScoringAverage",2008
32,32,"Steve Elkington",84,70.47,2114,30,"FirstTeeEarlyScoringAverage",2008
33,33,"Shane Bertsch",96,70.5,1974,28,"FirstTeeEarlyScoringAverage",2008
34,34,"Freddie Jacobson",78,70.52,1763,25,"FirstTeeEarlyScoringAverage",2008
34,34,"Anthony Kim",81,70.52,1481,21,"FirstTeeEarlyScoringAverage",2008
34,34,"John Rollins",94,70.52,2045,29,"FirstTeeEarlyScoringAverage",2008
34,34,"Omar Uresti",74,70.52,1622,23,"FirstTeeEarlyScoringAverage",2008
38,38,"Jim Furyk",95,70.53,1340,19,"FirstTeeEarlyScoringAverage",2008
39,39,"Kenny Perry",97,70.54,1834,26,"FirstTeeEarlyScoringAverage",2008
40,40,"Kevin Streelman",114,70.56,2893,41,"FirstTeeEarlyScoringAverage",2008
41,41,"Martin Laird",98,70.58,2682,38,"FirstTeeEarlyScoringAverage",2008
41,41,"Patrick Sheehan",124,70.58,3176,45,"FirstTeeEarlyScoringAverage",2008
41,41,"Kevin Sutherland",98,70.58,1835,26,"FirstTeeEarlyScoringAverage",2008
41,41,"Mike Weir",88,70.58,1341,19,"FirstTeeEarlyScoringAverage",2008
45,45,"Alejandro Canizares",52,70.62,918,13,"FirstTeeEarlyScoringAverage",2008
46,46,"Boo Weekley",86,70.63,2260,32,"FirstTeeEarlyScoringAverage",2008
47,47,"Bob Estes",90,70.64,1978,28,"FirstTeeEarlyScoringAverage",2008
47,47,"Camilo Villegas",79,70.64,1554,22,"FirstTeeEarlyScoringAverage",2008
49,49,"KJ Choi",74,70.65,1201,17,"FirstTeeEarlyScoringAverage",2008
49,49,"Brenden Pappas",66,70.65,1625,23,"FirstTeeEarlyScoringAverage",2008
49,49,"Brett Quigley",80,70.65,1837,26,"FirstTeeEarlyScoringAverage",2008
49,49,"Bo Van Pelt",101,70.65,2614,37,"FirstTeeEarlyScoringAverage",2008
53,53,"Zach Johnson",85,70.66,2049,29,"FirstTeeEarlyScoringAverage",2008
54,54,"Padraig Harrington",52,70.67,1060,15,"FirstTeeEarlyScoringAverage",2008
