"TenthTeeLateLowestRound_RANKTHISWEEK_2015","TenthTeeLateLowestRound_RANKLASTWEEK_2015","TenthTeeLateLowestRound_PLAYERNAME_2015","TenthTeeLateLowestRound_ROUNDS_2015","TenthTeeLateLowestRound_LOWRND_2015","stat_name","year"
1,1,"Ryan Palmer",80,61,"TenthTeeLateLowestRound",2015
1,1,"Justin Thomas",106,61,"TenthTeeLateLowestRound",2015
3,3,"Jim Herman",88,62,"TenthTeeLateLowestRound",2015
3,3,"Hyung Sung Kim",8,62,"TenthTeeLateLowestRound",2015
5,5,"Gonzalo Fdez Castano",81,63,"TenthTeeLateLowestRound",2015
5,5,"Bill Haas",89,63,"TenthTeeLateLowestRound",2015
5,5,"Morgan Hoffmann",85,63,"TenthTeeLateLowestRound",2015
5,5,"Danny Lee",120,63,"TenthTeeLateLowestRound",2015
5,5,"Rory Sabbatini",81,63,"TenthTeeLateLowestRound",2015
5,5,"Nicholas Thompson",90,63,"TenthTeeLateLowestRound",2015
11,11,"Charlie Beljan",76,64,"TenthTeeLateLowestRound",2015
11,11,"Steven Bowditch",103,64,"TenthTeeLateLowestRound",2015
11,11,"Austin Cook",26,64,"TenthTeeLateLowestRound",2015
11,11,"Brendon de Jonge",106,64,"TenthTeeLateLowestRound",2015
11,11,"Tony Finau",106,64,"TenthTeeLateLowestRound",2015
11,11,"Jason Gore",76,64,"TenthTeeLateLowestRound",2015
11,11,"Brian Harman",90,64,"TenthTeeLateLowestRound",2015
11,11,"David Hearn",97,64,"TenthTeeLateLowestRound",2015
11,11,"Mark Hensby",6,64,"TenthTeeLateLowestRound",2015
11,11,"Ryo Ishikawa",90,64,"TenthTeeLateLowestRound",2015
11,11,"Whee Kim",71,64,"TenthTeeLateLowestRound",2015
11,11,"Chris Kirk",76,64,"TenthTeeLateLowestRound",2015
11,11,"Matt Kuchar",97,64,"TenthTeeLateLowestRound",2015
11,11,"Hunter Mahan",88,64,"TenthTeeLateLowestRound",2015
11,11,"Bryce Molder",91,64,"TenthTeeLateLowestRound",2015
11,11,"Sean OHair",86,64,"TenthTeeLateLowestRound",2015
11,11,"Justin Rose",69,64,"TenthTeeLateLowestRound",2015
11,11,"Kevin Streelman",95,64,"TenthTeeLateLowestRound",2015
11,11,"Cameron Tringale",96,64,"TenthTeeLateLowestRound",2015
11,11,"Mark Wilson",89,64,"TenthTeeLateLowestRound",2015
31,31,"Blake Adams",33,65,"TenthTeeLateLowestRound",2015
31,31,"Daniel Berger",97,65,"TenthTeeLateLowestRound",2015
31,31,"Scott Brown",97,65,"TenthTeeLateLowestRound",2015
31,31,"Chad Campbell",97,65,"TenthTeeLateLowestRound",2015
31,31,"Alex Cejka",94,65,"TenthTeeLateLowestRound",2015
31,31,"Kevin Chappell",86,65,"TenthTeeLateLowestRound",2015
31,31,"Stewart Cink",77,65,"TenthTeeLateLowestRound",2015
31,31,"Chad Collins",79,65,"TenthTeeLateLowestRound",2015
31,31,"Brian Davis",86,65,"TenthTeeLateLowestRound",2015
31,31,"Graham DeLaet",65,65,"TenthTeeLateLowestRound",2015
31,31,"Jason Dufner",76,65,"TenthTeeLateLowestRound",2015
31,31,"Martin Flores",95,65,"TenthTeeLateLowestRound",2015
31,31,"Brice Garnett",81,65,"TenthTeeLateLowestRound",2015
31,31,"Charley Hoffman",97,65,"TenthTeeLateLowestRound",2015
31,31,"JB Holmes",89,65,"TenthTeeLateLowestRound",2015
31,31,"Mark Hubbard",79,65,"TenthTeeLateLowestRound",2015
31,31,"Hiroshi Iwata",12,65,"TenthTeeLateLowestRound",2015
31,31,"Matt Jones",89,65,"TenthTeeLateLowestRound",2015
31,31,"Jerry Kelly",79,65,"TenthTeeLateLowestRound",2015
31,31,"Colt Knost",90,65,"TenthTeeLateLowestRound",2015
31,31,"Brooks Koepka",84,65,"TenthTeeLateLowestRound",2015
31,31,"Jason Kokrak",88,65,"TenthTeeLateLowestRound",2015
31,31,"Justin Leonard",61,65,"TenthTeeLateLowestRound",2015
31,31,"Spencer Levin",99,65,"TenthTeeLateLowestRound",2015
31,31,"David Lingmerth",90,65,"TenthTeeLateLowestRound",2015
31,31,"Will Ma Kenzie",49,65,"TenthTeeLateLowestRound",2015
31,31,"John Merrick",78,65,"TenthTeeLateLowestRound",2015
31,31,"Daniel Miernicki",4,65,"TenthTeeLateLowestRound",2015
31,31,"Kevin Na",98,65,"TenthTeeLateLowestRound",2015
31,31,"Seung Yul Noh",65,65,"TenthTeeLateLowestRound",2015
31,31,"SJ Park",79,65,"TenthTeeLateLowestRound",2015
31,31,"John Peterson",84,65,"TenthTeeLateLowestRound",2015
31,31,"Scott Piercy",90,65,"TenthTeeLateLowestRound",2015
31,31,"Scott Pinckney",88,65,"TenthTeeLateLowestRound",2015
31,31,"DA Points",72,65,"TenthTeeLateLowestRound",2015
31,31,"Michael Putnam",87,65,"TenthTeeLateLowestRound",2015
31,31,"Andrew Putnam",68,65,"TenthTeeLateLowestRound",2015
31,31,"Shawn Stefani",94,65,"TenthTeeLateLowestRound",2015
