"CareerEarnings_RANKTHISWEEK_2005","CareerEarnings_RANKLASTWEEK_2005","CareerEarnings_PLAYERNAME_2005","CareerEarnings__2005","CareerEarnings_MONEY_2005","stat_name","year"
1,1,"Tiger Woods",NA,55770760,"CareerEarnings",2005
2,2,"Vijay Singh",NA,44777425,"CareerEarnings",2005
3,3,"Phil Mickelson",NA,35257533,"CareerEarnings",2005
4,4,"Davis Love III",NA,31866617,"CareerEarnings",2005
5,5,"Ernie Els",NA,26094175,"CareerEarnings",2005
6,6,"Jim Furyk",NA,23986751,"CareerEarnings",2005
7,7,"David Toms",NA,22904928,"CareerEarnings",2005
8,8,"Nick Price",NA,20342269,"CareerEarnings",2005
9,9,"Justin Leonard",NA,20304913,"CareerEarnings",2005
10,10,"Kenny Perry",NA,19516333,"CareerEarnings",2005
11,11,"Mark Calcavecchia",NA,18597772,"CareerEarnings",2005
12,12,"Scott Hoch",NA,18487114,"CareerEarnings",2005
13,13,"Fred Couples",NA,18348753,"CareerEarnings",2005
14,14,"Fred Funk",NA,17849352,"CareerEarnings",2005
15,15,"Chris DiMarco",NA,17171925,"CareerEarnings",2005
16,16,"Tom Lehman",NA,17128957,"CareerEarnings",2005
17,17,"Brad Faxon",NA,17028228,"CareerEarnings",2005
18,18,"Mike Weir",NA,16970211,"CareerEarnings",2005
19,19,"Jeff Sluman",NA,16589649,"CareerEarnings",2005
20,20,"David Duval",NA,16363979,"CareerEarnings",2005
21,21,"Scott Verplank",NA,16227064,"CareerEarnings",2005
22,22,"Stewart Cink",NA,15837637,"CareerEarnings",2005
23,23,"Stuart Appleby",NA,15436013,"CareerEarnings",2005
24,24,"Hal Sutton",NA,15267685,"CareerEarnings",2005
25,25,"Loren Roberts",NA,14956278,"CareerEarnings",2005
26,26,"Retief Goosen",NA,14613565,"CareerEarnings",2005
27,27,"Jay Haas",NA,14276918,"CareerEarnings",2005
28,28,"Sergio Garcia",NA,14258859,"CareerEarnings",2005
29,29,"Bob Tway",NA,14189323,"CareerEarnings",2005
30,30,"Bob Estes",NA,14177811,"CareerEarnings",2005
31,31,"Greg Norman",NA,13963611,"CareerEarnings",2005
32,32,"Mark OMeara",NA,13878515,"CareerEarnings",2005
33,33,"John Huston",NA,13663950,"CareerEarnings",2005
34,34,"Paul Azinger",NA,13528461,"CareerEarnings",2005
35,35,"Jeff Maggert",NA,13024848,"CareerEarnings",2005
36,36,"Billy Mayfair",NA,12720199,"CareerEarnings",2005
37,37,"Jerry Kelly",NA,12679885,"CareerEarnings",2005
38,38,"Lee Janzen",NA,12524206,"CareerEarnings",2005
39,39,"Kirk Triplett",NA,12448661,"CareerEarnings",2005
40,40,"Jesper Parnevik",NA,12129840,"CareerEarnings",2005
41,41,"Rocco Mediate",NA,12058072,"CareerEarnings",2005
42,42,"Robert Allenby",NA,11951566,"CareerEarnings",2005
43,43,"Corey Pavin",NA,11875537,"CareerEarnings",2005
44,44,"Tim Herron",NA,11793040,"CareerEarnings",2005
45,45,"Payne Stewart",NA,11737008,"CareerEarnings",2005
46,46,"Steve Elkington",NA,11672520,"CareerEarnings",2005
47,47,"John Cook",NA,11669338,"CareerEarnings",2005
48,48,"Steve Lowery",NA,11491656,"CareerEarnings",2005
49,49,"Steve Flesch",NA,11355728,"CareerEarnings",2005
50,50,"Shigeki Maruyama",NA,11087446,"CareerEarnings",2005
51,51,"Tom Kite",NA,11041042,"CareerEarnings",2005
52,52,"Charles Howell III",NA,10833681,"CareerEarnings",2005
53,53,"Duffy Waldorf",NA,10646393,"CareerEarnings",2005
54,54,"Billy Andrade",NA,10560537,"CareerEarnings",2005
55,55,"Joey Sindelar",NA,10048888,"CareerEarnings",2005
56,56,"Craig Stadler",NA,9987078,"CareerEarnings",2005
57,57,"Tom Watson",NA,9918371,"CareerEarnings",2005
58,58,"Chad Campbell",NA,9668524,"CareerEarnings",2005
59,59,"Jonathan Kaye",NA,9587615,"CareerEarnings",2005
60,60,"Scott McCarron",NA,9424364,"CareerEarnings",2005
61,61,"KJ Choi",NA,9153791,"CareerEarnings",2005
62,62,"Dudley Hart",NA,9127295,"CareerEarnings",2005
63,63,"David Frost",NA,9098261,"CareerEarnings",2005
64,64,"Jose Maria Olazabal",NA,8842723,"CareerEarnings",2005
65,65,"Stephen Ames",NA,8806788,"CareerEarnings",2005
