"ConsecutiveCuts_RANKTHISWEEK_2015","ConsecutiveCuts_RANKLASTWEEK_2015","ConsecutiveCuts_PLAYERNAME_2015","ConsecutiveCuts__2015","ConsecutiveCuts_TOTAL_2015","ConsecutiveCuts_STARTTOURNAMENTID_2015","stat_name","year"
1,1,"Henrik Stenson",NA,28,2014210,"ConsecutiveCuts",2015
2,2,"Sergio Garcia",NA,24,2014300,"ConsecutiveCuts",2015
3,3,"Robert Streb",NA,14,2015280,"ConsecutiveCuts",2015
4,4,"Harris English",NA,13,2015310,"ConsecutiveCuts",2015
5,5,"Paul Casey",NA,12,2015300,"ConsecutiveCuts",2015
6,6,"Matt Kuchar",NA,11,2015310,"ConsecutiveCuts",2015
6,6,"Rory McIlroy",NA,11,2015190,"ConsecutiveCuts",2015
8,8,"Phil Mickelson",NA,10,2015290,"ConsecutiveCuts",2015
9,9,"Jason Day",NA,9,2015340,"ConsecutiveCuts",2015
9,9,"Luke Donald",NA,9,2015330,"ConsecutiveCuts",2015
9,9,"Jason Dufner",NA,9,2015300,"ConsecutiveCuts",2015
12,12,"Jim Furyk",NA,8,2015320,"ConsecutiveCuts",2015
12,12,"Bill Haas",NA,8,2015410,"ConsecutiveCuts",2015
12,12,"Dustin Johnson",NA,8,2015340,"ConsecutiveCuts",2015
12,12,"Francesco Molinari",NA,8,2015230,"ConsecutiveCuts",2015
12,12,"Patrick Reed",NA,8,2015360,"ConsecutiveCuts",2015
12,12,"Justin Thomas",NA,8,2015360,"ConsecutiveCuts",2015
18,18,"JB Holmes",NA,7,2015400,"ConsecutiveCuts",2015
18,18,"Charles Howell III",NA,7,2015370,"ConsecutiveCuts",2015
18,18,"Danny Lee",NA,7,2015410,"ConsecutiveCuts",2015
18,18,"Webb Simpson",NA,7,2015390,"ConsecutiveCuts",2015
18,18,"Vaughn Taylor",NA,7,2015330,"ConsecutiveCuts",2015
18,18,"Bubba Watson",NA,7,2015400,"ConsecutiveCuts",2015
24,24,"Sangmoon Bae",NA,6,2015430,"ConsecutiveCuts",2015
24,24,"Gonzalo Fdez Castano",NA,6,2015360,"ConsecutiveCuts",2015
24,24,"Troy Merritt",NA,6,2015410,"ConsecutiveCuts",2015
24,24,"Seung Yul Noh",NA,6,2015330,"ConsecutiveCuts",2015
24,24,"Louis Oosthuizen",NA,6,2015360,"ConsecutiveCuts",2015
24,24,"Kyle Stanley",NA,6,2015330,"ConsecutiveCuts",2015
24,24,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2015
31,31,"Thomas Aiken",NA,5,2014410,"ConsecutiveCuts",2015
31,31,"Roberto Castro",NA,5,2015370,"ConsecutiveCuts",2015
31,31,"Kevin Chappell",NA,5,2015410,"ConsecutiveCuts",2015
31,31,"Austin Cook",NA,5,2015330,"ConsecutiveCuts",2015
31,31,"Tom Hoge",NA,5,2015380,"ConsecutiveCuts",2015
31,31,"Wayne Levi",NA,5,2001300,"ConsecutiveCuts",2015
31,31,"David Lipsky",NA,5,2015040,"ConsecutiveCuts",2015
31,31,"Andres Romero",NA,5,2015360,"ConsecutiveCuts",2015
31,31,"Marc Warren",NA,5,2015270,"ConsecutiveCuts",2015
31,31,"Lee Westwood",NA,5,2015340,"ConsecutiveCuts",2015
41,41,"Jonathan Byrd",NA,4,2015380,"ConsecutiveCuts",2015
41,41,"Greg Chalmers",NA,4,2015370,"ConsecutiveCuts",2015
41,41,"KJ Choi",NA,4,2015400,"ConsecutiveCuts",2015
41,41,"Retief Goosen",NA,4,2015390,"ConsecutiveCuts",2015
41,41,"Branden Grace",NA,4,2015390,"ConsecutiveCuts",2015
41,41,"Charley Hoffman",NA,4,2015460,"ConsecutiveCuts",2015
41,41,"Morgan Hoffmann",NA,4,2015440,"ConsecutiveCuts",2015
41,41,"Zach Johnson",NA,4,2015460,"ConsecutiveCuts",2015
41,41,"Matt Jones",NA,4,2015440,"ConsecutiveCuts",2015
41,41,"Martin Kaymer",NA,4,2015390,"ConsecutiveCuts",2015
41,41,"Kevin Kisner",NA,4,2015460,"ConsecutiveCuts",2015
41,41,"Ben Martin",NA,4,2015450,"ConsecutiveCuts",2015
41,41,"Hideki Matsuyama",NA,4,2015460,"ConsecutiveCuts",2015
41,41,"Kevin Na",NA,4,2015460,"ConsecutiveCuts",2015
41,41,"Sean OHair",NA,4,2015440,"ConsecutiveCuts",2015
41,41,"Thorbjorn Olesen",NA,4,2014400,"ConsecutiveCuts",2015
41,41,"Hennie Otto",NA,4,2010350,"ConsecutiveCuts",2015
41,41,"Vijay Singh",NA,4,2015410,"ConsecutiveCuts",2015
41,41,"Cameron Smith",NA,4,2015340,"ConsecutiveCuts",2015
41,41,"Kevin Streelman",NA,4,2015420,"ConsecutiveCuts",2015
41,41,"Daniel Summerhays",NA,4,2015450,"ConsecutiveCuts",2015
62,62,"Daniel Berger",NA,3,2015470,"ConsecutiveCuts",2015
62,62,"Zac Blair",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Gregory Bourdy",NA,3,2013310,"ConsecutiveCuts",2015
62,62,"Ernie Els",NA,3,2015410,"ConsecutiveCuts",2015
62,62,"Darren Fichardt",NA,3,2014040,"ConsecutiveCuts",2015
62,62,"Rickie Fowler",NA,3,2015470,"ConsecutiveCuts",2015
62,62,"Marcus Fraser",NA,3,2013350,"ConsecutiveCuts",2015
62,62,"Fabian Gomez",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Emiliano Grillo",NA,3,2015380,"ConsecutiveCuts",2015
62,62,"Brian Harman",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Mike Hendry",NA,3,2013110,"ConsecutiveCuts",2015
62,62,"Beau Hossler",NA,3,2012260,"ConsecutiveCuts",2015
62,62,"Russell Knox",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Doug LaBelle II",NA,3,2014420,"ConsecutiveCuts",2015
62,62,"Anirban Lahiri",NA,3,2015390,"ConsecutiveCuts",2015
62,62,"Justin Leonard",NA,3,2015400,"ConsecutiveCuts",2015
62,62,"Spencer Levin",NA,3,2015450,"ConsecutiveCuts",2015
62,62,"James Morrison",NA,3,2012320,"ConsecutiveCuts",2015
62,62,"Toshinori Muto",NA,3,2012320,"ConsecutiveCuts",2015
62,62,"Ryan Palmer",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Pat Perez",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Wes Roach",NA,3,2014420,"ConsecutiveCuts",2015
62,62,"Alexandre Rocha",NA,3,2013100,"ConsecutiveCuts",2015
62,62,"Patrick Rodgers",NA,3,2015410,"ConsecutiveCuts",2015
62,62,"Rory Sabbatini",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Bob Shearer",NA,3,1984320,"ConsecutiveCuts",2015
62,62,"Brandt Snedeker",NA,3,2015470,"ConsecutiveCuts",2015
62,62,"Shawn Stefani",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Andre Stolz",NA,3,2011300,"ConsecutiveCuts",2015
62,62,"Steve Stricker",NA,3,2015370,"ConsecutiveCuts",2015
62,62,"Brendon Todd",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Cameron Tringale",NA,3,2015460,"ConsecutiveCuts",2015
62,62,"Camilo Villegas",NA,3,2015450,"ConsecutiveCuts",2015
62,62,"Danny Willett",NA,3,2015390,"ConsecutiveCuts",2015
62,62,"YE Yang",NA,3,2015170,"ConsecutiveCuts",2015
62,62,"Fabrizio Zanotti",NA,3,2014430,"ConsecutiveCuts",2015
98,98,"Felipe Aguilar",NA,2,2009110,"ConsecutiveCuts",2015
98,98,"Gaganjeet Bhullar",NA,2,2014030,"ConsecutiveCuts",2015
98,98,"Thomas Bjorn",NA,2,2015430,"ConsecutiveCuts",2015
98,98,"Steven Bowditch",NA,2,2015480,"ConsecutiveCuts",2015
98,98,"Keegan Bradley",NA,2,2015470,"ConsecutiveCuts",2015
98,98,"Mark Brown",NA,2,2013310,"ConsecutiveCuts",2015
98,98,"Danny Chia",NA,2,2010310,"ConsecutiveCuts",2015
98,98,"George Coetzee",NA,2,2015440,"ConsecutiveCuts",2015
98,98,"Austin Connelly",NA,2,2015310,"ConsecutiveCuts",2015
98,98,"Brendon de Jonge",NA,2,2015470,"ConsecutiveCuts",2015
98,98,"Victor Dubuisson",NA,2,2015430,"ConsecutiveCuts",2015
98,98,"Derek Ernst",NA,2,2015420,"ConsecutiveCuts",2015
98,98,"Matthew Fitzpatrick",NA,2,2014270,"ConsecutiveCuts",2015
