"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2008","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2008","ProximitytoHolefromOtherLocations_PLAYERNAME_2008","ProximitytoHolefromOtherLocations_ROUNDS_2008","ProximitytoHolefromOtherLocations_AVGDTP_2008","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2008","ProximitytoHolefromOtherLocations_OFSHOTS_2008","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2008","stat_name","year"
1,1,"Padraig Harrington",52,NA,2.725,50,21,"ProximitytoHolefromOtherLocations",2008
2,2,"KJ Choi",74,NA,5.259,83,95,"ProximitytoHolefromOtherLocations",2008
3,3,"Tim Wilkinson",95,NA,8.297,126,28,"ProximitytoHolefromOtherLocations",2008
4,4,"Retief Goosen",59,NA,4.481,67,76,"ProximitytoHolefromOtherLocations",2008
4,4,"Chris Riley",51,NA,5.444,81,2,"ProximitytoHolefromOtherLocations",2008
6,6,"John Mallinger",95,NA,10.724,157,61,"ProximitytoHolefromOtherLocations",2008
6,6,"Kevin Na",97,NA,13.173,193,13,"ProximitytoHolefromOtherLocations",2008
8,8,"Stewart Cink",87,NA,7.078,103,142,"ProximitytoHolefromOtherLocations",2008
8,8,"Vijay Singh",82,NA,5.904,86,51,"ProximitytoHolefromOtherLocations",2008
10,10,"Ernie Els",51,NA,3.488,50,112,"ProximitytoHolefromOtherLocations",2008
10,10,"Trevor Immelman",70,NA,6.305,90,181,"ProximitytoHolefromOtherLocations",2008
12,12,"Jim Furyk",95,NA,6.749,95,29,"ProximitytoHolefromOtherLocations",2008
12,12,"Brian Gay",102,NA,10.189,143,1,"ProximitytoHolefromOtherLocations",2008
12,12,"Mathew Goggin",91,NA,10.839,152,77,"ProximitytoHolefromOtherLocations",2008
12,12,"Shigeki Maruyama",50,NA,5.712,80,14,"ProximitytoHolefromOtherLocations",2008
12,12,"Steve Stricker",75,NA,6.997,99,12,"ProximitytoHolefromOtherLocations",2008
17,17,"Marco Dawson",64,NA,6.701,93,144,"ProximitytoHolefromOtherLocations",2008
17,17,"Greg Kraft",63,NA,5.61,78,64,"ProximitytoHolefromOtherLocations",2008
17,17,"Justin Leonard",101,NA,6.241,87,34,"ProximitytoHolefromOtherLocations",2008
17,17,"Peter Lonard",92,NA,11.449,158,107,"ProximitytoHolefromOtherLocations",2008
