"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2015","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2015","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2015","AverageApproachDistanceBogeyorWorse_ROUNDS_2015","AverageApproachDistanceBogeyorWorse_AVGYARDS_2015","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2015","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2015","stat_name","year"
1,1,"Jim Furyk",71,149.2,649915,121,"AverageApproachDistanceBogeyorWorse",2015
2,2,"Tyrone Van Aswegen",58,150.6,612630,113,"AverageApproachDistanceBogeyorWorse",2015
3,3,"Byron Smith",59,150.7,683745,126,"AverageApproachDistanceBogeyorWorse",2015
4,4,"Bill Lunde",50,150.8,624369,115,"AverageApproachDistanceBogeyorWorse",2015
5,5,"Patrick Reed",103,151.8,1142334,209,"AverageApproachDistanceBogeyorWorse",2015
6,6,"Ryan Palmer",80,152,793477,145,"AverageApproachDistanceBogeyorWorse",2015
7,7,"Bubba Watson",71,153,688382,125,"AverageApproachDistanceBogeyorWorse",2015
8,8,"Graham DeLaet",65,153.5,840223,152,"AverageApproachDistanceBogeyorWorse",2015
9,9,"Retief Goosen",81,153.9,1096778,198,"AverageApproachDistanceBogeyorWorse",2015
10,10,"Aaron Baddeley",76,154.4,1050822,189,"AverageApproachDistanceBogeyorWorse",2015
10,10,"Bo Van Pelt",81,154.4,1117274,201,"AverageApproachDistanceBogeyorWorse",2015
12,12,"Roger Sloan",56,154.9,774941,139,"AverageApproachDistanceBogeyorWorse",2015
13,13,"Adam Hadwin",95,155,1255361,225,"AverageApproachDistanceBogeyorWorse",2015
14,14,"Robert Streb",110,155.2,1352132,242,"AverageApproachDistanceBogeyorWorse",2015
15,15,"Andrew Svoboda",80,155.4,1499058,268,"AverageApproachDistanceBogeyorWorse",2015
16,16,"Charlie Beljan",76,155.5,1226098,219,"AverageApproachDistanceBogeyorWorse",2015
16,16,"Billy Horschel",99,155.5,1147330,205,"AverageApproachDistanceBogeyorWorse",2015
18,18,"Alex Prugh",84,155.6,1148094,205,"AverageApproachDistanceBogeyorWorse",2015
18,18,"Johnson Wagner",68,155.6,851672,152,"AverageApproachDistanceBogeyorWorse",2015
20,20,"Shawn Stefani",94,155.9,1408677,251,"AverageApproachDistanceBogeyorWorse",2015
21,21,"Martin Laird",77,156,1190778,212,"AverageApproachDistanceBogeyorWorse",2015
22,22,"Patrick Rodgers",57,156.1,741582,132,"AverageApproachDistanceBogeyorWorse",2015
22,22,"Justin Rose",69,156.1,668929,119,"AverageApproachDistanceBogeyorWorse",2015
24,24,"Steven Bowditch",103,156.3,1310637,233,"AverageApproachDistanceBogeyorWorse",2015
25,25,"Ricky Barnes",82,156.6,1076935,191,"AverageApproachDistanceBogeyorWorse",2015
25,25,"Chesson Hadley",101,156.6,1539033,273,"AverageApproachDistanceBogeyorWorse",2015
25,25,"Lee Westwood",56,156.6,603106,107,"AverageApproachDistanceBogeyorWorse",2015
28,28,"Brian Stuard",97,156.7,1286357,228,"AverageApproachDistanceBogeyorWorse",2015
29,29,"Hudson Swafford",97,157,1322385,234,"AverageApproachDistanceBogeyorWorse",2015
30,30,"Blayne Barber",76,157.1,1023429,181,"AverageApproachDistanceBogeyorWorse",2015
30,30,"Jonas Blixt",78,157.1,961599,170,"AverageApproachDistanceBogeyorWorse",2015
30,30,"Jason Bohn",95,157.1,1221587,216,"AverageApproachDistanceBogeyorWorse",2015
33,33,"Charles Howell III",105,157.2,1533682,271,"AverageApproachDistanceBogeyorWorse",2015
33,33,"Louis Oosthuizen",68,157.2,735867,130,"AverageApproachDistanceBogeyorWorse",2015
35,35,"Charl Schwartzel",67,157.3,719086,127,"AverageApproachDistanceBogeyorWorse",2015
36,36,"Ernie Els",57,157.5,697261,123,"AverageApproachDistanceBogeyorWorse",2015
36,36,"Tom Hoge",83,157.5,998204,176,"AverageApproachDistanceBogeyorWorse",2015
38,38,"Matt Every",73,157.7,1175097,207,"AverageApproachDistanceBogeyorWorse",2015
38,38,"Robert Garrigus",70,157.7,1118603,197,"AverageApproachDistanceBogeyorWorse",2015
38,38,"Troy Merritt",91,157.7,1294798,228,"AverageApproachDistanceBogeyorWorse",2015
38,38,"Scott Stallings",60,157.7,970690,171,"AverageApproachDistanceBogeyorWorse",2015
42,42,"Kevin Kisner",104,157.8,1346225,237,"AverageApproachDistanceBogeyorWorse",2015
43,43,"Chris Kirk",76,158,864733,152,"AverageApproachDistanceBogeyorWorse",2015
44,44,"Bryce Molder",91,158.1,1109828,195,"AverageApproachDistanceBogeyorWorse",2015
44,44,"Jordan Spieth",91,158.1,819808,144,"AverageApproachDistanceBogeyorWorse",2015
46,46,"Michael Thompson",83,158.3,1419098,249,"AverageApproachDistanceBogeyorWorse",2015
