"StrokesGainedTotal_RANKTHISWEEK_2010","StrokesGainedTotal_RANKLASTWEEK_2010","StrokesGainedTotal_PLAYERNAME_2010","StrokesGainedTotal_ROUNDS_2010","StrokesGainedTotal_AVERAGE_2010","StrokesGainedTotal_TOTALSGT_2010","StrokesGainedTotal_TOTALSGT2G_2010","StrokesGainedTotal_TOTALSGP_2010","StrokesGainedTotal_MEASUREDROUNDS_2010","stat_name","year"
1,1,"Steve Stricker",73,1.819,101.847,77.376,24.471,56,"StrokesGainedTotal",2010
2,2,"Retief Goosen",75,1.558,82.575,46.6,35.975,53,"StrokesGainedTotal",2010
3,3,"Jim Furyk",76,1.533,91.98,67.875,24.105,60,"StrokesGainedTotal",2010
4,4,"Matt Kuchar",97,1.43,107.263,58.643,48.62,75,"StrokesGainedTotal",2010
5,5,"Paul Casey",64,1.412,62.138,26.419,35.719,44,"StrokesGainedTotal",2010
6,6,"Luke Donald",71,1.41,74.705,28.573,46.132,53,"StrokesGainedTotal",2010
7,7,"Ernie Els",72,1.276,70.196,52.062,18.134,55,"StrokesGainedTotal",2010
8,8,"Bo Van Pelt",104,1.162,101.078,92.579,8.499,87,"StrokesGainedTotal",2010
9,9,"Justin Rose",78,1.149,80.452,63.42,17.032,70,"StrokesGainedTotal",2010
10,10,"Robert Allenby",76,1.114,67.968,59.629,8.339,61,"StrokesGainedTotal",2010
11,11,"Padraig Harrington",57,1.014,44.623,32.862,11.761,44,"StrokesGainedTotal",2010
12,12,"Charley Hoffman",85,0.933,71.811,63.789,8.022,77,"StrokesGainedTotal",2010
13,13,"Phil Mickelson",76,0.929,52.968,61.337,-8.369,57,"StrokesGainedTotal",2010
14,14,"Dustin Johnson",83,0.915,57.655,50.579,7.076,63,"StrokesGainedTotal",2010
15,15,"KJ Choi",82,0.912,55.606,52.301,3.305,61,"StrokesGainedTotal",2010
16,16,"Bill Haas",87,0.888,66.623,71.533,-4.91,75,"StrokesGainedTotal",2010
17,17,"JB Holmes",100,0.87,76.576,70.909,5.667,88,"StrokesGainedTotal",2010
