"ProximitytoHolefromFringe_RANKTHISWEEK_2007","ProximitytoHolefromFringe_RANKLASTWEEK_2007","ProximitytoHolefromFringe_PLAYERNAME_2007","ProximitytoHolefromFringe_ROUNDS_2007","ProximitytoHolefromFringe_AVGDTP_2007","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2007","ProximitytoHolefromFringe_OFSHOTS_2007","ProximitytoHolefromFringe_SCRAMBLINGRANK_2007","stat_name","year"
1,1,"Jim Furyk",84,NA,157.833,69,29,"ProximitytoHolefromFringe",2007
2,2,"KJ Choi",87,NA,158.25,65,9,"ProximitytoHolefromFringe",2007
2,2,"Tom Johnson",74,NA,151.25,63,157,"ProximitytoHolefromFringe",2007
4,4,"Brandt Snedeker",105,NA,183.167,73,17,"ProximitytoHolefromFringe",2007
4,4,"Tiger Woods",63,NA,80.917,32,20,"ProximitytoHolefromFringe",2007
6,6,"Aaron Baddeley",83,NA,153.833,60,25,"ProximitytoHolefromFringe",2007
6,6,"Stewart Cink",91,NA,181.583,70,107,"ProximitytoHolefromFringe",2007
6,6,"Retief Goosen",50,NA,109.583,42,154,"ProximitytoHolefromFringe",2007
6,6,"Matt Kuchar",85,NA,173.417,68,5,"ProximitytoHolefromFringe",2007
6,6,"Vijay Singh",102,NA,211.417,82,61,"ProximitytoHolefromFringe",2007
11,11,"Rich Barcelo",80,NA,205.667,78,130,"ProximitytoHolefromFringe",2007
11,11,"Ernie Els",59,NA,120.833,46,37,"ProximitytoHolefromFringe",2007
11,11,"Bob Heintz",85,NA,194.917,73,79,"ProximitytoHolefromFringe",2007
11,11,"Trevor Immelman",74,NA,113.583,43,123,"ProximitytoHolefromFringe",2007
11,11,"Corey Pavin",81,NA,268.333,102,14,"ProximitytoHolefromFringe",2007
11,11,"Steve Stricker",81,NA,197.167,73,21,"ProximitytoHolefromFringe",2007
17,17,"Jason Bohn",57,NA,167,60,143,"ProximitytoHolefromFringe",2007
17,17,"DJ Brigman",67,NA,162.083,59,185,"ProximitytoHolefromFringe",2007
17,17,"Tim Clark",66,NA,193.75,71,4,"ProximitytoHolefromFringe",2007
17,17,"John Rollins",102,NA,201,73,56,"ProximitytoHolefromFringe",2007
21,21,"Daniel Chopra",106,NA,320.167,112,31,"ProximitytoHolefromFringe",2007
21,21,"Steve Flesch",100,NA,285.167,100,82,"ProximitytoHolefromFringe",2007
21,21,"Robert Gamez",88,NA,271.583,96,191,"ProximitytoHolefromFringe",2007
21,21,"Jerry Kelly",101,NA,266.917,94,78,"ProximitytoHolefromFringe",2007
21,21,"Tom Lehman",62,NA,139.833,50,160,"ProximitytoHolefromFringe",2007
26,26,"Mark Calcavecchia",93,NA,241.5,82,117,"ProximitytoHolefromFringe",2007
26,26,"Paul Gow",70,NA,189.167,65,146,"ProximitytoHolefromFringe",2007
26,26,"Justin Leonard",95,NA,251.75,87,39,"ProximitytoHolefromFringe",2007
26,26,"Davis Love III",66,NA,192.25,65,174,"ProximitytoHolefromFringe",2007
26,26,"Jose Maria Olazabal",52,NA,134.833,46,140,"ProximitytoHolefromFringe",2007
26,26,"Tom Pernice Jr",104,NA,321.667,109,40,"ProximitytoHolefromFringe",2007
26,26,"Jeff Quinney",95,NA,289,99,146,"ProximitytoHolefromFringe",2007
26,26,"Jason Schultz",63,NA,175.75,61,43,"ProximitytoHolefromFringe",2007
26,26,"Jeff Sluman",60,NA,92.5,32,187,"ProximitytoHolefromFringe",2007
26,26,"Scott Verplank",82,NA,230.333,79,18,"ProximitytoHolefromFringe",2007
26,26,"Duffy Waldorf",69,NA,209.833,72,159,"ProximitytoHolefromFringe",2007
26,26,"Bubba Watson",80,NA,226.25,78,113,"ProximitytoHolefromFringe",2007
26,26,"Mike Weir",82,NA,234.583,80,70,"ProximitytoHolefromFringe",2007
39,39,"Chris DiMarco",79,NA,207,69,156,"ProximitytoHolefromFringe",2007
39,39,"Todd Hamilton",76,NA,182.583,61,189,"ProximitytoHolefromFringe",2007
39,39,"Steve Lowery",74,NA,227.083,75,125,"ProximitytoHolefromFringe",2007
39,39,"Jeff Maggert",79,NA,262.833,87,118,"ProximitytoHolefromFringe",2007
39,39,"Troy Matteson",87,NA,257.167,85,121,"ProximitytoHolefromFringe",2007
39,39,"Kevin Na",84,NA,332.25,110,3,"ProximitytoHolefromFringe",2007
39,39,"Sean OHair",98,NA,277.25,93,36,"ProximitytoHolefromFringe",2007
39,39,"Kenny Perry",83,NA,282.917,94,58,"ProximitytoHolefromFringe",2007
39,39,"Brett Quigley",79,NA,227.917,76,190,"ProximitytoHolefromFringe",2007
39,39,"Chris Stroud",66,NA,174.333,58,124,"ProximitytoHolefromFringe",2007
49,49,"Eric Axley",107,NA,292.75,95,139,"ProximitytoHolefromFringe",2007
49,49,"Gavin Coles",87,NA,251.333,82,10,"ProximitytoHolefromFringe",2007
49,49,"Steve Elkington",87,NA,283.75,92,32,"ProximitytoHolefromFringe",2007
49,49,"Bob Estes",88,NA,280.667,92,105,"ProximitytoHolefromFringe",2007
49,49,"Mathew Goggin",97,NA,287.833,94,90,"ProximitytoHolefromFringe",2007
49,49,"Padraig Harrington",64,NA,204.75,67,15,"ProximitytoHolefromFringe",2007
49,49,"Charley Hoffman",97,NA,355.917,117,175,"ProximitytoHolefromFringe",2007
49,49,"Ryuji Imada",104,NA,255.667,83,48,"ProximitytoHolefromFringe",2007
49,49,"Will Ma Kenzie",100,NA,314.25,102,128,"ProximitytoHolefromFringe",2007
49,49,"Rocco Mediate",72,NA,257.833,84,142,"ProximitytoHolefromFringe",2007
49,49,"Ryan Moore",92,NA,228.5,75,87,"ProximitytoHolefromFringe",2007
49,49,"Nick OHern",72,NA,210.417,69,120,"ProximitytoHolefromFringe",2007
49,49,"Arron Oberholser",69,NA,143.333,46,46,"ProximitytoHolefromFringe",2007
49,49,"Greg Owen",81,NA,252.083,82,181,"ProximitytoHolefromFringe",2007
49,49,"Tim Petrovic",106,NA,346.333,112,26,"ProximitytoHolefromFringe",2007
49,49,"Kyle Reifers",71,NA,219.167,72,165,"ProximitytoHolefromFringe",2007
49,49,"John Senden",97,NA,281.667,91,112,"ProximitytoHolefromFringe",2007
49,49,"Michael Sim",52,NA,192.417,63,8,"ProximitytoHolefromFringe",2007
49,49,"Heath Slocum",101,NA,358.25,116,16,"ProximitytoHolefromFringe",2007
49,49,"Kevin Sutherland",85,NA,232.417,76,101,"ProximitytoHolefromFringe",2007
49,49,"DJ Trahan",99,NA,312.917,101,63,"ProximitytoHolefromFringe",2007
49,49,"Bob Tway",103,NA,309.25,100,106,"ProximitytoHolefromFringe",2007
71,71,"Jonathan Byrd",73,NA,217.583,68,69,"ProximitytoHolefromFringe",2007
71,71,"Luke Donald",69,NA,140.583,44,97,"ProximitytoHolefromFringe",2007
71,71,"Brian Gay",107,NA,362.583,114,19,"ProximitytoHolefromFringe",2007
71,71,"Nathan Green",103,NA,312.417,99,22,"ProximitytoHolefromFringe",2007
71,71,"Lee Janzen",66,NA,152.833,48,140,"ProximitytoHolefromFringe",2007
71,71,"Parker McLachlin",83,NA,271,85,56,"ProximitytoHolefromFringe",2007
71,71,"Carl Pettersson",111,NA,282,90,93,"ProximitytoHolefromFringe",2007
71,71,"Dicky Pride",71,NA,232.667,73,26,"ProximitytoHolefromFringe",2007
71,71,"Tag Ridings",52,NA,178.333,56,94,"ProximitytoHolefromFringe",2007
71,71,"Charles Warren",101,NA,330.833,105,157,"ProximitytoHolefromFringe",2007
81,81,"Michael Allen",74,NA,242,75,153,"ProximitytoHolefromFringe",2007
81,81,"Craig Barlow",52,NA,110.25,34,110,"ProximitytoHolefromFringe",2007
81,81,"Andrew Buckle",77,NA,270.25,83,91,"ProximitytoHolefromFringe",2007
81,81,"Ben Curtis",80,NA,190.75,59,176,"ProximitytoHolefromFringe",2007
81,81,"Marco Dawson",73,NA,274.417,85,44,"ProximitytoHolefromFringe",2007
81,81,"Ken Duke",112,NA,356.833,111,23,"ProximitytoHolefromFringe",2007
81,81,"Jeff Gove",103,NA,288.5,88,151,"ProximitytoHolefromFringe",2007
81,81,"JJ Henry",86,NA,268,83,184,"ProximitytoHolefromFringe",2007
81,81,"Charles Howell III",89,NA,230.583,71,133,"ProximitytoHolefromFringe",2007
