"RyderCupPoints_RANKTHISWEEK_2013","RyderCupPoints_RANKLASTWEEK_2013","RyderCupPoints_PLAYERNAME_2013","RyderCupPoints_EVENTS_2013","RyderCupPoints_POINTS_2013","stat_name","year"
1,1,"Phil Mickelson",4,2172,"RyderCupPoints",2013
2,2,"Jason Dufner",4,1883.199,"RyderCupPoints",2013
3,3,"Jim Furyk",4,921.04,"RyderCupPoints",2013
4,4,"Tiger Woods",4,676.623,"RyderCupPoints",2013
5,5,"Brandt Snedeker",4,551.697,"RyderCupPoints",2013
6,6,"Zach Johnson",4,496.827,"RyderCupPoints",2013
7,7,"Hunter Mahan",4,483.288,"RyderCupPoints",2013
8,8,"Matt Kuchar",4,462.226,"RyderCupPoints",2013
9,9,"Steve Stricker",3,432.712,"RyderCupPoints",2013
10,10,"David Toms",3,404.6,"RyderCupPoints",2013
11,11,"Scott Piercy",4,322.32,"RyderCupPoints",2013
12,12,"John Huh",4,307.591,"RyderCupPoints",2013
13,13,"Rickie Fowler",4,293.697,"RyderCupPoints",2013
14,14,"Billy Horschel",3,291.406,"RyderCupPoints",2013
15,15,"Keegan Bradley",4,206.53,"RyderCupPoints",2013
16,16,"Bo Van Pelt",4,201.14,"RyderCupPoints",2013
17,17,"Fred Couples",2,184.851,"RyderCupPoints",2013
18,18,"Boo Weekley",3,152.863,"RyderCupPoints",2013
19,19,"Kevin Streelman",4,150.039,"RyderCupPoints",2013
20,20,"Bill Haas",4,148.67,"RyderCupPoints",2013
21,21,"Nick Watney",4,145.6,"RyderCupPoints",2013
22,22,"Roberto Castro",1,132.786,"RyderCupPoints",2013
23,23,"Michael Thompson",4,131.04,"RyderCupPoints",2013
24,24,"Webb Simpson",4,125.081,"RyderCupPoints",2013
25,25,"Justin Leonard",1,121.381,"RyderCupPoints",2013
26,26,"Stewart Cink",4,112.913,"RyderCupPoints",2013
27,27,"Harris English",2,110.743,"RyderCupPoints",2013
28,28,"Bubba Watson",4,105.977,"RyderCupPoints",2013
29,29,"Robert Garrigus",4,90.75,"RyderCupPoints",2013
30,30,"Ryan Moore",4,88.151,"RyderCupPoints",2013
31,31,"DA Points",4,60,"RyderCupPoints",2013
32,32,"Josh Teater",3,57.307,"RyderCupPoints",2013
33,33,"Charley Hoffman",2,56.961,"RyderCupPoints",2013
34,34,"Kevin Chappell",2,47.246,"RyderCupPoints",2013
34,34,"Edward Loar",1,47.246,"RyderCupPoints",2013
36,36,"Scott Stallings",3,40.346,"RyderCupPoints",2013
37,37,"Bud Cauley",1,39.251,"RyderCupPoints",2013
38,38,"Jerry Kelly",1,37.324,"RyderCupPoints",2013
38,38,"Scott Langley",1,37.324,"RyderCupPoints",2013
40,40,"John Peterson",2,35.725,"RyderCupPoints",2013
41,41,"Ken Duke",2,35.385,"RyderCupPoints",2013
42,42,"Ben Curtis",3,34.435,"RyderCupPoints",2013
43,43,"Brian Gay",2,32,"RyderCupPoints",2013
44,44,"JJ Henry",1,28,"RyderCupPoints",2013
45,45,"Jordan Spieth",3,24.641,"RyderCupPoints",2013
46,46,"Matt Bettencourt",1,23.446,"RyderCupPoints",2013
47,47,"Nicholas Thompson",1,21.485,"RyderCupPoints",2013
48,48,"Lucas Glover",4,20.8,"RyderCupPoints",2013
49,49,"Shawn Stefani",1,20.111,"RyderCupPoints",2013
50,50,"Tom Lehman",1,20.077,"RyderCupPoints",2013
50,50,"Mark OMeara",2,20.077,"RyderCupPoints",2013
50,50,"Johnson Wagner",1,20.077,"RyderCupPoints",2013
53,53,"Luke Guthrie",3,18.875,"RyderCupPoints",2013
53,53,"John Merrick",2,18.875,"RyderCupPoints",2013
53,53,"Ryan Palmer",2,18.875,"RyderCupPoints",2013
56,56,"Jim Herman",1,17.965,"RyderCupPoints",2013
56,56,"Kevin Sutherland",1,17.965,"RyderCupPoints",2013
58,58,"Kevin Na",1,17.92,"RyderCupPoints",2013
59,59,"Todd Hamilton",1,17.864,"RyderCupPoints",2013
59,59,"Russell Henley",4,17.864,"RyderCupPoints",2013
61,61,"Kyle Stanley",3,16.523,"RyderCupPoints",2013
62,62,"Chris Kirk",1,16.3,"RyderCupPoints",2013
63,63,"Tommy Gainey",1,15.7,"RyderCupPoints",2013
64,64,"Gary Woodland",1,14.6,"RyderCupPoints",2013
