"FirstTeeEarlyRound4ScoringAverage_RANKTHISWEEK_2014","FirstTeeEarlyRound4ScoringAverage_RANKLASTWEEK_2014","FirstTeeEarlyRound4ScoringAverage_PLAYERNAME_2014","FirstTeeEarlyRound4ScoringAverage__2014","FirstTeeEarlyRound4ScoringAverage_AVG_2014","FirstTeeEarlyRound4ScoringAverage_TOTALSTROKES_2014","FirstTeeEarlyRound4ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",NA,65,65,1,"FirstTeeEarlyRound4ScoringAverage",2014
2,2,"Bud Cauley",NA,66,132,2,"FirstTeeEarlyRound4ScoringAverage",2014
3,3,"Phil Mickelson",NA,66.75,267,4,"FirstTeeEarlyRound4ScoringAverage",2014
4,4,"Hudson Swafford",NA,67.33,202,3,"FirstTeeEarlyRound4ScoringAverage",2014
5,5,"Will Ma Kenzie",NA,67.5,135,2,"FirstTeeEarlyRound4ScoringAverage",2014
5,5,"John Peterson",NA,67.5,135,2,"FirstTeeEarlyRound4ScoringAverage",2014
7,7,"Henrik Stenson",NA,67.8,339,5,"FirstTeeEarlyRound4ScoringAverage",2014
8,8,"Brad Fritsch",NA,68,204,3,"FirstTeeEarlyRound4ScoringAverage",2014
9,9,"Stuart Appleby",NA,68.2,341,5,"FirstTeeEarlyRound4ScoringAverage",2014
10,10,"Matt Kuchar",NA,68.33,205,3,"FirstTeeEarlyRound4ScoringAverage",2014
11,11,"Charlie Beljan",NA,68.5,137,2,"FirstTeeEarlyRound4ScoringAverage",2014
11,11,"Kevin Kisner",NA,68.5,548,8,"FirstTeeEarlyRound4ScoringAverage",2014
13,13,"Charl Schwartzel",NA,68.8,344,5,"FirstTeeEarlyRound4ScoringAverage",2014
14,14,"Luke Guthrie",NA,68.83,413,6,"FirstTeeEarlyRound4ScoringAverage",2014
14,14,"Jordan Spieth",NA,68.83,413,6,"FirstTeeEarlyRound4ScoringAverage",2014
16,16,"Patrick Reed",NA,68.86,482,7,"FirstTeeEarlyRound4ScoringAverage",2014
17,17,"Charley Hoffman",NA,69,552,8,"FirstTeeEarlyRound4ScoringAverage",2014
17,17,"Brooks Koepka",NA,69,414,6,"FirstTeeEarlyRound4ScoringAverage",2014
17,17,"Danny Lee",NA,69,414,6,"FirstTeeEarlyRound4ScoringAverage",2014
17,17,"Andres Romero",NA,69,345,5,"FirstTeeEarlyRound4ScoringAverage",2014
17,17,"Adam Scott",NA,69,69,1,"FirstTeeEarlyRound4ScoringAverage",2014
17,17,"David Toms",NA,69,207,3,"FirstTeeEarlyRound4ScoringAverage",2014
23,23,"Harris English",NA,69.18,761,11,"FirstTeeEarlyRound4ScoringAverage",2014
24,24,"David Hearn",NA,69.2,692,10,"FirstTeeEarlyRound4ScoringAverage",2014
25,25,"Graham DeLaet",NA,69.25,277,4,"FirstTeeEarlyRound4ScoringAverage",2014
25,25,"Derek Ernst",NA,69.25,277,4,"FirstTeeEarlyRound4ScoringAverage",2014
27,27,"Rickie Fowler",NA,69.33,208,3,"FirstTeeEarlyRound4ScoringAverage",2014
28,28,"Ben Curtis",NA,69.4,347,5,"FirstTeeEarlyRound4ScoringAverage",2014
29,29,"Angel Cabrera",NA,69.5,278,4,"FirstTeeEarlyRound4ScoringAverage",2014
29,29,"Dustin Johnson",NA,69.5,139,2,"FirstTeeEarlyRound4ScoringAverage",2014
29,29,"Scott Langley",NA,69.5,556,8,"FirstTeeEarlyRound4ScoringAverage",2014
29,29,"Bryce Molder",NA,69.5,417,6,"FirstTeeEarlyRound4ScoringAverage",2014
29,29,"Ted Potter Jr",NA,69.5,278,4,"FirstTeeEarlyRound4ScoringAverage",2014
34,34,"Webb Simpson",NA,69.56,626,9,"FirstTeeEarlyRound4ScoringAverage",2014
35,35,"KJ Choi",NA,69.63,557,8,"FirstTeeEarlyRound4ScoringAverage",2014
35,35,"Ernie Els",NA,69.63,557,8,"FirstTeeEarlyRound4ScoringAverage",2014
35,35,"Chris Kirk",NA,69.63,557,8,"FirstTeeEarlyRound4ScoringAverage",2014
35,35,"John Senden",NA,69.63,557,8,"FirstTeeEarlyRound4ScoringAverage",2014
39,39,"Jonas Blixt",NA,69.67,209,3,"FirstTeeEarlyRound4ScoringAverage",2014
39,39,"George McNeill",NA,69.67,418,6,"FirstTeeEarlyRound4ScoringAverage",2014
39,39,"Lee Westwood",NA,69.67,418,6,"FirstTeeEarlyRound4ScoringAverage",2014
42,42,"Kevin Na",NA,69.75,558,8,"FirstTeeEarlyRound4ScoringAverage",2014
43,43,"Kevin Chappell",NA,69.8,698,10,"FirstTeeEarlyRound4ScoringAverage",2014
43,43,"Charlie Wi",NA,69.8,349,5,"FirstTeeEarlyRound4ScoringAverage",2014
45,45,"Greg Chalmers",NA,69.83,419,6,"FirstTeeEarlyRound4ScoringAverage",2014
46,46,"Charles Howell III",NA,69.9,699,10,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Robert Allenby",NA,70,280,4,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Steven Bowditch",NA,70,420,6,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Jonathan Byrd",NA,70,420,6,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Martin Flores",NA,70,490,7,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Russell Henley",NA,70,490,7,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Jerry Kelly",NA,70,560,8,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Ben Martin",NA,70,280,4,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Scott Stallings",NA,70,350,5,"FirstTeeEarlyRound4ScoringAverage",2014
47,47,"Bubba Watson",NA,70,280,4,"FirstTeeEarlyRound4ScoringAverage",2014
56,56,"Billy Horschel",NA,70.1,701,10,"FirstTeeEarlyRound4ScoringAverage",2014
57,57,"Jeff Overton",NA,70.14,491,7,"FirstTeeEarlyRound4ScoringAverage",2014
58,58,"Billy Hurley III",NA,70.17,421,6,"FirstTeeEarlyRound4ScoringAverage",2014
59,59,"Ryo Ishikawa",NA,70.2,351,5,"FirstTeeEarlyRound4ScoringAverage",2014
59,59,"Hunter Mahan",NA,70.2,351,5,"FirstTeeEarlyRound4ScoringAverage",2014
59,59,"Pat Perez",NA,70.2,351,5,"FirstTeeEarlyRound4ScoringAverage",2014
62,62,"Jason Kokrak",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2014
62,62,"Richard Lee",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2014
62,62,"Louis Oosthuizen",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2014
65,65,"Camilo Villegas",NA,70.27,773,11,"FirstTeeEarlyRound4ScoringAverage",2014
66,66,"Paul Casey",NA,70.29,492,7,"FirstTeeEarlyRound4ScoringAverage",2014
67,67,"Brendon Todd",NA,70.3,703,10,"FirstTeeEarlyRound4ScoringAverage",2014
68,68,"Matt Every",NA,70.33,422,6,"FirstTeeEarlyRound4ScoringAverage",2014
69,69,"Russell Knox",NA,70.36,774,11,"FirstTeeEarlyRound4ScoringAverage",2014
70,70,"James Driscoll",NA,70.4,352,5,"FirstTeeEarlyRound4ScoringAverage",2014
70,70,"Graeme McDowell",NA,70.4,352,5,"FirstTeeEarlyRound4ScoringAverage",2014
72,72,"Keegan Bradley",NA,70.5,282,4,"FirstTeeEarlyRound4ScoringAverage",2014
