"EarlyLowestRound_RANKTHISWEEK_2015","EarlyLowestRound_RANKLASTWEEK_2015","EarlyLowestRound_PLAYERNAME_2015","EarlyLowestRound__2015","EarlyLowestRound_LOWRND_2015","stat_name","year"
1,1,"Jason Bohn",NA,61,"EarlyLowestRound",2015
1,1,"Jason Day",NA,61,"EarlyLowestRound",2015
1,1,"Troy Merritt",NA,61,"EarlyLowestRound",2015
1,1,"Brandt Snedeker",NA,61,"EarlyLowestRound",2015
5,5,"Jonas Blixt",NA,62,"EarlyLowestRound",2015
5,5,"Steven Bowditch",NA,62,"EarlyLowestRound",2015
5,5,"Scott Brown",NA,62,"EarlyLowestRound",2015
5,5,"Paul Casey",NA,62,"EarlyLowestRound",2015
5,5,"Erik Compton",NA,62,"EarlyLowestRound",2015
5,5,"JB Holmes",NA,62,"EarlyLowestRound",2015
5,5,"Dustin Johnson",NA,62,"EarlyLowestRound",2015
5,5,"Jerry Kelly",NA,62,"EarlyLowestRound",2015
5,5,"Chris Kirk",NA,62,"EarlyLowestRound",2015
5,5,"Scott Langley",NA,62,"EarlyLowestRound",2015
5,5,"William McGirt",NA,62,"EarlyLowestRound",2015
5,5,"Carlos Ortiz",NA,62,"EarlyLowestRound",2015
5,5,"Webb Simpson",NA,62,"EarlyLowestRound",2015
5,5,"Jordan Spieth",NA,62,"EarlyLowestRound",2015
5,5,"Jimmy Walker",NA,62,"EarlyLowestRound",2015
20,20,"Charlie Beljan",NA,63,"EarlyLowestRound",2015
20,20,"Jonathan Byrd",NA,63,"EarlyLowestRound",2015
20,20,"Chad Campbell",NA,63,"EarlyLowestRound",2015
20,20,"Stewart Cink",NA,63,"EarlyLowestRound",2015
20,20,"Jon Curran",NA,63,"EarlyLowestRound",2015
20,20,"Ben Curtis",NA,63,"EarlyLowestRound",2015
20,20,"Glen Day",NA,63,"EarlyLowestRound",2015
20,20,"Brendon de Jonge",NA,63,"EarlyLowestRound",2015
20,20,"Ken Duke",NA,63,"EarlyLowestRound",2015
20,20,"Derek Ernst",NA,63,"EarlyLowestRound",2015
20,20,"Retief Goosen",NA,63,"EarlyLowestRound",2015
20,20,"Adam Hadwin",NA,63,"EarlyLowestRound",2015
20,20,"Russell Henley",NA,63,"EarlyLowestRound",2015
20,20,"Jim Herman",NA,63,"EarlyLowestRound",2015
20,20,"Charley Hoffman",NA,63,"EarlyLowestRound",2015
20,20,"Max Homa",NA,63,"EarlyLowestRound",2015
20,20,"Ryo Ishikawa",NA,63,"EarlyLowestRound",2015
20,20,"Hiroshi Iwata",NA,63,"EarlyLowestRound",2015
20,20,"Zach Johnson",NA,63,"EarlyLowestRound",2015
20,20,"Matt Jones",NA,63,"EarlyLowestRound",2015
20,20,"Colt Knost",NA,63,"EarlyLowestRound",2015
20,20,"Spencer Levin",NA,63,"EarlyLowestRound",2015
20,20,"Hideki Matsuyama",NA,63,"EarlyLowestRound",2015
20,20,"George McNeill",NA,63,"EarlyLowestRound",2015
20,20,"Ryan Palmer",NA,63,"EarlyLowestRound",2015
20,20,"Scott Piercy",NA,63,"EarlyLowestRound",2015
20,20,"Scott Pinckney",NA,63,"EarlyLowestRound",2015
20,20,"Michael Putnam",NA,63,"EarlyLowestRound",2015
20,20,"Jonathan Randolph",NA,63,"EarlyLowestRound",2015
20,20,"Patrick Rodgers",NA,63,"EarlyLowestRound",2015
20,20,"Justin Rose",NA,63,"EarlyLowestRound",2015
20,20,"Marcel Siem",NA,63,"EarlyLowestRound",2015
20,20,"Henrik Stenson",NA,63,"EarlyLowestRound",2015
20,20,"Kevin Streelman",NA,63,"EarlyLowestRound",2015
20,20,"Vaughn Taylor",NA,63,"EarlyLowestRound",2015
20,20,"Justin Thomas",NA,63,"EarlyLowestRound",2015
20,20,"Camilo Villegas",NA,63,"EarlyLowestRound",2015
20,20,"Gary Woodland",NA,63,"EarlyLowestRound",2015
58,58,"Blake Adams",NA,64,"EarlyLowestRound",2015
58,58,"Stuart Appleby",NA,64,"EarlyLowestRound",2015
58,58,"Aaron Baddeley",NA,64,"EarlyLowestRound",2015
58,58,"Blayne Barber",NA,64,"EarlyLowestRound",2015
58,58,"Daniel Berger",NA,64,"EarlyLowestRound",2015
58,58,"Zac Blair",NA,64,"EarlyLowestRound",2015
58,58,"Keegan Bradley",NA,64,"EarlyLowestRound",2015
58,58,"Kevin Chappell",NA,64,"EarlyLowestRound",2015
58,58,"Brian Davis",NA,64,"EarlyLowestRound",2015
58,58,"Graham DeLaet",NA,64,"EarlyLowestRound",2015
58,58,"Jason Dufner",NA,64,"EarlyLowestRound",2015
58,58,"Tony Finau",NA,64,"EarlyLowestRound",2015
58,58,"Martin Flores",NA,64,"EarlyLowestRound",2015
58,58,"Jim Furyk",NA,64,"EarlyLowestRound",2015
