"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2015","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2015","BirdieorBetterPercentageLeftRough_PLAYERNAME_2015","BirdieorBetterPercentageLeftRough_ROUNDS_2015","BirdieorBetterPercentageLeftRough_Pct_2015","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2015","BirdieorBetterPercentageLeftRough_TOTALHOLES_2015","stat_name","year"
1,1,"Jordan Spieth",91,22.86,24,105,"BirdieorBetterPercentageLeftRough",2015
2,2,"Scott Piercy",90,22.68,22,97,"BirdieorBetterPercentageLeftRough",2015
3,3,"Brooks Koepka",84,22.4,28,125,"BirdieorBetterPercentageLeftRough",2015
4,4,"Jason Day",75,22.14,29,131,"BirdieorBetterPercentageLeftRough",2015
5,5,"Kevin Na",98,21.83,31,142,"BirdieorBetterPercentageLeftRough",2015
6,6,"Martin Flores",95,21.43,36,168,"BirdieorBetterPercentageLeftRough",2015
7,7,"James Hahn",94,21.1,23,109,"BirdieorBetterPercentageLeftRough",2015
7,7,"Ryan Palmer",80,21.1,23,109,"BirdieorBetterPercentageLeftRough",2015
9,9,"Tom Hoge",83,21,21,100,"BirdieorBetterPercentageLeftRough",2015
10,10,"Phil Mickelson",70,20.83,25,120,"BirdieorBetterPercentageLeftRough",2015
10,10,"Will Wilcox",58,20.83,10,48,"BirdieorBetterPercentageLeftRough",2015
12,12,"Martin Laird",77,20.56,22,107,"BirdieorBetterPercentageLeftRough",2015
13,13,"Charles Howell III",105,20.41,30,147,"BirdieorBetterPercentageLeftRough",2015
14,14,"Camilo Villegas",83,20.39,31,152,"BirdieorBetterPercentageLeftRough",2015
15,15,"George McNeill",93,20.33,25,123,"BirdieorBetterPercentageLeftRough",2015
16,16,"Alex Cejka",94,20.14,29,144,"BirdieorBetterPercentageLeftRough",2015
17,17,"Paul Casey",87,20,27,135,"BirdieorBetterPercentageLeftRough",2015
17,17,"Louis Oosthuizen",68,20,18,90,"BirdieorBetterPercentageLeftRough",2015
19,19,"Patrick Reed",103,19.87,30,151,"BirdieorBetterPercentageLeftRough",2015
20,20,"Adam Hadwin",95,19.83,23,116,"BirdieorBetterPercentageLeftRough",2015
21,21,"Brice Garnett",81,19.57,18,92,"BirdieorBetterPercentageLeftRough",2015
22,22,"Sam Saunders",83,19.54,17,87,"BirdieorBetterPercentageLeftRough",2015
23,23,"Matt Jones",89,19.49,23,118,"BirdieorBetterPercentageLeftRough",2015
24,24,"Jason Kokrak",88,19.08,33,173,"BirdieorBetterPercentageLeftRough",2015
