"GIRPercentageLess100yards_RANKTHISWEEK_2007","GIRPercentageLess100yards_RANKLASTWEEK_2007","GIRPercentageLess100yards_PLAYERNAME_2007","GIRPercentageLess100yards_ROUNDS_2007","GIRPercentageLess100yards_Pct_2007","GIRPercentageLess100yards_GREENSHIT_2007","GIRPercentageLess100yards_TOTALHOLES_2007","GIRPercentageLess100yards_RELATIVETOPAR_2007","stat_name","year"
1,1,"Jose Maria Olazabal",52,93.4,99,106,-0.56,"GIRPercentageLess100yards",2007
2,2,"Jeff Sluman",60,91.74,111,121,-0.46,"GIRPercentageLess100yards",2007
3,3,"Jeff Gove",103,90.25,287,318,-0.47,"GIRPercentageLess100yards",2007
4,4,"Richard Johnson",93,90.24,185,205,-0.43,"GIRPercentageLess100yards",2007
5,5,"Steve Stricker",81,90.2,184,204,-0.57,"GIRPercentageLess100yards",2007
6,6,"Kent Jones",97,89.75,254,283,-0.5,"GIRPercentageLess100yards",2007
7,7,"Joey Sindelar",75,89.42,186,208,-0.47,"GIRPercentageLess100yards",2007
8,8,"Justin Leonard",95,89.19,198,222,-0.43,"GIRPercentageLess100yards",2007
9,9,"Jason Bohn",57,89.17,140,157,-0.61,"GIRPercentageLess100yards",2007
9,9,"JJ Henry",86,89.17,214,240,-0.54,"GIRPercentageLess100yards",2007
11,11,"Robert Allenby",90,89.08,204,229,-0.56,"GIRPercentageLess100yards",2007
11,11,"Stewart Cink",91,89.08,204,229,-0.55,"GIRPercentageLess100yards",2007
13,13,"Stephen Ames",81,88.95,169,190,-0.49,"GIRPercentageLess100yards",2007
14,14,"Lee Janzen",66,88.89,152,171,-0.44,"GIRPercentageLess100yards",2007
15,15,"Tiger Woods",63,88.81,127,143,-0.63,"GIRPercentageLess100yards",2007
16,16,"Adam Scott",69,88.55,201,227,-0.6,"GIRPercentageLess100yards",2007
17,17,"Ernie Els",59,88.46,138,156,-0.61,"GIRPercentageLess100yards",2007
18,18,"Rich Beem",89,88.38,213,241,-0.54,"GIRPercentageLess100yards",2007
19,19,"Jonathan Byrd",73,88.37,190,215,-0.56,"GIRPercentageLess100yards",2007
20,20,"Cameron Beckman",96,88.22,262,297,-0.49,"GIRPercentageLess100yards",2007
21,21,"Jim Furyk",84,88.17,164,186,-0.54,"GIRPercentageLess100yards",2007
22,22,"Freddie Jacobson",70,88.07,192,218,-0.51,"GIRPercentageLess100yards",2007
23,23,"Mark Hensby",81,87.9,218,248,-0.45,"GIRPercentageLess100yards",2007
24,24,"Rich Barcelo",80,87.82,209,238,-0.5,"GIRPercentageLess100yards",2007
25,25,"Brett Wetterich",88,87.77,244,278,-0.57,"GIRPercentageLess100yards",2007
26,26,"Billy Mayfair",98,87.76,215,245,-0.54,"GIRPercentageLess100yards",2007
27,27,"Brandt Snedeker",105,87.71,207,236,-0.5,"GIRPercentageLess100yards",2007
28,28,"Kirk Triplett",77,87.5,196,224,-0.46,"GIRPercentageLess100yards",2007
29,29,"Shigeki Maruyama",84,87.45,216,247,-0.5,"GIRPercentageLess100yards",2007
30,30,"Michael Putnam",96,87.26,226,259,-0.5,"GIRPercentageLess100yards",2007
31,31,"Joe Durant",88,87.23,239,274,-0.44,"GIRPercentageLess100yards",2007
31,31,"John Senden",97,87.23,246,282,-0.58,"GIRPercentageLess100yards",2007
33,33,"Steve Flesch",100,87.14,244,280,-0.5,"GIRPercentageLess100yards",2007
34,34,"Anders Hansen",55,87.1,81,93,-0.52,"GIRPercentageLess100yards",2007
35,35,"Mathew Goggin",97,87.07,276,317,-0.5,"GIRPercentageLess100yards",2007
36,36,"Matt Kuchar",85,87.02,181,208,-0.51,"GIRPercentageLess100yards",2007
37,37,"Aaron Baddeley",83,87.01,201,231,-0.6,"GIRPercentageLess100yards",2007
38,38,"John Daly",59,86.9,199,229,-0.53,"GIRPercentageLess100yards",2007
39,39,"Johnson Wagner",97,86.82,257,296,-0.49,"GIRPercentageLess100yards",2007
40,40,"Geoff Ogilvy",84,86.78,210,242,-0.5,"GIRPercentageLess100yards",2007
41,41,"Vijay Singh",102,86.73,294,339,-0.53,"GIRPercentageLess100yards",2007
42,42,"Steve Lowery",74,86.67,221,255,-0.47,"GIRPercentageLess100yards",2007
42,42,"Justin Rose",63,86.67,104,120,-0.54,"GIRPercentageLess100yards",2007
44,44,"Arron Oberholser",69,86.59,142,164,-0.47,"GIRPercentageLess100yards",2007
45,45,"Tim Petrovic",106,86.54,270,312,-0.55,"GIRPercentageLess100yards",2007
46,46,"Alex Cejka",80,86.46,249,288,-0.51,"GIRPercentageLess100yards",2007
47,47,"Bubba Dickerson",51,86.41,159,184,-0.48,"GIRPercentageLess100yards",2007
48,48,"Craig Barlow",52,86.34,139,161,-0.5,"GIRPercentageLess100yards",2007
49,49,"Stephen Leaney",82,86.22,169,196,-0.44,"GIRPercentageLess100yards",2007
50,50,"KJ Choi",87,86.18,187,217,-0.6,"GIRPercentageLess100yards",2007
51,51,"Ryuji Imada",104,86.17,243,282,-0.55,"GIRPercentageLess100yards",2007
52,52,"Sergio Garcia",68,86.13,149,173,-0.54,"GIRPercentageLess100yards",2007
53,53,"DJ Trahan",99,86.12,304,353,-0.45,"GIRPercentageLess100yards",2007
54,54,"Chris Riley",59,86.08,136,158,-0.42,"GIRPercentageLess100yards",2007
55,55,"Shaun Micheel",91,86.03,197,229,-0.38,"GIRPercentageLess100yards",2007
56,56,"Charlie Wi",90,86.01,209,243,-0.61,"GIRPercentageLess100yards",2007
57,57,"Stuart Appleby",74,86,172,200,-0.49,"GIRPercentageLess100yards",2007
58,58,"Michael Allen",74,85.98,184,214,-0.49,"GIRPercentageLess100yards",2007
59,59,"Hunter Mahan",91,85.97,190,221,-0.58,"GIRPercentageLess100yards",2007
60,60,"Steve Wheatcroft",73,85.95,208,242,-0.49,"GIRPercentageLess100yards",2007
61,61,"Heath Slocum",101,85.92,238,277,-0.51,"GIRPercentageLess100yards",2007
62,62,"Tim Herron",98,85.82,242,282,-0.43,"GIRPercentageLess100yards",2007
62,62,"Rod Pampling",92,85.82,230,268,-0.57,"GIRPercentageLess100yards",2007
64,64,"Tom Lehman",62,85.81,127,148,-0.48,"GIRPercentageLess100yards",2007
65,65,"Mark Calcavecchia",93,85.77,229,267,-0.59,"GIRPercentageLess100yards",2007
66,66,"Bo Van Pelt",104,85.76,283,330,-0.51,"GIRPercentageLess100yards",2007
67,67,"Michael Boyd",61,85.71,138,161,-0.34,"GIRPercentageLess100yards",2007
67,67,"Troy Matteson",87,85.71,222,259,-0.53,"GIRPercentageLess100yards",2007
67,67,"John Merrick",92,85.71,228,266,-0.48,"GIRPercentageLess100yards",2007
70,70,"Nathan Green",103,85.61,232,271,-0.58,"GIRPercentageLess100yards",2007
71,71,"Bob Heintz",85,85.58,178,208,-0.54,"GIRPercentageLess100yards",2007
72,72,"Jason Dufner",100,85.56,237,277,-0.47,"GIRPercentageLess100yards",2007
73,73,"Paul Gow",70,85.49,165,193,-0.45,"GIRPercentageLess100yards",2007
74,74,"Jeff Brehaut",59,85.47,153,179,-0.46,"GIRPercentageLess100yards",2007
75,75,"Craig Kanada",109,85.44,223,261,-0.42,"GIRPercentageLess100yards",2007
76,76,"Chris DiMarco",79,85.43,170,199,-0.44,"GIRPercentageLess100yards",2007
77,77,"Paul Goydos",60,85.37,105,123,-0.45,"GIRPercentageLess100yards",2007
78,78,"Jerry Kelly",101,85.32,186,218,-0.51,"GIRPercentageLess100yards",2007
79,79,"Sean OHair",98,85.27,272,319,-0.56,"GIRPercentageLess100yards",2007
80,80,"Woody Austin",95,85.23,225,264,-0.48,"GIRPercentageLess100yards",2007
81,81,"Briny Baird",115,85.19,299,351,-0.49,"GIRPercentageLess100yards",2007
82,82,"JB Holmes",71,85.03,284,334,-0.5,"GIRPercentageLess100yards",2007
83,83,"Tom Byrum",50,85,102,120,-0.49,"GIRPercentageLess100yards",2007
84,84,"Ian Poulter",63,84.96,96,113,-0.54,"GIRPercentageLess100yards",2007
