"PresidentsCupInternational_RANKTHISWEEK_2016","PresidentsCupInternational_RANKLASTWEEK_2016","PresidentsCupInternational_PLAYERNAME_2016","PresidentsCupInternational_EVENTS_2016","PresidentsCupInternational_AVGPOINTS_2016","PresidentsCupInternational_TOTALPOINTS_2016","PresidentsCupInternational_POINTSLOST_2016","PresidentsCupInternational_POINTSGAINED_2016","stat_name","year"
1,1,"Jason Day",41,11.9,488.01,-123.6,174.03,"PresidentsCupInternational",2016
2,2,"Adam Scott",43,6.92,297.49,-69.5,180.3,"PresidentsCupInternational",2016
3,3,"Branden Grace",52,5.37,279.38,-56.93,120.8,"PresidentsCupInternational",2016
4,4,"Louis Oosthuizen",47,4.97,233.62,-56.02,102.72,"PresidentsCupInternational",2016
5,5,"Hideki Matsuyama",52,4.55,236.6,-73.32,101.96,"PresidentsCupInternational",2016
6,6,"Charl Schwartzel",52,3.71,192.8,-46.25,88.03,"PresidentsCupInternational",2016
7,7,"Byeong Hun An",52,3.43,178.12,-41.17,56.84,"PresidentsCupInternational",2016
8,8,"Marc Leishman",50,2.9,144.76,-48.47,29.5,"PresidentsCupInternational",2016
9,11,"Danny Lee",52,2.77,144.28,-37.38,44.98,"PresidentsCupInternational",2016
10,9,"Emiliano Grillo",52,2.67,139,-38.61,23.98,"PresidentsCupInternational",2016
11,10,"Kiradech Aphibarnrat",52,2.62,136.26,-36.29,26.3,"PresidentsCupInternational",2016
12,13,"KT Kim",52,2.53,131.48,-25.6,48.11,"PresidentsCupInternational",2016
13,12,"Thongchai Jaidee",52,2.45,127.19,-52.94,12.87,"PresidentsCupInternational",2016
14,14,"Anirban Lahiri",52,2.28,118.5,-41.83,26.73,"PresidentsCupInternational",2016
15,17,"Fabian Gomez",52,2.16,112.52,-20.77,69.61,"PresidentsCupInternational",2016
16,15,"Jaco Van Zyl",40,2.16,86.41,-18.84,22.11,"PresidentsCupInternational",2016
17,16,"Marcus Fraser",42,2.07,87.03,-13.44,49.33,"PresidentsCupInternational",2016
18,19,"Lee Soo Min",40,1.98,79.07,-6.29,55.95,"PresidentsCupInternational",2016
19,18,"Matt Jones",52,1.85,96.35,-37.32,10.87,"PresidentsCupInternational",2016
20,20,"Scott Hend",52,1.79,93.08,-22,40.63,"PresidentsCupInternational",2016
21,21,"Yuta Ikeda",52,1.75,91.23,-24.13,25.47,"PresidentsCupInternational",2016
22,22,"Shingo Katayama",43,1.71,73.63,-21.08,3.29,"PresidentsCupInternational",2016
23,39,"Wang Jeunghun",50,1.64,81.92,-13.38,47.09,"PresidentsCupInternational",2016
24,23,"George Coetzee",50,1.62,81.07,-30.08,28.01,"PresidentsCupInternational",2016
25,24,"Brandon Stone",51,1.55,79.22,-9.92,51.51,"PresidentsCupInternational",2016
26,26,"Dean Burmester",47,1.52,71.5,-15.58,29.47,"PresidentsCupInternational",2016
27,27,"John Senden",52,1.49,77.64,-37.89,19.25,"PresidentsCupInternational",2016
28,25,"Steven Bowditch",52,1.39,72.52,-36.23,7.83,"PresidentsCupInternational",2016
29,30,"KJ Choi",46,1.38,63.28,-15.88,51.5,"PresidentsCupInternational",2016
30,28,"Hideto Tanihara",48,1.38,66.01,-18.48,21.32,"PresidentsCupInternational",2016
31,29,"Cameron Smith",43,1.33,57.34,-19.08,12.52,"PresidentsCupInternational",2016
32,31,"Yoshinori Fujimoto",50,1.29,64.71,-19.01,7.83,"PresidentsCupInternational",2016
33,32,"Miguel Tabuena",41,1.29,53.02,-7.95,26.56,"PresidentsCupInternational",2016
34,33,"Prayad Marksaeng",52,1.28,66.62,-22.97,9.23,"PresidentsCupInternational",2016
