"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2009","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2009","BirdieorBetterPercentageLeftRough_PLAYERNAME_2009","BirdieorBetterPercentageLeftRough_ROUNDS_2009","BirdieorBetterPercentageLeftRough_Pct_2009","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2009","BirdieorBetterPercentageLeftRough_TOTALHOLES_2009","stat_name","year"
1,1,"Parker McLachlin",71,24.27,25,103,"BirdieorBetterPercentageLeftRough",2009
2,2,"Kevin Streelman",97,24.22,31,128,"BirdieorBetterPercentageLeftRough",2009
3,3,"Tiger Woods",64,23.33,14,60,"BirdieorBetterPercentageLeftRough",2009
4,4,"Fred Couples",54,23.17,19,82,"BirdieorBetterPercentageLeftRough",2009
5,5,"Robert Garrigus",83,23.15,25,108,"BirdieorBetterPercentageLeftRough",2009
6,6,"Ben Curtis",63,22.22,18,81,"BirdieorBetterPercentageLeftRough",2009
7,7,"Rocco Mediate",79,21.55,25,116,"BirdieorBetterPercentageLeftRough",2009
8,8,"Nick Watney",86,21.09,31,147,"BirdieorBetterPercentageLeftRough",2009
9,9,"Matt Jones",56,21.05,16,76,"BirdieorBetterPercentageLeftRough",2009
10,10,"Matt Kuchar",82,20.91,23,110,"BirdieorBetterPercentageLeftRough",2009
11,11,"Scott Piercy",85,20.83,25,120,"BirdieorBetterPercentageLeftRough",2009
12,12,"Robert Allenby",71,20.75,22,106,"BirdieorBetterPercentageLeftRough",2009
13,13,"Bo Van Pelt",100,20.56,22,107,"BirdieorBetterPercentageLeftRough",2009
14,14,"Mark Calcavecchia",72,20.41,20,98,"BirdieorBetterPercentageLeftRough",2009
15,15,"Kevin Stadler",65,20.21,19,94,"BirdieorBetterPercentageLeftRough",2009
16,16,"Bill Haas",91,20,30,150,"BirdieorBetterPercentageLeftRough",2009
16,16,"Kirk Triplett",60,20,11,55,"BirdieorBetterPercentageLeftRough",2009
18,18,"Steve Stricker",81,19.83,23,116,"BirdieorBetterPercentageLeftRough",2009
19,19,"Zach Johnson",94,19.79,19,96,"BirdieorBetterPercentageLeftRough",2009
20,20,"Vijay Singh",71,19.57,18,92,"BirdieorBetterPercentageLeftRough",2009
21,21,"Charles Howell III",99,19.55,26,133,"BirdieorBetterPercentageLeftRough",2009
