"LaunchAngle_RANKTHISWEEK_2008","LaunchAngle_RANKLASTWEEK_2008","LaunchAngle_PLAYERNAME_2008","LaunchAngle_ROUNDS_2008","LaunchAngle_AVG_2008","LaunchAngle_TOTALVERTLAUNCHANGLE_2008","LaunchAngle_TOTALATTEMPTS_2008","LaunchAngle_LOWESTLAUNCHANGLE_2008","LaunchAngle_STEEPESTLAUNCHANGLE_2008","stat_name","year"
1,NA,"Mark Wilson",107,14.02,1500.23,107,9.09,17.68,"LaunchAngle",2008
2,NA,"Nicholas Thompson",113,13.56,1193.36,88,8.87,19.9,"LaunchAngle",2008
3,NA,"Justin Bolli",87,13.53,933.56,69,10.54,16.78,"LaunchAngle",2008
4,NA,"Greg Kraft",63,13.48,606.75,45,9.58,17.07,"LaunchAngle",2008
5,NA,"Jeff Maggert",86,13.4,1045.16,78,8.93,16.27,"LaunchAngle",2008
6,NA,"Glen Day",64,13.38,642.26,48,10.22,18.58,"LaunchAngle",2008
7,NA,"Alex Cejka",75,13.28,690.64,52,9.57,16.83,"LaunchAngle",2008
8,NA,"Vaughn Taylor",103,13.25,1153.08,87,10.59,16.52,"LaunchAngle",2008
9,NA,"Chez Reavie",102,13.22,1229.54,93,10.77,16.31,"LaunchAngle",2008
10,NA,"Brandt Snedeker",85,13.15,933.45,71,8.94,16.25,"LaunchAngle",2008
11,NA,"Jeff Gove",50,13.01,507.43,39,8.08,15.85,"LaunchAngle",2008
12,NA,"Harrison Frazar",73,12.99,675.62,52,9.91,19.96,"LaunchAngle",2008
13,NA,"Heath Slocum",104,12.97,1167.45,90,9.84,15.96,"LaunchAngle",2008
14,NA,"Tim Herron",97,12.94,1009.71,78,9.8,17.02,"LaunchAngle",2008
15,NA,"Vijay Singh",82,12.92,801.24,62,9.3,15.66,"LaunchAngle",2008
16,NA,"Tommy Armour III",77,12.88,837.08,65,9.62,16.25,"LaunchAngle",2008
17,NA,"Steve Marino",119,12.83,1129.39,88,8.63,16.77,"LaunchAngle",2008
18,NA,"JP Hayes",67,12.8,780.61,61,8,16.42,"LaunchAngle",2008
18,NA,"Ryan Palmer",69,12.8,575.78,45,8.91,16.27,"LaunchAngle",2008
18,NA,"Brenden Pappas",66,12.8,550.47,43,7.5,15.79,"LaunchAngle",2008
21,NA,"Ryan Armour",87,12.74,853.34,67,10.24,15.33,"LaunchAngle",2008
22,NA,"Tim Clark",90,12.7,888.71,70,8.7,17.05,"LaunchAngle",2008
22,NA,"Ben Crane",86,12.7,952.68,75,9.48,16.44,"LaunchAngle",2008
22,NA,"Brian Davis",108,12.7,1270.17,100,8.44,16.89,"LaunchAngle",2008
25,NA,"Kyle Thompson",70,12.63,707.37,56,8.09,15.69,"LaunchAngle",2008
26,NA,"Kevin Stadler",90,12.61,744.02,59,5.91,17.22,"LaunchAngle",2008
27,NA,"Tommy Gainey",60,12.6,504.2,40,9.22,17.71,"LaunchAngle",2008
28,NA,"Stewart Cink",87,12.59,717.59,57,8.74,16.97,"LaunchAngle",2008
28,NA,"Billy Mayfair",103,12.59,1133.17,90,7.92,17.1,"LaunchAngle",2008
30,NA,"Joe Ogilvie",100,12.57,1018.23,81,8.22,16.56,"LaunchAngle",2008
31,NA,"Andres Romero",69,12.55,564.87,45,6.71,15.68,"LaunchAngle",2008
32,NA,"Paul Goydos",78,12.52,813.54,65,4.84,18.86,"LaunchAngle",2008
33,NA,"Tom Pernice Jr",104,12.51,1213.73,97,8.15,16.32,"LaunchAngle",2008
33,NA,"Kenny Perry",97,12.51,1075.59,86,6.9,16.36,"LaunchAngle",2008
35,NA,"Padraig Harrington",52,12.48,324.55,26,8.06,18.33,"LaunchAngle",2008
35,NA,"Carl Pettersson",110,12.48,1185.37,95,9.1,15.09,"LaunchAngle",2008
37,NA,"Jerry Kelly",89,12.47,947.76,76,8.59,17.43,"LaunchAngle",2008
38,NA,"Brian Gay",102,12.41,1079.9,87,8.86,17.37,"LaunchAngle",2008
39,NA,"Stephen Leaney",53,12.39,495.7,40,9.27,14.54,"LaunchAngle",2008
40,NA,"Scott Verplank",82,12.37,890.72,72,6.85,18.25,"LaunchAngle",2008
41,NA,"Cliff Kresge",84,12.36,864.93,70,9.69,15.21,"LaunchAngle",2008
41,NA,"David Toms",70,12.36,667.61,54,9.17,15.21,"LaunchAngle",2008
43,NA,"Kevin Sutherland",98,12.33,1060.11,86,8.85,16.12,"LaunchAngle",2008
44,NA,"Robert Garrigus",90,12.32,788.24,64,8.04,15.46,"LaunchAngle",2008
44,NA,"David Lutterus",59,12.32,554.2,45,7.61,15.92,"LaunchAngle",2008
44,NA,"Jin Park",85,12.32,800.83,65,8.76,16.24,"LaunchAngle",2008
47,NA,"Craig Kanada",65,12.31,603.07,49,9.08,15.15,"LaunchAngle",2008
48,NA,"Nick OHern",82,12.3,762.44,62,5.69,16.58,"LaunchAngle",2008
49,NA,"Jimmy Walker",73,12.28,601.96,49,7.9,16.94,"LaunchAngle",2008
50,NA,"Doug LaBelle II",65,12.26,551.85,45,9.43,15.76,"LaunchAngle",2008
50,NA,"Geoff Ogilvy",65,12.26,576.42,47,9.21,16.58,"LaunchAngle",2008
52,NA,"Gavin Coles",54,12.24,452.93,37,8.84,18.1,"LaunchAngle",2008
53,NA,"Mark Hensby",71,12.23,709.06,58,9.14,17.84,"LaunchAngle",2008
54,NA,"Cameron Beckman",87,12.21,744.81,61,6.82,14.95,"LaunchAngle",2008
54,NA,"Ernie Els",51,12.21,463.97,38,8.75,14.75,"LaunchAngle",2008
56,NA,"Peter Lonard",92,12.2,976.14,80,8.75,17.02,"LaunchAngle",2008
57,NA,"Hunter Mahan",87,12.18,877.04,72,9.77,15.68,"LaunchAngle",2008
58,NA,"Shigeki Maruyama",50,12.16,522.85,43,9.94,16.26,"LaunchAngle",2008
59,NA,"Kent Jones",68,12.04,589.9,49,8.46,14.73,"LaunchAngle",2008
60,NA,"Frank Lickliter II",107,12,1103.82,92,9.64,15.35,"LaunchAngle",2008
61,NA,"Olin Browne",77,11.98,790.86,66,8.81,15.86,"LaunchAngle",2008
61,NA,"Jim McGovern",75,11.98,718.58,60,8.78,16.04,"LaunchAngle",2008
61,NA,"Brett Quigley",80,11.98,743.06,62,5.88,15.13,"LaunchAngle",2008
64,NA,"John Mallinger",95,11.94,931.59,78,9.28,14.88,"LaunchAngle",2008
65,NA,"Matt Kuchar",88,11.93,763.31,64,6.65,16.07,"LaunchAngle",2008
66,NA,"John Huston",56,11.82,531.75,45,6.67,16.21,"LaunchAngle",2008
