"GIRPercentage200yards_RANKTHISWEEK_2007","GIRPercentage200yards_RANKLASTWEEK_2007","GIRPercentage200yards_PLAYERNAME_2007","GIRPercentage200yards_ROUNDS_2007","GIRPercentage200yards_Pct_2007","GIRPercentage200yards_GREENSHIT_2007","GIRPercentage200yards_TOTALHOLES_2007","GIRPercentage200yards_RELATIVETOPAR_2007","stat_name","year"
1,1,"Alex Cejka",80,62.03,98,158,-0.07,"GIRPercentage200yards",2007
2,2,"Tiger Woods",63,61.21,71,116,-0.17,"GIRPercentage200yards",2007
3,3,"Robert Allenby",90,58.75,94,160,-0.05,"GIRPercentage200yards",2007
4,4,"Sean OHair",98,56.47,96,170,-0.1,"GIRPercentage200yards",2007
5,5,"Robert Garrigus",95,56.17,91,162,-0.15,"GIRPercentage200yards",2007
6,6,"Charles Warren",101,55.49,101,182,0.05,"GIRPercentage200yards",2007
7,7,"Ernie Els",59,55.1,54,98,-0.17,"GIRPercentage200yards",2007
8,8,"Trevor Immelman",74,55.04,71,129,-0.11,"GIRPercentage200yards",2007
9,9,"John Merrick",92,54.94,89,162,-0.01,"GIRPercentage200yards",2007
10,10,"Heath Slocum",101,54.92,134,244,-0.13,"GIRPercentage200yards",2007
11,11,"Henrik Stenson",52,54.32,44,81,-0.25,"GIRPercentage200yards",2007
12,12,"Billy Mayfair",98,53.85,119,221,-0.13,"GIRPercentage200yards",2007
13,13,"John Senden",97,53.81,106,197,-0.08,"GIRPercentage200yards",2007
14,14,"Brett Wetterich",88,53.52,76,142,-0.12,"GIRPercentage200yards",2007
15,15,"Rocco Mediate",72,53.09,103,194,-0.08,"GIRPercentage200yards",2007
16,16,"Tim Clark",66,53.06,78,147,-0.22,"GIRPercentage200yards",2007
17,17,"Will Ma Kenzie",100,53.03,105,198,-0.09,"GIRPercentage200yards",2007
18,18,"Vijay Singh",102,52.91,100,189,-0.05,"GIRPercentage200yards",2007
19,19,"Davis Love III",66,52.78,57,108,-0.05,"GIRPercentage200yards",2007
20,20,"Craig Bowden",78,52.41,98,187,0.03,"GIRPercentage200yards",2007
21,21,"Jay Williamson",50,52.27,46,88,-0.13,"GIRPercentage200yards",2007
22,22,"Daisuke Maruyama",86,52.12,86,165,-0.07,"GIRPercentage200yards",2007
23,23,"Mathew Goggin",97,51.72,90,174,-0.09,"GIRPercentage200yards",2007
24,24,"Daniel Chopra",106,50.79,96,189,-0.18,"GIRPercentage200yards",2007
25,25,"Peter Lonard",85,50.57,88,174,-0.02,"GIRPercentage200yards",2007
26,26,"Jeff Gove",103,50.49,104,206,-0.02,"GIRPercentage200yards",2007
27,27,"Jose Coceres",50,50.42,60,119,0.03,"GIRPercentage200yards",2007
28,28,"Jim Furyk",84,50.3,83,165,-0.12,"GIRPercentage200yards",2007
28,28,"Hunter Mahan",91,50.3,84,167,-0.05,"GIRPercentage200yards",2007
30,30,"Boo Weekley",101,50.29,86,171,-0.02,"GIRPercentage200yards",2007
31,31,"Ted Purdy",102,50.28,91,181,-0.03,"GIRPercentage200yards",2007
32,32,"Tommy Armour III",81,50,84,168,-0.13,"GIRPercentage200yards",2007
32,32,"Tom Byrum",50,50,48,96,0.02,"GIRPercentage200yards",2007
32,32,"Matt Hendrix",63,50,54,108,-0.04,"GIRPercentage200yards",2007
32,32,"Greg Owen",81,50,66,132,-0.08,"GIRPercentage200yards",2007
32,32,"Nick Watney",87,50,73,146,-0.07,"GIRPercentage200yards",2007
37,37,"Jerry Kelly",101,49.75,98,197,-0.05,"GIRPercentage200yards",2007
38,38,"Jonathan Byrd",73,49.66,72,145,-0.15,"GIRPercentage200yards",2007
39,39,"Craig Kanada",109,49.62,129,260,-0.13,"GIRPercentage200yards",2007
40,40,"Adam Scott",69,49.59,60,121,-0.05,"GIRPercentage200yards",2007
41,41,"Tom Lehman",62,49.51,51,103,-0.02,"GIRPercentage200yards",2007
42,42,"Jaco Van Zyl",51,49.5,50,101,-0.04,"GIRPercentage200yards",2007
43,43,"Jeff Overton",60,49.49,49,99,-0.04,"GIRPercentage200yards",2007
44,44,"Jeff Maggert",79,49.48,95,192,-0.13,"GIRPercentage200yards",2007
44,44,"Michael Putnam",96,49.48,96,194,-0.11,"GIRPercentage200yards",2007
46,46,"Jason Gore",86,49.38,80,162,0.06,"GIRPercentage200yards",2007
46,46,"Ryan Palmer",91,49.38,80,162,-0.13,"GIRPercentage200yards",2007
48,48,"Kenny Perry",83,49.33,74,150,-0.03,"GIRPercentage200yards",2007
49,49,"Paul Gow",70,49.3,70,142,0.01,"GIRPercentage200yards",2007
50,50,"Joey Sindelar",75,49.13,85,173,0,"GIRPercentage200yards",2007
51,51,"Stephen Leaney",82,49.09,108,220,-0.05,"GIRPercentage200yards",2007
52,52,"Ken Duke",112,48.99,97,198,-0.11,"GIRPercentage200yards",2007
53,53,"Tim Herron",98,48.91,90,184,-0.02,"GIRPercentage200yards",2007
54,54,"Joe Durant",88,48.8,81,166,-0.02,"GIRPercentage200yards",2007
55,55,"Pat Perez",84,48.65,72,148,-0.1,"GIRPercentage200yards",2007
56,56,"Ryan Moore",92,48.54,83,171,-0.08,"GIRPercentage200yards",2007
57,57,"George McNeill",95,48.48,80,165,-0.1,"GIRPercentage200yards",2007
58,58,"Anthony Kim",93,48.45,78,161,-0.1,"GIRPercentage200yards",2007
59,59,"Charles Howell III",89,48.37,74,153,-0.12,"GIRPercentage200yards",2007
60,60,"Rich Beem",89,48.34,73,151,0,"GIRPercentage200yards",2007
61,61,"Tom Johnson",74,48.32,72,149,0.03,"GIRPercentage200yards",2007
62,62,"Mark Hensby",81,48.3,71,147,-0.18,"GIRPercentage200yards",2007
62,62,"Freddie Jacobson",70,48.3,71,147,-0.08,"GIRPercentage200yards",2007
64,64,"Robert Gamez",88,48.11,89,185,-0.08,"GIRPercentage200yards",2007
65,65,"Steve Lowery",74,48.06,62,129,-0.08,"GIRPercentage200yards",2007
65,65,"Kyle Reifers",71,48.06,62,129,0.1,"GIRPercentage200yards",2007
67,67,"DJ Brigman",67,47.9,57,119,-0.11,"GIRPercentage200yards",2007
68,68,"JJ Henry",86,47.89,68,142,-0.12,"GIRPercentage200yards",2007
69,69,"Jeff Quinney",95,47.66,102,214,-0.07,"GIRPercentage200yards",2007
70,70,"Carl Pettersson",111,47.55,97,204,-0.04,"GIRPercentage200yards",2007
71,71,"Brett Quigley",79,47.47,75,158,-0.07,"GIRPercentage200yards",2007
71,71,"Dean Wilson",92,47.47,94,198,-0.18,"GIRPercentage200yards",2007
73,73,"JB Holmes",71,47.45,65,137,0.03,"GIRPercentage200yards",2007
74,74,"David Toms",80,47.44,74,156,-0.07,"GIRPercentage200yards",2007
75,75,"Cliff Kresge",107,47.33,115,243,-0.08,"GIRPercentage200yards",2007
76,76,"Craig Barlow",52,47.31,44,93,-0.09,"GIRPercentage200yards",2007
77,77,"Bubba Watson",80,47.3,70,148,0.01,"GIRPercentage200yards",2007
78,78,"Shaun Micheel",91,47.27,78,165,-0.05,"GIRPercentage200yards",2007
79,79,"Anders Hansen",55,47.25,43,91,-0.07,"GIRPercentage200yards",2007
80,80,"Frank Lickliter II",95,47.15,91,193,-0.12,"GIRPercentage200yards",2007
81,81,"Gavin Coles",87,47.08,121,257,-0.09,"GIRPercentage200yards",2007
