"MoneyperEventLeaders_RANKTHISWEEK_2010","MoneyperEventLeaders_RANKLASTWEEK_2010","MoneyperEventLeaders_PLAYERNAME_2010","MoneyperEventLeaders_EVENTS_2010","MoneyperEventLeaders_MONEYPEREVENT_2010","MoneyperEventLeaders_TOTALMONEY_2010","stat_name","year"
1,1,"Gregory Havret",2,405000,810000,"MoneyperEventLeaders",2010
2,2,"Lee Westwood",11,309086,3399954,"MoneyperEventLeaders",2010
3,3,"Louis Oosthuizen",5,261118,1305593,"MoneyperEventLeaders",2010
4,4,"Jim Furyk",21,229029,4809622,"MoneyperEventLeaders",2010
5,5,"Ernie Els",20,227943,4558861,"MoneyperEventLeaders",2010
6,6,"Steve Stricker",19,220538,4190235,"MoneyperEventLeaders",2010
7,7,"Paul Casey",17,212540,3613193,"MoneyperEventLeaders",2010
8,8,"Dustin Johnson",23,194483,4473121,"MoneyperEventLeaders",2010
9,9,"Phil Mickelson",20,191086,3821733,"MoneyperEventLeaders",2010
10,10,"Matt Kuchar",26,188864,4910476,"MoneyperEventLeaders",2010
11,11,"Robert Rock",1,186239,186239,"MoneyperEventLeaders",2010
12,12,"Anthony Kim",14,183922,2574921,"MoneyperEventLeaders",2010
13,13,"Luke Donald",20,183261,3665234,"MoneyperEventLeaders",2010
14,14,"Martin Kaymer",10,176279,1762793,"MoneyperEventLeaders",2010
15,15,"Retief Goosen",19,169373,3218088,"MoneyperEventLeaders",2010
16,16,"Justin Rose",22,163787,3603331,"MoneyperEventLeaders",2010
17,17,"Rory McIlroy",16,159642,2554279,"MoneyperEventLeaders",2010
18,18,"Graeme McDowell",10,158933,1589336,"MoneyperEventLeaders",2010
19,19,"Camilo Villegas",20,151776,3035522,"MoneyperEventLeaders",2010
20,20,"Tim Clark",24,147083,3530002,"MoneyperEventLeaders",2010
21,21,"Bubba Watson",22,145409,3198998,"MoneyperEventLeaders",2010
22,22,"Hunter Mahan",25,142981,3574549,"MoneyperEventLeaders",2010
23,23,"Ian Poulter",15,138644,2079663,"MoneyperEventLeaders",2010
24,24,"Robert Allenby",22,135227,2974997,"MoneyperEventLeaders",2010
25,25,"Jeff Overton",26,132936,3456355,"MoneyperEventLeaders",2010
26,26,"Geoff Ogilvy",19,125949,2393045,"MoneyperEventLeaders",2010
27,27,"Adam Scott",20,124470,2489401,"MoneyperEventLeaders",2010
28,28,"Jason Day",24,121013,2904326,"MoneyperEventLeaders",2010
29,29,"Bo Van Pelt",28,119152,3336257,"MoneyperEventLeaders",2010
30,30,"Ben Crane",24,118395,2841500,"MoneyperEventLeaders",2010
31,31,"Bob Heintz",3,118349,355047,"MoneyperEventLeaders",2010
32,32,"Zach Johnson",25,116679,2916993,"MoneyperEventLeaders",2010
33,33,"Bill Haas",25,116205,2905136,"MoneyperEventLeaders",2010
34,34,"Arjun Atwal",13,115934,1507142,"MoneyperEventLeaders",2010
35,35,"Ryan Palmer",27,110566,2985296,"MoneyperEventLeaders",2010
36,36,"Tiger Woods",12,107897,1294764,"MoneyperEventLeaders",2010
37,37,"Charley Hoffman",24,106651,2559645,"MoneyperEventLeaders",2010
38,38,"Nick Watney",24,105696,2536713,"MoneyperEventLeaders",2010
39,39,"Corey Pavin",8,104899,839193,"MoneyperEventLeaders",2010
40,40,"Rickie Fowler",28,102039,2857108,"MoneyperEventLeaders",2010
41,41,"KJ Choi",22,99998,2199961,"MoneyperEventLeaders",2010
42,42,"Ryan Moore",24,98950,2374823,"MoneyperEventLeaders",2010
43,43,"Heath Slocum",25,95507,2387686,"MoneyperEventLeaders",2010
44,44,"JB Holmes",26,91778,2386247,"MoneyperEventLeaders",2010
45,45,"Ignacio Garrido",1,87839,87839,"MoneyperEventLeaders",2010
46,46,"Martin Laird",26,82227,2137927,"MoneyperEventLeaders",2010
47,47,"Edoardo Molinari",8,79564,636518,"MoneyperEventLeaders",2010
