"ScoringAverage_RANKTHISWEEK_2012","ScoringAverage_RANKLASTWEEK_2012","ScoringAverage_PLAYERNAME_2012","ScoringAverage_ROUNDS_2012","ScoringAverage_AVG_2012","ScoringAverage_TOTALSTROKES_2012","ScoringAverage_TOTALADJUSTMENT_2012","ScoringAverage_TOTALROUNDS_2012","stat_name","year"
130,130,"Hunter Haas",69,71.205,4653,NA,65,"ScoringAverage",2012
131,131,"Bobby Gates",87,71.208,6054,NA,85,"ScoringAverage",2012
132,132,"Rocco Mediate",70,71.218,4821,21.85,68,"ScoringAverage",2012
133,133,"James Driscoll",83,71.246,5914,NA,83,"ScoringAverage",2012
134,134,"Troy Matteson",100,71.247,6998,NA,98,"ScoringAverage",2012
135,135,"Jason Bohn",81,71.248,5491,NA,77,"ScoringAverage",2012
136,136,"David Mathis",83,71.333,5792,NA,81,"ScoringAverage",2012
137,137,"Chez Reavie",83,71.334,5935,NA,83,"ScoringAverage",2012
138,138,"Kevin Kisner",69,71.342,4618,19.227,65,"ScoringAverage",2012
139,139,"Robert Allenby",76,71.355,5458,NA,76,"ScoringAverage",2012
140,140,"Matt Jones",53,71.367,3771,11.425,53,"ScoringAverage",2012
141,141,"Trevor Immelman",76,71.37,5466,NA,76,"ScoringAverage",2012
142,142,"Mark Wilson",84,71.375,5585,NA,78,"ScoringAverage",2012
143,143,"Gavin Coles",72,71.397,4971,26.764,70,"ScoringAverage",2012
144,144,"Charlie Beljan",61,71.401,4046,23.848,57,"ScoringAverage",2012
145,145,"Jhonattan Vegas",77,71.44,5507,NA,77,"ScoringAverage",2012
146,146,"Jason Kokrak",79,71.445,5340,18.397,75,"ScoringAverage",2012
147,147,"Mathew Goggin",65,71.449,4482,19.285,63,"ScoringAverage",2012
148,148,"Robert Karlsson",54,71.453,3735,NA,52,"ScoringAverage",2012
149,149,"Stewart Cink",71,71.483,4827,NA,67,"ScoringAverage",2012
150,150,"Chris DiMarco",83,71.488,5792,NA,81,"ScoringAverage",2012
151,151,"Scott Stallings",78,71.49,5573,3.247,78,"ScoringAverage",2012
152,152,"Erik Compton",81,71.499,5502,3.402,77,"ScoringAverage",2012
153,153,"JJ Killeen",101,71.502,6943,NA,97,"ScoringAverage",2012
154,154,"Stephen Ames",54,71.511,3882,NA,54,"ScoringAverage",2012
155,155,"Troy Kelly",68,71.531,4566,11.965,64,"ScoringAverage",2012
156,156,"Tommy Gainey",98,71.54,7014,NA,98,"ScoringAverage",2012
157,157,"Andres Romero",68,71.543,4606,NA,64,"ScoringAverage",2012
158,158,"Gary Woodland",70,71.552,4969,NA,69,"ScoringAverage",2012
159,159,"DJ Trahan",73,71.563,4929,8.841,69,"ScoringAverage",2012
160,160,"Nick OHern",78,71.579,5303,NA,74,"ScoringAverage",2012
161,161,"Angel Cabrera",54,71.581,3890,NA,54,"ScoringAverage",2012
162,162,"Justin Leonard",79,71.583,5377,NA,75,"ScoringAverage",2012
163,163,"Steve Wheatcroft",56,71.584,3712,10.348,52,"ScoringAverage",2012
164,164,"Sangmoon Bae",81,71.629,5550,NA,77,"ScoringAverage",2012
165,165,"Arjun Atwal",79,71.634,5357,15.565,75,"ScoringAverage",2012
166,166,"Roland Thatcher",55,71.646,3776,21.242,53,"ScoringAverage",2012
167,167,"Scott Dunlap",57,71.653,3783,14.61,53,"ScoringAverage",2012
168,168,"Mark Anderson",75,71.692,5224,9.488,73,"ScoringAverage",2012
169,169,"Ted Potter Jr",77,71.71,5530,NA,77,"ScoringAverage",2012
170,170,"Cameron Beckman",81,71.726,5520,2.874,77,"ScoringAverage",2012
171,171,"Harrison Frazar",56,71.739,3883,NA,54,"ScoringAverage",2012
172,172,"Colt Knost",79,71.798,5541,NA,77,"ScoringAverage",2012
173,173,"Scott Brown",65,71.835,4503,22.589,63,"ScoringAverage",2012
174,174,"Daniel Chopra",55,71.872,3808,1.208,53,"ScoringAverage",2012
175,175,"Brendon Todd",78,71.873,5306,12.575,74,"ScoringAverage",2012
176,176,"Derek Lamely",64,71.876,4590,10.055,64,"ScoringAverage",2012
177,177,"Brendan Steele",77,71.887,5251,NA,73,"ScoringAverage",2012
178,178,"Miguel Angel Carballo",73,71.918,4947,15.362,69,"ScoringAverage",2012
179,179,"Edward Loar",59,71.922,4097,2.559,57,"ScoringAverage",2012
180,180,"Patrick Sheehan",58,71.95,4017,12.181,56,"ScoringAverage",2012
181,181,"Ryuji Imada",78,71.978,5462,8.32,76,"ScoringAverage",2012
182,182,"Alexandre Rocha",62,72.039,4160,18.273,58,"ScoringAverage",2012
183,183,"Michael Bradley",63,72.059,4517,22.729,63,"ScoringAverage",2012
184,184,"Billy Hurley III",70,72.116,4919,NA,68,"ScoringAverage",2012
185,185,"Tom Pernice Jr",62,72.137,4165,18.955,58,"ScoringAverage",2012
186,186,"Matt Bettencourt",80,72.182,5487,NA,76,"ScoringAverage",2012
187,187,"Kyle Thompson",51,72.296,3535,7.498,49,"ScoringAverage",2012
188,188,"Marco Dawson",60,72.304,4170,23.648,58,"ScoringAverage",2012
189,189,"Tommy Biershenk",74,72.494,5213,6.545,72,"ScoringAverage",2012
190,190,"Sung Kang",75,72.571,5304,NA,73,"ScoringAverage",2012
191,191,"Stephen Gangluff",57,72.995,4001,13.707,55,"ScoringAverage",2012
