"FairwayBunkerTendency_RANKTHISWEEK_2008","FairwayBunkerTendency_RANKLASTWEEK_2008","FairwayBunkerTendency_PLAYERNAME_2008","FairwayBunkerTendency_ROUNDS_2008","FairwayBunkerTendency_Pct_2008","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2008","FairwayBunkerTendency_POSSIBLEFWYS_2008","FairwayBunkerTendency_RELATIVETOPAR_2008","stat_name","year"
1,1,"Olin Browne",77,2.5,24,969,0.125,"FairwayBunkerTendency",2008
2,2,"Zach Johnson",85,2.8,28,994,0.357,"FairwayBunkerTendency",2008
3,3,"Michael Letzig",88,3,31,1023,0.29,"FairwayBunkerTendency",2008
4,4,"John Riegger",73,3.1,28,889,0.286,"FairwayBunkerTendency",2008
5,5,"Paul Claxton",63,3.3,23,689,0.261,"FairwayBunkerTendency",2008
6,6,"Bart Bryant",81,3.4,32,932,0.313,"FairwayBunkerTendency",2008
7,7,"Omar Uresti",74,3.5,31,874,0.355,"FairwayBunkerTendency",2008
7,7,"Scott Verplank",82,3.5,32,904,0.438,"FairwayBunkerTendency",2008
7,7,"Mark Wilson",107,3.5,50,1446,0.18,"FairwayBunkerTendency",2008
10,10,"Gavin Coles",54,3.6,22,610,0.182,"FairwayBunkerTendency",2008
10,10,"Jeff Gove",50,3.6,22,609,0.273,"FairwayBunkerTendency",2008
10,10,"Corey Pavin",69,3.6,28,774,0.143,"FairwayBunkerTendency",2008
13,13,"Glen Day",64,3.7,29,776,0.241,"FairwayBunkerTendency",2008
14,14,"Dean Wilson",109,3.8,49,1275,0.265,"FairwayBunkerTendency",2008
15,15,"Paul Casey",55,3.9,19,492,0.263,"FairwayBunkerTendency",2008
15,15,"Brian Gay",102,3.9,47,1198,0.277,"FairwayBunkerTendency",2008
15,15,"Charley Hoffman",94,3.9,47,1190,0.213,"FairwayBunkerTendency",2008
18,18,"John Rollins",94,4,44,1097,0.159,"FairwayBunkerTendency",2008
19,19,"Shane Bertsch",96,4.1,51,1248,0.373,"FairwayBunkerTendency",2008
19,19,"Richard Johnson",60,4.1,28,679,0.321,"FairwayBunkerTendency",2008
19,19,"Chez Reavie",102,4.1,51,1242,0.275,"FairwayBunkerTendency",2008
19,19,"Tag Ridings",88,4.1,45,1103,0.289,"FairwayBunkerTendency",2008
23,23,"Michael Allen",91,4.2,45,1079,0.267,"FairwayBunkerTendency",2008
23,23,"Joe Durant",92,4.2,46,1095,0.261,"FairwayBunkerTendency",2008
23,23,"Steve Elkington",84,4.2,43,1013,0.233,"FairwayBunkerTendency",2008
23,23,"Paul Goydos",78,4.2,39,934,0.231,"FairwayBunkerTendency",2008
23,23,"Hunter Mahan",87,4.2,42,996,0.167,"FairwayBunkerTendency",2008
23,23,"Vijay Singh",82,4.2,37,877,0.189,"FairwayBunkerTendency",2008
29,29,"Kent Jones",68,4.3,33,762,0.333,"FairwayBunkerTendency",2008
29,29,"Peter Lonard",92,4.3,48,1105,0.271,"FairwayBunkerTendency",2008
29,29,"Billy Mayfair",103,4.3,57,1317,0.123,"FairwayBunkerTendency",2008
29,29,"John Senden",93,4.3,48,1125,0.146,"FairwayBunkerTendency",2008
29,29,"Heath Slocum",104,4.3,51,1199,0.294,"FairwayBunkerTendency",2008
34,34,"Sergio Garcia",72,4.4,34,774,-0.118,"FairwayBunkerTendency",2008
34,34,"Jeff Maggert",86,4.4,48,1090,0.271,"FairwayBunkerTendency",2008
34,34,"Nick OHern",82,4.4,43,986,0.302,"FairwayBunkerTendency",2008
34,34,"Adam Scott",51,4.4,21,481,0.333,"FairwayBunkerTendency",2008
34,34,"Tim Wilkinson",95,4.4,49,1111,0.204,"FairwayBunkerTendency",2008
39,39,"Ryan Armour",87,4.5,47,1046,0.553,"FairwayBunkerTendency",2008
39,39,"Ken Duke",116,4.5,66,1452,0.303,"FairwayBunkerTendency",2008
39,39,"Bob Estes",90,4.5,54,1187,0.148,"FairwayBunkerTendency",2008
39,39,"Mathew Goggin",91,4.5,51,1132,0.294,"FairwayBunkerTendency",2008
39,39,"Jim McGovern",75,4.5,39,865,0.359,"FairwayBunkerTendency",2008
39,39,"Scott Sterling",89,4.5,46,1019,0.283,"FairwayBunkerTendency",2008
39,39,"Charlie Wi",97,4.5,55,1219,0.218,"FairwayBunkerTendency",2008
39,39,"Jay Williamson",96,4.5,50,1111,0.22,"FairwayBunkerTendency",2008
47,47,"John Huston",56,4.6,31,675,0.226,"FairwayBunkerTendency",2008
47,47,"DJ Trahan",94,4.6,49,1072,0.327,"FairwayBunkerTendency",2008
47,47,"Boo Weekley",86,4.6,41,888,0.195,"FairwayBunkerTendency",2008
47,47,"Ron Whittaker",54,4.6,26,563,0.346,"FairwayBunkerTendency",2008
51,51,"Tommy Armour III",77,4.7,43,907,0.326,"FairwayBunkerTendency",2008
51,51,"Angel Cabrera",55,4.7,25,535,0.32,"FairwayBunkerTendency",2008
51,51,"Trevor Immelman",70,4.7,35,744,0.2,"FairwayBunkerTendency",2008
51,51,"Lee Janzen",89,4.7,48,1027,0.354,"FairwayBunkerTendency",2008
51,51,"Craig Kanada",65,4.7,36,762,0.361,"FairwayBunkerTendency",2008
51,51,"John Mallinger",95,4.7,55,1162,0.382,"FairwayBunkerTendency",2008
51,51,"Ryan Moore",72,4.7,41,868,0.268,"FairwayBunkerTendency",2008
51,51,"Chris Riley",51,4.7,26,550,0.462,"FairwayBunkerTendency",2008
51,51,"Charles Warren",79,4.7,48,1022,0.458,"FairwayBunkerTendency",2008
60,60,"Jonathan Byrd",88,4.8,51,1065,0.235,"FairwayBunkerTendency",2008
60,60,"JP Hayes",67,4.8,42,869,0.262,"FairwayBunkerTendency",2008
60,60,"Justin Leonard",101,4.8,49,1023,0.306,"FairwayBunkerTendency",2008
60,60,"Scott McCarron",63,4.8,36,750,0.333,"FairwayBunkerTendency",2008
60,60,"Jin Park",85,4.8,46,960,0.5,"FairwayBunkerTendency",2008
60,60,"Kevin Streelman",114,4.8,64,1339,0.281,"FairwayBunkerTendency",2008
60,60,"Bob Tway",70,4.8,38,789,0.132,"FairwayBunkerTendency",2008
