"TotalBirdies_RANKTHISWEEK_2009","TotalBirdies_RANKLASTWEEK_2009","TotalBirdies_PLAYERNAME_2009","TotalBirdies_ROUNDS_2009","TotalBirdies_TOTAL_2009","stat_name","year"
1,1,"Bo Van Pelt",100,395,"TotalBirdies",2009
2,2,"Brian Davis",103,392,"TotalBirdies",2009
3,3,"Ted Purdy",101,385,"TotalBirdies",2009
4,4,"Hunter Mahan",94,378,"TotalBirdies",2009
5,5,"Charley Hoffman",97,372,"TotalBirdies",2009
6,6,"Kevin Streelman",97,368,"TotalBirdies",2009
7,7,"Matt Bettencourt",98,366,"TotalBirdies",2009
8,8,"Harrison Frazar",93,365,"TotalBirdies",2009
8,8,"Lucas Glover",93,365,"TotalBirdies",2009
10,10,"Jonathan Byrd",89,364,"TotalBirdies",2009
11,11,"Justin Leonard",95,362,"TotalBirdies",2009
11,11,"David Toms",98,362,"TotalBirdies",2009
13,13,"Steve Marino",98,361,"TotalBirdies",2009
13,13,"DA Points",99,361,"TotalBirdies",2009
13,13,"DJ Trahan",96,361,"TotalBirdies",2009
16,16,"Michael Letzig",96,353,"TotalBirdies",2009
16,16,"John Senden",100,353,"TotalBirdies",2009
18,18,"Mark Wilson",99,352,"TotalBirdies",2009
19,19,"Charles Howell III",99,351,"TotalBirdies",2009
20,20,"Nicholas Thompson",96,350,"TotalBirdies",2009
21,21,"Daniel Chopra",89,349,"TotalBirdies",2009
22,22,"Greg Owen",97,347,"TotalBirdies",2009
23,23,"Tim Petrovic",97,346,"TotalBirdies",2009
24,24,"Nathan Green",104,343,"TotalBirdies",2009
24,24,"Zach Johnson",94,343,"TotalBirdies",2009
26,26,"Dustin Johnson",85,341,"TotalBirdies",2009
27,27,"Ben Crane",93,340,"TotalBirdies",2009
27,27,"Charlie Wi",92,340,"TotalBirdies",2009
29,29,"Jerry Kelly",90,338,"TotalBirdies",2009
29,29,"Kenny Perry",92,338,"TotalBirdies",2009
29,29,"Webb Simpson",94,338,"TotalBirdies",2009
32,32,"Brendon de Jonge",90,337,"TotalBirdies",2009
32,32,"Brian Gay",96,337,"TotalBirdies",2009
32,32,"Bill Haas",91,337,"TotalBirdies",2009
32,32,"Kevin Sutherland",96,337,"TotalBirdies",2009
36,36,"Ryan Moore",89,336,"TotalBirdies",2009
37,37,"Kevin Na",91,334,"TotalBirdies",2009
38,38,"Scott Piercy",85,330,"TotalBirdies",2009
39,39,"Jason Dufner",90,329,"TotalBirdies",2009
39,39,"Nick Watney",86,329,"TotalBirdies",2009
41,41,"Marc Leishman",91,328,"TotalBirdies",2009
41,41,"John Merrick",91,328,"TotalBirdies",2009
41,41,"Jeff Overton",92,328,"TotalBirdies",2009
41,41,"Vaughn Taylor",88,328,"TotalBirdies",2009
45,45,"Jeff Klauk",97,327,"TotalBirdies",2009
45,45,"Troy Matteson",95,327,"TotalBirdies",2009
47,47,"Greg Chalmers",85,325,"TotalBirdies",2009
48,48,"Chad Campbell",90,324,"TotalBirdies",2009
48,48,"Scott Verplank",88,324,"TotalBirdies",2009
50,50,"Chris Stroud",88,323,"TotalBirdies",2009
51,51,"Heath Slocum",95,322,"TotalBirdies",2009
52,52,"Chris DiMarco",97,321,"TotalBirdies",2009
53,53,"Scott McCarron",91,320,"TotalBirdies",2009
53,53,"Brett Quigley",92,320,"TotalBirdies",2009
55,55,"Briny Baird",89,317,"TotalBirdies",2009
