"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2009","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2009","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2009","AveragePuttingDistanceGIR1Putts_ROUNDS_2009","AveragePuttingDistanceGIR1Putts_AVG_2009","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2009","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2009","stat_name","year"
1,1,"Brad Faxon",59,NA,1587.667,127,"AveragePuttingDistanceGIR1Putts",2009
2,2,"Ted Purdy",101,NA,3593.25,293,"AveragePuttingDistanceGIR1Putts",2009
3,3,"Marc Turnesa",77,NA,2305.5,192,"AveragePuttingDistanceGIR1Putts",2009
4,4,"Ben Curtis",63,NA,1749.667,147,"AveragePuttingDistanceGIR1Putts",2009
5,5,"Mark Brooks",55,NA,1311.333,111,"AveragePuttingDistanceGIR1Putts",2009
6,6,"Greg Chalmers",85,NA,2861.083,243,"AveragePuttingDistanceGIR1Putts",2009
6,6,"Jeff Klauk",97,NA,3004.75,255,"AveragePuttingDistanceGIR1Putts",2009
8,8,"Nick OHern",90,NA,3117.083,268,"AveragePuttingDistanceGIR1Putts",2009
9,9,"Spencer Levin",75,NA,2329.167,201,"AveragePuttingDistanceGIR1Putts",2009
9,9,"Carl Pettersson",86,NA,2589.917,224,"AveragePuttingDistanceGIR1Putts",2009
11,11,"Brendon Todd",53,NA,1404.25,122,"AveragePuttingDistanceGIR1Putts",2009
11,11,"Johnson Wagner",81,NA,2504.417,218,"AveragePuttingDistanceGIR1Putts",2009
13,13,"Brian Gay",96,NA,3020.5,265,"AveragePuttingDistanceGIR1Putts",2009
13,13,"Todd Hamilton",83,NA,1995.333,175,"AveragePuttingDistanceGIR1Putts",2009
13,13,"Greg Kraft",51,NA,1228.833,108,"AveragePuttingDistanceGIR1Putts",2009
13,13,"Corey Pavin",73,NA,1913.25,167,"AveragePuttingDistanceGIR1Putts",2009
13,13,"Gary Woodland",53,NA,1165.333,102,"AveragePuttingDistanceGIR1Putts",2009
18,18,"Ben Crane",93,NA,2964.25,261,"AveragePuttingDistanceGIR1Putts",2009
18,18,"Matt Kuchar",82,NA,2750.583,242,"AveragePuttingDistanceGIR1Putts",2009
18,18,"Parker McLachlin",71,NA,2263.667,200,"AveragePuttingDistanceGIR1Putts",2009
18,18,"Casey Wittenberg",71,NA,1662,147,"AveragePuttingDistanceGIR1Putts",2009
22,22,"Steve Elkington",70,NA,1955.25,174,"AveragePuttingDistanceGIR1Putts",2009
22,22,"Jerry Kelly",90,NA,2878.167,255,"AveragePuttingDistanceGIR1Putts",2009
22,22,"Patrick Sheehan",51,NA,1360.083,121,"AveragePuttingDistanceGIR1Putts",2009
22,22,"Kevin Stadler",65,NA,1702.917,151,"AveragePuttingDistanceGIR1Putts",2009
26,26,"Bart Bryant",58,NA,1593.167,143,"AveragePuttingDistanceGIR1Putts",2009
26,26,"Lee Janzen",74,NA,2093.167,188,"AveragePuttingDistanceGIR1Putts",2009
26,26,"Bill Lunde",83,NA,2405.167,215,"AveragePuttingDistanceGIR1Putts",2009
26,26,"David Toms",98,NA,3029.25,271,"AveragePuttingDistanceGIR1Putts",2009
30,30,"Richard Johnson",85,NA,2329.083,210,"AveragePuttingDistanceGIR1Putts",2009
