"FirstTeeLateScoringAverage_RANKTHISWEEK_2006","FirstTeeLateScoringAverage_RANKLASTWEEK_2006","FirstTeeLateScoringAverage_PLAYERNAME_2006","FirstTeeLateScoringAverage_ROUNDS_2006","FirstTeeLateScoringAverage_AVG_2006","FirstTeeLateScoringAverage_TOTALSTROKES_2006","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",55,68.67,2472,36,"FirstTeeLateScoringAverage",2006
2,2,"Omar Uresti",61,69.73,767,11,"FirstTeeLateScoringAverage",2006
3,3,"Brett Quigley",109,69.74,2999,43,"FirstTeeLateScoringAverage",2006
4,4,"Trevor Immelman",86,69.85,2864,41,"FirstTeeLateScoringAverage",2006
5,5,"Jonathan Byrd",66,69.86,1537,22,"FirstTeeLateScoringAverage",2006
6,6,"Jim Furyk",89,69.87,3633,52,"FirstTeeLateScoringAverage",2006
7,7,"Frank Lickliter II",99,69.91,2447,35,"FirstTeeLateScoringAverage",2006
8,8,"Adam Scott",70,69.92,2727,39,"FirstTeeLateScoringAverage",2006
9,9,"Steve Stricker",64,69.93,2028,29,"FirstTeeLateScoringAverage",2006
10,10,"Woody Austin",107,70.03,2101,30,"FirstTeeLateScoringAverage",2006
11,11,"Luke Donald",66,70.09,2453,35,"FirstTeeLateScoringAverage",2006
12,12,"Bob May",65,70.18,1193,17,"FirstTeeLateScoringAverage",2006
13,13,"Heath Slocum",96,70.28,1757,25,"FirstTeeLateScoringAverage",2006
14,14,"Stewart Cink",93,70.29,2460,35,"FirstTeeLateScoringAverage",2006
14,14,"Vijay Singh",103,70.29,3866,55,"FirstTeeLateScoringAverage",2006
16,16,"Kenny Perry",73,70.35,1829,26,"FirstTeeLateScoringAverage",2006
16,16,"Nick Watney",97,70.35,2392,34,"FirstTeeLateScoringAverage",2006
18,18,"Richard Johnson",94,70.36,2533,36,"FirstTeeLateScoringAverage",2006
19,19,"Shane Bertsch",104,70.39,1971,28,"FirstTeeLateScoringAverage",2006
20,20,"Jeff Gove",91,70.41,1901,27,"FirstTeeLateScoringAverage",2006
21,21,"Jerry Kelly",100,70.42,2676,38,"FirstTeeLateScoringAverage",2006
22,22,"Ryan Moore",68,70.44,1761,25,"FirstTeeLateScoringAverage",2006
22,22,"David Toms",76,70.44,2536,36,"FirstTeeLateScoringAverage",2006
22,22,"Scott Verplank",88,70.44,2395,34,"FirstTeeLateScoringAverage",2006
25,25,"Ryuji Imada",105,70.45,2043,29,"FirstTeeLateScoringAverage",2006
26,26,"Bob Estes",85,70.48,1903,27,"FirstTeeLateScoringAverage",2006
26,26,"Jose Maria Olazabal",62,70.48,1480,21,"FirstTeeLateScoringAverage",2006
28,28,"Tjaart van der Walt",60,70.5,846,12,"FirstTeeLateScoringAverage",2006
29,29,"Craig Barlow",77,70.52,1622,23,"FirstTeeLateScoringAverage",2006
30,30,"Nathan Green",108,70.53,2398,34,"FirstTeeLateScoringAverage",2006
31,31,"Bill Haas",99,70.56,1764,25,"FirstTeeLateScoringAverage",2006
31,31,"Bubba Watson",83,70.56,1764,25,"FirstTeeLateScoringAverage",2006
33,33,"Jerry Smith",94,70.58,1694,24,"FirstTeeLateScoringAverage",2006
34,34,"Ben Crane",85,70.59,2047,29,"FirstTeeLateScoringAverage",2006
34,34,"Ernie Els",69,70.59,2612,37,"FirstTeeLateScoringAverage",2006
36,36,"Kevin Sutherland",100,70.62,1836,26,"FirstTeeLateScoringAverage",2006
37,37,"Robert Gamez",94,70.63,1695,24,"FirstTeeLateScoringAverage",2006
38,38,"Rory Sabbatini",84,70.64,1978,28,"FirstTeeLateScoringAverage",2006
39,39,"Brian Bateman",69,70.65,1413,20,"FirstTeeLateScoringAverage",2006
40,40,"Ryan Palmer",101,70.66,2049,29,"FirstTeeLateScoringAverage",2006
41,41,"Camilo Villegas",95,70.67,2544,36,"FirstTeeLateScoringAverage",2006
42,42,"Phil Mickelson",74,70.68,2403,34,"FirstTeeLateScoringAverage",2006
43,43,"John Senden",96,70.69,1838,26,"FirstTeeLateScoringAverage",2006
44,44,"Vaughn Taylor",88,70.7,1909,27,"FirstTeeLateScoringAverage",2006
45,45,"Chad Campbell",91,70.74,2476,35,"FirstTeeLateScoringAverage",2006
45,45,"Stephen Leaney",84,70.74,1910,27,"FirstTeeLateScoringAverage",2006
47,47,"Paul Goydos",72,70.76,1486,21,"FirstTeeLateScoringAverage",2006
47,47,"Charles Warren",93,70.76,1769,25,"FirstTeeLateScoringAverage",2006
49,49,"Zach Johnson",98,70.78,2548,36,"FirstTeeLateScoringAverage",2006
50,50,"Alex Cejka",93,70.81,1841,26,"FirstTeeLateScoringAverage",2006
51,51,"JP Hayes",55,70.83,1275,18,"FirstTeeLateScoringAverage",2006
