"Par4ScoringAverage_RANKTHISWEEK_2015","Par4ScoringAverage_RANKLASTWEEK_2015","Par4ScoringAverage_PLAYERNAME_2015","Par4ScoringAverage_ROUNDS_2015","Par4ScoringAverage_AVG_2015","Par4ScoringAverage_TOTALSTROKES_2015","Par4ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Jason Day",75,3.93,3090,787,"Par4ScoringAverage",2015
1,1,"Jordan Spieth",91,3.93,3749,954,"Par4ScoringAverage",2015
3,3,"Hideki Matsuyama",95,3.96,3930,992,"Par4ScoringAverage",2015
3,3,"Henrik Stenson",63,3.96,2582,652,"Par4ScoringAverage",2015
3,3,"Will Wilcox",58,3.96,2312,584,"Par4ScoringAverage",2015
6,6,"Jason Bohn",95,3.97,4044,1019,"Par4ScoringAverage",2015
7,7,"Zach Johnson",90,3.98,3882,975,"Par4ScoringAverage",2015
7,7,"Russell Knox",96,3.98,4135,1040,"Par4ScoringAverage",2015
7,7,"Bubba Watson",71,3.98,2995,752,"Par4ScoringAverage",2015
10,10,"Paul Casey",87,3.99,3685,924,"Par4ScoringAverage",2015
10,10,"Jim Furyk",71,3.99,2738,687,"Par4ScoringAverage",2015
10,10,"Brooks Koepka",84,3.99,3576,897,"Par4ScoringAverage",2015
10,10,"Matt Kuchar",97,3.99,4070,1021,"Par4ScoringAverage",2015
10,10,"Sean OHair",86,3.99,3646,913,"Par4ScoringAverage",2015
10,10,"Pat Perez",96,3.99,4078,1021,"Par4ScoringAverage",2015
10,10,"Rory Sabbatini",81,3.99,3489,874,"Par4ScoringAverage",2015
10,10,"Brendan Steele",88,3.99,3537,887,"Par4ScoringAverage",2015
18,18,"Sergio Garcia",59,4,2466,616,"Par4ScoringAverage",2015
18,18,"Dustin Johnson",75,4,3149,788,"Par4ScoringAverage",2015
18,18,"Bryce Molder",91,4,3773,944,"Par4ScoringAverage",2015
18,18,"Louis Oosthuizen",68,4,2760,690,"Par4ScoringAverage",2015
18,18,"Patrick Reed",103,4,4341,1085,"Par4ScoringAverage",2015
18,18,"Justin Rose",69,4,2883,720,"Par4ScoringAverage",2015
18,18,"Robert Streb",110,4,4882,1222,"Par4ScoringAverage",2015
18,18,"Daniel Summerhays",101,4,4399,1099,"Par4ScoringAverage",2015
26,26,"Steven Bowditch",103,4.01,4534,1130,"Par4ScoringAverage",2015
26,26,"Jonathan Byrd",69,4.01,2789,696,"Par4ScoringAverage",2015
26,26,"Stewart Cink",77,4.01,3385,844,"Par4ScoringAverage",2015
26,26,"Harris English",105,4.01,4490,1121,"Par4ScoringAverage",2015
26,26,"Tony Finau",106,4.01,4586,1145,"Par4ScoringAverage",2015
26,26,"David Hearn",97,4.01,4179,1043,"Par4ScoringAverage",2015
26,26,"Charley Hoffman",97,4.01,4080,1017,"Par4ScoringAverage",2015
26,26,"Jerry Kelly",79,4.01,3443,859,"Par4ScoringAverage",2015
26,26,"Whee Kim",71,4.01,2991,745,"Par4ScoringAverage",2015
26,26,"Colt Knost",90,4.01,3724,928,"Par4ScoringAverage",2015
26,26,"Danny Lee",120,4.01,5213,1300,"Par4ScoringAverage",2015
26,26,"Spencer Levin",99,4.01,4211,1050,"Par4ScoringAverage",2015
26,26,"Hunter Mahan",88,4.01,3640,908,"Par4ScoringAverage",2015
26,26,"William McGirt",103,4.01,4476,1117,"Par4ScoringAverage",2015
26,26,"Francesco Molinari",56,4.01,2323,580,"Par4ScoringAverage",2015
26,26,"Kevin Na",98,4.01,4143,1033,"Par4ScoringAverage",2015
26,26,"Greg Owen",58,4.01,2525,630,"Par4ScoringAverage",2015
26,26,"Ryan Palmer",80,4.01,3408,850,"Par4ScoringAverage",2015
26,26,"John Peterson",84,4.01,3602,899,"Par4ScoringAverage",2015
26,26,"Patrick Rodgers",57,4.01,2354,587,"Par4ScoringAverage",2015
26,26,"Brandt Snedeker",98,4.01,4139,1032,"Par4ScoringAverage",2015
26,26,"Shawn Stefani",94,4.01,4055,1010,"Par4ScoringAverage",2015
26,26,"Justin Thomas",106,4.01,4562,1139,"Par4ScoringAverage",2015
26,26,"Nick Watney",91,4.01,3904,974,"Par4ScoringAverage",2015
50,50,"Blayne Barber",76,4.02,3175,789,"Par4ScoringAverage",2015
50,50,"Daniel Berger",97,4.02,4224,1050,"Par4ScoringAverage",2015
50,50,"Zac Blair",108,4.02,4542,1129,"Par4ScoringAverage",2015
50,50,"Kevin Chappell",86,4.02,3726,927,"Par4ScoringAverage",2015
50,50,"Chad Collins",79,4.02,3422,852,"Par4ScoringAverage",2015
50,50,"Brendon de Jonge",106,4.02,4550,1133,"Par4ScoringAverage",2015
50,50,"Bill Haas",89,4.02,3755,934,"Par4ScoringAverage",2015
50,50,"Brian Harman",90,4.02,4016,999,"Par4ScoringAverage",2015
50,50,"Russell Henley",87,4.02,3754,933,"Par4ScoringAverage",2015
50,50,"Jim Herman",88,4.02,3835,953,"Par4ScoringAverage",2015
50,50,"Tom Hoge",83,4.02,3465,862,"Par4ScoringAverage",2015
50,50,"JB Holmes",89,4.02,3706,921,"Par4ScoringAverage",2015
50,50,"Billy Horschel",99,4.02,4172,1037,"Par4ScoringAverage",2015
50,50,"Matt Jones",89,4.02,3714,924,"Par4ScoringAverage",2015
50,50,"Kevin Kisner",104,4.02,4563,1135,"Par4ScoringAverage",2015
50,50,"David Lingmerth",90,4.02,3964,986,"Par4ScoringAverage",2015
50,50,"George McNeill",93,4.02,4076,1014,"Par4ScoringAverage",2015
50,50,"Carl Pettersson",106,4.02,4631,1151,"Par4ScoringAverage",2015
50,50,"Ian Poulter",68,4.02,2817,701,"Par4ScoringAverage",2015
50,50,"Kevin Streelman",95,4.02,3893,969,"Par4ScoringAverage",2015
50,50,"Hudson Swafford",97,4.02,4136,1028,"Par4ScoringAverage",2015
50,50,"Brendon Todd",96,4.02,4128,1026,"Par4ScoringAverage",2015
50,50,"David Toms",62,4.02,2492,620,"Par4ScoringAverage",2015
50,50,"Lee Westwood",56,4.02,2265,564,"Par4ScoringAverage",2015
74,74,"Steven Alker",62,4.03,2619,650,"Par4ScoringAverage",2015
74,74,"Keegan Bradley",87,4.03,3650,905,"Par4ScoringAverage",2015
74,74,"Scott Brown",97,4.03,4222,1048,"Par4ScoringAverage",2015
74,74,"Alex Cejka",94,4.03,3947,979,"Par4ScoringAverage",2015
74,74,"KJ Choi",66,4.03,2621,650,"Par4ScoringAverage",2015
74,74,"Jon Curran",83,4.03,3442,854,"Par4ScoringAverage",2015
74,74,"Jason Dufner",76,4.03,3204,795,"Par4ScoringAverage",2015
74,74,"Rickie Fowler",76,4.03,3159,784,"Par4ScoringAverage",2015
74,74,"Jason Kokrak",88,4.03,3829,951,"Par4ScoringAverage",2015
74,74,"Martin Laird",77,4.03,3317,823,"Par4ScoringAverage",2015
74,74,"Ben Martin",93,4.03,4062,1008,"Par4ScoringAverage",2015
74,74,"Troy Merritt",91,4.03,3891,965,"Par4ScoringAverage",2015
74,74,"Ryan Moore",81,4.03,3346,830,"Par4ScoringAverage",2015
74,74,"Cameron Percy",72,4.03,3053,757,"Par4ScoringAverage",2015
74,74,"Chez Reavie",56,4.03,2432,604,"Par4ScoringAverage",2015
74,74,"Kyle Reifers",96,4.03,4010,996,"Par4ScoringAverage",2015
74,74,"Brian Stuard",97,4.03,4025,998,"Par4ScoringAverage",2015
74,74,"Jimmy Walker",89,4.03,3831,950,"Par4ScoringAverage",2015
74,74,"Boo Weekley",79,4.03,3414,848,"Par4ScoringAverage",2015
74,74,"Steve Wheatcroft",87,4.03,3571,887,"Par4ScoringAverage",2015
74,74,"Mark Wilson",89,4.03,3712,922,"Par4ScoringAverage",2015
95,95,"Greg Chalmers",58,4.04,2358,584,"Par4ScoringAverage",2015
95,95,"Erik Compton",86,4.04,3703,917,"Par4ScoringAverage",2015
95,95,"Martin Flores",95,4.04,3983,987,"Par4ScoringAverage",2015
95,95,"Jason Gore",76,4.04,3159,782,"Par4ScoringAverage",2015
95,95,"Luke Guthrie",84,4.04,3561,881,"Par4ScoringAverage",2015
95,95,"Adam Hadwin",95,4.04,4019,995,"Par4ScoringAverage",2015
95,95,"James Hahn",94,4.04,4100,1016,"Par4ScoringAverage",2015
95,95,"Morgan Hoffmann",85,4.04,3748,927,"Par4ScoringAverage",2015
95,95,"Charles Howell III",105,4.04,4541,1123,"Par4ScoringAverage",2015
