"ScramblingfromOtherLocations_RANKTHISWEEK_2015","ScramblingfromOtherLocations_RANKLASTWEEK_2015","ScramblingfromOtherLocations_PLAYERNAME_2015","ScramblingfromOtherLocations_ROUNDS_2015","ScramblingfromOtherLocations_Pct_2015","ScramblingfromOtherLocations_SUCCESSES_2015","ScramblingfromOtherLocations_ATTEMPTS_2015","stat_name","year"
1,1,"Jason Day",75,70.79,63,89,"ScramblingfromOtherLocations",2015
2,2,"Jason Dufner",76,69.79,67,96,"ScramblingfromOtherLocations",2015
3,3,"Steven Alker",62,69.75,83,119,"ScramblingfromOtherLocations",2015
4,4,"Jamie Donaldson",50,68.97,40,58,"ScramblingfromOtherLocations",2015
5,5,"Jonathan Byrd",69,68.64,81,118,"ScramblingfromOtherLocations",2015
6,6,"Ben Crane",62,68.1,79,116,"ScramblingfromOtherLocations",2015
7,7,"SJ Park",79,67.72,107,158,"ScramblingfromOtherLocations",2015
8,8,"Dustin Johnson",75,67.68,67,99,"ScramblingfromOtherLocations",2015
9,9,"Kevin Kisner",104,67.06,114,170,"ScramblingfromOtherLocations",2015
10,10,"William McGirt",103,66.48,119,179,"ScramblingfromOtherLocations",2015
11,11,"Kevin Na",98,66.45,103,155,"ScramblingfromOtherLocations",2015
12,12,"John Peterson",84,66.42,91,137,"ScramblingfromOtherLocations",2015
13,13,"Patrick Rodgers",57,66.25,53,80,"ScramblingfromOtherLocations",2015
14,14,"KJ Choi",66,66.13,82,124,"ScramblingfromOtherLocations",2015
15,15,"Ian Poulter",68,65.98,64,97,"ScramblingfromOtherLocations",2015
16,16,"Mark Hubbard",79,65.81,102,155,"ScramblingfromOtherLocations",2015
16,16,"Pat Perez",96,65.81,102,155,"ScramblingfromOtherLocations",2015
18,18,"Henrik Stenson",63,65.63,42,64,"ScramblingfromOtherLocations",2015
19,19,"Brandt Snedeker",98,65.33,98,150,"ScramblingfromOtherLocations",2015
20,20,"Hunter Mahan",88,65.14,71,109,"ScramblingfromOtherLocations",2015
21,21,"Billy Hurley III",83,65.12,84,129,"ScramblingfromOtherLocations",2015
22,22,"Jon Curran",83,65.07,95,146,"ScramblingfromOtherLocations",2015
23,23,"Vijay Singh",78,64.84,83,128,"ScramblingfromOtherLocations",2015
24,24,"John Huh",102,64.76,136,210,"ScramblingfromOtherLocations",2015
24,24,"Hideki Matsuyama",95,64.76,68,105,"ScramblingfromOtherLocations",2015
26,26,"Webb Simpson",81,64.71,66,102,"ScramblingfromOtherLocations",2015
27,27,"Jerry Kelly",79,64.63,95,147,"ScramblingfromOtherLocations",2015
