"RightTendency_RANKTHISWEEK_2011","RightTendency_RANKLASTWEEK_2011","RightTendency_PLAYERNAME_2011","RightTendency_EVENTS_2011","RightTendency_Pct_2011","RightTendency_NUMBEROFTIMES_2011","RightTendency_ATTEMPTS_2011","RightTendency_AVGRTPSCORE_2011","stat_name","year"
1,1,"Kevin Stadler",27,36.4,124,341,0.97,"RightTendency",2011
2,2,"Jason Bohn",22,38.5,111,288,2.43,"RightTendency",2011
3,3,"Billy Horschel",25,39.8,106,266,1.98,"RightTendency",2011
4,4,"Garrett Willis",24,40,106,265,3.77,"RightTendency",2011
5,5,"Ben Curtis",23,40.3,93,231,1.61,"RightTendency",2011
6,6,"Padraig Harrington",18,41.7,108,259,1.3,"RightTendency",2011
7,7,"Arjun Atwal",29,41.9,189,451,2.49,"RightTendency",2011
8,8,"Vaughn Taylor",27,42.6,169,397,1.01,"RightTendency",2011
9,9,"Lucas Glover",23,42.7,132,309,1.97,"RightTendency",2011
10,10,"Dean Wilson",22,42.8,110,257,1.91,"RightTendency",2011
11,11,"Davis Love III",22,42.9,109,254,1.83,"RightTendency",2011
12,12,"David Duval",24,43.1,154,357,1.36,"RightTendency",2011
12,12,"YE Yang",18,43.1,88,204,2.27,"RightTendency",2011
14,14,"Lee Janzen",19,43.8,102,233,2.35,"RightTendency",2011
15,15,"Scott McCarron",22,44,113,257,3.1,"RightTendency",2011
16,16,"Steven Bowditch",28,44.1,190,431,2,"RightTendency",2011
17,17,"Bill Haas",26,44.3,151,341,0.93,"RightTendency",2011
18,18,"Luke Donald",19,44.4,104,234,0,"RightTendency",2011
18,18,"Webb Simpson",26,44.4,182,410,0.66,"RightTendency",2011
20,20,"Anthony Kim",26,44.5,166,373,1.14,"RightTendency",2011
21,21,"Michael Bradley",24,44.6,149,334,1.74,"RightTendency",2011
22,22,"Michael Connell",26,44.8,145,324,3.52,"RightTendency",2011
22,22,"Paul Stankowski",24,44.8,155,346,2.26,"RightTendency",2011
24,24,"Angel Cabrera",17,45,95,211,2.32,"RightTendency",2011
25,25,"Richard Johnson",23,45.1,119,264,2.77,"RightTendency",2011
26,26,"Brandt Snedeker",26,45.2,145,321,0.9,"RightTendency",2011
27,27,"Derek Lamely",26,45.3,159,351,2.26,"RightTendency",2011
27,27,"Andres Romero",22,45.3,162,358,2.59,"RightTendency",2011
29,29,"Spencer Levin",31,45.6,205,450,1.41,"RightTendency",2011
30,30,"Kevin Na",26,45.8,171,373,0.7,"RightTendency",2011
31,31,"Phil Mickelson",21,46,161,350,0.31,"RightTendency",2011
32,32,"Steve Stricker",19,46.1,113,245,0.09,"RightTendency",2011
33,33,"Harrison Frazar",19,46.2,114,247,0.53,"RightTendency",2011
33,33,"Paul Goydos",25,46.2,141,305,2.7,"RightTendency",2011
35,35,"Robert Karlsson",18,46.4,115,248,0.96,"RightTendency",2011
35,35,"Alex Prugh",29,46.4,181,390,2.71,"RightTendency",2011
37,37,"Roland Thatcher",22,46.6,146,313,2.26,"RightTendency",2011
38,38,"Joe Ogilvie",24,46.8,156,333,1.03,"RightTendency",2011
39,39,"Keegan Bradley",28,46.9,183,390,1.31,"RightTendency",2011
39,39,"Adam Scott",18,46.9,92,196,0.76,"RightTendency",2011
41,41,"Rod Pampling",21,47,119,253,1.76,"RightTendency",2011
42,42,"Matt Kuchar",24,47.6,160,336,2.06,"RightTendency",2011
43,43,"Graeme McDowell",16,47.7,73,153,0.82,"RightTendency",2011
44,44,"Steve Flesch",27,48,197,410,1.47,"RightTendency",2011
44,44,"Justin Hicks",23,48,85,177,4.35,"RightTendency",2011
44,44,"Martin Piller",23,48,145,302,2.55,"RightTendency",2011
47,47,"Woody Austin",18,48.1,102,212,0.88,"RightTendency",2011
47,47,"Sean OHair",24,48.1,166,345,2.71,"RightTendency",2011
49,49,"Ricky Barnes",23,48.2,164,340,2.01,"RightTendency",2011
49,49,"Carl Pettersson",27,48.2,214,444,1.31,"RightTendency",2011
51,51,"Matt Bettencourt",30,48.4,209,432,1.87,"RightTendency",2011
52,52,"Ryan Moore",22,48.6,138,284,2.46,"RightTendency",2011
53,53,"JJ Henry",28,48.7,165,339,2.67,"RightTendency",2011
54,54,"Cameron Beckman",25,48.8,156,320,2.18,"RightTendency",2011
55,55,"Gary Woodland",25,49,179,365,0.78,"RightTendency",2011
56,56,"Nick OHern",29,49.1,137,279,1.61,"RightTendency",2011
56,56,"Nick Watney",22,49.1,165,336,0.48,"RightTendency",2011
58,58,"Stuart Appleby",24,49.2,164,333,1.59,"RightTendency",2011
59,59,"Chris Riley",25,49.4,132,267,2.12,"RightTendency",2011
60,60,"Shaun Micheel",27,49.5,181,366,2.38,"RightTendency",2011
61,61,"Jim Furyk",26,49.6,137,276,1.68,"RightTendency",2011
62,62,"Scott Gutschewski",23,49.7,147,296,2.45,"RightTendency",2011
62,62,"Johnson Wagner",25,49.7,152,306,2.11,"RightTendency",2011
64,64,"James Driscoll",24,49.9,168,337,2.8,"RightTendency",2011
64,64,"Jhonattan Vegas",25,49.9,194,389,1.91,"RightTendency",2011
66,66,"JP Hayes",19,50,112,224,1.61,"RightTendency",2011
67,67,"Ryan Palmer",24,50.1,174,347,1.49,"RightTendency",2011
68,68,"Robert Allenby",25,50.2,159,317,2.83,"RightTendency",2011
69,69,"Jim Herman",22,50.3,159,316,1.76,"RightTendency",2011
70,70,"Rich Beem",21,50.5,107,212,2.99,"RightTendency",2011
70,70,"Ernie Els",21,50.5,153,303,2.22,"RightTendency",2011
70,70,"Tommy Gainey",34,50.5,242,479,1.82,"RightTendency",2011
73,73,"Ryuji Imada",29,50.6,202,399,2.13,"RightTendency",2011
74,74,"Steve Marino",23,50.7,155,306,1.03,"RightTendency",2011
74,74,"Chez Reavie",27,50.7,181,357,2.15,"RightTendency",2011
74,74,"Nate Smith",24,50.7,140,276,3,"RightTendency",2011
77,77,"Michael Putnam",21,50.8,154,303,2.08,"RightTendency",2011
77,77,"Alexandre Rocha",22,50.8,126,248,3.25,"RightTendency",2011
79,79,"Brendon de Jonge",30,50.9,219,430,0.87,"RightTendency",2011
80,80,"DJ Brigman",23,51.1,162,317,3.15,"RightTendency",2011
80,80,"Zach Johnson",23,51.1,119,233,1.26,"RightTendency",2011
80,80,"Ian Poulter",16,51.1,91,178,0.88,"RightTendency",2011
83,83,"Colt Knost",27,51.2,153,299,2.42,"RightTendency",2011
83,83,"William McGirt",32,51.2,241,471,1.29,"RightTendency",2011
83,83,"DA Points",26,51.2,173,338,1.56,"RightTendency",2011
86,86,"Geoff Ogilvy",21,51.3,139,271,1.58,"RightTendency",2011
86,86,"Bubba Watson",22,51.3,157,306,0.89,"RightTendency",2011
88,88,"Stephen Ames",22,51.5,137,266,1.39,"RightTendency",2011
89,89,"Jonathan Byrd",26,51.6,189,366,1.85,"RightTendency",2011
89,89,"John Senden",26,51.6,180,349,1.89,"RightTendency",2011
91,91,"KJ Choi",22,51.7,149,288,1.28,"RightTendency",2011
91,91,"Hunter Mahan",25,51.7,184,356,1.36,"RightTendency",2011
93,93,"Vijay Singh",25,52,198,381,1.26,"RightTendency",2011
94,94,"Chris Couch",21,52.1,151,290,-0.13,"RightTendency",2011
94,94,"Rickie Fowler",24,52.1,190,365,1.26,"RightTendency",2011
96,96,"Bobby Gates",29,52.2,179,343,1.84,"RightTendency",2011
96,96,"Tom Gillis",19,52.2,130,249,3.23,"RightTendency",2011
96,96,"Tim Herron",28,52.2,230,441,1.17,"RightTendency",2011
96,96,"Bill Lunde",28,52.2,205,393,2.05,"RightTendency",2011
100,100,"Briny Baird",19,52.3,103,197,2.23,"RightTendency",2011
100,100,"Shane Bertsch",20,52.3,114,218,2.28,"RightTendency",2011
100,100,"Hunter Haas",30,52.3,213,407,1.31,"RightTendency",2011
100,100,"JB Holmes",16,52.3,147,281,1.7,"RightTendency",2011
104,104,"Kevin Kisner",24,52.4,153,292,2.16,"RightTendency",2011
104,104,"Pat Perez",24,52.4,174,332,2.01,"RightTendency",2011
104,104,"Aron Price",18,52.4,98,187,2.04,"RightTendency",2011
104,104,"Cameron Tringale",32,52.4,256,489,1.37,"RightTendency",2011
108,108,"Kent Jones",25,52.5,156,297,2.82,"RightTendency",2011
109,109,"Alex Cejka",21,52.6,110,209,0.64,"RightTendency",2011
109,109,"Trevor Immelman",25,52.6,182,346,1.1,"RightTendency",2011
111,111,"Sergio Garcia",16,52.7,126,239,1.51,"RightTendency",2011
112,112,"Matt Jones",25,52.8,190,360,2.21,"RightTendency",2011
113,113,"Joe Durant",25,52.9,109,206,2.02,"RightTendency",2011
113,113,"David Mathis",25,52.9,157,297,1.08,"RightTendency",2011
113,113,"Billy Mayfair",29,52.9,175,331,1.14,"RightTendency",2011
116,116,"Nathan Green",26,53,195,368,2.46,"RightTendency",2011
116,116,"Heath Slocum",29,53,132,249,2.42,"RightTendency",2011
118,118,"Freddie Jacobson",25,53.1,189,356,0.79,"RightTendency",2011
118,118,"Brendan Steele",27,53.1,189,356,2.91,"RightTendency",2011
118,118,"Bo Van Pelt",27,53.1,179,337,1.73,"RightTendency",2011
121,121,"Jimmy Walker",24,53.2,239,449,1.09,"RightTendency",2011
122,122,"Jason Day",21,53.4,174,326,2.07,"RightTendency",2011
122,122,"Dustin Johnson",21,53.4,155,290,0.84,"RightTendency",2011
124,124,"Tag Ridings",28,53.5,219,409,2.01,"RightTendency",2011
124,124,"Will Strickler",19,53.5,123,230,3.41,"RightTendency",2011
126,126,"Stewart Cink",22,53.6,149,278,0.81,"RightTendency",2011
127,127,"Jerry Kelly",26,53.7,130,242,3,"RightTendency",2011
127,127,"DJ Trahan",30,53.7,219,408,1.78,"RightTendency",2011
129,129,"Retief Goosen",16,53.8,112,208,1.34,"RightTendency",2011
130,130,"Martin Laird",23,53.9,167,310,1.56,"RightTendency",2011
131,131,"Chris Kirk",28,54,236,437,1.27,"RightTendency",2011
132,132,"Andres Gonzales",21,54.1,118,218,1.86,"RightTendency",2011
132,132,"Mark Wilson",26,54.1,160,296,1.06,"RightTendency",2011
134,134,"Joseph Bramlett",25,54.2,166,306,1.57,"RightTendency",2011
134,134,"Tim Petrovic",29,54.2,186,343,2.26,"RightTendency",2011
136,136,"Charley Hoffman",27,54.3,200,368,1.15,"RightTendency",2011
137,137,"Fabian Gomez",26,54.4,180,331,2.56,"RightTendency",2011
137,137,"Justin Leonard",26,54.4,184,338,1.85,"RightTendency",2011
139,139,"Charlie Wi",25,54.9,208,379,1.25,"RightTendency",2011
140,140,"Brian Gay",26,55,149,271,2.35,"RightTendency",2011
140,140,"Boo Weekley",23,55,138,251,2.39,"RightTendency",2011
142,142,"Ben Crane",23,55.1,146,265,0.82,"RightTendency",2011
143,143,"Chris DiMarco",31,55.2,197,357,1.83,"RightTendency",2011
144,144,"Chad Campbell",29,55.4,216,390,1.71,"RightTendency",2011
144,144,"Rory Sabbatini",24,55.4,186,336,0.7,"RightTendency",2011
146,146,"Chris Stroud",28,55.5,223,402,1.21,"RightTendency",2011
147,147,"Jeff Overton",26,55.7,211,379,1.42,"RightTendency",2011
