"ScramblingRoughRTPScore_RANKTHISWEEK_2013","ScramblingRoughRTPScore_RANKLASTWEEK_2013","ScramblingRoughRTPScore_PLAYERNAME_2013","ScramblingRoughRTPScore_ROUNDS_2013","ScramblingRoughRTPScore_AVGRTP_2013","ScramblingRoughRTPScore_TOTALHOLES_2013","ScramblingRoughRTPScore_TOTALRTP_2013","stat_name","year"
1,NA,"Steve Stricker",51,0.164,61,10,"ScramblingRoughRTPScore",2013
2,NA,"David Lynn",70,0.321,168,54,"ScramblingRoughRTPScore",2013
3,NA,"Sergio Garcia",65,0.326,92,30,"ScramblingRoughRTPScore",2013
4,NA,"Freddie Jacobson",63,0.342,117,40,"ScramblingRoughRTPScore",2013
5,NA,"Brandt Snedeker",79,0.346,130,45,"ScramblingRoughRTPScore",2013
6,NA,"Matt Jones",83,0.35,160,56,"ScramblingRoughRTPScore",2013
7,NA,"KJ Choi",85,0.359,117,42,"ScramblingRoughRTPScore",2013
8,NA,"Brian Gay",79,0.368,223,82,"ScramblingRoughRTPScore",2013
9,NA,"Bill Haas",85,0.371,151,56,"ScramblingRoughRTPScore",2013
9,NA,"Ian Poulter",59,0.371,89,33,"ScramblingRoughRTPScore",2013
11,NA,"Charlie Wi",75,0.372,172,64,"ScramblingRoughRTPScore",2013
12,NA,"Peter Hanson",45,0.374,107,40,"ScramblingRoughRTPScore",2013
13,NA,"Stuart Appleby",88,0.379,182,69,"ScramblingRoughRTPScore",2013
14,NA,"Scott Langley",79,0.389,149,58,"ScramblingRoughRTPScore",2013
15,NA,"Richard Lee",81,0.391,161,63,"ScramblingRoughRTPScore",2013
16,NA,"Justin Leonard",86,0.392,186,73,"ScramblingRoughRTPScore",2013
16,NA,"Kevin Streelman",86,0.392,171,67,"ScramblingRoughRTPScore",2013
18,NA,"Luke Guthrie",82,0.393,196,77,"ScramblingRoughRTPScore",2013
19,NA,"Tim Clark",64,0.394,109,43,"ScramblingRoughRTPScore",2013
20,NA,"Justin Rose",62,0.395,86,34,"ScramblingRoughRTPScore",2013
21,NA,"Jonas Blixt",76,0.398,186,74,"ScramblingRoughRTPScore",2013
21,NA,"Graeme McDowell",53,0.398,98,39,"ScramblingRoughRTPScore",2013
23,NA,"Lee Williams",62,0.399,138,55,"ScramblingRoughRTPScore",2013
24,NA,"Brendon de Jonge",110,0.4,210,84,"ScramblingRoughRTPScore",2013
24,NA,"Phil Mickelson",78,0.4,160,64,"ScramblingRoughRTPScore",2013
24,NA,"Ryan Moore",72,0.4,150,60,"ScramblingRoughRTPScore",2013
27,NA,"Bryce Molder",82,0.402,174,70,"ScramblingRoughRTPScore",2013
27,NA,"Jimmy Walker",84,0.402,169,68,"ScramblingRoughRTPScore",2013
29,NA,"Bo Van Pelt",72,0.404,114,46,"ScramblingRoughRTPScore",2013
30,NA,"Ted Potter Jr",65,0.406,128,52,"ScramblingRoughRTPScore",2013
31,NA,"Brian Davis",91,0.409,208,85,"ScramblingRoughRTPScore",2013
32,NA,"DA Points",87,0.41,178,73,"ScramblingRoughRTPScore",2013
33,NA,"Martin Flores",83,0.413,179,74,"ScramblingRoughRTPScore",2013
