"RoughTendency_RANKTHISWEEK_2006","RoughTendency_RANKLASTWEEK_2006","RoughTendency_PLAYERNAME_2006","RoughTendency_ROUNDS_2006","RoughTendency_Pct_2006","RoughTendency_TOTALROUGH_2006","RoughTendency_POSSIBLEFWYS_2006","RoughTendency_RELATIVETOPAR_2006","stat_name","year"
1,1,"Fred Funk",106,16.25,206,1268,1.99,"RoughTendency",2006
2,2,"Joe Durant",101,16.3,229,1405,1.75,"RoughTendency",2006
3,3,"Larry Mize",53,16.69,109,653,2.48,"RoughTendency",2006
4,4,"Omar Uresti",61,17.9,147,821,1.43,"RoughTendency",2006
5,5,"Heath Slocum",96,18.02,224,1243,1.38,"RoughTendency",2006
6,6,"Paul Goydos",72,18.1,181,1000,1.49,"RoughTendency",2006
7,7,"Kirk Triplett",58,18.3,138,754,2.03,"RoughTendency",2006
8,8,"Skip Kendall",72,18.37,174,947,1.55,"RoughTendency",2006
9,9,"Scott Verplank",88,18.5,190,1027,1.84,"RoughTendency",2006
10,10,"Daisuke Maruyama",83,18.53,204,1101,2.16,"RoughTendency",2006
11,11,"Greg Kraft",79,19.53,199,1019,1.91,"RoughTendency",2006
12,12,"John Cook",67,19.57,171,874,1.87,"RoughTendency",2006
13,13,"Jim Furyk",89,19.58,198,1011,1.01,"RoughTendency",2006
14,14,"Olin Browne",108,19.68,259,1316,2.78,"RoughTendency",2006
15,15,"Jeff Maggert",81,19.69,206,1046,2.28,"RoughTendency",2006
16,16,"Brian Davis",92,19.9,250,1256,1.28,"RoughTendency",2006
17,17,"Jerry Kelly",100,19.92,255,1280,1.69,"RoughTendency",2006
18,18,"Chris Riley",86,20.18,219,1085,1.87,"RoughTendency",2006
19,19,"Bart Bryant",87,20.27,210,1036,1.19,"RoughTendency",2006
20,20,"Billy Mayfair",94,20.29,238,1173,0.63,"RoughTendency",2006
21,21,"Corey Pavin",74,20.45,182,890,1.54,"RoughTendency",2006
