"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2014","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2014","BirdieorBetterPercentageLeftRough_PLAYERNAME_2014","BirdieorBetterPercentageLeftRough_ROUNDS_2014","BirdieorBetterPercentageLeftRough_Pct_2014","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2014","BirdieorBetterPercentageLeftRough_TOTALHOLES_2014","stat_name","year"
1,1,"Rory McIlroy",66,26.26,26,99,"BirdieorBetterPercentageLeftRough",2014
2,2,"John Merrick",87,25.66,29,113,"BirdieorBetterPercentageLeftRough",2014
3,3,"Brooks Koepka",56,23.46,19,81,"BirdieorBetterPercentageLeftRough",2014
4,4,"Charl Schwartzel",64,23.4,22,94,"BirdieorBetterPercentageLeftRough",2014
5,5,"Henrik Stenson",56,22.92,11,48,"BirdieorBetterPercentageLeftRough",2014
6,6,"Jhonattan Vegas",77,22.12,25,113,"BirdieorBetterPercentageLeftRough",2014
7,7,"Matt Jones",83,21.93,25,114,"BirdieorBetterPercentageLeftRough",2014
8,8,"Bubba Watson",76,21.78,22,101,"BirdieorBetterPercentageLeftRough",2014
9,9,"Matt Every",85,21.33,32,150,"BirdieorBetterPercentageLeftRough",2014
10,10,"Lee Westwood",57,20.59,14,68,"BirdieorBetterPercentageLeftRough",2014
11,11,"Aaron Baddeley",74,20.48,17,83,"BirdieorBetterPercentageLeftRough",2014
12,12,"Troy Merritt",62,20.27,15,74,"BirdieorBetterPercentageLeftRough",2014
13,13,"Sangmoon Bae",76,20,19,95,"BirdieorBetterPercentageLeftRough",2014
13,13,"Dustin Johnson",58,20,17,85,"BirdieorBetterPercentageLeftRough",2014
15,15,"Jimmy Walker",98,19.62,31,158,"BirdieorBetterPercentageLeftRough",2014
16,16,"Carl Pettersson",91,19.53,33,169,"BirdieorBetterPercentageLeftRough",2014
17,17,"Charles Howell III",106,18.89,41,217,"BirdieorBetterPercentageLeftRough",2014
18,18,"Charlie Beljan",76,18.85,23,122,"BirdieorBetterPercentageLeftRough",2014
19,19,"Ryan Palmer",85,18.84,26,138,"BirdieorBetterPercentageLeftRough",2014
20,20,"Shawn Stefani",60,18.69,20,107,"BirdieorBetterPercentageLeftRough",2014
21,21,"Boo Weekley",73,18.67,14,75,"BirdieorBetterPercentageLeftRough",2014
22,22,"Angel Cabrera",69,18.6,24,129,"BirdieorBetterPercentageLeftRough",2014
23,23,"Brice Garnett",92,18.46,24,130,"BirdieorBetterPercentageLeftRough",2014
24,24,"Marc Leishman",81,18.18,20,110,"BirdieorBetterPercentageLeftRough",2014
25,25,"Brendon de Jonge",109,17.88,27,151,"BirdieorBetterPercentageLeftRough",2014
26,26,"Chad Campbell",57,17.5,14,80,"BirdieorBetterPercentageLeftRough",2014
26,26,"Kevin Tway",64,17.5,14,80,"BirdieorBetterPercentageLeftRough",2014
28,28,"Jamie Lovemark",64,17.44,15,86,"BirdieorBetterPercentageLeftRough",2014
29,29,"Martin Laird",66,17.35,17,98,"BirdieorBetterPercentageLeftRough",2014
30,30,"Jim Furyk",84,17.33,13,75,"BirdieorBetterPercentageLeftRough",2014
31,31,"Jonathan Byrd",76,17.27,19,110,"BirdieorBetterPercentageLeftRough",2014
31,31,"Greg Chalmers",85,17.27,19,110,"BirdieorBetterPercentageLeftRough",2014
31,31,"Hideki Matsuyama",82,17.27,19,110,"BirdieorBetterPercentageLeftRough",2014
34,34,"George McNeill",79,17.2,16,93,"BirdieorBetterPercentageLeftRough",2014
35,35,"Kevin Kisner",85,17.12,19,111,"BirdieorBetterPercentageLeftRough",2014
36,36,"Martin Flores",85,17.05,22,129,"BirdieorBetterPercentageLeftRough",2014
37,37,"Andres Romero",81,17.01,25,147,"BirdieorBetterPercentageLeftRough",2014
38,38,"Ian Poulter",57,16.92,11,65,"BirdieorBetterPercentageLeftRough",2014
39,39,"Phil Mickelson",71,16.83,17,101,"BirdieorBetterPercentageLeftRough",2014
40,40,"Geoff Ogilvy",84,16.78,24,143,"BirdieorBetterPercentageLeftRough",2014
41,41,"Jason Dufner",57,16.67,11,66,"BirdieorBetterPercentageLeftRough",2014
42,42,"Jason Kokrak",65,16.54,22,133,"BirdieorBetterPercentageLeftRough",2014
43,43,"Hudson Swafford",75,16.49,16,97,"BirdieorBetterPercentageLeftRough",2014
44,44,"Tommy Gainey",73,16.36,18,110,"BirdieorBetterPercentageLeftRough",2014
45,45,"Charley Hoffman",93,16.24,19,117,"BirdieorBetterPercentageLeftRough",2014
46,46,"Tim Clark",75,16.22,12,74,"BirdieorBetterPercentageLeftRough",2014
47,47,"Mark Wilson",69,16.18,11,68,"BirdieorBetterPercentageLeftRough",2014
48,48,"Wes Roach",67,16.05,13,81,"BirdieorBetterPercentageLeftRough",2014
49,49,"Steven Bowditch",93,16,28,175,"BirdieorBetterPercentageLeftRough",2014
49,49,"Zach Johnson",97,16,20,125,"BirdieorBetterPercentageLeftRough",2014
49,49,"Jerry Kelly",80,16,16,100,"BirdieorBetterPercentageLeftRough",2014
