"BestYTD1PuttorBetterStreak_RANKTHISWEEK_2009","BestYTD1PuttorBetterStreak_RANKLASTWEEK_2009","BestYTD1PuttorBetterStreak_PLAYERNAME_2009","BestYTD1PuttorBetterStreak_EVENTS_2009","BestYTD1PuttorBetterStreak_VALUE_2009","stat_name","year"
1,1,"Jonathan Kaye",17,12,"BestYTD1PuttorBetterStreak",2009
2,2,"Bob Heintz",20,11,"BestYTD1PuttorBetterStreak",2009
2,2,"Joe Ogilvie",29,11,"BestYTD1PuttorBetterStreak",2009
2,2,"Leif Olson",21,11,"BestYTD1PuttorBetterStreak",2009
2,2,"Kenny Perry",24,11,"BestYTD1PuttorBetterStreak",2009
6,6,"Cameron Beckman",26,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Rich Beem",26,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Ronnie Black",3,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Stewart Cink",22,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Ben Curtis",18,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Brian Davis",32,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Luke Donald",21,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Jim Furyk",23,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Sergio Garcia",17,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Brian Gay",27,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Charles Howell III",29,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Freddie Jacobson",25,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Jeff Klauk",29,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Steve Lowery",27,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Sandy Lyle",2,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Prayad Marksaeng",6,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Scott McCarron",27,10,"BestYTD1PuttorBetterStreak",2009
6,6,"James Nitties",27,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Nick OHern",27,10,"BestYTD1PuttorBetterStreak",2009
6,6,"Tim Petrovic",31,10,"BestYTD1PuttorBetterStreak",2009
