"Round1ScoringAverage_RANKTHISWEEK_2011","Round1ScoringAverage_RANKLASTWEEK_2011","Round1ScoringAverage_PLAYERNAME_2011","Round1ScoringAverage__2011","Round1ScoringAverage_AVG_2011","Round1ScoringAverage_TOTALSTROKES_2011","Round1ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Nick Watney",NA,69.19,1453,21,"Round1ScoringAverage",2011
2,2,"Matt Kuchar",NA,69.22,1592,23,"Round1ScoringAverage",2011
3,3,"Luke Donald",NA,69.44,1250,18,"Round1ScoringAverage",2011
4,4,"Steve Stricker",NA,69.5,1251,18,"Round1ScoringAverage",2011
5,5,"Webb Simpson",NA,69.62,1810,26,"Round1ScoringAverage",2011
6,6,"Chris Couch",NA,69.71,1464,21,"Round1ScoringAverage",2011
7,7,"Bill Haas",NA,69.72,1743,25,"Round1ScoringAverage",2011
8,8,"David Toms",NA,69.73,1534,22,"Round1ScoringAverage",2011
9,9,"Kyle Stanley",NA,69.82,1955,28,"Round1ScoringAverage",2011
10,10,"Adam Scott",NA,69.88,1188,17,"Round1ScoringAverage",2011
11,11,"Brendon de Jonge",NA,69.93,2098,30,"Round1ScoringAverage",2011
12,12,"Jason Dufner",NA,69.96,1609,23,"Round1ScoringAverage",2011
12,12,"Chris Riley",NA,69.96,1749,25,"Round1ScoringAverage",2011
14,14,"Ben Crane",NA,70,1540,22,"Round1ScoringAverage",2011
14,14,"Phil Mickelson",NA,70,1400,20,"Round1ScoringAverage",2011
16,16,"Rory Sabbatini",NA,70.04,1681,24,"Round1ScoringAverage",2011
17,17,"Stewart Cink",NA,70.05,1471,21,"Round1ScoringAverage",2011
18,18,"Hunter Mahan",NA,70.08,1682,24,"Round1ScoringAverage",2011
19,19,"Brandt Jobe",NA,70.11,1963,28,"Round1ScoringAverage",2011
20,20,"Mark Wilson",NA,70.12,1753,25,"Round1ScoringAverage",2011
21,21,"Sergio Garcia",NA,70.13,1122,16,"Round1ScoringAverage",2011
21,21,"Charles Howell III",NA,70.13,2104,30,"Round1ScoringAverage",2011
23,23,"John Merrick",NA,70.14,1473,21,"Round1ScoringAverage",2011
24,24,"Chez Reavie",NA,70.15,1894,27,"Round1ScoringAverage",2011
24,24,"John Senden",NA,70.15,1824,26,"Round1ScoringAverage",2011
26,26,"YE Yang",NA,70.18,1193,17,"Round1ScoringAverage",2011
27,27,"DA Points",NA,70.19,1825,26,"Round1ScoringAverage",2011
28,28,"Ryan Moore",NA,70.24,1475,21,"Round1ScoringAverage",2011
28,28,"Gary Woodland",NA,70.24,1756,25,"Round1ScoringAverage",2011
30,30,"Jason Day",NA,70.25,1405,20,"Round1ScoringAverage",2011
31,31,"Spencer Levin",NA,70.26,2178,31,"Round1ScoringAverage",2011
31,31,"Carl Pettersson",NA,70.26,1897,27,"Round1ScoringAverage",2011
33,33,"David Hearn",NA,70.27,1827,26,"Round1ScoringAverage",2011
34,34,"Padraig Harrington",NA,70.29,1195,17,"Round1ScoringAverage",2011
35,35,"Kris Blanks",NA,70.31,2039,29,"Round1ScoringAverage",2011
35,35,"Brian Gay",NA,70.31,1828,26,"Round1ScoringAverage",2011
37,37,"Charlie Wi",NA,70.32,1758,25,"Round1ScoringAverage",2011
38,38,"John Rollins",NA,70.33,1899,27,"Round1ScoringAverage",2011
39,39,"Chad Campbell",NA,70.34,2040,29,"Round1ScoringAverage",2011
40,40,"Steve Marino",NA,70.35,1618,23,"Round1ScoringAverage",2011
41,41,"Freddie Jacobson",NA,70.36,1759,25,"Round1ScoringAverage",2011
42,42,"Rickie Fowler",NA,70.39,1619,23,"Round1ScoringAverage",2011
43,43,"Robert Garrigus",NA,70.4,1760,25,"Round1ScoringAverage",2011
44,44,"KJ Choi",NA,70.43,1479,21,"Round1ScoringAverage",2011
45,45,"Charley Hoffman",NA,70.46,1832,26,"Round1ScoringAverage",2011
46,46,"Ben Martin",NA,70.48,1762,25,"Round1ScoringAverage",2011
47,47,"Jonathan Byrd",NA,70.52,1763,25,"Round1ScoringAverage",2011
47,47,"Ryan Palmer",NA,70.52,1622,23,"Round1ScoringAverage",2011
49,49,"Fabian Gomez",NA,70.54,1834,26,"Round1ScoringAverage",2011
50,50,"Woody Austin",NA,70.56,1270,18,"Round1ScoringAverage",2011
51,51,"JJ Henry",NA,70.57,1976,28,"Round1ScoringAverage",2011
51,51,"Rod Pampling",NA,70.57,1482,21,"Round1ScoringAverage",2011
53,53,"Briny Baird",NA,70.58,1341,19,"Round1ScoringAverage",2011
54,54,"Angel Cabrera",NA,70.59,1200,17,"Round1ScoringAverage",2011
54,54,"Davis Love III",NA,70.59,1553,22,"Round1ScoringAverage",2011
54,54,"Vaughn Taylor",NA,70.59,1906,27,"Round1ScoringAverage",2011
57,57,"Jerry Kelly",NA,70.65,1837,26,"Round1ScoringAverage",2011
58,58,"Billy Mayfair",NA,70.66,2049,29,"Round1ScoringAverage",2011
59,59,"Retief Goosen",NA,70.67,1060,15,"Round1ScoringAverage",2011
59,59,"Hunter Haas",NA,70.67,2120,30,"Round1ScoringAverage",2011
59,59,"Aron Price",NA,70.67,1272,18,"Round1ScoringAverage",2011
62,62,"Lee Janzen",NA,70.68,1343,19,"Round1ScoringAverage",2011
62,62,"Martin Laird",NA,70.68,1555,22,"Round1ScoringAverage",2011
62,62,"Tag Ridings",NA,70.68,1979,28,"Round1ScoringAverage",2011
62,62,"Josh Teater",NA,70.68,2191,31,"Round1ScoringAverage",2011
66,66,"Ricky Barnes",NA,70.7,1626,23,"Round1ScoringAverage",2011
66,66,"Brian Davis",NA,70.7,2121,30,"Round1ScoringAverage",2011
66,66,"Geoff Ogilvy",NA,70.7,1414,20,"Round1ScoringAverage",2011
69,69,"Robert Allenby",NA,70.71,1697,24,"Round1ScoringAverage",2011
69,69,"Scott Stallings",NA,70.71,1980,28,"Round1ScoringAverage",2011
71,71,"Alexandre Rocha",NA,70.73,1556,22,"Round1ScoringAverage",2011
72,72,"William McGirt",NA,70.75,2264,32,"Round1ScoringAverage",2011
73,73,"Tim Petrovic",NA,70.79,2053,29,"Round1ScoringAverage",2011
74,74,"Trevor Immelman",NA,70.8,1770,25,"Round1ScoringAverage",2011
74,74,"Jeff Overton",NA,70.8,1770,25,"Round1ScoringAverage",2011
76,76,"Jim Herman",NA,70.82,1558,22,"Round1ScoringAverage",2011
77,77,"Joe Ogilvie",NA,70.83,1700,24,"Round1ScoringAverage",2011
78,78,"Scott Piercy",NA,70.87,1630,23,"Round1ScoringAverage",2011
79,79,"Michael Bradley",NA,70.88,1701,24,"Round1ScoringAverage",2011
79,79,"Matt Jones",NA,70.88,1772,25,"Round1ScoringAverage",2011
81,81,"Keegan Bradley",NA,70.89,1985,28,"Round1ScoringAverage",2011
81,81,"Steve Flesch",NA,70.89,1914,27,"Round1ScoringAverage",2011
83,83,"George McNeill",NA,70.9,1489,21,"Round1ScoringAverage",2011
