"BirdieorBetterPercentageFairway_RANKTHISWEEK_2015","BirdieorBetterPercentageFairway_RANKLASTWEEK_2015","BirdieorBetterPercentageFairway_PLAYERNAME_2015","BirdieorBetterPercentageFairway_ROUNDS_2015","BirdieorBetterPercentageFairway_Pct_2015","BirdieorBetterPercentageFairway_TOTALBIRDIES_2015","BirdieorBetterPercentageFairway_TOTALHOLES_2015","stat_name","year"
68,68,"Brandt Snedeker",98,22.77,222,975,"BirdieorBetterPercentageFairway",2015
70,70,"David Lingmerth",90,22.74,229,1007,"BirdieorBetterPercentageFairway",2015
71,71,"Alex Prugh",84,22.73,220,968,"BirdieorBetterPercentageFairway",2015
72,72,"Stewart Cink",77,22.71,196,863,"BirdieorBetterPercentageFairway",2015
72,72,"Luke Guthrie",84,22.71,201,885,"BirdieorBetterPercentageFairway",2015
74,74,"Graham DeLaet",65,22.67,170,750,"BirdieorBetterPercentageFairway",2015
74,74,"Brian Harman",90,22.67,236,1041,"BirdieorBetterPercentageFairway",2015
74,74,"Camilo Villegas",83,22.67,209,922,"BirdieorBetterPercentageFairway",2015
77,77,"Rory Sabbatini",81,22.66,191,843,"BirdieorBetterPercentageFairway",2015
78,78,"Lucas Glover",79,22.64,223,985,"BirdieorBetterPercentageFairway",2015
79,79,"Andrew Putnam",68,22.6,153,677,"BirdieorBetterPercentageFairway",2015
80,80,"Brendon Todd",96,22.59,241,1067,"BirdieorBetterPercentageFairway",2015
80,80,"Bo Van Pelt",81,22.59,197,872,"BirdieorBetterPercentageFairway",2015
82,82,"James Hahn",94,22.57,232,1028,"BirdieorBetterPercentageFairway",2015
82,82,"Webb Simpson",81,22.57,197,873,"BirdieorBetterPercentageFairway",2015
84,84,"Daniel Summerhays",101,22.56,261,1157,"BirdieorBetterPercentageFairway",2015
85,85,"Andres Romero",69,22.46,146,650,"BirdieorBetterPercentageFairway",2015
86,86,"Sangmoon Bae",98,22.45,251,1118,"BirdieorBetterPercentageFairway",2015
87,87,"KJ Choi",66,22.44,171,762,"BirdieorBetterPercentageFairway",2015
87,87,"Chris Kirk",76,22.44,164,731,"BirdieorBetterPercentageFairway",2015
89,89,"Jim Furyk",71,22.43,166,740,"BirdieorBetterPercentageFairway",2015
90,90,"Nick Watney",91,22.42,245,1093,"BirdieorBetterPercentageFairway",2015
91,91,"Jonas Blixt",78,22.4,151,674,"BirdieorBetterPercentageFairway",2015
92,92,"Greg Owen",58,22.39,116,518,"BirdieorBetterPercentageFairway",2015
93,93,"Steven Alker",62,22.36,161,720,"BirdieorBetterPercentageFairway",2015
94,94,"Derek Fathauer",81,22.35,177,792,"BirdieorBetterPercentageFairway",2015
95,95,"Marc Leishman",74,22.29,144,646,"BirdieorBetterPercentageFairway",2015
96,96,"Seung Yul Noh",65,22.22,148,666,"BirdieorBetterPercentageFairway",2015
97,97,"Brendon de Jonge",106,22.2,278,1252,"BirdieorBetterPercentageFairway",2015
98,98,"Jerry Kelly",79,22.11,205,927,"BirdieorBetterPercentageFairway",2015
98,98,"William McGirt",103,22.11,297,1343,"BirdieorBetterPercentageFairway",2015
98,98,"George McNeill",93,22.11,270,1221,"BirdieorBetterPercentageFairway",2015
101,101,"Russell Knox",96,22.09,277,1254,"BirdieorBetterPercentageFairway",2015
101,101,"Geoff Ogilvy",50,22.09,95,430,"BirdieorBetterPercentageFairway",2015
101,101,"Carl Pettersson",106,22.09,275,1245,"BirdieorBetterPercentageFairway",2015
104,104,"Jason Kokrak",88,22.08,212,960,"BirdieorBetterPercentageFairway",2015
105,105,"Morgan Hoffmann",85,22.06,186,843,"BirdieorBetterPercentageFairway",2015
106,106,"Bryce Molder",91,22.01,236,1072,"BirdieorBetterPercentageFairway",2015
107,107,"Charl Schwartzel",67,21.95,115,524,"BirdieorBetterPercentageFairway",2015
108,108,"Colt Knost",90,21.94,235,1071,"BirdieorBetterPercentageFairway",2015
109,109,"Jeff Overton",94,21.9,210,959,"BirdieorBetterPercentageFairway",2015
110,110,"Angel Cabrera",53,21.83,112,513,"BirdieorBetterPercentageFairway",2015
111,111,"Adam Hadwin",95,21.82,245,1123,"BirdieorBetterPercentageFairway",2015
112,112,"Sean OHair",86,21.78,232,1065,"BirdieorBetterPercentageFairway",2015
113,113,"Ricky Barnes",82,21.77,172,790,"BirdieorBetterPercentageFairway",2015
114,114,"Chad Campbell",97,21.76,272,1250,"BirdieorBetterPercentageFairway",2015
115,115,"Jim Herman",88,21.73,236,1086,"BirdieorBetterPercentageFairway",2015
116,116,"Greg Chalmers",58,21.72,101,465,"BirdieorBetterPercentageFairway",2015
117,117,"Tyrone Van Aswegen",58,21.71,117,539,"BirdieorBetterPercentageFairway",2015
118,118,"Hunter Mahan",88,21.7,174,802,"BirdieorBetterPercentageFairway",2015
119,119,"Martin Laird",77,21.68,209,964,"BirdieorBetterPercentageFairway",2015
120,120,"Chez Reavie",56,21.64,158,730,"BirdieorBetterPercentageFairway",2015
121,121,"Cameron Tringale",96,21.62,235,1087,"BirdieorBetterPercentageFairway",2015
122,122,"Scott Brown",97,21.6,229,1060,"BirdieorBetterPercentageFairway",2015
123,123,"Retief Goosen",81,21.53,160,743,"BirdieorBetterPercentageFairway",2015
124,124,"Scott Pinckney",88,21.49,210,977,"BirdieorBetterPercentageFairway",2015
125,125,"Chad Collins",79,21.45,184,858,"BirdieorBetterPercentageFairway",2015
126,126,"Andres Gonzales",90,21.41,209,976,"BirdieorBetterPercentageFairway",2015
127,127,"Andrew Svoboda",80,21.4,196,916,"BirdieorBetterPercentageFairway",2015
127,127,"Johnson Wagner",68,21.4,165,771,"BirdieorBetterPercentageFairway",2015
129,129,"Kevin Kisner",104,21.35,275,1288,"BirdieorBetterPercentageFairway",2015
130,130,"Mark Hubbard",79,21.21,179,844,"BirdieorBetterPercentageFairway",2015
130,130,"Byron Smith",59,21.21,116,547,"BirdieorBetterPercentageFairway",2015
132,132,"Roger Sloan",56,21.15,110,520,"BirdieorBetterPercentageFairway",2015
133,133,"Louis Oosthuizen",68,21.09,128,607,"BirdieorBetterPercentageFairway",2015
134,134,"John Merrick",78,21.04,170,808,"BirdieorBetterPercentageFairway",2015
134,134,"Kyle Reifers",96,21.04,227,1079,"BirdieorBetterPercentageFairway",2015
136,136,"Ken Duke",93,21.01,229,1090,"BirdieorBetterPercentageFairway",2015
137,137,"Jhonattan Vegas",90,21,184,876,"BirdieorBetterPercentageFairway",2015
138,138,"Gary Woodland",81,20.99,140,667,"BirdieorBetterPercentageFairway",2015
139,139,"John Huh",102,20.96,263,1255,"BirdieorBetterPercentageFairway",2015
140,140,"Scott Langley",94,20.85,220,1055,"BirdieorBetterPercentageFairway",2015
141,141,"Kevin Streelman",95,20.84,213,1022,"BirdieorBetterPercentageFairway",2015
142,142,"Martin Flores",95,20.82,202,970,"BirdieorBetterPercentageFairway",2015
142,142,"Robert Garrigus",70,20.82,143,687,"BirdieorBetterPercentageFairway",2015
144,144,"Max Homa",78,20.81,159,764,"BirdieorBetterPercentageFairway",2015
145,145,"Scott Stallings",60,20.8,136,654,"BirdieorBetterPercentageFairway",2015
145,145,"Mark Wilson",89,20.8,229,1101,"BirdieorBetterPercentageFairway",2015
147,147,"Charles Howell III",105,20.7,249,1203,"BirdieorBetterPercentageFairway",2015
148,148,"Nicholas Thompson",90,20.63,202,979,"BirdieorBetterPercentageFairway",2015
149,149,"Jason Dufner",76,20.59,133,646,"BirdieorBetterPercentageFairway",2015
149,149,"Brian Stuard",97,20.59,231,1122,"BirdieorBetterPercentageFairway",2015
151,151,"Luke Donald",71,20.58,142,690,"BirdieorBetterPercentageFairway",2015
152,152,"Spencer Levin",99,20.56,243,1182,"BirdieorBetterPercentageFairway",2015
153,153,"Derek Ernst",75,20.48,171,835,"BirdieorBetterPercentageFairway",2015
154,154,"Bill Haas",89,20.45,191,934,"BirdieorBetterPercentageFairway",2015
155,155,"Zac Blair",108,20.42,253,1239,"BirdieorBetterPercentageFairway",2015
156,156,"Troy Merritt",91,20.4,223,1093,"BirdieorBetterPercentageFairway",2015
157,157,"Eric Axley",57,20.3,110,542,"BirdieorBetterPercentageFairway",2015
158,158,"Brian Davis",86,20.19,195,966,"BirdieorBetterPercentageFairway",2015
159,159,"Alex Cejka",94,20.17,214,1061,"BirdieorBetterPercentageFairway",2015
159,159,"Brice Garnett",81,20.17,171,848,"BirdieorBetterPercentageFairway",2015
161,161,"Bill Lunde",50,20.12,98,487,"BirdieorBetterPercentageFairway",2015
162,162,"John Peterson",84,19.92,211,1059,"BirdieorBetterPercentageFairway",2015
163,163,"Gonzalo Fdez Castano",81,19.91,168,844,"BirdieorBetterPercentageFairway",2015
164,164,"DA Points",72,19.86,143,720,"BirdieorBetterPercentageFairway",2015
165,165,"Roberto Castro",54,19.76,98,496,"BirdieorBetterPercentageFairway",2015
166,166,"Michael Putnam",87,19.64,174,886,"BirdieorBetterPercentageFairway",2015
167,167,"Francesco Molinari",56,19.62,123,627,"BirdieorBetterPercentageFairway",2015
168,168,"Jonathan Randolph",72,19.48,134,688,"BirdieorBetterPercentageFairway",2015
169,169,"Oscar Fraustro",58,19.45,99,509,"BirdieorBetterPercentageFairway",2015
170,170,"Davis Love III",51,19.4,110,567,"BirdieorBetterPercentageFairway",2015
171,171,"Justin Leonard",61,19.32,153,792,"BirdieorBetterPercentageFairway",2015
172,172,"Padraig Harrington",60,19.27,111,576,"BirdieorBetterPercentageFairway",2015
173,173,"Ben Crane",62,19.23,140,728,"BirdieorBetterPercentageFairway",2015
174,174,"JJ Henry",94,19.1,196,1026,"BirdieorBetterPercentageFairway",2015
175,175,"Jon Curran",83,18.88,172,911,"BirdieorBetterPercentageFairway",2015
176,176,"Jamie Donaldson",50,18.75,75,400,"BirdieorBetterPercentageFairway",2015
177,177,"David Toms",62,18.73,153,817,"BirdieorBetterPercentageFairway",2015
178,178,"Heath Slocum",57,18.57,101,544,"BirdieorBetterPercentageFairway",2015
179,179,"Tim Wilkinson",73,18.47,142,769,"BirdieorBetterPercentageFairway",2015
180,180,"Matt Every",73,18.42,119,646,"BirdieorBetterPercentageFairway",2015
181,181,"Robert Allenby",63,18.4,129,701,"BirdieorBetterPercentageFairway",2015
182,182,"Billy Hurley III",83,18.28,153,837,"BirdieorBetterPercentageFairway",2015
183,183,"Jim Renner",68,17.84,129,723,"BirdieorBetterPercentageFairway",2015
184,184,"SJ Park",79,17.28,150,868,"BirdieorBetterPercentageFairway",2015
