"Top5FinalRoundPerformance_RANKTHISWEEK_2009","Top5FinalRoundPerformance_RANKLASTWEEK_2009","Top5FinalRoundPerformance_PLAYERNAME_2009","Top5FinalRoundPerformance_EVENTS_2009","Top5FinalRoundPerformance_PctTIMESIMPROVED_2009","Top5FinalRoundPerformance_OFTIMESIMPROVED_2009","stat_name","year"
1,1,"Robert Allenby",21,100,2,"Top5FinalRoundPerformance",2009
1,1,"Ricky Barnes",23,100,1,"Top5FinalRoundPerformance",2009
1,1,"Bart Bryant",17,100,1,"Top5FinalRoundPerformance",2009
1,1,"Angel Cabrera",17,100,2,"Top5FinalRoundPerformance",2009
1,1,"Mark Calcavecchia",23,100,1,"Top5FinalRoundPerformance",2009
1,1,"Chad Campbell",26,100,2,"Top5FinalRoundPerformance",2009
1,1,"KJ Choi",22,100,1,"Top5FinalRoundPerformance",2009
1,1,"Tim Clark",23,100,2,"Top5FinalRoundPerformance",2009
1,1,"Fred Couples",16,100,2,"Top5FinalRoundPerformance",2009
1,1,"Ben Crane",27,100,1,"Top5FinalRoundPerformance",2009
1,1,"Brian Davis",32,100,1,"Top5FinalRoundPerformance",2009
1,1,"Jason Day",18,100,2,"Top5FinalRoundPerformance",2009
1,1,"Jason Dufner",26,100,1,"Top5FinalRoundPerformance",2009
1,1,"David Duval",22,100,1,"Top5FinalRoundPerformance",2009
1,1,"Sergio Garcia",17,100,1,"Top5FinalRoundPerformance",2009
1,1,"Mathew Goggin",26,100,1,"Top5FinalRoundPerformance",2009
1,1,"Todd Hamilton",29,100,1,"Top5FinalRoundPerformance",2009
1,1,"JJ Henry",28,100,2,"Top5FinalRoundPerformance",2009
1,1,"Charles Howell III",29,100,2,"Top5FinalRoundPerformance",2009
1,1,"Dustin Johnson",25,100,2,"Top5FinalRoundPerformance",2009
1,1,"Matt Jones",17,100,1,"Top5FinalRoundPerformance",2009
1,1,"Anthony Kim",22,100,3,"Top5FinalRoundPerformance",2009
1,1,"Jeff Klauk",29,100,3,"Top5FinalRoundPerformance",2009
1,1,"Martin Laird",24,100,2,"Top5FinalRoundPerformance",2009
1,1,"Marc Leishman",28,100,2,"Top5FinalRoundPerformance",2009
1,1,"Justin Leonard",26,100,3,"Top5FinalRoundPerformance",2009
1,1,"Bill Lunde",27,100,1,"Top5FinalRoundPerformance",2009
1,1,"Troy Matteson",30,100,1,"Top5FinalRoundPerformance",2009
1,1,"Phil Mickelson",18,100,4,"Top5FinalRoundPerformance",2009
1,1,"Joe Ogilvie",29,100,1,"Top5FinalRoundPerformance",2009
1,1,"Leif Olson",21,100,1,"Top5FinalRoundPerformance",2009
1,1,"Ryan Palmer",26,100,1,"Top5FinalRoundPerformance",2009
1,1,"Pat Perez",22,100,1,"Top5FinalRoundPerformance",2009
