"Approachesfrominside100yards_RANKTHISWEEK_2016","Approachesfrominside100yards_RANKLASTWEEK_2016","Approachesfrominside100yards_PLAYERNAME_2016","Approachesfrominside100yards_ROUNDS_2016","Approachesfrominside100yards_AVG_2016","Approachesfrominside100yards_TOTALDISTANCEFEET_2016","Approachesfrominside100yards_OFATTEMPTS_2016","Approachesfrominside100yards_RELATIVETOPAR_2016","stat_name","year"
1,2,"Adam Scott",39,NA,166.917,15,-0.27,"Approachesfrominside100yards",2016
2,1,"Rickie Fowler",42,NA,430.917,38,-0.34,"Approachesfrominside100yards",2016
3,3,"Stewart Cink",45,NA,479.583,40,-0.2,"Approachesfrominside100yards",2016
4,3,"Chad Collins",45,NA,502.917,41,0.12,"Approachesfrominside100yards",2016
4,6,"Hideki Matsuyama",40,NA,307,25,-0.28,"Approachesfrominside100yards",2016
6,8,"Jimmy Walker",43,NA,407.167,33,-0.24,"Approachesfrominside100yards",2016
7,13,"Byeong Hun An",23,NA,194.75,15,-0.4,"Approachesfrominside100yards",2016
8,10,"Zach Johnson",42,NA,730.583,56,-0.36,"Approachesfrominside100yards",2016
9,5,"Cameron Smith",45,NA,482.667,36,-0.17,"Approachesfrominside100yards",2016
10,9,"Justin Hicks",26,NA,447.083,33,-0.27,"Approachesfrominside100yards",2016
11,15,"Scott Piercy",45,NA,440.833,32,-0.47,"Approachesfrominside100yards",2016
12,11,"Matt Every",34,NA,623.083,45,-0.2,"Approachesfrominside100yards",2016
12,6,"JB Holmes",39,NA,566.583,41,-0.32,"Approachesfrominside100yards",2016
12,16,"Darron Stiles",28,NA,290.75,21,-0.14,"Approachesfrominside100yards",2016
15,19,"Patrick Reed",53,NA,680.5,49,-0.33,"Approachesfrominside100yards",2016
16,23,"Roberto Castro",55,NA,939.917,67,-0.31,"Approachesfrominside100yards",2016
16,19,"Sergio Garcia",28,NA,195.917,14,0,"Approachesfrominside100yards",2016
16,14,"Emiliano Grillo",47,NA,684.833,49,-0.18,"Approachesfrominside100yards",2016
19,18,"Scott Stallings",46,NA,450.083,32,0.03,"Approachesfrominside100yards",2016
20,39,"Tim Wilkinson",40,NA,570.417,40,-0.33,"Approachesfrominside100yards",2016
21,22,"Brian Gay",22,NA,544.75,38,-0.21,"Approachesfrominside100yards",2016
21,26,"Si Woo Kim",63,NA,961.833,67,-0.3,"Approachesfrominside100yards",2016
23,23,"Jon Curran",55,NA,949.667,66,-0.24,"Approachesfrominside100yards",2016
24,25,"Louis Oosthuizen",25,NA,246.5,17,-0.12,"Approachesfrominside100yards",2016
25,26,"Billy Horschel",45,NA,525.25,36,-0.11,"Approachesfrominside100yards",2016
25,29,"Colt Knost",56,NA,891,61,-0.16,"Approachesfrominside100yards",2016
25,26,"Vaughn Taylor",30,NA,596.833,41,-0.17,"Approachesfrominside100yards",2016
28,30,"Matt Kuchar",46,NA,605.417,41,-0.22,"Approachesfrominside100yards",2016
28,30,"Charl Schwartzel",29,NA,383.333,26,-0.23,"Approachesfrominside100yards",2016
28,16,"Henrik Stenson",30,NA,339.833,23,-0.35,"Approachesfrominside100yards",2016
31,32,"Dustin Johnson",37,NA,547.5,37,-0.11,"Approachesfrominside100yards",2016
31,39,"Whee Kim",54,NA,593.75,40,-0.15,"Approachesfrominside100yards",2016
31,44,"Rob Oppenheim",37,NA,489.083,33,0.03,"Approachesfrominside100yards",2016
34,11,"Brendon de Jonge",55,NA,391.833,26,-0.27,"Approachesfrominside100yards",2016
34,35,"Justin Leonard",28,NA,678.5,45,-0.13,"Approachesfrominside100yards",2016
34,35,"Bryce Molder",50,NA,993.583,66,-0.26,"Approachesfrominside100yards",2016
34,56,"Jeff Overton",51,NA,782.833,52,-0.02,"Approachesfrominside100yards",2016
34,35,"Pat Perez",28,NA,301,20,-0.15,"Approachesfrominside100yards",2016
34,47,"John Senden",48,NA,831,55,-0.31,"Approachesfrominside100yards",2016
40,38,"Luke Guthrie",31,NA,439.25,29,-0.17,"Approachesfrominside100yards",2016
41,33,"Kevin Kisner",49,NA,518.417,34,-0.15,"Approachesfrominside100yards",2016
41,33,"Will Ma Kenzie",54,NA,854.833,56,-0.2,"Approachesfrominside100yards",2016
41,21,"Phil Mickelson",37,NA,411.917,27,-0.22,"Approachesfrominside100yards",2016
44,50,"Ernie Els",34,NA,491.083,32,-0.22,"Approachesfrominside100yards",2016
45,47,"Troy Merritt",41,NA,632.833,41,-0.24,"Approachesfrominside100yards",2016
45,39,"Brendon Todd",43,NA,785.167,51,-0.18,"Approachesfrominside100yards",2016
47,56,"Erik Compton",45,NA,638.667,41,0,"Approachesfrominside100yards",2016
47,39,"Padraig Harrington",38,NA,622.5,40,-0.2,"Approachesfrominside100yards",2016
47,50,"DJ Trahan",23,NA,233.5,15,-0.27,"Approachesfrominside100yards",2016
50,53,"Seung Yul Noh",54,NA,658.083,42,-0.26,"Approachesfrominside100yards",2016
50,56,"Greg Owen",56,NA,703.917,45,-0.18,"Approachesfrominside100yards",2016
50,53,"Andy Sullivan",25,NA,172.5,11,-0.09,"Approachesfrominside100yards",2016
53,64,"Danny Lee",53,NA,582.917,37,-0.16,"Approachesfrominside100yards",2016
54,56,"Derek Fathauer",58,NA,681.667,43,-0.19,"Approachesfrominside100yards",2016
54,44,"Spencer Levin",62,NA,808.917,51,-0.08,"Approachesfrominside100yards",2016
54,56,"Kevin Na",52,NA,521.5,33,0,"Approachesfrominside100yards",2016
57,44,"Vijay Singh",42,NA,540.583,34,-0.26,"Approachesfrominside100yards",2016
57,63,"Steve Stricker",25,NA,588.583,37,-0.3,"Approachesfrominside100yards",2016
57,56,"Camilo Villegas",50,NA,670.167,42,-0.12,"Approachesfrominside100yards",2016
60,39,"Jason Bohn",37,NA,735.917,46,-0.24,"Approachesfrominside100yards",2016
61,64,"Jason Dufner",53,NA,499.417,31,-0.23,"Approachesfrominside100yards",2016
61,50,"Lucas Glover",53,NA,838.417,52,-0.17,"Approachesfrominside100yards",2016
63,56,"Stuart Appleby",39,NA,806.417,50,-0.22,"Approachesfrominside100yards",2016
64,68,"Charlie Beljan",26,NA,454.667,28,0.21,"Approachesfrominside100yards",2016
64,76,"Jonas Blixt",46,NA,600,37,-0.27,"Approachesfrominside100yards",2016
64,68,"KJ Choi",47,NA,876.333,54,-0.2,"Approachesfrominside100yards",2016
64,68,"Jason Day",36,NA,651,40,-0.33,"Approachesfrominside100yards",2016
64,68,"Charles Howell III",63,NA,912.25,56,-0.3,"Approachesfrominside100yards",2016
64,55,"Kyle Reifers",63,NA,1140.333,70,-0.16,"Approachesfrominside100yards",2016
70,72,"Hudson Swafford",52,NA,750.5,46,-0.15,"Approachesfrominside100yards",2016
71,49,"Sam Saunders",40,NA,394.417,24,-0.13,"Approachesfrominside100yards",2016
72,102,"Retief Goosen",37,NA,626.667,38,-0.13,"Approachesfrominside100yards",2016
72,76,"John Huh",51,NA,693.833,42,0.1,"Approachesfrominside100yards",2016
74,84,"Geoff Ogilvy",37,NA,713.333,43,-0.09,"Approachesfrominside100yards",2016
74,64,"Nick Taylor",57,NA,963.583,58,0.05,"Approachesfrominside100yards",2016
74,75,"Dawie van der Walt",48,NA,713.083,43,-0.16,"Approachesfrominside100yards",2016
77,99,"David Lingmerth",54,NA,966.833,58,-0.14,"Approachesfrominside100yards",2016
77,76,"Henrik Norlander",41,NA,515.75,31,-0.03,"Approachesfrominside100yards",2016
77,82,"Johnson Wagner",44,NA,549.917,33,-0.15,"Approachesfrominside100yards",2016
80,64,"Jim Herman",55,NA,720.167,43,-0.16,"Approachesfrominside100yards",2016
80,83,"Jerry Kelly",44,NA,787.5,47,-0.09,"Approachesfrominside100yards",2016
80,72,"Rory McIlroy",37,NA,401.667,24,-0.13,"Approachesfrominside100yards",2016
80,84,"David Toms",38,NA,969.917,58,-0.24,"Approachesfrominside100yards",2016
84,84,"Brooks Koepka",39,NA,695.167,41,-0.2,"Approachesfrominside100yards",2016
84,76,"Robert Streb",51,NA,627.333,37,0,"Approachesfrominside100yards",2016
86,92,"Michael Kim",62,NA,1104.5,65,-0.03,"Approachesfrominside100yards",2016
86,121,"Anirban Lahiri",44,NA,527.25,31,-0.13,"Approachesfrominside100yards",2016
86,92,"Peter Malnati",53,NA,1327.5,78,-0.23,"Approachesfrominside100yards",2016
86,87,"Brandt Snedeker",47,NA,797.333,47,-0.06,"Approachesfrominside100yards",2016
86,76,"Kevin Streelman",46,NA,850.583,50,-0.2,"Approachesfrominside100yards",2016
91,89,"Graham DeLaet",50,NA,682.667,40,-0.2,"Approachesfrominside100yards",2016
92,92,"Cameron Tringale",47,NA,994.333,58,-0.24,"Approachesfrominside100yards",2016
93,99,"Francesco Molinari",36,NA,900.083,52,-0.04,"Approachesfrominside100yards",2016
94,102,"Tom Hoge",47,NA,643.5,37,-0.05,"Approachesfrominside100yards",2016
94,92,"Sung Kang",51,NA,434.833,25,-0.04,"Approachesfrominside100yards",2016
94,92,"Chris Kirk",51,NA,957.333,55,-0.15,"Approachesfrominside100yards",2016
94,121,"William McGirt",54,NA,802.417,46,-0.26,"Approachesfrominside100yards",2016
94,92,"Chez Reavie",56,NA,781.917,45,-0.18,"Approachesfrominside100yards",2016
99,115,"Jamie Lovemark",57,NA,1243.667,71,-0.14,"Approachesfrominside100yards",2016
100,88,"Hunter Mahan",43,NA,827.25,47,-0.17,"Approachesfrominside100yards",2016
100,109,"Boo Weekley",53,NA,931.25,53,-0.17,"Approachesfrominside100yards",2016
102,118,"Harold Varner III",58,NA,1025.75,58,-0.02,"Approachesfrominside100yards",2016
103,105,"JJ Henry",44,NA,960.5,54,-0.17,"Approachesfrominside100yards",2016
103,105,"Charley Hoffman",49,NA,853.833,48,-0.08,"Approachesfrominside100yards",2016
103,72,"Davis Love III",40,NA,744.583,42,-0.02,"Approachesfrominside100yards",2016
103,90,"Ben Martin",48,NA,834,47,-0.04,"Approachesfrominside100yards",2016
103,128,"Carlos Ortiz",47,NA,710.167,40,0,"Approachesfrominside100yards",2016
103,121,"Ian Poulter",37,NA,391.167,22,-0.05,"Approachesfrominside100yards",2016
103,105,"Jordan Spieth",34,NA,639.75,36,-0.17,"Approachesfrominside100yards",2016
103,128,"Chris Stroud",52,NA,761.917,43,0.02,"Approachesfrominside100yards",2016
111,115,"Ryan Moore",40,NA,784.083,44,-0.18,"Approachesfrominside100yards",2016
112,109,"Smylie Kaufman",57,NA,1094.333,61,-0.15,"Approachesfrominside100yards",2016
112,109,"Marc Leishman",41,NA,375.667,21,-0.14,"Approachesfrominside100yards",2016
