"ProximitytoHole_RANKTHISWEEK_2014","ProximitytoHole_RANKLASTWEEK_2014","ProximitytoHole_PLAYERNAME_2014","ProximitytoHole_ROUNDS_2014","ProximitytoHole_AVG_2014","ProximitytoHole_TOTALDISTANCEFEET_2014","ProximitytoHole_OFATTEMPTS_2014","ProximitytoHole_GIRRANK_2014","stat_name","year"
1,1,"Tim Clark",75,NA,35520.75,1115,110,"ProximitytoHole",2014
2,2,"Jim Furyk",84,NA,37942.5,1186,12,"ProximitytoHole",2014
3,3,"Paul Casey",56,NA,25254.583,786,65,"ProximitytoHole",2014
4,4,"Nick Watney",80,NA,32322.583,1001,32,"ProximitytoHole",2014
5,5,"Hideki Matsuyama",82,NA,37265.75,1145,116,"ProximitytoHole",2014
6,6,"Bo Van Pelt",83,NA,39251.75,1201,16,"ProximitytoHole",2014
7,7,"Russell Knox",92,NA,48808.5,1490,22,"ProximitytoHole",2014
8,8,"Dustin Johnson",58,NA,24055.583,733,21,"ProximitytoHole",2014
9,9,"Chad Campbell",57,NA,27186.417,823,1,"ProximitytoHole",2014
10,10,"Graham DeLaet",80,NA,37916.333,1147,3,"ProximitytoHole",2014
11,11,"Kevin Chappell",100,NA,51740.333,1556,28,"ProximitytoHole",2014
12,12,"Zach Johnson",97,NA,49853.833,1494,31,"ProximitytoHole",2014
12,12,"Tyrone Van Aswegen",79,NA,38897.417,1166,113,"ProximitytoHole",2014
14,14,"Brian Harman",111,NA,60390,1809,111,"ProximitytoHole",2014
14,14,"David Toms",64,NA,32462.667,971,13,"ProximitytoHole",2014
16,16,"Troy Merritt",62,NA,33246.25,988,87,"ProximitytoHole",2014
16,16,"Heath Slocum",71,NA,37467.833,1113,33,"ProximitytoHole",2014
18,18,"Stewart Cink",91,NA,43508.833,1286,57,"ProximitytoHole",2014
18,18,"Lucas Glover",68,NA,28533.083,843,37,"ProximitytoHole",2014
20,20,"Ken Duke",80,NA,40201.25,1186,34,"ProximitytoHole",2014
20,20,"Graeme McDowell",66,NA,27932.417,823,65,"ProximitytoHole",2014
