"FairwayProximity_RANKTHISWEEK_2006","FairwayProximity_RANKLASTWEEK_2006","FairwayProximity_PLAYERNAME_2006","FairwayProximity_ROUNDS_2006","FairwayProximity_AVG_2006","FairwayProximity_ATTEMPTS_2006","FairwayProximity_TOTALDISTANCEFEET_2006","FairwayProximity_RELATIVETOPAR_2006","stat_name","year"
105,105,"Vance Veazey",59,NA,713,22897.25,-2,"FairwayProximity",2006
115,115,"Jeff Brehaut",100,NA,1175,37810.083,-38,"FairwayProximity",2006
115,115,"Bill Haas",99,NA,1130,36373.583,-98,"FairwayProximity",2006
115,115,"John Rollins",93,NA,1046,33654.417,-68,"FairwayProximity",2006
115,115,"Duffy Waldorf",96,NA,1147,36856.167,-81,"FairwayProximity",2006
119,119,"Todd Hamilton",72,NA,727,23460.667,21,"FairwayProximity",2006
120,120,"Alex Aragon",63,NA,642,20733.25,25,"FairwayProximity",2006
120,120,"Mark Brooks",90,NA,1051,33958.917,-2,"FairwayProximity",2006
120,120,"Bubba Dickerson",98,NA,1138,36751.25,-55,"FairwayProximity",2006
120,120,"Jason Gore",86,NA,964,31178.5,-25,"FairwayProximity",2006
120,120,"Steve Jones",83,NA,977,31617.667,-27,"FairwayProximity",2006
120,120,"Kent Jones",103,NA,1243,40241.583,-106,"FairwayProximity",2006
120,120,"Peter Lonard",77,NA,927,29951,1,"FairwayProximity",2006
120,120,"Geoff Ogilvy",76,NA,690,22312.167,-67,"FairwayProximity",2006
120,120,"Carl Pettersson",95,NA,998,32237.083,-57,"FairwayProximity",2006
129,129,"Brett Quigley",109,NA,1239,40185.417,-146,"FairwayProximity",2006
129,129,"Dean Wilson",115,NA,1263,40904.417,-91,"FairwayProximity",2006
131,131,"Paul Stankowski",70,NA,847,27504.333,-28,"FairwayProximity",2006
131,131,"Jimmy Walker",60,NA,672,21827.083,-28,"FairwayProximity",2006
133,133,"Eric Axley",91,NA,1071,34910.5,-75,"FairwayProximity",2006
133,133,"Frank Lickliter II",99,NA,1177,38381.333,-122,"FairwayProximity",2006
133,133,"Steve Lowery",99,NA,1117,36375.167,-86,"FairwayProximity",2006
133,133,"Daisuke Maruyama",83,NA,1007,32807.083,-43,"FairwayProximity",2006
133,133,"Hidemichi Tanaka",74,NA,862,28108.833,51,"FairwayProximity",2006
138,138,"Chris Couch",75,NA,866,28254.5,-31,"FairwayProximity",2006
138,138,"Hunter Mahan",98,NA,1242,40526.167,-99,"FairwayProximity",2006
140,140,"Craig Barlow",77,NA,754,24683.083,-54,"FairwayProximity",2006
140,140,"Doug Barron",74,NA,924,30247.167,-4,"FairwayProximity",2006
140,140,"Matt Hansen",68,NA,749,24512.25,12,"FairwayProximity",2006
140,140,"Jon Mills",68,NA,710,23255.25,0,"FairwayProximity",2006
140,140,"Pat Perez",50,NA,536,17558.25,-26,"FairwayProximity",2006
145,145,"Paul Azinger",87,NA,1062,34888.583,-69,"FairwayProximity",2006
145,145,"Brian Davis",92,NA,1150,37783.583,-63,"FairwayProximity",2006
145,145,"Steve Elkington",52,NA,662,21761.25,-27,"FairwayProximity",2006
145,145,"Billy Mayfair",94,NA,1125,36893.917,-35,"FairwayProximity",2006
145,145,"David McKenzie",82,NA,966,31710.75,-43,"FairwayProximity",2006
145,145,"Tom Pernice Jr",108,NA,1183,38839.333,-101,"FairwayProximity",2006
151,151,"Larry Mize",53,NA,600,19725.583,-19,"FairwayProximity",2006
151,151,"Tag Ridings",103,NA,1118,36775.25,-35,"FairwayProximity",2006
151,151,"Nicholas Thompson",96,NA,1062,34957.917,-1,"FairwayProximity",2006
154,154,"Mark Calcavecchia",94,NA,1063,35067.917,-20,"FairwayProximity",2006
154,154,"Marco Dawson",87,NA,1027,33860.333,-69,"FairwayProximity",2006
154,154,"Mathias Gronberg",92,NA,1037,34188,-81,"FairwayProximity",2006
154,154,"Jeff Overton",95,NA,1088,35873.917,-73,"FairwayProximity",2006
158,158,"Greg Chalmers",71,NA,700,23157.917,2,"FairwayProximity",2006
158,158,"Danny Ellis",68,NA,790,26147.5,-49,"FairwayProximity",2006
158,158,"Bernhard Langer",77,NA,795,26305.25,-53,"FairwayProximity",2006
158,158,"Jeff Maggert",81,NA,955,31632.25,-44,"FairwayProximity",2006
162,162,"JL Lewis",57,NA,669,22168.333,-3,"FairwayProximity",2006
162,162,"Troy Matteson",101,NA,1099,36456.083,-60,"FairwayProximity",2006
164,164,"Nathan Green",108,NA,1276,42374.667,-94,"FairwayProximity",2006
164,164,"Richard Johnson",94,NA,1201,39889.5,-121,"FairwayProximity",2006
164,164,"Sean OHair",100,NA,1025,34119.583,-25,"FairwayProximity",2006
167,167,"Brian Bateman",69,NA,777,25936.667,-14,"FairwayProximity",2006
167,167,"Daniel Chopra",110,NA,1135,37900.917,-108,"FairwayProximity",2006
167,167,"Greg Owen",79,NA,852,28438.167,-66,"FairwayProximity",2006
170,170,"Aaron Baddeley",78,NA,880,29463.25,-48,"FairwayProximity",2006
171,171,"Brent Geiberger",99,NA,1250,41974.5,-91,"FairwayProximity",2006
171,171,"Ryuji Imada",105,NA,1123,37738.75,-86,"FairwayProximity",2006
173,173,"Ben Crane",85,NA,847,28522.333,-71,"FairwayProximity",2006
173,173,"Mike Sposa",68,NA,785,26421.333,-19,"FairwayProximity",2006
173,173,"Kevin Sutherland",100,NA,1201,40416.083,-120,"FairwayProximity",2006
176,176,"Charles Howell III",96,NA,995,33563.5,-57,"FairwayProximity",2006
177,177,"DA Points",82,NA,952,32213.75,-52,"FairwayProximity",2006
178,178,"Mathew Goggin",72,NA,759,25718.583,-38,"FairwayProximity",2006
178,178,"Nick Watney",97,NA,1121,38063.667,-81,"FairwayProximity",2006
180,180,"John Daly",51,NA,504,17189,-15,"FairwayProximity",2006
180,180,"Carlos Franco",86,NA,989,33686.5,-35,"FairwayProximity",2006
182,182,"Chris Smith",67,NA,803,27450.583,-39,"FairwayProximity",2006
183,183,"Roger Tambellini",64,NA,671,22987.25,0,"FairwayProximity",2006
184,184,"Tim Petrovic",95,NA,1117,38315.75,-26,"FairwayProximity",2006
184,184,"Chris Riley",86,NA,993,34058.667,-64,"FairwayProximity",2006
186,186,"Henrik Bjornstad",97,NA,1198,41368.083,-25,"FairwayProximity",2006
186,186,"Todd Fischer",101,NA,1226,42285,-41,"FairwayProximity",2006
188,188,"Fred Couples",52,NA,388,13462.25,1,"FairwayProximity",2006
189,189,"Brad Faxon",78,NA,943,32880.167,4,"FairwayProximity",2006
190,190,"Jesper Parnevik",84,NA,941,32877.417,-79,"FairwayProximity",2006
191,191,"James Driscoll",80,NA,893,31454.25,4,"FairwayProximity",2006
191,191,"Jason Schultz",77,NA,847,29885.167,-13,"FairwayProximity",2006
193,193,"Ryan Hietala",61,NA,603,21504.833,20,"FairwayProximity",2006
193,193,"Mark OMeara",52,NA,449,16029.25,10,"FairwayProximity",2006
195,195,"Len Mattiace",59,NA,657,23745.75,-13,"FairwayProximity",2006
196,196,"John Engler Jr",69,NA,832,30460.25,4,"FairwayProximity",2006
