"Par5EagleLeaders_RANKTHISWEEK_2010","Par5EagleLeaders_RANKLASTWEEK_2010","Par5EagleLeaders_PLAYERNAME_2010","Par5EagleLeaders_ROUNDS_2010","Par5EagleLeaders_TOTAL_2010","Par5EagleLeaders_TOTALPAR5HOLES_2010","Par5EagleLeaders_TOTALHOLEOUTS_2010","stat_name","year"
1,1,"Matt Bettencourt",91,17,303,4,"Par5EagleLeaders",2010
2,2,"Dustin Johnson",83,13,263,2,"Par5EagleLeaders",2010
3,3,"JB Holmes",100,12,309,1,"Par5EagleLeaders",2010
3,3,"Martin Laird",91,12,286,NA,"Par5EagleLeaders",2010
3,3,"Bubba Watson",77,12,246,3,"Par5EagleLeaders",2010
6,6,"Aaron Baddeley",94,10,297,3,"Par5EagleLeaders",2010
6,6,"Ricky Barnes",103,10,325,2,"Par5EagleLeaders",2010
6,6,"Charley Hoffman",85,10,270,1,"Par5EagleLeaders",2010
6,6,"Scott Piercy",88,10,281,2,"Par5EagleLeaders",2010
6,6,"Kevin Stadler",86,10,286,NA,"Par5EagleLeaders",2010
6,6,"DJ Trahan",92,10,298,2,"Par5EagleLeaders",2010
12,12,"John Daly",63,9,185,1,"Par5EagleLeaders",2010
12,12,"Rickie Fowler",98,9,312,2,"Par5EagleLeaders",2010
12,12,"Bill Haas",87,9,282,3,"Par5EagleLeaders",2010
12,12,"Matt Jones",89,9,283,3,"Par5EagleLeaders",2010
12,12,"Michael Letzig",84,9,257,1,"Par5EagleLeaders",2010
12,12,"Hunter Mahan",85,9,267,1,"Par5EagleLeaders",2010
12,12,"Phil Mickelson",76,9,253,1,"Par5EagleLeaders",2010
12,12,"Joe Ogilvie",99,9,315,5,"Par5EagleLeaders",2010
12,12,"Kevin Sutherland",86,9,281,1,"Par5EagleLeaders",2010
12,12,"Nick Watney",91,9,285,3,"Par5EagleLeaders",2010
22,22,"Woody Austin",93,8,296,2,"Par5EagleLeaders",2010
22,22,"Michael Connell",89,8,275,2,"Par5EagleLeaders",2010
22,22,"Jason Dufner",87,8,284,2,"Par5EagleLeaders",2010
22,22,"Richard Johnson",90,8,271,2,"Par5EagleLeaders",2010
22,22,"Derek Lamely",81,8,259,2,"Par5EagleLeaders",2010
22,22,"Davis Love III",79,8,243,3,"Par5EagleLeaders",2010
22,22,"Bill Lunde",79,8,268,1,"Par5EagleLeaders",2010
22,22,"James Nitties",92,8,293,NA,"Par5EagleLeaders",2010
22,22,"Andres Romero",73,8,232,1,"Par5EagleLeaders",2010
22,22,"Josh Teater",101,8,325,2,"Par5EagleLeaders",2010
22,22,"Charles Warren",64,8,200,NA,"Par5EagleLeaders",2010
33,33,"Stuart Appleby",101,7,307,NA,"Par5EagleLeaders",2010
33,33,"Rich Barcelo",70,7,218,2,"Par5EagleLeaders",2010
33,33,"Brendon de Jonge",114,7,369,1,"Par5EagleLeaders",2010
33,33,"Tom Gillis",97,7,313,1,"Par5EagleLeaders",2010
33,33,"Mathew Goggin",85,7,266,NA,"Par5EagleLeaders",2010
33,33,"JJ Henry",92,7,287,2,"Par5EagleLeaders",2010
33,33,"Charles Howell III",103,7,330,2,"Par5EagleLeaders",2010
33,33,"Matt Kuchar",97,7,298,2,"Par5EagleLeaders",2010
33,33,"Scott McCarron",90,7,288,2,"Par5EagleLeaders",2010
33,33,"Sean OHair",84,7,265,NA,"Par5EagleLeaders",2010
33,33,"Rod Pampling",77,7,253,2,"Par5EagleLeaders",2010
33,33,"Kenny Perry",69,7,216,2,"Par5EagleLeaders",2010
33,33,"Carl Pettersson",99,7,314,1,"Par5EagleLeaders",2010
33,33,"Alex Prugh",88,7,279,1,"Par5EagleLeaders",2010
33,33,"Vijay Singh",75,7,219,3,"Par5EagleLeaders",2010
33,33,"Boo Weekley",88,7,267,2,"Par5EagleLeaders",2010
49,49,"Robert Allenby",76,6,226,2,"Par5EagleLeaders",2010
49,49,"Jason Bohn",84,6,271,2,"Par5EagleLeaders",2010
49,49,"Jonathan Byrd",85,6,259,2,"Par5EagleLeaders",2010
49,49,"Paul Casey",64,6,170,NA,"Par5EagleLeaders",2010
49,49,"Greg Chalmers",93,6,295,1,"Par5EagleLeaders",2010
49,49,"Stewart Cink",84,6,248,2,"Par5EagleLeaders",2010
49,49,"Chad Collins",87,6,265,2,"Par5EagleLeaders",2010
49,49,"Chris Couch",66,6,216,1,"Par5EagleLeaders",2010
49,49,"Ben Crane",85,6,253,3,"Par5EagleLeaders",2010
49,49,"James Driscoll",78,6,240,2,"Par5EagleLeaders",2010
49,49,"Steve Flesch",78,6,261,2,"Par5EagleLeaders",2010
49,49,"Lucas Glover",75,6,234,NA,"Par5EagleLeaders",2010
49,49,"JP Hayes",79,6,261,3,"Par5EagleLeaders",2010
49,49,"George McNeill",79,6,248,NA,"Par5EagleLeaders",2010
49,49,"John Merrick",109,6,344,NA,"Par5EagleLeaders",2010
49,49,"Troy Merritt",86,6,271,2,"Par5EagleLeaders",2010
49,49,"Garth Mulroy",53,6,174,NA,"Par5EagleLeaders",2010
49,49,"Jeff Overton",89,6,271,NA,"Par5EagleLeaders",2010
49,49,"Ryan Palmer",84,6,271,1,"Par5EagleLeaders",2010
49,49,"Brett Quigley",96,6,313,2,"Par5EagleLeaders",2010
49,49,"Adam Scott",70,6,227,1,"Par5EagleLeaders",2010
49,49,"Kevin Streelman",90,6,287,2,"Par5EagleLeaders",2010
