"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2009","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2009","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2009","AverageApproachDistanceBirdieorBetter_ROUNDS_2009","AverageApproachDistanceBirdieorBetter_AVGYARDS_2009","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2009","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2009","stat_name","year"
1,1,"Glen Day",79,155.9,1111271,198,"AverageApproachDistanceBirdieorBetter",2009
1,1,"Brendon Todd",53,155.9,785610,140,"AverageApproachDistanceBirdieorBetter",2009
3,3,"Brian Gay",96,156.9,1654827,293,"AverageApproachDistanceBirdieorBetter",2009
4,4,"Mark Brooks",55,157,700672,124,"AverageApproachDistanceBirdieorBetter",2009
5,5,"Darron Stiles",52,159.3,871459,152,"AverageApproachDistanceBirdieorBetter",2009
6,6,"Corey Pavin",73,159.4,1084725,189,"AverageApproachDistanceBirdieorBetter",2009
7,7,"Greg Kraft",51,160,656694,114,"AverageApproachDistanceBirdieorBetter",2009
8,8,"Richard Johnson",85,160.6,1341525,232,"AverageApproachDistanceBirdieorBetter",2009
9,9,"Dean Wilson",81,161.2,1613328,278,"AverageApproachDistanceBirdieorBetter",2009
10,10,"Tim Clark",81,161.6,1436575,247,"AverageApproachDistanceBirdieorBetter",2009
11,11,"Ken Duke",87,161.8,1357374,233,"AverageApproachDistanceBirdieorBetter",2009
12,12,"Peter Lonard",86,162.1,1371113,235,"AverageApproachDistanceBirdieorBetter",2009
13,13,"Paul Goydos",79,162.4,1414549,242,"AverageApproachDistanceBirdieorBetter",2009
14,14,"Colt Knost",71,162.9,1090876,186,"AverageApproachDistanceBirdieorBetter",2009
15,15,"Bart Bryant",58,163,962361,164,"AverageApproachDistanceBirdieorBetter",2009
15,15,"Marc Turnesa",77,163,1220421,208,"AverageApproachDistanceBirdieorBetter",2009
17,17,"Steve Stricker",81,163.2,1544791,263,"AverageApproachDistanceBirdieorBetter",2009
18,18,"Justin Leonard",95,163.6,1773001,301,"AverageApproachDistanceBirdieorBetter",2009
19,19,"John Mallinger",90,163.8,1515738,257,"AverageApproachDistanceBirdieorBetter",2009
19,19,"Bryce Molder",69,163.8,1202794,204,"AverageApproachDistanceBirdieorBetter",2009
21,21,"Luke Donald",79,164.1,1376498,233,"AverageApproachDistanceBirdieorBetter",2009
22,22,"Nick OHern",90,164.2,1738208,294,"AverageApproachDistanceBirdieorBetter",2009
23,23,"Scott Sterling",51,164.3,828165,140,"AverageApproachDistanceBirdieorBetter",2009
24,24,"Eric Axley",71,164.5,1030671,174,"AverageApproachDistanceBirdieorBetter",2009
24,24,"Stewart Cink",79,164.5,1178666,199,"AverageApproachDistanceBirdieorBetter",2009
24,24,"Brandt Snedeker",81,164.5,1492515,252,"AverageApproachDistanceBirdieorBetter",2009
27,27,"Chris DiMarco",97,164.9,1709605,288,"AverageApproachDistanceBirdieorBetter",2009
28,28,"Joe Durant",62,165.1,1058001,178,"AverageApproachDistanceBirdieorBetter",2009
29,29,"Jason Bohn",88,165.3,1755841,295,"AverageApproachDistanceBirdieorBetter",2009
30,30,"Mike Weir",85,165.4,1524769,256,"AverageApproachDistanceBirdieorBetter",2009
31,31,"Fred Couples",54,165.7,1032152,173,"AverageApproachDistanceBirdieorBetter",2009
31,31,"Heath Slocum",95,165.7,1700124,285,"AverageApproachDistanceBirdieorBetter",2009
33,33,"Tommy Armour III",58,165.9,1093216,183,"AverageApproachDistanceBirdieorBetter",2009
34,34,"Cliff Kresge",78,166,1368171,229,"AverageApproachDistanceBirdieorBetter",2009
34,34,"Webb Simpson",94,166,1875997,314,"AverageApproachDistanceBirdieorBetter",2009
36,36,"Bob Estes",78,166.1,1447386,242,"AverageApproachDistanceBirdieorBetter",2009
36,36,"David Mathis",82,166.1,1356973,227,"AverageApproachDistanceBirdieorBetter",2009
38,38,"Bob Heintz",59,166.5,1138793,190,"AverageApproachDistanceBirdieorBetter",2009
39,39,"Woody Austin",84,167.1,1654468,275,"AverageApproachDistanceBirdieorBetter",2009
40,40,"Chez Reavie",81,167.3,1343433,223,"AverageApproachDistanceBirdieorBetter",2009
41,41,"Charlie Wi",92,167.5,1857412,308,"AverageApproachDistanceBirdieorBetter",2009
42,42,"Ryuji Imada",85,167.6,1441673,239,"AverageApproachDistanceBirdieorBetter",2009
43,43,"Kent Jones",73,167.7,1219430,202,"AverageApproachDistanceBirdieorBetter",2009
44,44,"Scott Verplank",88,167.9,1819036,301,"AverageApproachDistanceBirdieorBetter",2009
