"MoneyLeaders_RANKTHISWEEK_2013","MoneyLeaders_RANKLASTWEEK_2013","MoneyLeaders_PLAYERNAME_2013","MoneyLeaders_EVENTS_2013","MoneyLeaders_MONEY_2013","MoneyLeaders_YTDVICTORIES_2013","stat_name","year"
1,1,"Tiger Woods",16,8553439,5,"MoneyLeaders",2013
2,2,"Henrik Stenson",18,6388230,2,"MoneyLeaders",2013
3,3,"Matt Kuchar",23,5616808,2,"MoneyLeaders",2013
4,4,"Phil Mickelson",21,5495793,2,"MoneyLeaders",2013
5,5,"Brandt Snedeker",23,5318087,2,"MoneyLeaders",2013
6,6,"Adam Scott",16,4892611,2,"MoneyLeaders",2013
7,7,"Steve Stricker",13,4440532,NA,"MoneyLeaders",2013
8,8,"Justin Rose",17,4146148,1,"MoneyLeaders",2013
9,9,"Zach Johnson",24,4044509,1,"MoneyLeaders",2013
10,10,"Jordan Spieth",23,3879820,1,"MoneyLeaders",2013
11,11,"Keegan Bradley",25,3636813,NA,"MoneyLeaders",2013
12,12,"Jason Day",21,3625030,NA,"MoneyLeaders",2013
13,13,"Billy Horschel",26,3501703,1,"MoneyLeaders",2013
14,14,"Bill Haas",25,3475563,1,"MoneyLeaders",2013
15,15,"Jim Furyk",22,3204779,NA,"MoneyLeaders",2013
16,16,"Jason Dufner",22,3132268,1,"MoneyLeaders",2013
17,17,"Kevin Streelman",25,3088284,1,"MoneyLeaders",2013
18,18,"Hunter Mahan",25,3036164,NA,"MoneyLeaders",2013
19,19,"Dustin Johnson",22,2963214,1,"MoneyLeaders",2013
20,20,"Webb Simpson",25,2957582,NA,"MoneyLeaders",2013
21,21,"Graham DeLaet",26,2834900,NA,"MoneyLeaders",2013
22,22,"Boo Weekley",27,2786662,1,"MoneyLeaders",2013
23,23,"DA Points",28,2658887,1,"MoneyLeaders",2013
24,24,"Nick Watney",26,2477639,NA,"MoneyLeaders",2013
25,25,"Charl Schwartzel",19,2256723,NA,"MoneyLeaders",2013
26,26,"Sergio Garcia",17,2251139,NA,"MoneyLeaders",2013
27,27,"Harris English",26,2201167,1,"MoneyLeaders",2013
28,28,"Graeme McDowell",16,2174595,1,"MoneyLeaders",2013
29,29,"Roberto Castro",29,2154898,NA,"MoneyLeaders",2013
30,30,"Jimmy Walker",24,2117570,NA,"MoneyLeaders",2013
31,31,"Lee Westwood",19,2081731,NA,"MoneyLeaders",2013
32,32,"Jonas Blixt",24,2027517,1,"MoneyLeaders",2013
33,33,"Russell Henley",24,2008026,1,"MoneyLeaders",2013
34,34,"John Merrick",23,1969478,1,"MoneyLeaders",2013
35,35,"Patrick Reed",26,1961519,1,"MoneyLeaders",2013
36,36,"Luke Donald",17,1930646,NA,"MoneyLeaders",2013
37,37,"Gary Woodland",26,1915732,1,"MoneyLeaders",2013
38,38,"Charles Howell III",26,1877389,NA,"MoneyLeaders",2013
39,39,"Scott Piercy",24,1830084,NA,"MoneyLeaders",2013
40,40,"Rickie Fowler",22,1816742,NA,"MoneyLeaders",2013
41,41,"Rory McIlroy",16,1802443,NA,"MoneyLeaders",2013
42,42,"Brendon de Jonge",30,1795244,NA,"MoneyLeaders",2013
43,43,"Angel Cabrera",21,1791183,NA,"MoneyLeaders",2013
44,44,"Bubba Watson",21,1759276,NA,"MoneyLeaders",2013
45,45,"Martin Laird",21,1755393,1,"MoneyLeaders",2013
46,46,"David Lingmerth",23,1748109,NA,"MoneyLeaders",2013
47,47,"Chris Kirk",24,1728616,NA,"MoneyLeaders",2013
48,48,"Matt Jones",24,1724707,NA,"MoneyLeaders",2013
49,49,"Ian Poulter",16,1723463,NA,"MoneyLeaders",2013
50,50,"Ken Duke",28,1722583,1,"MoneyLeaders",2013
51,51,"Sangmoon Bae",26,1714640,1,"MoneyLeaders",2013
52,52,"Michael Thompson",22,1707637,1,"MoneyLeaders",2013
53,53,"David Lynn",22,1633253,NA,"MoneyLeaders",2013
54,54,"Scott Stallings",27,1622627,NA,"MoneyLeaders",2013
55,55,"Chris Stroud",26,1602122,NA,"MoneyLeaders",2013
56,56,"Kevin Chappell",24,1589839,NA,"MoneyLeaders",2013
57,57,"Charley Hoffman",23,1582423,NA,"MoneyLeaders",2013
58,58,"John Huh",28,1529482,NA,"MoneyLeaders",2013
59,59,"Ryan Palmer",22,1521592,NA,"MoneyLeaders",2013
60,60,"Marc Leishman",23,1491359,NA,"MoneyLeaders",2013
61,61,"Ryan Moore",22,1490265,NA,"MoneyLeaders",2013
62,62,"Kyle Stanley",24,1462943,NA,"MoneyLeaders",2013
63,63,"Brian Gay",24,1426017,1,"MoneyLeaders",2013
64,64,"Tim Clark",20,1355952,NA,"MoneyLeaders",2013
65,65,"Josh Teater",24,1332652,NA,"MoneyLeaders",2013
66,66,"Derek Ernst",21,1330856,1,"MoneyLeaders",2013
67,67,"Rory Sabbatini",27,1327822,NA,"MoneyLeaders",2013
68,68,"Kevin Stadler",25,1281177,NA,"MoneyLeaders",2013
69,69,"Daniel Summerhays",26,1277886,NA,"MoneyLeaders",2013
70,70,"Jason Kokrak",25,1267525,NA,"MoneyLeaders",2013
71,71,"Freddie Jacobson",19,1236722,NA,"MoneyLeaders",2013
72,72,"Brian Davis",28,1221524,NA,"MoneyLeaders",2013
73,73,"Matt Every",28,1188867,NA,"MoneyLeaders",2013
74,74,"Ernie Els",19,1173761,NA,"MoneyLeaders",2013
75,75,"David Hearn",26,1171515,NA,"MoneyLeaders",2013
76,76,"John Rollins",24,1164049,NA,"MoneyLeaders",2013
77,77,"Robert Garrigus",22,1132355,NA,"MoneyLeaders",2013
78,78,"Stewart Cink",22,1052712,NA,"MoneyLeaders",2013
79,79,"Brian Stuard",25,1032028,NA,"MoneyLeaders",2013
80,80,"Jeff Maggert",21,1022331,NA,"MoneyLeaders",2013
81,81,"Scott Brown",21,1012142,1,"MoneyLeaders",2013
82,82,"Brendan Steele",26,1004161,NA,"MoneyLeaders",2013
83,83,"Luke Guthrie",27,991902,NA,"MoneyLeaders",2013
84,84,"Pat Perez",22,974800,NA,"MoneyLeaders",2013
85,85,"KJ Choi",24,973751,NA,"MoneyLeaders",2013
86,86,"Cameron Tringale",24,971209,NA,"MoneyLeaders",2013
87,87,"Nicholas Thompson",29,959434,NA,"MoneyLeaders",2013
88,88,"Bo Van Pelt",22,956629,NA,"MoneyLeaders",2013
89,89,"Richard Lee",24,920836,NA,"MoneyLeaders",2013
90,90,"Charlie Beljan",24,916229,NA,"MoneyLeaders",2013
91,91,"Mark Wilson",19,913730,NA,"MoneyLeaders",2013
92,92,"Brian Harman",29,909759,NA,"MoneyLeaders",2013
93,93,"Geoff Ogilvy",19,892920,NA,"MoneyLeaders",2013
94,94,"Martin Kaymer",17,882937,NA,"MoneyLeaders",2013
95,95,"DH Lee",22,882793,NA,"MoneyLeaders",2013
96,96,"Morgan Hoffmann",20,871003,NA,"MoneyLeaders",2013
97,97,"William McGirt",24,867384,NA,"MoneyLeaders",2013
98,98,"James Hahn",26,853507,NA,"MoneyLeaders",2013
99,99,"Jerry Kelly",22,832407,NA,"MoneyLeaders",2013
100,100,"Ted Potter Jr",22,829770,NA,"MoneyLeaders",2013
101,101,"James Driscoll",23,821101,NA,"MoneyLeaders",2013
102,102,"Bryce Molder",24,816922,NA,"MoneyLeaders",2013
103,103,"Martin Flores",25,805597,NA,"MoneyLeaders",2013
104,104,"Johnson Wagner",24,801955,NA,"MoneyLeaders",2013
105,105,"Ben Crane",21,796947,NA,"MoneyLeaders",2013
106,106,"Bob Estes",18,769717,NA,"MoneyLeaders",2013
107,107,"JJ Henry",26,761861,NA,"MoneyLeaders",2013
108,108,"Lucas Glover",23,747812,NA,"MoneyLeaders",2013
109,109,"Jason Bohn",23,739030,NA,"MoneyLeaders",2013
110,110,"Carl Pettersson",24,738143,NA,"MoneyLeaders",2013
111,111,"Justin Hicks",25,732742,NA,"MoneyLeaders",2013
112,112,"Jeff Overton",24,721723,NA,"MoneyLeaders",2013
113,113,"Aaron Baddeley",24,721024,NA,"MoneyLeaders",2013
114,114,"Nicolas Colsaerts",17,720164,NA,"MoneyLeaders",2013
115,115,"Andres Romero",21,718507,NA,"MoneyLeaders",2013
116,116,"Padraig Harrington",17,711244,NA,"MoneyLeaders",2013
117,117,"Camilo Villegas",23,709677,NA,"MoneyLeaders",2013
118,118,"Steven Bowditch",22,697775,NA,"MoneyLeaders",2013
119,119,"Justin Leonard",24,694139,NA,"MoneyLeaders",2013
120,120,"John Senden",25,667027,NA,"MoneyLeaders",2013
121,121,"Charlie Wi",23,656672,NA,"MoneyLeaders",2013
122,122,"Erik Compton",24,651660,NA,"MoneyLeaders",2013
123,123,"David Toms",16,646161,NA,"MoneyLeaders",2013
124,124,"Greg Chalmers",25,632283,NA,"MoneyLeaders",2013
125,125,"Peter Hanson",15,610178,NA,"MoneyLeaders",2013
126,126,"Chez Reavie",22,590925,NA,"MoneyLeaders",2013
127,127,"Scott Langley",27,590684,NA,"MoneyLeaders",2013
128,128,"Fabian Gomez",23,586942,NA,"MoneyLeaders",2013
129,129,"Woody Austin",8,568800,1,"MoneyLeaders",2013
130,130,"Ricky Barnes",26,553878,NA,"MoneyLeaders",2013
131,131,"Justin Bolli",23,545187,NA,"MoneyLeaders",2013
132,132,"Stuart Appleby",25,538333,NA,"MoneyLeaders",2013
133,133,"Tommy Gainey",28,520479,NA,"MoneyLeaders",2013
134,134,"Shawn Stefani",21,511399,NA,"MoneyLeaders",2013
135,135,"Chad Campbell",25,510661,NA,"MoneyLeaders",2013
136,136,"George McNeill",21,500798,NA,"MoneyLeaders",2013
137,137,"Louis Oosthuizen",12,497408,NA,"MoneyLeaders",2013
138,138,"Dicky Pride",23,495390,NA,"MoneyLeaders",2013
139,139,"Jim Herman",19,490756,NA,"MoneyLeaders",2013
140,140,"Brendon Todd",10,473220,NA,"MoneyLeaders",2013
141,141,"Robert Streb",25,454871,NA,"MoneyLeaders",2013
142,142,"Brad Fritsch",24,452184,NA,"MoneyLeaders",2013
143,143,"Robert Karlsson",18,444238,NA,"MoneyLeaders",2013
144,144,"Bud Cauley",24,443698,NA,"MoneyLeaders",2013
145,145,"Greg Owen",24,442198,NA,"MoneyLeaders",2013
146,146,"Jonathan Byrd",16,428966,NA,"MoneyLeaders",2013
147,147,"Tag Ridings",24,428922,NA,"MoneyLeaders",2013
148,148,"Casey Wittenberg",27,425395,NA,"MoneyLeaders",2013
149,149,"Ryo Ishikawa",23,424541,NA,"MoneyLeaders",2013
150,150,"Ben Kohles",25,419416,NA,"MoneyLeaders",2013
151,151,"Henrik Norlander",22,401958,NA,"MoneyLeaders",2013
152,152,"Vaughn Taylor",16,399286,NA,"MoneyLeaders",2013
153,153,"Seung Yul Noh",25,391763,NA,"MoneyLeaders",2013
154,154,"Ben Curtis",20,372543,NA,"MoneyLeaders",2013
155,155,"Trevor Immelman",24,360549,NA,"MoneyLeaders",2013
156,156,"Tom Gillis",22,345325,NA,"MoneyLeaders",2013
157,157,"Doug LaBelle II",23,338921,NA,"MoneyLeaders",2013
158,158,"Steve LeBrun",21,337157,NA,"MoneyLeaders",2013
159,159,"Bobby Gates",20,320248,NA,"MoneyLeaders",2013
160,160,"Retief Goosen",9,315702,NA,"MoneyLeaders",2013
161,161,"Ross Fisher",15,311168,NA,"MoneyLeaders",2013
162,162,"Vijay Singh",19,309351,NA,"MoneyLeaders",2013
163,163,"Brandt Jobe",19,309105,NA,"MoneyLeaders",2013
164,164,"Russell Knox",11,305973,NA,"MoneyLeaders",2013
165,165,"Davis Love III",15,303470,NA,"MoneyLeaders",2013
166,166,"Tim Herron",15,302570,NA,"MoneyLeaders",2013
167,167,"DJ Trahan",16,284249,NA,"MoneyLeaders",2013
168,168,"Nick OHern",10,282464,NA,"MoneyLeaders",2013
169,169,"Cameron Percy",21,277336,NA,"MoneyLeaders",2013
170,170,"Cameron Beckman",8,276805,NA,"MoneyLeaders",2013
171,171,"David Mathis",24,274477,NA,"MoneyLeaders",2013
172,172,"Sean OHair",22,268614,NA,"MoneyLeaders",2013
173,173,"Luke List",24,264401,NA,"MoneyLeaders",2013
174,174,"YE Yang",19,259118,NA,"MoneyLeaders",2013
