"DrivingPctMeasured_RANKTHISWEEK_2005","DrivingPctMeasured_RANKLASTWEEK_2005","DrivingPctMeasured_PLAYERNAME_2005","DrivingPctMeasured_ROUNDS_2005","DrivingPctMeasured_Pct_2005","DrivingPctMeasured_TOTALDRIVESFOR_2005","DrivingPctMeasured_TOTALDRVSOVERALL_2005","DrivingPctMeasured_RELATIVETOPAR_2005","stat_name","year"
1,1,"Corey Pavin",77,13.77,19,138,-0.16,"DrivingPctMeasured",2005
2,2,"Jeff Hart",63,8.2,10,122,0.2,"DrivingPctMeasured",2005
3,3,"Gavin Coles",70,7.86,11,140,-0.09,"DrivingPctMeasured",2005
4,4,"Jose Coceres",56,6.48,7,108,0.43,"DrivingPctMeasured",2005
5,5,"Stephen Ames",82,6.15,8,130,0.13,"DrivingPctMeasured",2005
6,6,"Tom Byrum",83,5.56,9,162,0,"DrivingPctMeasured",2005
7,7,"Brad Faxon",75,5.38,7,130,0,"DrivingPctMeasured",2005
8,8,"Brent Geiberger",61,5.26,6,114,0.83,"DrivingPctMeasured",2005
9,9,"Loren Roberts",54,4.9,5,102,0.6,"DrivingPctMeasured",2005
10,10,"Chris Anderson",66,4.84,6,124,0.33,"DrivingPctMeasured",2005
10,10,"Steve Stricker",62,4.84,6,124,-0.17,"DrivingPctMeasured",2005
12,12,"Jay Haas",54,4.65,4,86,0,"DrivingPctMeasured",2005
13,13,"John Cook",72,4.55,6,132,0,"DrivingPctMeasured",2005
14,14,"Fred Funk",102,4.49,8,178,-0.38,"DrivingPctMeasured",2005
15,15,"Mark Brooks",72,4.29,6,140,0.67,"DrivingPctMeasured",2005
16,16,"Len Mattiace",86,4.27,7,164,0.14,"DrivingPctMeasured",2005
17,17,"Larry Mize",54,4.17,4,96,0.5,"DrivingPctMeasured",2005
18,18,"Todd Fischer",99,4.12,8,194,-0.13,"DrivingPctMeasured",2005
19,19,"Skip Kendall",80,3.85,6,156,0.83,"DrivingPctMeasured",2005
19,19,"Thomas Levet",54,3.85,3,78,0,"DrivingPctMeasured",2005
19,19,"Chris Riley",67,3.85,4,104,0.25,"DrivingPctMeasured",2005
22,22,"Jay Williamson",53,3.77,4,106,0.25,"DrivingPctMeasured",2005
23,23,"Mark Wilson",74,3.57,5,140,0.4,"DrivingPctMeasured",2005
24,24,"Peter Lonard",85,3.47,5,144,0.2,"DrivingPctMeasured",2005
25,25,"Jason Bohn",91,3.45,6,174,0.17,"DrivingPctMeasured",2005
26,26,"Hideto Tanihara",50,3.13,3,96,1.67,"DrivingPctMeasured",2005
27,27,"Charlie Wi",67,3.08,4,130,0.25,"DrivingPctMeasured",2005
28,28,"Bart Bryant",91,3.01,5,166,0.2,"DrivingPctMeasured",2005
29,29,"Steve Jones",56,3,3,100,0.67,"DrivingPctMeasured",2005
30,30,"Danny Briggs",70,2.94,4,136,0.5,"DrivingPctMeasured",2005
31,31,"Mark Hensby",70,2.88,3,104,0,"DrivingPctMeasured",2005
31,31,"Adam Scott",72,2.88,3,104,0,"DrivingPctMeasured",2005
31,31,"Joey Sindelar",104,2.88,6,208,-0.33,"DrivingPctMeasured",2005
31,31,"Mike Weir",71,2.88,3,104,0.33,"DrivingPctMeasured",2005
35,35,"Robert Damron",89,2.81,5,178,-0.2,"DrivingPctMeasured",2005
36,36,"Rich Beem",66,2.78,3,108,0.67,"DrivingPctMeasured",2005
36,36,"Scott Verplank",87,2.78,4,144,0.75,"DrivingPctMeasured",2005
38,38,"Paul Gow",78,2.7,4,148,0.25,"DrivingPctMeasured",2005
39,39,"Chad Campbell",95,2.56,4,156,0.25,"DrivingPctMeasured",2005
39,39,"Andrew Magee",82,2.56,4,156,0.25,"DrivingPctMeasured",2005
39,39,"Duffy Waldorf",86,2.56,4,156,0.75,"DrivingPctMeasured",2005
