"Total1Putts510_RANKTHISWEEK_2009","Total1Putts510_RANKLASTWEEK_2009","Total1Putts510_PLAYERNAME_2009","Total1Putts510_ROUNDS_2009","Total1Putts510_TOTAL_2009","Total1Putts510_TOTALFORALLDISTANCES_2009","Total1Putts510_PCTOFALL1PUTTS_2009","stat_name","year"
1,1,"Brian Davis",103,203,691,29.4,"Total1Putts510",2009
2,2,"Webb Simpson",94,198,691,28.7,"Total1Putts510",2009
3,3,"Nathan Green",104,197,688,28.6,"Total1Putts510",2009
4,4,"Mark Wilson",99,187,635,29.4,"Total1Putts510",2009
5,5,"Brian Gay",96,184,658,28,"Total1Putts510",2009
6,6,"Bo Van Pelt",100,179,621,28.8,"Total1Putts510",2009
7,7,"Daniel Chopra",89,170,639,26.6,"Total1Putts510",2009
7,7,"Joe Ogilvie",85,170,618,27.5,"Total1Putts510",2009
9,9,"Marc Leishman",91,168,583,28.8,"Total1Putts510",2009
9,9,"Kevin Streelman",97,168,597,28.1,"Total1Putts510",2009
11,11,"Ben Crane",93,167,596,28,"Total1Putts510",2009
11,11,"Charlie Wi",92,167,598,27.9,"Total1Putts510",2009
13,13,"Woody Austin",84,166,548,30.3,"Total1Putts510",2009
13,13,"Harrison Frazar",93,166,625,26.6,"Total1Putts510",2009
15,15,"Charley Hoffman",97,165,640,25.8,"Total1Putts510",2009
16,16,"Troy Matteson",95,164,580,28.3,"Total1Putts510",2009
16,16,"Ted Purdy",101,164,622,26.4,"Total1Putts510",2009
18,18,"Lucas Glover",93,163,574,28.4,"Total1Putts510",2009
18,18,"Charles Howell III",99,163,559,29.2,"Total1Putts510",2009
18,18,"Nick OHern",90,163,601,27.1,"Total1Putts510",2009
18,18,"Jeff Overton",92,163,588,27.7,"Total1Putts510",2009
18,18,"Greg Owen",97,163,518,31.5,"Total1Putts510",2009
23,23,"Tim Petrovic",97,162,649,25,"Total1Putts510",2009
24,24,"Bill Haas",91,161,585,27.5,"Total1Putts510",2009
24,24,"Zach Johnson",94,161,581,27.7,"Total1Putts510",2009
26,26,"Ryan Moore",89,160,546,29.3,"Total1Putts510",2009
26,26,"Kevin Na",91,160,605,26.4,"Total1Putts510",2009
28,28,"Parker McLachlin",71,159,529,30.1,"Total1Putts510",2009
29,29,"Jerry Kelly",90,157,589,26.7,"Total1Putts510",2009
29,29,"Matt Kuchar",82,157,556,28.2,"Total1Putts510",2009
29,29,"Heath Slocum",95,157,565,27.8,"Total1Putts510",2009
32,32,"Steve Lowery",83,156,557,28,"Total1Putts510",2009
32,32,"David Mathis",82,156,512,30.5,"Total1Putts510",2009
32,32,"Scott McCarron",91,156,590,26.4,"Total1Putts510",2009
32,32,"George McNeill",82,156,569,27.4,"Total1Putts510",2009
36,36,"Mike Weir",85,155,534,29,"Total1Putts510",2009
37,37,"Matt Bettencourt",98,153,634,24.1,"Total1Putts510",2009
37,37,"Nicholas Thompson",96,153,590,25.9,"Total1Putts510",2009
39,39,"Tim Herron",87,152,576,26.4,"Total1Putts510",2009
39,39,"John Senden",100,152,594,25.6,"Total1Putts510",2009
41,41,"Jeff Klauk",97,151,610,24.8,"Total1Putts510",2009
41,41,"Hunter Mahan",94,151,543,27.8,"Total1Putts510",2009
41,41,"Kevin Sutherland",96,151,522,28.9,"Total1Putts510",2009
