"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2011","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2011","FirstTeeEarlyPar5ScoringAverage_AVG_2011","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2011","stat_name","year"
106,106,"Chris Kirk",87,4.7,390,83,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"Troy Matteson",91,4.7,432,92,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"Billy Mayfair",94,4.7,531,113,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"George McNeill",69,4.7,343,73,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"Andres Romero",77,4.7,329,70,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"Nate Smith",66,4.7,301,64,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"Paul Stankowski",78,4.7,310,66,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"Jhonattan Vegas",84,4.7,268,57,"FirstTeeEarlyPar5ScoringAverage",2011
106,106,"Mark Wilson",89,4.7,432,92,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"Ben Crane",76,4.71,410,87,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"Brian Gay",90,4.71,433,92,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"Martin Laird",77,4.71,330,70,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"Jarrod Lyle",83,4.71,273,58,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"William McGirt",103,4.71,353,75,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"Sean OHair",71,4.71,339,72,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"Geoff Ogilvy",69,4.71,320,68,"FirstTeeEarlyPar5ScoringAverage",2011
119,119,"Dean Wilson",62,4.71,259,55,"FirstTeeEarlyPar5ScoringAverage",2011
