"FirstTeeLateRound4ScoringAverage_RANKTHISWEEK_2015","FirstTeeLateRound4ScoringAverage_RANKLASTWEEK_2015","FirstTeeLateRound4ScoringAverage_PLAYERNAME_2015","FirstTeeLateRound4ScoringAverage__2015","FirstTeeLateRound4ScoringAverage_AVG_2015","FirstTeeLateRound4ScoringAverage_TOTALSTROKES_2015","FirstTeeLateRound4ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Matt Every",NA,66,66,1,"FirstTeeLateRound4ScoringAverage",2015
1,1,"Davis Love III",NA,66,132,2,"FirstTeeLateRound4ScoringAverage",2015
3,3,"Eric Axley",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2015
3,3,"Blayne Barber",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2015
3,3,"Geoff Ogilvy",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2015
3,3,"Chez Reavie",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2015
3,3,"Gary Woodland",NA,68,272,4,"FirstTeeLateRound4ScoringAverage",2015
8,8,"Robert Streb",NA,68.23,887,13,"FirstTeeLateRound4ScoringAverage",2015
9,9,"Steve Wheatcroft",NA,68.25,273,4,"FirstTeeLateRound4ScoringAverage",2015
10,10,"Will Wilcox",NA,68.4,342,5,"FirstTeeLateRound4ScoringAverage",2015
11,11,"Boo Weekley",NA,68.44,616,9,"FirstTeeLateRound4ScoringAverage",2015
12,12,"Oscar Fraustro",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2015
13,13,"Kevin Kisner",NA,68.64,755,11,"FirstTeeLateRound4ScoringAverage",2015
14,14,"Jordan Spieth",NA,68.71,1168,17,"FirstTeeLateRound4ScoringAverage",2015
15,15,"Carl Pettersson",NA,68.86,482,7,"FirstTeeLateRound4ScoringAverage",2015
16,16,"Ken Duke",NA,69,207,3,"FirstTeeLateRound4ScoringAverage",2015
16,16,"George McNeill",NA,69,552,8,"FirstTeeLateRound4ScoringAverage",2015
16,16,"Roger Sloan",NA,69,138,2,"FirstTeeLateRound4ScoringAverage",2015
16,16,"Chris Stroud",NA,69,414,6,"FirstTeeLateRound4ScoringAverage",2015
16,16,"Daniel Summerhays",NA,69,690,10,"FirstTeeLateRound4ScoringAverage",2015
21,21,"Danny Lee",NA,69.09,760,11,"FirstTeeLateRound4ScoringAverage",2015
22,22,"Paul Casey",NA,69.1,691,10,"FirstTeeLateRound4ScoringAverage",2015
23,23,"Jimmy Walker",NA,69.14,484,7,"FirstTeeLateRound4ScoringAverage",2015
24,24,"Tony Finau",NA,69.15,899,13,"FirstTeeLateRound4ScoringAverage",2015
25,25,"Jason Day",NA,69.17,830,12,"FirstTeeLateRound4ScoringAverage",2015
26,26,"Bubba Watson",NA,69.21,969,14,"FirstTeeLateRound4ScoringAverage",2015
27,27,"Zach Johnson",NA,69.23,900,13,"FirstTeeLateRound4ScoringAverage",2015
28,28,"Tom Hoge",NA,69.25,277,4,"FirstTeeLateRound4ScoringAverage",2015
28,28,"Mark Wilson",NA,69.25,277,4,"FirstTeeLateRound4ScoringAverage",2015
30,30,"Steven Alker",NA,69.33,208,3,"FirstTeeLateRound4ScoringAverage",2015
30,30,"Scott Piercy",NA,69.33,624,9,"FirstTeeLateRound4ScoringAverage",2015
32,32,"Jon Curran",NA,69.4,347,5,"FirstTeeLateRound4ScoringAverage",2015
32,32,"Colt Knost",NA,69.4,347,5,"FirstTeeLateRound4ScoringAverage",2015
32,32,"John Senden",NA,69.4,347,5,"FirstTeeLateRound4ScoringAverage",2015
35,35,"Rickie Fowler",NA,69.6,696,10,"FirstTeeLateRound4ScoringAverage",2015
35,35,"James Hahn",NA,69.6,348,5,"FirstTeeLateRound4ScoringAverage",2015
37,37,"Nick Taylor",NA,69.67,209,3,"FirstTeeLateRound4ScoringAverage",2015
38,38,"Jerry Kelly",NA,69.71,488,7,"FirstTeeLateRound4ScoringAverage",2015
38,38,"Hideki Matsuyama",NA,69.71,976,14,"FirstTeeLateRound4ScoringAverage",2015
40,40,"Brandt Snedeker",NA,69.8,698,10,"FirstTeeLateRound4ScoringAverage",2015
