"GIRPuttingAvg2530_RANKTHISWEEK_2006","GIRPuttingAvg2530_RANKLASTWEEK_2006","GIRPuttingAvg2530_PLAYERNAME_2006","GIRPuttingAvg2530_ROUNDS_2006","GIRPuttingAvg2530_PctMADE_2006","GIRPuttingAvg2530_ATTEMPTS_2006","GIRPuttingAvg2530_PUTTSMADE_2006","stat_name","year"
1,1,"Craig Barlow",77,1.79,56,10,"GIRPuttingAvg2530",2006
2,2,"David Howell",52,1.52,33,5,"GIRPuttingAvg2530",2006
3,3,"Chris Riley",86,1.51,73,11,"GIRPuttingAvg2530",2006
4,4,"Greg Chalmers",71,1.49,47,7,"GIRPuttingAvg2530",2006
5,5,"John Huston",74,1.45,69,10,"GIRPuttingAvg2530",2006
5,5,"David Toms",76,1.45,55,8,"GIRPuttingAvg2530",2006
7,7,"Len Mattiace",59,1.43,49,7,"GIRPuttingAvg2530",2006
8,8,"Richard Johnson",94,1.42,106,15,"GIRPuttingAvg2530",2006
9,9,"DA Points",82,1.39,79,11,"GIRPuttingAvg2530",2006
10,10,"David Duval",71,1.36,44,6,"GIRPuttingAvg2530",2006
10,10,"Tom Lehman",70,1.36,44,6,"GIRPuttingAvg2530",2006
12,12,"Jim Furyk",89,1.35,89,12,"GIRPuttingAvg2530",2006
12,12,"David McKenzie",82,1.35,96,13,"GIRPuttingAvg2530",2006
14,14,"Jesper Parnevik",84,1.34,67,9,"GIRPuttingAvg2530",2006
15,15,"Tom Pernice Jr",108,1.33,90,12,"GIRPuttingAvg2530",2006
16,16,"Robert Allenby",79,1.3,69,9,"GIRPuttingAvg2530",2006
16,16,"Brad Faxon",78,1.3,69,9,"GIRPuttingAvg2530",2006
18,18,"Billy Andrade",78,1.23,57,7,"GIRPuttingAvg2530",2006
18,18,"Aaron Baddeley",78,1.23,65,8,"GIRPuttingAvg2530",2006
20,20,"Jose Maria Olazabal",62,1.22,49,6,"GIRPuttingAvg2530",2006
20,20,"Brett Quigley",109,1.22,115,14,"GIRPuttingAvg2530",2006
22,22,"Matt Hansen",68,1.21,66,8,"GIRPuttingAvg2530",2006
22,22,"Rod Pampling",89,1.21,58,7,"GIRPuttingAvg2530",2006
24,24,"James Driscoll",80,1.2,75,9,"GIRPuttingAvg2530",2006
25,25,"Skip Kendall",72,1.19,59,7,"GIRPuttingAvg2530",2006
26,26,"Mathias Gronberg",92,1.18,68,8,"GIRPuttingAvg2530",2006
27,27,"Henrik Bjornstad",97,1.17,77,9,"GIRPuttingAvg2530",2006
27,27,"Jonathan Byrd",66,1.17,60,7,"GIRPuttingAvg2530",2006
27,27,"Marco Dawson",87,1.17,77,9,"GIRPuttingAvg2530",2006
27,27,"Vaughn Taylor",88,1.17,94,11,"GIRPuttingAvg2530",2006
27,27,"Duffy Waldorf",96,1.17,103,12,"GIRPuttingAvg2530",2006
32,32,"Adam Scott",70,1.15,61,7,"GIRPuttingAvg2530",2006
33,33,"Brian Gay",107,1.12,107,12,"GIRPuttingAvg2530",2006
33,33,"Nick Watney",97,1.12,98,11,"GIRPuttingAvg2530",2006
35,35,"Brian Davis",92,1.11,72,8,"GIRPuttingAvg2530",2006
35,35,"Tjaart van der Walt",60,1.11,63,7,"GIRPuttingAvg2530",2006
37,37,"Carlos Franco",86,1.1,91,10,"GIRPuttingAvg2530",2006
37,37,"Dean Wilson",115,1.1,100,11,"GIRPuttingAvg2530",2006
39,39,"Daniel Chopra",110,1.09,92,10,"GIRPuttingAvg2530",2006
40,40,"Pat Perez",50,1.08,37,4,"GIRPuttingAvg2530",2006
40,40,"Ron Whittaker",81,1.08,74,8,"GIRPuttingAvg2530",2006
42,42,"Nathan Green",108,1.07,84,9,"GIRPuttingAvg2530",2006
43,43,"Dudley Hart",83,1.06,85,9,"GIRPuttingAvg2530",2006
44,44,"Scott Gutschewski",53,1.04,48,5,"GIRPuttingAvg2530",2006
45,45,"Shane Bertsch",104,1.03,97,10,"GIRPuttingAvg2530",2006
46,46,"Alex Aragon",63,1.02,49,5,"GIRPuttingAvg2530",2006
46,46,"Olin Browne",108,1.02,88,9,"GIRPuttingAvg2530",2006
46,46,"Ben Crane",85,1.02,49,5,"GIRPuttingAvg2530",2006
46,46,"Luke Donald",66,1.02,59,6,"GIRPuttingAvg2530",2006
46,46,"Bo Van Pelt",102,1.02,98,10,"GIRPuttingAvg2530",2006
51,51,"John Senden",96,1.01,89,9,"GIRPuttingAvg2530",2006
51,51,"Mark Wilson",79,1.01,79,8,"GIRPuttingAvg2530",2006
53,53,"Joe Ogilvie",95,1,80,8,"GIRPuttingAvg2530",2006
53,53,"Ted Purdy",103,1,80,8,"GIRPuttingAvg2530",2006
53,53,"Justin Rose",98,1,100,10,"GIRPuttingAvg2530",2006
56,56,"Steve Lowery",99,0.99,71,7,"GIRPuttingAvg2530",2006
57,57,"Ben Curtis",86,0.98,82,8,"GIRPuttingAvg2530",2006
57,57,"Mike Weir",88,0.98,61,6,"GIRPuttingAvg2530",2006
59,59,"Paul Stankowski",70,0.97,62,6,"GIRPuttingAvg2530",2006
60,60,"Brent Geiberger",99,0.96,104,10,"GIRPuttingAvg2530",2006
60,60,"Vijay Singh",103,0.96,73,7,"GIRPuttingAvg2530",2006
60,60,"Bob Tway",81,0.96,73,7,"GIRPuttingAvg2530",2006
63,63,"Steve Flesch",119,0.95,126,12,"GIRPuttingAvg2530",2006
63,63,"Mathew Goggin",72,0.95,63,6,"GIRPuttingAvg2530",2006
63,63,"Jeff Maggert",81,0.95,74,7,"GIRPuttingAvg2530",2006
66,66,"Robert Gamez",94,0.94,85,8,"GIRPuttingAvg2530",2006
67,67,"JJ Henry",96,0.93,108,10,"GIRPuttingAvg2530",2006
67,67,"Frank Lickliter II",99,0.93,108,10,"GIRPuttingAvg2530",2006
69,69,"Todd Fischer",101,0.92,109,10,"GIRPuttingAvg2530",2006
69,69,"Bubba Watson",83,0.92,76,7,"GIRPuttingAvg2530",2006
71,71,"Doug Barron",74,0.91,66,6,"GIRPuttingAvg2530",2006
