"LatePar4ScoringAverage_RANKTHISWEEK_2011","LatePar4ScoringAverage_RANKLASTWEEK_2011","LatePar4ScoringAverage_PLAYERNAME_2011","LatePar4ScoringAverage_ROUNDS_2011","LatePar4ScoringAverage_AVG_2011","LatePar4ScoringAverage_TOTALSTROKES_2011","LatePar4ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Webb Simpson",98,3.95,2686,680,"LatePar4ScoringAverage",2011
2,2,"Aaron Baddeley",77,3.96,1936,489,"LatePar4ScoringAverage",2011
2,2,"JB Holmes",57,3.96,1132,286,"LatePar4ScoringAverage",2011
2,2,"Matt Kuchar",94,3.96,2370,598,"LatePar4ScoringAverage",2011
5,5,"Luke Donald",73,3.97,1814,457,"LatePar4ScoringAverage",2011
6,6,"Steve Stricker",70,3.98,2037,512,"LatePar4ScoringAverage",2011
7,7,"Bill Haas",93,3.99,2228,559,"LatePar4ScoringAverage",2011
7,7,"Martin Laird",77,3.99,1764,442,"LatePar4ScoringAverage",2011
7,7,"Adam Scott",60,3.99,1708,428,"LatePar4ScoringAverage",2011
7,7,"Nick Watney",80,3.99,2092,524,"LatePar4ScoringAverage",2011
11,11,"KJ Choi",77,4,1824,456,"LatePar4ScoringAverage",2011
11,11,"David Hearn",88,4,1762,440,"LatePar4ScoringAverage",2011
11,11,"Zach Johnson",79,4,1634,408,"LatePar4ScoringAverage",2011
11,11,"Hunter Mahan",92,4,2037,509,"LatePar4ScoringAverage",2011
11,11,"Phil Mickelson",79,4,1682,421,"LatePar4ScoringAverage",2011
11,11,"Bryce Molder",82,4,1966,492,"LatePar4ScoringAverage",2011
11,11,"Ryan Moore",79,4,1648,412,"LatePar4ScoringAverage",2011
18,18,"Briny Baird",60,4.01,1242,310,"LatePar4ScoringAverage",2011
18,18,"Greg Chalmers",88,4.01,1768,441,"LatePar4ScoringAverage",2011
18,18,"Ben Crane",76,4.01,1527,381,"LatePar4ScoringAverage",2011
18,18,"Tommy Gainey",104,4.01,2408,600,"LatePar4ScoringAverage",2011
18,18,"Freddie Jacobson",92,4.01,2166,540,"LatePar4ScoringAverage",2011
18,18,"Chris Kirk",87,4.01,1853,462,"LatePar4ScoringAverage",2011
18,18,"George McNeill",69,4.01,1443,360,"LatePar4ScoringAverage",2011
18,18,"Geoff Ogilvy",69,4.01,1361,339,"LatePar4ScoringAverage",2011
18,18,"Carl Pettersson",95,4.01,2036,508,"LatePar4ScoringAverage",2011
18,18,"Chez Reavie",92,4.01,1906,475,"LatePar4ScoringAverage",2011
18,18,"David Toms",78,4.01,1715,428,"LatePar4ScoringAverage",2011
18,18,"Jimmy Walker",79,4.01,1638,408,"LatePar4ScoringAverage",2011
30,30,"Kris Blanks",92,4.02,2027,504,"LatePar4ScoringAverage",2011
30,30,"Jason Dufner",78,4.02,1893,471,"LatePar4ScoringAverage",2011
30,30,"Charles Howell III",108,4.02,2827,704,"LatePar4ScoringAverage",2011
30,30,"Ryuji Imada",83,4.02,1704,424,"LatePar4ScoringAverage",2011
30,30,"Dustin Johnson",72,4.02,1689,420,"LatePar4ScoringAverage",2011
30,30,"Robert Karlsson",61,4.02,1299,323,"LatePar4ScoringAverage",2011
30,30,"Bill Lunde",92,4.02,1775,441,"LatePar4ScoringAverage",2011
30,30,"John Merrick",71,4.02,1692,421,"LatePar4ScoringAverage",2011
30,30,"Jeff Overton",92,4.02,1754,436,"LatePar4ScoringAverage",2011
30,30,"Michael Putnam",67,4.02,1209,301,"LatePar4ScoringAverage",2011
30,30,"Andres Romero",77,4.02,1686,419,"LatePar4ScoringAverage",2011
30,30,"Justin Rose",79,4.02,1422,354,"LatePar4ScoringAverage",2011
30,30,"Kevin Streelman",90,4.02,1664,414,"LatePar4ScoringAverage",2011
43,43,"Blake Adams",116,4.03,2211,549,"LatePar4ScoringAverage",2011
43,43,"Shane Bertsch",62,4.03,1426,354,"LatePar4ScoringAverage",2011
43,43,"Chris Couch",73,4.03,1505,373,"LatePar4ScoringAverage",2011
43,43,"Brian Davis",105,4.03,2363,586,"LatePar4ScoringAverage",2011
43,43,"Jason Day",76,4.03,1694,420,"LatePar4ScoringAverage",2011
43,43,"Brendon de Jonge",105,4.03,2398,595,"LatePar4ScoringAverage",2011
43,43,"Chris DiMarco",93,4.03,1815,450,"LatePar4ScoringAverage",2011
43,43,"Padraig Harrington",60,4.03,1173,291,"LatePar4ScoringAverage",2011
43,43,"Jerry Kelly",85,4.03,1983,492,"LatePar4ScoringAverage",2011
43,43,"Steve Marino",76,4.03,1761,437,"LatePar4ScoringAverage",2011
43,43,"David Mathis",83,4.03,1779,441,"LatePar4ScoringAverage",2011
43,43,"John Rollins",85,4.03,1842,457,"LatePar4ScoringAverage",2011
43,43,"Charl Schwartzel",58,4.03,1293,321,"LatePar4ScoringAverage",2011
43,43,"Kevin Stadler",88,4.03,1826,453,"LatePar4ScoringAverage",2011
43,43,"Mark Wilson",89,4.03,1944,482,"LatePar4ScoringAverage",2011
43,43,"Gary Woodland",93,4.03,2411,598,"LatePar4ScoringAverage",2011
59,59,"Stephen Ames",69,4.04,1322,327,"LatePar4ScoringAverage",2011
59,59,"Cameron Beckman",71,4.04,1357,336,"LatePar4ScoringAverage",2011
59,59,"Michael Bradley",74,4.04,1403,347,"LatePar4ScoringAverage",2011
59,59,"Jonathan Byrd",83,4.04,1670,413,"LatePar4ScoringAverage",2011
59,59,"Ben Curtis",66,4.04,1330,329,"LatePar4ScoringAverage",2011
59,59,"Robert Garrigus",83,4.04,1702,421,"LatePar4ScoringAverage",2011
59,59,"Brian Gay",90,4.04,2041,505,"LatePar4ScoringAverage",2011
59,59,"Paul Goydos",81,4.04,1745,432,"LatePar4ScoringAverage",2011
59,59,"Hunter Haas",96,4.04,2061,510,"LatePar4ScoringAverage",2011
59,59,"Brandt Jobe",100,4.04,2200,544,"LatePar4ScoringAverage",2011
59,59,"Kevin Kisner",70,4.04,1393,345,"LatePar4ScoringAverage",2011
59,59,"Troy Matteson",91,4.04,2022,501,"LatePar4ScoringAverage",2011
59,59,"Billy Mayfair",94,4.04,1840,456,"LatePar4ScoringAverage",2011
59,59,"Scott McCarron",65,4.04,1103,273,"LatePar4ScoringAverage",2011
59,59,"Graeme McDowell",50,4.04,973,241,"LatePar4ScoringAverage",2011
59,59,"William McGirt",103,4.04,2346,581,"LatePar4ScoringAverage",2011
59,59,"Nick OHern",89,4.04,2171,538,"LatePar4ScoringAverage",2011
59,59,"Rod Pampling",72,4.04,1641,406,"LatePar4ScoringAverage",2011
59,59,"Pat Perez",76,4.04,1342,332,"LatePar4ScoringAverage",2011
59,59,"DA Points",89,4.04,1937,479,"LatePar4ScoringAverage",2011
59,59,"Ian Poulter",52,4.04,1054,261,"LatePar4ScoringAverage",2011
59,59,"Brandt Snedeker",85,4.04,2168,537,"LatePar4ScoringAverage",2011
59,59,"Chris Stroud",88,4.04,2063,511,"LatePar4ScoringAverage",2011
59,59,"Bo Van Pelt",92,4.04,2089,517,"LatePar4ScoringAverage",2011
59,59,"Bubba Watson",85,4.04,1594,395,"LatePar4ScoringAverage",2011
84,84,"Woody Austin",59,4.05,1097,271,"LatePar4ScoringAverage",2011
84,84,"Sergio Garcia",61,4.05,1516,374,"LatePar4ScoringAverage",2011
84,84,"Retief Goosen",50,4.05,931,230,"LatePar4ScoringAverage",2011
