"LateRound2ScoringAverage_RANKTHISWEEK_2009","LateRound2ScoringAverage_RANKLASTWEEK_2009","LateRound2ScoringAverage_PLAYERNAME_2009","LateRound2ScoringAverage__2009","LateRound2ScoringAverage_AVG_2009","LateRound2ScoringAverage_TOTALSTROKES_2009","LateRound2ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Matt Jones",NA,68.33,615,9,"LateRound2ScoringAverage",2009
2,2,"Chris Riley",NA,68.56,617,9,"LateRound2ScoringAverage",2009
3,3,"Ryan Moore",NA,68.7,687,10,"LateRound2ScoringAverage",2009
4,4,"Scott Sterling",NA,68.71,481,7,"LateRound2ScoringAverage",2009
5,5,"Stephen Ames",NA,68.83,826,12,"LateRound2ScoringAverage",2009
6,6,"Jerry Kelly",NA,69,828,12,"LateRound2ScoringAverage",2009
7,7,"Jeff Overton",NA,69.07,967,14,"LateRound2ScoringAverage",2009
8,8,"Steve Marino",NA,69.08,898,13,"LateRound2ScoringAverage",2009
9,9,"Tag Ridings",NA,69.11,622,9,"LateRound2ScoringAverage",2009
10,10,"Harrison Frazar",NA,69.17,830,12,"LateRound2ScoringAverage",2009
11,11,"David Toms",NA,69.21,969,14,"LateRound2ScoringAverage",2009
12,12,"Anthony Kim",NA,69.3,693,10,"LateRound2ScoringAverage",2009
13,13,"Ryuji Imada",NA,69.31,901,13,"LateRound2ScoringAverage",2009
14,14,"Tom Pernice Jr",NA,69.36,971,14,"LateRound2ScoringAverage",2009
15,15,"Casey Wittenberg",NA,69.38,555,8,"LateRound2ScoringAverage",2009
16,16,"Bryce Molder",NA,69.55,765,11,"LateRound2ScoringAverage",2009
16,16,"Kevin Na",NA,69.55,765,11,"LateRound2ScoringAverage",2009
18,18,"JJ Henry",NA,69.56,626,9,"LateRound2ScoringAverage",2009
18,18,"Jeff Maggert",NA,69.56,626,9,"LateRound2ScoringAverage",2009
20,20,"Rocco Mediate",NA,69.58,835,12,"LateRound2ScoringAverage",2009
21,21,"Freddie Jacobson",NA,69.62,905,13,"LateRound2ScoringAverage",2009
22,22,"Daniel Chopra",NA,69.64,766,11,"LateRound2ScoringAverage",2009
23,23,"Justin Leonard",NA,69.67,836,12,"LateRound2ScoringAverage",2009
23,23,"Troy Matteson",NA,69.67,836,12,"LateRound2ScoringAverage",2009
25,25,"Charley Hoffman",NA,69.7,697,10,"LateRound2ScoringAverage",2009
26,26,"Cameron Beckman",NA,69.73,1046,15,"LateRound2ScoringAverage",2009
27,27,"Rory Sabbatini",NA,69.77,907,13,"LateRound2ScoringAverage",2009
27,27,"Chris Stroud",NA,69.77,907,13,"LateRound2ScoringAverage",2009
29,29,"Webb Simpson",NA,69.79,977,14,"LateRound2ScoringAverage",2009
30,30,"Glen Day",NA,69.8,698,10,"LateRound2ScoringAverage",2009
31,31,"Bob Heintz",NA,69.82,768,11,"LateRound2ScoringAverage",2009
32,32,"Jason Dufner",NA,69.85,908,13,"LateRound2ScoringAverage",2009
33,33,"Mark Wilson",NA,69.87,1048,15,"LateRound2ScoringAverage",2009
34,34,"Jason Day",NA,69.88,559,8,"LateRound2ScoringAverage",2009
35,35,"Ernie Els",NA,69.89,629,9,"LateRound2ScoringAverage",2009
35,35,"Tiger Woods",NA,69.89,629,9,"LateRound2ScoringAverage",2009
37,37,"Greg Chalmers",NA,69.91,769,11,"LateRound2ScoringAverage",2009
37,37,"Tim Clark",NA,69.91,769,11,"LateRound2ScoringAverage",2009
39,39,"Steve Flesch",NA,69.92,839,12,"LateRound2ScoringAverage",2009
39,39,"Bill Haas",NA,69.92,909,13,"LateRound2ScoringAverage",2009
39,39,"John Merrick",NA,69.92,909,13,"LateRound2ScoringAverage",2009
42,42,"Kris Blanks",NA,70,700,10,"LateRound2ScoringAverage",2009
42,42,"Bart Bryant",NA,70,420,6,"LateRound2ScoringAverage",2009
42,42,"Ben Curtis",NA,70,560,8,"LateRound2ScoringAverage",2009
42,42,"Bill Lunde",NA,70,980,14,"LateRound2ScoringAverage",2009
42,42,"Scott McCarron",NA,70,1120,16,"LateRound2ScoringAverage",2009
42,42,"Phil Mickelson",NA,70,420,6,"LateRound2ScoringAverage",2009
48,48,"Jason Bohn",NA,70.07,981,14,"LateRound2ScoringAverage",2009
48,48,"Hunter Mahan",NA,70.07,1051,15,"LateRound2ScoringAverage",2009
50,50,"Tim Herron",NA,70.13,1052,15,"LateRound2ScoringAverage",2009
50,50,"Michael Letzig",NA,70.13,1052,15,"LateRound2ScoringAverage",2009
50,50,"Jarrod Lyle",NA,70.13,561,8,"LateRound2ScoringAverage",2009
53,53,"James Nitties",NA,70.15,912,13,"LateRound2ScoringAverage",2009
54,54,"Lucas Glover",NA,70.17,842,12,"LateRound2ScoringAverage",2009
54,54,"Sean OHair",NA,70.17,842,12,"LateRound2ScoringAverage",2009
54,54,"Matt Weibring",NA,70.17,842,12,"LateRound2ScoringAverage",2009
57,57,"Chad Campbell",NA,70.18,772,11,"LateRound2ScoringAverage",2009
57,57,"Boo Weekley",NA,70.18,772,11,"LateRound2ScoringAverage",2009
59,59,"Retief Goosen",NA,70.2,702,10,"LateRound2ScoringAverage",2009
