"PuttsMadePerEventOver10_RANKTHISWEEK_2005","PuttsMadePerEventOver10_RANKLASTWEEK_2005","PuttsMadePerEventOver10_PLAYERNAME_2005","PuttsMadePerEventOver10_ROUNDS_2005","PuttsMadePerEventOver10_PUTTSMADE_2005","stat_name","year"
1,1,"Arjun Atwal",65,7.6,"PuttsMadePerEventOver10",2005
2,2,"Padraig Harrington",50,6.9,"PuttsMadePerEventOver10",2005
2,2,"Brenden Pappas",51,6.9,"PuttsMadePerEventOver10",2005
4,4,"Stewart Cink",98,6.8,"PuttsMadePerEventOver10",2005
5,5,"David Toms",87,6.7,"PuttsMadePerEventOver10",2005
6,6,"Chad Campbell",95,6.6,"PuttsMadePerEventOver10",2005
6,6,"Jim Furyk",94,6.6,"PuttsMadePerEventOver10",2005
6,6,"Tim Herron",100,6.6,"PuttsMadePerEventOver10",2005
6,6,"Loren Roberts",54,6.6,"PuttsMadePerEventOver10",2005
6,6,"Bob Tway",87,6.6,"PuttsMadePerEventOver10",2005
11,11,"Adam Scott",72,6.5,"PuttsMadePerEventOver10",2005
12,12,"Kenny Perry",82,6.4,"PuttsMadePerEventOver10",2005
13,13,"Charles Howell III",95,6.3,"PuttsMadePerEventOver10",2005
13,13,"Jose Maria Olazabal",55,6.3,"PuttsMadePerEventOver10",2005
15,15,"Bart Bryant",91,6.2,"PuttsMadePerEventOver10",2005
15,15,"Bob Estes",92,6.2,"PuttsMadePerEventOver10",2005
17,17,"Ben Crane",78,6.1,"PuttsMadePerEventOver10",2005
17,17,"Mark Hensby",70,6.1,"PuttsMadePerEventOver10",2005
17,17,"Phil Mickelson",81,6.1,"PuttsMadePerEventOver10",2005
17,17,"Larry Mize",54,6.1,"PuttsMadePerEventOver10",2005
17,17,"Sean OHair",103,6.1,"PuttsMadePerEventOver10",2005
17,17,"Vijay Singh",111,6.1,"PuttsMadePerEventOver10",2005
17,17,"Tiger Woods",76,6.1,"PuttsMadePerEventOver10",2005
24,24,"Stephen Ames",82,6,"PuttsMadePerEventOver10",2005
24,24,"Marco Dawson",82,6,"PuttsMadePerEventOver10",2005
24,24,"Jay Haas",54,6,"PuttsMadePerEventOver10",2005
24,24,"Dudley Hart",84,6,"PuttsMadePerEventOver10",2005
24,24,"Rod Pampling",89,6,"PuttsMadePerEventOver10",2005
29,29,"Brad Faxon",75,5.9,"PuttsMadePerEventOver10",2005
