"ScramblingfromOtherLocations_RANKTHISWEEK_2009","ScramblingfromOtherLocations_RANKLASTWEEK_2009","ScramblingfromOtherLocations_PLAYERNAME_2009","ScramblingfromOtherLocations_ROUNDS_2009","ScramblingfromOtherLocations_Pct_2009","ScramblingfromOtherLocations_SUCCESSES_2009","ScramblingfromOtherLocations_ATTEMPTS_2009","stat_name","year"
1,1,"Scott McCarron",91,70.63,101,143,"ScramblingfromOtherLocations",2009
2,2,"Ian Poulter",59,70.53,67,95,"ScramblingfromOtherLocations",2009
3,3,"Tom Pernice Jr",82,70.08,89,127,"ScramblingfromOtherLocations",2009
4,4,"Bo Van Pelt",100,70,91,130,"ScramblingfromOtherLocations",2009
5,5,"Tiger Woods",64,69.49,41,59,"ScramblingfromOtherLocations",2009
6,6,"Padraig Harrington",66,68.82,64,93,"ScramblingfromOtherLocations",2009
7,7,"Kenny Perry",92,67.54,77,114,"ScramblingfromOtherLocations",2009
8,8,"Glen Day",79,67.26,76,113,"ScramblingfromOtherLocations",2009
9,9,"Steve Stricker",81,66.32,63,95,"ScramblingfromOtherLocations",2009
10,10,"Brian Vranesh",51,65.79,50,76,"ScramblingfromOtherLocations",2009
11,11,"Mark Wilson",99,65.71,92,140,"ScramblingfromOtherLocations",2009
12,12,"Kirk Triplett",60,65.56,59,90,"ScramblingfromOtherLocations",2009
13,13,"Jim Furyk",86,65.52,76,116,"ScramblingfromOtherLocations",2009
14,14,"John Rollins",92,65.47,91,139,"ScramblingfromOtherLocations",2009
15,15,"Casey Wittenberg",71,65.22,45,69,"ScramblingfromOtherLocations",2009
16,16,"Ben Curtis",63,65.06,54,83,"ScramblingfromOtherLocations",2009
17,17,"Spencer Levin",75,64.8,81,125,"ScramblingfromOtherLocations",2009
18,18,"Greg Chalmers",85,64.75,90,139,"ScramblingfromOtherLocations",2009
19,19,"Bob Estes",78,64.39,85,132,"ScramblingfromOtherLocations",2009
20,20,"Webb Simpson",94,64.2,104,162,"ScramblingfromOtherLocations",2009
21,21,"Michael Letzig",96,64.05,98,153,"ScramblingfromOtherLocations",2009
22,22,"Steve Marino",98,63.91,85,133,"ScramblingfromOtherLocations",2009
22,22,"Ryan Moore",89,63.91,85,133,"ScramblingfromOtherLocations",2009
24,24,"Luke Donald",79,63.81,67,105,"ScramblingfromOtherLocations",2009
25,25,"Jason Dufner",90,63.77,88,138,"ScramblingfromOtherLocations",2009
25,25,"Greg Owen",97,63.77,88,138,"ScramblingfromOtherLocations",2009
27,27,"Brian Davis",103,63.69,107,168,"ScramblingfromOtherLocations",2009
27,27,"Tim Petrovic",97,63.69,100,157,"ScramblingfromOtherLocations",2009
29,29,"Ben Crane",93,63.64,91,143,"ScramblingfromOtherLocations",2009
30,30,"Bob Heintz",59,63.44,59,93,"ScramblingfromOtherLocations",2009
31,31,"Johnson Wagner",81,63.43,85,134,"ScramblingfromOtherLocations",2009
32,32,"Brian Gay",96,63.23,98,155,"ScramblingfromOtherLocations",2009
33,33,"Jimmy Walker",74,63,63,100,"ScramblingfromOtherLocations",2009
34,34,"Bryce Molder",69,62.89,61,97,"ScramblingfromOtherLocations",2009
35,35,"Charley Hoffman",97,62.82,98,156,"ScramblingfromOtherLocations",2009
36,36,"George McNeill",82,62.81,76,121,"ScramblingfromOtherLocations",2009
37,37,"Paul Goydos",79,62.6,77,123,"ScramblingfromOtherLocations",2009
38,38,"Ernie Els",70,62.35,53,85,"ScramblingfromOtherLocations",2009
38,38,"Jeff Klauk",97,62.35,101,162,"ScramblingfromOtherLocations",2009
40,40,"Rich Beem",77,62,62,100,"ScramblingfromOtherLocations",2009
41,41,"Cliff Kresge",78,61.74,92,149,"ScramblingfromOtherLocations",2009
42,42,"Steve Lowery",83,61.72,79,128,"ScramblingfromOtherLocations",2009
43,43,"Michael Allen",73,61.54,72,117,"ScramblingfromOtherLocations",2009
44,44,"Kevin Sutherland",96,61.27,87,142,"ScramblingfromOtherLocations",2009
45,45,"Chris DiMarco",97,61.22,90,147,"ScramblingfromOtherLocations",2009
46,46,"Kevin Na",91,61.16,74,121,"ScramblingfromOtherLocations",2009
47,47,"Matt Kuchar",82,61.03,83,136,"ScramblingfromOtherLocations",2009
48,48,"Justin Leonard",95,60.99,86,141,"ScramblingfromOtherLocations",2009
49,49,"Tommy Armour III",58,60.95,64,105,"ScramblingfromOtherLocations",2009
50,50,"Aron Price",89,60.87,84,138,"ScramblingfromOtherLocations",2009
51,51,"Stewart Cink",79,60.82,59,97,"ScramblingfromOtherLocations",2009
52,52,"Joe Ogilvie",85,60.78,93,153,"ScramblingfromOtherLocations",2009
53,53,"Chad Campbell",90,60.5,72,119,"ScramblingfromOtherLocations",2009
54,54,"Nick Watney",86,60.4,61,101,"ScramblingfromOtherLocations",2009
55,55,"Mike Weir",85,60.33,73,121,"ScramblingfromOtherLocations",2009
56,56,"Brandt Snedeker",81,60.32,76,126,"ScramblingfromOtherLocations",2009
57,57,"Todd Hamilton",83,60.14,89,148,"ScramblingfromOtherLocations",2009
58,58,"Jarrod Lyle",65,60,60,100,"ScramblingfromOtherLocations",2009
59,59,"Chris Riley",77,59.84,73,122,"ScramblingfromOtherLocations",2009
60,60,"Matt Jones",56,59.74,46,77,"ScramblingfromOtherLocations",2009
61,61,"Chez Reavie",81,59.7,80,134,"ScramblingfromOtherLocations",2009
62,62,"Matt Weibring",65,59.65,68,114,"ScramblingfromOtherLocations",2009
63,63,"Troy Matteson",95,59.59,87,146,"ScramblingfromOtherLocations",2009
64,64,"Jason Day",61,59.52,50,84,"ScramblingfromOtherLocations",2009
65,65,"Heath Slocum",95,59.42,82,138,"ScramblingfromOtherLocations",2009
66,66,"Rod Pampling",72,59.38,57,96,"ScramblingfromOtherLocations",2009
67,67,"Nathan Green",104,59.36,111,187,"ScramblingfromOtherLocations",2009
68,68,"James Nitties",86,59.35,73,123,"ScramblingfromOtherLocations",2009
69,69,"Alex Cejka",82,59.03,85,144,"ScramblingfromOtherLocations",2009
70,70,"Jason Bohn",88,59.02,72,122,"ScramblingfromOtherLocations",2009
71,71,"Justin Rose",71,59,59,100,"ScramblingfromOtherLocations",2009
72,72,"John Mallinger",90,58.78,77,131,"ScramblingfromOtherLocations",2009
73,73,"Aaron Baddeley",66,58.77,67,114,"ScramblingfromOtherLocations",2009
74,74,"Geoff Ogilvy",78,58.75,47,80,"ScramblingfromOtherLocations",2009
75,75,"Jerry Kelly",90,58.73,74,126,"ScramblingfromOtherLocations",2009
76,76,"Robert Garrigus",83,58.68,71,121,"ScramblingfromOtherLocations",2009
76,76,"Anthony Kim",76,58.68,71,121,"ScramblingfromOtherLocations",2009
78,78,"Richard Johnson",85,58.67,88,150,"ScramblingfromOtherLocations",2009
79,79,"Brad Faxon",59,58.52,79,135,"ScramblingfromOtherLocations",2009
79,79,"Scott Verplank",88,58.52,79,135,"ScramblingfromOtherLocations",2009
81,81,"Bill Lunde",83,58.5,86,147,"ScramblingfromOtherLocations",2009
82,82,"Bill Haas",91,58.33,70,120,"ScramblingfromOtherLocations",2009
82,82,"Vijay Singh",71,58.33,49,84,"ScramblingfromOtherLocations",2009
82,82,"Scott Sterling",51,58.33,35,60,"ScramblingfromOtherLocations",2009
85,85,"Freddie Jacobson",83,58.27,74,127,"ScramblingfromOtherLocations",2009
86,86,"Scott Piercy",85,58.04,65,112,"ScramblingfromOtherLocations",2009
87,87,"Mark Brooks",55,57.97,40,69,"ScramblingfromOtherLocations",2009
88,88,"Stuart Appleby",79,57.94,62,107,"ScramblingfromOtherLocations",2009
89,89,"Brett Quigley",92,57.67,94,163,"ScramblingfromOtherLocations",2009
90,90,"DJ Trahan",96,57.55,61,106,"ScramblingfromOtherLocations",2009
91,91,"Jay Williamson",69,57.32,47,82,"ScramblingfromOtherLocations",2009
92,92,"Ken Duke",87,57.26,67,117,"ScramblingfromOtherLocations",2009
93,93,"Corey Pavin",73,57.14,56,98,"ScramblingfromOtherLocations",2009
94,94,"Tim Herron",87,56.97,94,165,"ScramblingfromOtherLocations",2009
95,95,"Mathew Goggin",76,56.88,62,109,"ScramblingfromOtherLocations",2009
96,96,"Zach Johnson",94,56.78,67,118,"ScramblingfromOtherLocations",2009
97,97,"YE Yang",83,56.76,63,111,"ScramblingfromOtherLocations",2009
98,98,"Charlie Wi",92,56.58,86,152,"ScramblingfromOtherLocations",2009
99,99,"Charles Howell III",99,56.38,84,149,"ScramblingfromOtherLocations",2009
100,100,"Brad Adamonis",70,56.3,76,135,"ScramblingfromOtherLocations",2009
100,100,"Rocco Mediate",79,56.3,67,119,"ScramblingfromOtherLocations",2009
102,102,"Ryuji Imada",85,56.25,81,144,"ScramblingfromOtherLocations",2009
103,103,"Davis Love III",89,56.2,68,121,"ScramblingfromOtherLocations",2009
104,104,"Tim Clark",81,56.12,55,98,"ScramblingfromOtherLocations",2009
105,105,"John Merrick",91,55.71,78,140,"ScramblingfromOtherLocations",2009
106,106,"Derek Fathauer",63,55.67,54,97,"ScramblingfromOtherLocations",2009
107,107,"Hunter Mahan",94,55.56,65,117,"ScramblingfromOtherLocations",2009
108,108,"Cameron Beckman",87,55.47,71,128,"ScramblingfromOtherLocations",2009
109,109,"Ryan Palmer",78,55.38,72,130,"ScramblingfromOtherLocations",2009
110,110,"Camilo Villegas",76,55.32,52,94,"ScramblingfromOtherLocations",2009
111,111,"Woody Austin",84,55.17,80,145,"ScramblingfromOtherLocations",2009
112,112,"Jonathan Byrd",89,55.14,59,107,"ScramblingfromOtherLocations",2009
113,113,"David Toms",98,55.1,81,147,"ScramblingfromOtherLocations",2009
114,114,"Darron Stiles",52,55.06,49,89,"ScramblingfromOtherLocations",2009
115,115,"Robert Allenby",71,54.9,56,102,"ScramblingfromOtherLocations",2009
116,116,"Peter Tomasulo",61,54.88,45,82,"ScramblingfromOtherLocations",2009
