"RoughTendency_RANKTHISWEEK_2011","RoughTendency_RANKLASTWEEK_2011","RoughTendency_PLAYERNAME_2011","RoughTendency_ROUNDS_2011","RoughTendency_Pct_2011","RoughTendency_TOTALROUGH_2011","RoughTendency_POSSIBLEFWYS_2011","RoughTendency_RELATIVETOPAR_2011","stat_name","year"
1,1,"Joe Durant",71,18.91,167,883,2.04,"RoughTendency",2011
2,2,"Ben Curtis",66,20.12,174,865,0.92,"RoughTendency",2011
3,3,"Heath Slocum",89,20.16,208,1032,1.44,"RoughTendency",2011
4,4,"Steve Elkington",50,20.58,120,583,1.83,"RoughTendency",2011
5,5,"Brian Gay",90,21.21,217,1023,1.24,"RoughTendency",2011
6,6,"Jerry Kelly",85,21.5,203,944,1.82,"RoughTendency",2011
7,7,"Nick OHern",89,21.52,227,1055,1.41,"RoughTendency",2011
8,8,"Chris Riley",76,21.66,204,942,1.67,"RoughTendency",2011
9,9,"Brian Davis",105,22.5,286,1271,1.22,"RoughTendency",2011
10,10,"Zach Johnson",79,22.56,201,891,0.95,"RoughTendency",2011
11,11,"Ben Crane",76,22.57,195,864,0.51,"RoughTendency",2011
12,12,"David Toms",78,22.71,186,819,0.22,"RoughTendency",2011
13,13,"Rod Pampling",72,23.35,195,835,1.28,"RoughTendency",2011
14,14,"Aron Price",58,23.45,159,678,1.95,"RoughTendency",2011
15,15,"Justin Hicks",60,23.49,144,613,2.85,"RoughTendency",2011
15,15,"Ian Poulter",52,23.49,128,545,0.39,"RoughTendency",2011
17,17,"Paul Goydos",81,23.54,242,1028,1.49,"RoughTendency",2011
18,18,"Billy Mayfair",94,23.79,281,1181,0.82,"RoughTendency",2011
19,19,"Graeme McDowell",50,23.84,123,516,0.16,"RoughTendency",2011
20,20,"Rocco Mediate",53,23.85,160,671,1.88,"RoughTendency",2011
21,21,"Mark Wilson",89,23.86,231,968,1,"RoughTendency",2011
22,22,"Billy Horschel",75,24.04,207,861,1.45,"RoughTendency",2011
23,23,"Adam Scott",60,24.29,153,630,0.65,"RoughTendency",2011
24,24,"Chris DiMarco",93,24.38,277,1136,1.12,"RoughTendency",2011
25,25,"Bryce Molder",82,24.46,239,977,0.67,"RoughTendency",2011
26,26,"Jim Furyk",87,24.51,239,975,1.63,"RoughTendency",2011
27,27,"Alex Cejka",59,24.53,158,644,0.06,"RoughTendency",2011
28,28,"John Senden",94,24.58,275,1119,1.2,"RoughTendency",2011
29,29,"Michael Connell",76,24.6,247,1004,1.7,"RoughTendency",2011
30,30,"Brendan Steele",89,24.72,263,1064,1.94,"RoughTendency",2011
31,31,"John Rollins",85,24.75,245,990,0.9,"RoughTendency",2011
32,32,"Shane Bertsch",62,24.79,179,722,0.89,"RoughTendency",2011
33,33,"Briny Baird",60,24.85,169,680,0.89,"RoughTendency",2011
34,34,"Chad Campbell",99,25.02,300,1199,1.07,"RoughTendency",2011
35,35,"John Merrick",71,25.06,209,834,1.77,"RoughTendency",2011
36,36,"Woody Austin",59,25.07,173,690,1.04,"RoughTendency",2011
37,37,"Jason Bohn",74,25.11,235,936,1.66,"RoughTendency",2011
37,37,"Chris Couch",73,25.11,233,928,-0.3,"RoughTendency",2011
39,39,"Kent Jones",76,25.13,233,927,1.85,"RoughTendency",2011
40,40,"David Mathis",83,25.18,245,973,0.9,"RoughTendency",2011
41,41,"Blake Adams",116,25.24,367,1454,1.23,"RoughTendency",2011
42,42,"Stephen Ames",69,25.3,211,834,0.57,"RoughTendency",2011
43,43,"Rich Beem",53,25.4,160,630,2,"RoughTendency",2011
44,44,"Garrett Willis",71,25.51,226,886,1.86,"RoughTendency",2011
45,45,"Luke Donald",73,25.59,184,719,0.11,"RoughTendency",2011
46,46,"JP Hayes",56,25.6,170,664,0.76,"RoughTendency",2011
47,47,"Chez Reavie",92,25.68,293,1141,1.37,"RoughTendency",2011
48,48,"Ben Martin",74,25.72,231,898,1.69,"RoughTendency",2011
49,49,"Colt Knost",80,25.89,241,931,1.99,"RoughTendency",2011
50,50,"Justin Leonard",82,25.95,265,1021,1.32,"RoughTendency",2011
51,51,"Brandt Jobe",100,25.96,291,1121,0.65,"RoughTendency",2011
52,52,"JJ Henry",96,26.09,286,1096,1.15,"RoughTendency",2011
53,53,"Boo Weekley",66,26.14,207,792,1.35,"RoughTendency",2011
54,54,"Tim Petrovic",88,26.21,277,1057,1.52,"RoughTendency",2011
55,55,"Jason Dufner",78,26.5,239,902,0.92,"RoughTendency",2011
56,56,"Brendon de Jonge",105,26.53,338,1274,0.47,"RoughTendency",2011
57,57,"DA Points",89,26.54,272,1025,1.21,"RoughTendency",2011
58,58,"Hunter Mahan",92,26.6,282,1060,0.64,"RoughTendency",2011
59,59,"Kris Blanks",92,26.67,304,1140,1.15,"RoughTendency",2011
60,60,"Kevin Stadler",88,26.72,268,1003,1.23,"RoughTendency",2011
61,61,"Andres Gonzales",60,26.78,169,631,1.36,"RoughTendency",2011
62,62,"Davis Love III",70,26.81,193,720,0.1,"RoughTendency",2011
63,63,"Kevin Streelman",90,27.02,267,988,0.71,"RoughTendency",2011
64,64,"Johnson Wagner",81,27.03,263,973,1.48,"RoughTendency",2011
65,65,"Hunter Haas",96,27.16,320,1178,0.97,"RoughTendency",2011
66,66,"Justin Rose",79,27.22,239,878,0.67,"RoughTendency",2011
67,67,"Vaughn Taylor",89,27.24,313,1149,0.93,"RoughTendency",2011
68,68,"Robert Allenby",84,27.42,266,970,0.9,"RoughTendency",2011
69,69,"Bill Haas",93,27.56,275,998,0.4,"RoughTendency",2011
70,70,"Matt McQuillan",59,27.59,184,667,1.68,"RoughTendency",2011
71,71,"Bo Van Pelt",92,27.6,273,989,0.88,"RoughTendency",2011
72,72,"Matt Kuchar",94,27.65,274,991,0.88,"RoughTendency",2011
73,73,"Daniel Summerhays",75,27.7,251,906,2.63,"RoughTendency",2011
74,74,"Josh Teater",104,27.99,356,1272,1.32,"RoughTendency",2011
75,75,"Richard Johnson",64,28.02,211,753,1.71,"RoughTendency",2011
76,76,"Dean Wilson",62,28.04,219,781,1.64,"RoughTendency",2011
77,77,"Pat Perez",76,28.13,272,967,0.88,"RoughTendency",2011
78,78,"Brandt Snedeker",85,28.17,262,930,-0.08,"RoughTendency",2011
79,79,"Tom Gillis",55,28.18,197,699,1.98,"RoughTendency",2011
80,80,"Freddie Jacobson",92,28.22,274,971,0.99,"RoughTendency",2011
81,81,"Charley Hoffman",93,28.46,290,1019,0.24,"RoughTendency",2011
82,82,"David Hearn",88,28.49,300,1053,1.37,"RoughTendency",2011
83,83,"Will Strickler",51,28.52,168,589,2.26,"RoughTendency",2011
84,84,"Ryan Moore",79,28.55,237,830,1.65,"RoughTendency",2011
