"TenthTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2008","TenthTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2008","TenthTeeEarlyPar4ScoringAverage_PLAYERNAME_2008","TenthTeeEarlyPar4ScoringAverage_ROUNDS_2008","TenthTeeEarlyPar4ScoringAverage_AVG_2008","TenthTeeEarlyPar4ScoringAverage_TOTALSTROKES_2008","TenthTeeEarlyPar4ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Joe Ogilvie",100,3.88,706,182,"TenthTeeEarlyPar4ScoringAverage",2008
2,2,"Ryan Palmer",69,3.89,584,150,"TenthTeeEarlyPar4ScoringAverage",2008
3,3,"David Toms",70,3.9,441,113,"TenthTeeEarlyPar4ScoringAverage",2008
4,4,"Stuart Appleby",87,3.91,595,152,"TenthTeeEarlyPar4ScoringAverage",2008
5,5,"Phil Mickelson",80,3.92,722,184,"TenthTeeEarlyPar4ScoringAverage",2008
6,6,"Ron Whittaker",54,3.93,346,88,"TenthTeeEarlyPar4ScoringAverage",2008
7,7,"Kenny Perry",97,3.94,768,195,"TenthTeeEarlyPar4ScoringAverage",2008
8,8,"Harrison Frazar",73,3.95,466,118,"TenthTeeEarlyPar4ScoringAverage",2008
9,9,"Robert Allenby",108,3.96,799,202,"TenthTeeEarlyPar4ScoringAverage",2008
9,9,"Jim Furyk",95,3.96,894,226,"TenthTeeEarlyPar4ScoringAverage",2008
9,9,"Todd Hamilton",92,3.96,721,182,"TenthTeeEarlyPar4ScoringAverage",2008
9,9,"Michael Letzig",88,3.96,420,106,"TenthTeeEarlyPar4ScoringAverage",2008
9,9,"John Senden",93,3.96,606,153,"TenthTeeEarlyPar4ScoringAverage",2008
9,9,"Heath Slocum",104,3.96,962,243,"TenthTeeEarlyPar4ScoringAverage",2008
9,9,"Boo Weekley",86,3.96,475,120,"TenthTeeEarlyPar4ScoringAverage",2008
16,16,"Briny Baird",113,3.97,783,197,"TenthTeeEarlyPar4ScoringAverage",2008
16,16,"Steve Elkington",84,3.97,595,150,"TenthTeeEarlyPar4ScoringAverage",2008
16,16,"Sergio Garcia",72,3.97,492,124,"TenthTeeEarlyPar4ScoringAverage",2008
16,16,"Jim McGovern",75,3.97,615,155,"TenthTeeEarlyPar4ScoringAverage",2008
20,20,"Michael Allen",91,3.98,864,217,"TenthTeeEarlyPar4ScoringAverage",2008
20,20,"Alejandro Canizares",52,3.98,621,156,"TenthTeeEarlyPar4ScoringAverage",2008
20,20,"Adam Scott",51,3.98,485,122,"TenthTeeEarlyPar4ScoringAverage",2008
20,20,"Jay Williamson",96,3.98,948,238,"TenthTeeEarlyPar4ScoringAverage",2008
24,24,"Shane Bertsch",96,3.99,949,238,"TenthTeeEarlyPar4ScoringAverage",2008
24,24,"Stewart Cink",87,3.99,634,159,"TenthTeeEarlyPar4ScoringAverage",2008
24,24,"Justin Leonard",101,3.99,735,184,"TenthTeeEarlyPar4ScoringAverage",2008
24,24,"Carl Pettersson",110,3.99,966,242,"TenthTeeEarlyPar4ScoringAverage",2008
24,24,"Bob Tway",70,3.99,551,138,"TenthTeeEarlyPar4ScoringAverage",2008
24,24,"Scott Verplank",82,3.99,795,199,"TenthTeeEarlyPar4ScoringAverage",2008
24,24,"Nick Watney",96,3.99,550,138,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Stephen Ames",83,4,660,165,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"KJ Choi",74,4,576,144,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Tim Clark",90,4,728,182,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Brian Davis",108,4,788,197,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Joe Durant",92,4,851,213,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Brian Gay",102,4,945,236,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"John Huston",56,4,376,94,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"John Merrick",98,4,556,139,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Kevin Sutherland",98,4,1008,252,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Vaughn Taylor",103,4,692,173,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Bo Van Pelt",101,4,612,153,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Bubba Watson",97,4,1137,284,"TenthTeeEarlyPar4ScoringAverage",2008
31,31,"Mark Wilson",107,4,1033,258,"TenthTeeEarlyPar4ScoringAverage",2008
44,44,"Brad Adamonis",87,4.01,875,218,"TenthTeeEarlyPar4ScoringAverage",2008
44,44,"Ben Curtis",80,4.01,562,140,"TenthTeeEarlyPar4ScoringAverage",2008
44,44,"Steve Flesch",95,4.01,665,166,"TenthTeeEarlyPar4ScoringAverage",2008
44,44,"Brenden Pappas",66,4.01,529,132,"TenthTeeEarlyPar4ScoringAverage",2008
44,44,"Pat Perez",93,4.01,590,147,"TenthTeeEarlyPar4ScoringAverage",2008
44,44,"Brett Quigley",80,4.01,469,117,"TenthTeeEarlyPar4ScoringAverage",2008
44,44,"Kevin Streelman",114,4.01,606,151,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"Cameron Beckman",87,4.02,643,160,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"Bart Bryant",81,4.02,623,155,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"Bob Estes",90,4.02,752,187,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"Dudley Hart",74,4.02,555,138,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"Ryuji Imada",80,4.02,623,155,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"Matt Kuchar",88,4.02,904,225,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"Geoff Ogilvy",65,4.02,571,142,"TenthTeeEarlyPar4ScoringAverage",2008
51,51,"John Rollins",94,4.02,829,206,"TenthTeeEarlyPar4ScoringAverage",2008
