"CareerEarnings_RANKTHISWEEK_2016","CareerEarnings_RANKLASTWEEK_2016","CareerEarnings_PLAYERNAME_2016","CareerEarnings__2016","CareerEarnings_MONEY_2016","stat_name","year"
1,1,"Tiger Woods",NA,110061012,"CareerEarnings",2016
2,2,"Phil Mickelson",NA,79530748,"CareerEarnings",2016
3,3,"Vijay Singh",NA,69645591,"CareerEarnings",2016
4,4,"Jim Furyk",NA,65644297,"CareerEarnings",2016
5,5,"Ernie Els",NA,48412262,"CareerEarnings",2016
6,6,"Davis Love III",NA,44282764,"CareerEarnings",2016
7,7,"Adam Scott",NA,43137742,"CareerEarnings",2016
8,8,"David Toms",NA,41653766,"CareerEarnings",2016
9,9,"Sergio Garcia",NA,41575571,"CareerEarnings",2016
10,10,"Steve Stricker",NA,41313699,"CareerEarnings",2016
11,11,"Zach Johnson",NA,39368742,"CareerEarnings",2016
12,12,"Justin Rose",NA,36283276,"CareerEarnings",2016
13,13,"Matt Kuchar",NA,34853747,"CareerEarnings",2016
14,14,"Bubba Watson",NA,34640743,"CareerEarnings",2016
15,15,"Luke Donald",NA,34176497,"CareerEarnings",2016
16,16,"Justin Leonard",NA,33856707,"CareerEarnings",2016
17,17,"Stewart Cink",NA,33828326,"CareerEarnings",2016
18,18,"Kenny Perry",NA,32123130,"CareerEarnings",2016
19,19,"Dustin Johnson",NA,31804959,"CareerEarnings",2016
20,20,"KJ Choi",NA,31614632,"CareerEarnings",2016
21,21,"Jason Day",NA,30692989,"CareerEarnings",2016
22,22,"Charles Howell III",NA,30424070,"CareerEarnings",2016
23,24,"Rory McIlroy",NA,30100915,"CareerEarnings",2016
24,23,"Retief Goosen",NA,29980233,"CareerEarnings",2016
25,25,"Hunter Mahan",NA,29692639,"CareerEarnings",2016
26,26,"Brandt Snedeker",NA,29548357,"CareerEarnings",2016
27,27,"Rory Sabbatini",NA,29462394,"CareerEarnings",2016
28,28,"Stuart Appleby",NA,29257798,"CareerEarnings",2016
29,29,"Geoff Ogilvy",NA,29156325,"CareerEarnings",2016
30,30,"Mike Weir",NA,27943673,"CareerEarnings",2016
31,31,"Jerry Kelly",NA,27813395,"CareerEarnings",2016
