"LongestPutts_RANKTHISWEEK_2010","LongestPutts_RANKLASTWEEK_2010","LongestPutts_PLAYERNAME_2010","LongestPutts_ROUNDS_2010","LongestPutts_DISTANCE_2010","LongestPutts_YEARTOURN_2010","LongestPutts_ROUND_2010","LongestPutts_HOLE_2010","stat_name","year"
1,1,"Soren Kjeldsen",23,NA,NA,3,3,"LongestPutts",2010
2,2,"Chris DiMarco",88,NA,NA,3,17,"LongestPutts",2010
3,3,"Jason Day",82,NA,NA,4,4,"LongestPutts",2010
4,4,"John Little II",2,NA,NA,1,7,"LongestPutts",2010
5,5,"Aaron Baddeley",94,NA,NA,2,17,"LongestPutts",2010
6,6,"Matt Jones",89,NA,NA,1,9,"LongestPutts",2010
7,7,"Stephen Ames",75,NA,NA,4,8,"LongestPutts",2010
8,8,"Tim Clark",88,NA,NA,1,5,"LongestPutts",2010
9,9,"Charley Hoffman",85,NA,NA,2,14,"LongestPutts",2010
10,10,"Chris Stroud",90,NA,NA,2,1,"LongestPutts",2010
11,11,"Greg Owen",69,NA,NA,1,18,"LongestPutts",2010
12,12,"Michael Allen",49,NA,NA,2,8,"LongestPutts",2010
13,13,"Chad Collins",87,NA,NA,4,18,"LongestPutts",2010
14,14,"Ian Poulter",55,NA,NA,1,14,"LongestPutts",2010
15,15,"Alvaro Quiros",27,NA,NA,4,5,"LongestPutts",2010
16,16,"Dustin Johnson",83,NA,NA,1,14,"LongestPutts",2010
17,17,"Jerry Kelly",99,NA,NA,4,14,"LongestPutts",2010
18,18,"Jeff Burns",4,NA,NA,2,17,"LongestPutts",2010
19,19,"Charles Howell III",103,NA,NA,1,13,"LongestPutts",2010
21,21,"Brian Davis",101,NA,NA,1,12,"LongestPutts",2010
22,22,"Jeff Gove",57,NA,NA,2,10,"LongestPutts",2010
22,23,"Steve Marino",81,NA,NA,3,11,"LongestPutts",2010
24,24,"WC Liang",14,NA,NA,3,5,"LongestPutts",2010
25,25,"Mathew Goggin",85,NA,NA,4,13,"LongestPutts",2010
27,28,"Joe Ogilvie",99,NA,NA,4,18,"LongestPutts",2010
27,29,"Michael Sim",64,NA,NA,3,5,"LongestPutts",2010
27,27,"Ryo Ishikawa",32,NA,NA,4,5,"LongestPutts",2010
30,30,"Phil Mickelson",76,NA,NA,2,7,"LongestPutts",2010
31,31,"Glen Day",38,NA,NA,1,5,"LongestPutts",2010
32,33,"Brett Quigley",96,NA,NA,2,15,"LongestPutts",2010
34,34,"Vijay Singh",75,NA,NA,2,17,"LongestPutts",2010
35,35,"Brent Delahoussaye",57,NA,NA,2,6,"LongestPutts",2010
36,36,"Kevin Stadler",86,NA,NA,1,7,"LongestPutts",2010
37,37,"Derek Lamely",81,NA,NA,3,2,"LongestPutts",2010
38,38,"Richard Johnson",90,NA,NA,2,15,"LongestPutts",2010
39,39,"Brendan Gielow",2,NA,NA,2,3,"LongestPutts",2010
40,40,"Matt Kuchar",97,NA,NA,1,12,"LongestPutts",2010
41,41,"John Merrick",109,NA,NA,1,3,"LongestPutts",2010
42,42,"Robert Garrigus",71,NA,NA,4,18,"LongestPutts",2010
43,43,"Tom Pernice Jr",74,NA,NA,1,12,"LongestPutts",2010
44,44,"Parker McLachlin",45,NA,NA,2,7,"LongestPutts",2010
45,45,"Kevin Streelman",90,NA,NA,4,4,"LongestPutts",2010
47,47,"Nathan Green",86,NA,NA,3,7,"LongestPutts",2010
48,48,"Brett Wetterich",54,NA,NA,4,18,"LongestPutts",2010
50,50,"Kevin Sutherland",86,NA,NA,2,1,"LongestPutts",2010
50,51,"Tiger Woods",45,NA,NA,1,5,"LongestPutts",2010
52,52,"Tom Gillis",97,NA,NA,3,3,"LongestPutts",2010
53,53,"Chad Campbell",95,NA,NA,2,1,"LongestPutts",2010
54,54,"Jeev Milkha Singh",59,NA,NA,2,3,"LongestPutts",2010
55,55,"JB Holmes",100,NA,NA,1,2,"LongestPutts",2010
57,57,"John Senden",103,NA,NA,2,5,"LongestPutts",2010
58,59,"Jeff Maggert",76,NA,NA,2,9,"LongestPutts",2010
58,58,"Jarrod Lyle",54,NA,NA,3,2,"LongestPutts",2010
60,60,"James Driscoll",78,NA,NA,4,15,"LongestPutts",2010
61,61,"Jeff Klauk",40,NA,NA,4,1,"LongestPutts",2010
62,62,"Steve Elkington",74,NA,NA,4,18,"LongestPutts",2010
63,63,"Ryan Moore",80,NA,NA,2,3,"LongestPutts",2010
64,65,"Bob Heintz",12,NA,NA,3,11,"LongestPutts",2010
64,64,"Jeff Overton",89,NA,NA,3,1,"LongestPutts",2010
66,66,"James Nitties",92,NA,NA,1,3,"LongestPutts",2010
68,68,"Ryuji Imada",90,NA,NA,1,3,"LongestPutts",2010
69,69,"KJ Choi",82,NA,NA,4,3,"LongestPutts",2010
70,70,"Justin Leonard",89,NA,NA,1,15,"LongestPutts",2010
71,71,"Retief Goosen",75,NA,NA,3,6,"LongestPutts",2010
75,75,"Paul Goydos",78,NA,NA,2,9,"LongestPutts",2010
75,76,"Scott Piercy",88,NA,NA,1,11,"LongestPutts",2010
77,77,"Rod Pampling",77,NA,NA,4,8,"LongestPutts",2010
78,79,"Blake Adams",84,NA,NA,1,1,"LongestPutts",2010
78,78,"Manuel Villegas",6,NA,NA,2,17,"LongestPutts",2010
80,80,"Chris Tidland",77,NA,NA,2,11,"LongestPutts",2010
81,81,"Chez Reavie",44,NA,NA,3,16,"LongestPutts",2010
81,82,"Alex Prugh",88,NA,NA,1,8,"LongestPutts",2010
83,83,"Bryce Molder",84,NA,NA,4,10,"LongestPutts",2010
85,86,"Brendon de Jonge",114,NA,NA,1,9,"LongestPutts",2010
85,85,"Chris Baryla",19,NA,NA,1,6,"LongestPutts",2010
88,88,"Bill Haas",87,NA,NA,1,10,"LongestPutts",2010
89,89,"Michael Connell",89,NA,NA,2,6,"LongestPutts",2010
91,91,"Matt Every",60,NA,NA,4,7,"LongestPutts",2010
93,93,"Spencer Levin",110,NA,NA,3,12,"LongestPutts",2010
94,95,"Bill Lunde",79,NA,NA,2,15,"LongestPutts",2010
94,94,"Carl Pettersson",99,NA,NA,2,6,"LongestPutts",2010
96,96,"Andrew McLardy",52,NA,NA,1,5,"LongestPutts",2010
96,97,"Zach Johnson",93,NA,NA,2,6,"LongestPutts",2010
98,98,"Brandt Jobe",4,NA,NA,1,8,"LongestPutts",2010
