"EarlyPar5ScoringAverage_RANKTHISWEEK_2014","EarlyPar5ScoringAverage_RANKLASTWEEK_2014","EarlyPar5ScoringAverage_PLAYERNAME_2014","EarlyPar5ScoringAverage_ROUNDS_2014","EarlyPar5ScoringAverage_AVG_2014","EarlyPar5ScoringAverage_TOTALSTROKES_2014","EarlyPar5ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Dustin Johnson",58,4.49,292,65,"EarlyPar5ScoringAverage",2014
1,1,"Martin Laird",66,4.49,512,114,"EarlyPar5ScoringAverage",2014
1,1,"Adam Scott",68,4.49,274,61,"EarlyPar5ScoringAverage",2014
4,4,"Hideki Matsuyama",82,4.5,527,117,"EarlyPar5ScoringAverage",2014
5,5,"Ryo Ishikawa",75,4.51,546,121,"EarlyPar5ScoringAverage",2014
6,6,"Paul Casey",56,4.52,425,94,"EarlyPar5ScoringAverage",2014
7,7,"Brad Fritsch",50,4.54,313,69,"EarlyPar5ScoringAverage",2014
7,7,"Will Wilcox",51,4.54,295,65,"EarlyPar5ScoringAverage",2014
9,9,"Brooks Koepka",56,4.55,450,99,"EarlyPar5ScoringAverage",2014
9,9,"Rory McIlroy",66,4.55,323,71,"EarlyPar5ScoringAverage",2014
11,11,"Aaron Baddeley",74,4.57,498,109,"EarlyPar5ScoringAverage",2014
11,11,"Bud Cauley",56,4.57,329,72,"EarlyPar5ScoringAverage",2014
11,11,"Jason Day",54,4.57,247,54,"EarlyPar5ScoringAverage",2014
11,11,"Ian Poulter",57,4.57,448,98,"EarlyPar5ScoringAverage",2014
15,15,"Steven Bowditch",93,4.58,687,150,"EarlyPar5ScoringAverage",2014
15,15,"Charles Howell III",106,4.58,765,167,"EarlyPar5ScoringAverage",2014
15,15,"Matt Jones",83,4.58,651,142,"EarlyPar5ScoringAverage",2014
15,15,"Graeme McDowell",66,4.58,412,90,"EarlyPar5ScoringAverage",2014
15,15,"Kevin Na",94,4.58,582,127,"EarlyPar5ScoringAverage",2014
15,15,"Charl Schwartzel",64,4.58,366,80,"EarlyPar5ScoringAverage",2014
15,15,"Hudson Swafford",75,4.58,486,106,"EarlyPar5ScoringAverage",2014
22,22,"KJ Choi",80,4.59,670,146,"EarlyPar5ScoringAverage",2014
22,22,"Brian Davis",93,4.59,707,154,"EarlyPar5ScoringAverage",2014
22,22,"Rickie Fowler",91,4.59,666,145,"EarlyPar5ScoringAverage",2014
22,22,"Jhonattan Vegas",77,4.59,542,118,"EarlyPar5ScoringAverage",2014
26,26,"Bill Haas",107,4.6,795,173,"EarlyPar5ScoringAverage",2014
26,26,"Matt Kuchar",91,4.6,432,94,"EarlyPar5ScoringAverage",2014
26,26,"Bubba Watson",76,4.6,442,96,"EarlyPar5ScoringAverage",2014
29,29,"Kevin Chappell",100,4.61,742,161,"EarlyPar5ScoringAverage",2014
29,29,"Danny Lee",84,4.61,526,114,"EarlyPar5ScoringAverage",2014
29,29,"Marc Leishman",81,4.61,544,118,"EarlyPar5ScoringAverage",2014
29,29,"Will Ma Kenzie",82,4.61,595,129,"EarlyPar5ScoringAverage",2014
29,29,"Jordan Spieth",102,4.61,548,119,"EarlyPar5ScoringAverage",2014
29,29,"Brendan Steele",89,4.61,770,167,"EarlyPar5ScoringAverage",2014
29,29,"Cameron Tringale",111,4.61,921,200,"EarlyPar5ScoringAverage",2014
36,36,"Lucas Glover",68,4.62,522,113,"EarlyPar5ScoringAverage",2014
36,36,"Billy Horschel",92,4.62,679,147,"EarlyPar5ScoringAverage",2014
36,36,"Henrik Stenson",56,4.62,300,65,"EarlyPar5ScoringAverage",2014
39,39,"Chris Kirk",105,4.63,681,147,"EarlyPar5ScoringAverage",2014
39,39,"Jason Kokrak",65,4.63,417,90,"EarlyPar5ScoringAverage",2014
39,39,"Jamie Lovemark",64,4.63,458,99,"EarlyPar5ScoringAverage",2014
39,39,"Justin Rose",70,4.63,407,88,"EarlyPar5ScoringAverage",2014
39,39,"Kevin Stadler",90,4.63,727,157,"EarlyPar5ScoringAverage",2014
44,44,"Stewart Cink",91,4.64,701,151,"EarlyPar5ScoringAverage",2014
44,44,"Ben Curtis",77,4.64,562,121,"EarlyPar5ScoringAverage",2014
44,44,"Graham DeLaet",80,4.64,515,111,"EarlyPar5ScoringAverage",2014
44,44,"James Driscoll",71,4.64,520,112,"EarlyPar5ScoringAverage",2014
44,44,"Harris English",95,4.64,640,138,"EarlyPar5ScoringAverage",2014
44,44,"Russell Knox",92,4.64,728,157,"EarlyPar5ScoringAverage",2014
44,44,"Phil Mickelson",71,4.64,543,117,"EarlyPar5ScoringAverage",2014
44,44,"Geoff Ogilvy",84,4.64,585,126,"EarlyPar5ScoringAverage",2014
44,44,"Ted Potter Jr",68,4.64,520,112,"EarlyPar5ScoringAverage",2014
44,44,"Patrick Reed",92,4.64,627,135,"EarlyPar5ScoringAverage",2014
44,44,"Vijay Singh",83,4.64,617,133,"EarlyPar5ScoringAverage",2014
44,44,"Brandt Snedeker",89,4.64,608,131,"EarlyPar5ScoringAverage",2014
44,44,"Gary Woodland",93,4.64,677,146,"EarlyPar5ScoringAverage",2014
57,57,"Sangmoon Bae",76,4.65,623,134,"EarlyPar5ScoringAverage",2014
57,57,"Briny Baird",50,4.65,470,101,"EarlyPar5ScoringAverage",2014
57,57,"Jonathan Byrd",76,4.65,488,105,"EarlyPar5ScoringAverage",2014
57,57,"Chad Collins",78,4.65,525,113,"EarlyPar5ScoringAverage",2014
57,57,"Luke Donald",57,4.65,521,112,"EarlyPar5ScoringAverage",2014
57,57,"Ken Duke",80,4.65,609,131,"EarlyPar5ScoringAverage",2014
57,57,"Martin Flores",85,4.65,674,145,"EarlyPar5ScoringAverage",2014
57,57,"Morgan Hoffmann",103,4.65,651,140,"EarlyPar5ScoringAverage",2014
57,57,"Trevor Immelman",84,4.65,720,155,"EarlyPar5ScoringAverage",2014
57,57,"Seung Yul Noh",92,4.65,707,152,"EarlyPar5ScoringAverage",2014
57,57,"Sean OHair",77,4.65,661,142,"EarlyPar5ScoringAverage",2014
57,57,"John Senden",99,4.65,661,142,"EarlyPar5ScoringAverage",2014
57,57,"Jimmy Walker",98,4.65,660,142,"EarlyPar5ScoringAverage",2014
70,70,"Charlie Beljan",76,4.66,475,102,"EarlyPar5ScoringAverage",2014
70,70,"Chad Campbell",57,4.66,368,79,"EarlyPar5ScoringAverage",2014
70,70,"Matt Every",85,4.66,564,121,"EarlyPar5ScoringAverage",2014
70,70,"Robert Garrigus",80,4.66,629,135,"EarlyPar5ScoringAverage",2014
70,70,"Zach Johnson",97,4.66,573,123,"EarlyPar5ScoringAverage",2014
70,70,"Justin Leonard",75,4.66,582,125,"EarlyPar5ScoringAverage",2014
70,70,"George McNeill",79,4.66,568,122,"EarlyPar5ScoringAverage",2014
70,70,"Carl Pettersson",91,4.66,657,141,"EarlyPar5ScoringAverage",2014
70,70,"Brendon Todd",108,4.66,727,156,"EarlyPar5ScoringAverage",2014
79,79,"Woody Austin",63,4.67,481,103,"EarlyPar5ScoringAverage",2014
79,79,"Jim Furyk",84,4.67,430,92,"EarlyPar5ScoringAverage",2014
79,79,"Justin Hicks",103,4.67,831,178,"EarlyPar5ScoringAverage",2014
79,79,"Jeff Overton",80,4.67,616,132,"EarlyPar5ScoringAverage",2014
79,79,"Daniel Summerhays",98,4.67,803,172,"EarlyPar5ScoringAverage",2014
79,79,"Kevin Tway",64,4.67,434,93,"EarlyPar5ScoringAverage",2014
85,85,"Keegan Bradley",89,4.68,548,117,"EarlyPar5ScoringAverage",2014
85,85,"Tommy Gainey",73,4.68,454,97,"EarlyPar5ScoringAverage",2014
85,85,"Brice Garnett",92,4.68,655,140,"EarlyPar5ScoringAverage",2014
85,85,"Kevin Kisner",85,4.68,557,119,"EarlyPar5ScoringAverage",2014
85,85,"Scott Langley",95,4.68,655,140,"EarlyPar5ScoringAverage",2014
85,85,"Heath Slocum",71,4.68,491,105,"EarlyPar5ScoringAverage",2014
85,85,"Lee Westwood",57,4.68,496,106,"EarlyPar5ScoringAverage",2014
85,85,"Tim Wilkinson",86,4.68,519,111,"EarlyPar5ScoringAverage",2014
93,93,"Stuart Appleby",92,4.69,722,154,"EarlyPar5ScoringAverage",2014
93,93,"Brendon de Jonge",109,4.69,886,189,"EarlyPar5ScoringAverage",2014
93,93,"Jason Dufner",57,4.69,399,85,"EarlyPar5ScoringAverage",2014
93,93,"Chesson Hadley",84,4.69,539,115,"EarlyPar5ScoringAverage",2014
93,93,"Hunter Mahan",88,4.69,610,130,"EarlyPar5ScoringAverage",2014
93,93,"Pat Perez",84,4.69,596,127,"EarlyPar5ScoringAverage",2014
93,93,"Andres Romero",81,4.69,624,133,"EarlyPar5ScoringAverage",2014
93,93,"Webb Simpson",87,4.69,624,133,"EarlyPar5ScoringAverage",2014
93,93,"Shawn Stefani",60,4.69,483,103,"EarlyPar5ScoringAverage",2014
93,93,"Andrew Svoboda",77,4.69,549,117,"EarlyPar5ScoringAverage",2014
93,93,"Nicholas Thompson",85,4.69,652,139,"EarlyPar5ScoringAverage",2014
93,93,"Michael Thompson",74,4.69,661,141,"EarlyPar5ScoringAverage",2014
93,93,"YE Yang",79,4.69,647,138,"EarlyPar5ScoringAverage",2014
106,106,"Ricky Barnes",92,4.7,653,139,"EarlyPar5ScoringAverage",2014
106,106,"Ben Martin",80,4.7,564,120,"EarlyPar5ScoringAverage",2014
106,106,"Nick Watney",80,4.7,512,109,"EarlyPar5ScoringAverage",2014
109,109,"Brian Harman",111,4.71,820,174,"EarlyPar5ScoringAverage",2014
109,109,"David Hearn",97,4.71,820,174,"EarlyPar5ScoringAverage",2014
109,109,"JJ Henry",91,4.71,706,150,"EarlyPar5ScoringAverage",2014
109,109,"Charley Hoffman",93,4.71,768,163,"EarlyPar5ScoringAverage",2014
109,109,"Richard Lee",80,4.71,626,133,"EarlyPar5ScoringAverage",2014
109,109,"Bryce Molder",77,4.71,650,138,"EarlyPar5ScoringAverage",2014
109,109,"Ryan Moore",86,4.71,518,110,"EarlyPar5ScoringAverage",2014
109,109,"Michael Putnam",106,4.71,796,169,"EarlyPar5ScoringAverage",2014
109,109,"Kevin Streelman",79,4.71,523,111,"EarlyPar5ScoringAverage",2014
109,109,"Tyrone Van Aswegen",79,4.71,608,129,"EarlyPar5ScoringAverage",2014
109,109,"Charlie Wi",72,4.71,499,106,"EarlyPar5ScoringAverage",2014
120,120,"Jonas Blixt",64,4.72,581,123,"EarlyPar5ScoringAverage",2014
120,120,"Jason Bohn",81,4.72,604,128,"EarlyPar5ScoringAverage",2014
120,120,"Ernie Els",85,4.72,628,133,"EarlyPar5ScoringAverage",2014
120,120,"JB Holmes",86,4.72,562,119,"EarlyPar5ScoringAverage",2014
120,120,"William McGirt",96,4.72,694,147,"EarlyPar5ScoringAverage",2014
120,120,"Ryan Palmer",85,4.72,595,126,"EarlyPar5ScoringAverage",2014
120,120,"John Rollins",84,4.72,652,138,"EarlyPar5ScoringAverage",2014
120,120,"Rory Sabbatini",82,4.72,642,136,"EarlyPar5ScoringAverage",2014
120,120,"Mark Wilson",69,4.72,500,106,"EarlyPar5ScoringAverage",2014
129,129,"Erik Compton",88,4.73,662,140,"EarlyPar5ScoringAverage",2014
129,129,"Billy Hurley III",86,4.73,601,127,"EarlyPar5ScoringAverage",2014
129,129,"Freddie Jacobson",91,4.73,681,144,"EarlyPar5ScoringAverage",2014
129,129,"Bronson La Cassie",51,4.73,397,84,"EarlyPar5ScoringAverage",2014
129,129,"Andrew Loupe",65,4.73,454,96,"EarlyPar5ScoringAverage",2014
129,129,"Davis Love III",74,4.73,639,135,"EarlyPar5ScoringAverage",2014
129,129,"Wes Roach",67,4.73,501,106,"EarlyPar5ScoringAverage",2014
129,129,"Brian Stuard",91,4.73,605,128,"EarlyPar5ScoringAverage",2014
129,129,"Camilo Villegas",95,4.73,795,168,"EarlyPar5ScoringAverage",2014
138,138,"Sergio Garcia",61,4.74,313,66,"EarlyPar5ScoringAverage",2014
138,138,"Retief Goosen",94,4.74,654,138,"EarlyPar5ScoringAverage",2014
138,138,"Luke Guthrie",85,4.74,640,135,"EarlyPar5ScoringAverage",2014
138,138,"Russell Henley",92,4.74,768,162,"EarlyPar5ScoringAverage",2014
138,138,"Martin Kaymer",65,4.74,465,98,"EarlyPar5ScoringAverage",2014
138,138,"Jerry Kelly",80,4.74,650,137,"EarlyPar5ScoringAverage",2014
144,144,"Angel Cabrera",69,4.75,527,111,"EarlyPar5ScoringAverage",2014
144,144,"Spencer Levin",59,4.75,494,104,"EarlyPar5ScoringAverage",2014
144,144,"David Lingmerth",80,4.75,656,138,"EarlyPar5ScoringAverage",2014
144,144,"John Merrick",87,4.75,802,169,"EarlyPar5ScoringAverage",2014
144,144,"Josh Teater",90,4.75,684,144,"EarlyPar5ScoringAverage",2014
149,149,"Robert Allenby",83,4.76,614,129,"EarlyPar5ScoringAverage",2014
149,149,"Derek Ernst",80,4.76,623,131,"EarlyPar5ScoringAverage",2014
149,149,"Gonzalo Fdez Castano",83,4.76,647,136,"EarlyPar5ScoringAverage",2014
149,149,"Troy Matteson",62,4.76,457,96,"EarlyPar5ScoringAverage",2014
149,149,"Troy Merritt",62,4.76,457,96,"EarlyPar5ScoringAverage",2014
149,149,"Scott Stallings",77,4.76,642,135,"EarlyPar5ScoringAverage",2014
149,149,"Bo Van Pelt",83,4.76,609,128,"EarlyPar5ScoringAverage",2014
149,149,"Boo Weekley",73,4.76,633,133,"EarlyPar5ScoringAverage",2014
157,157,"Greg Chalmers",85,4.77,563,118,"EarlyPar5ScoringAverage",2014
157,157,"Jim Herman",62,4.77,467,98,"EarlyPar5ScoringAverage",2014
157,157,"John Huh",87,4.77,710,149,"EarlyPar5ScoringAverage",2014
157,157,"Kyle Stanley",87,4.77,716,150,"EarlyPar5ScoringAverage",2014
157,157,"Chris Stroud",88,4.77,629,132,"EarlyPar5ScoringAverage",2014
157,157,"David Toms",64,4.77,458,96,"EarlyPar5ScoringAverage",2014
163,163,"Roberto Castro",76,4.78,602,126,"EarlyPar5ScoringAverage",2014
163,163,"Brian Gay",81,4.78,731,153,"EarlyPar5ScoringAverage",2014
163,163,"Johnson Wagner",69,4.78,492,103,"EarlyPar5ScoringAverage",2014
163,163,"Mike Weir",69,4.78,492,103,"EarlyPar5ScoringAverage",2014
167,167,"James Hahn",82,4.79,556,116,"EarlyPar5ScoringAverage",2014
167,167,"Jeff Maggert",54,4.79,426,89,"EarlyPar5ScoringAverage",2014
167,167,"Robert Streb",75,4.79,469,98,"EarlyPar5ScoringAverage",2014
170,170,"Ben Crane",81,4.8,581,121,"EarlyPar5ScoringAverage",2014
170,170,"John Peterson",62,4.8,413,86,"EarlyPar5ScoringAverage",2014
172,172,"DH Lee",54,4.81,433,90,"EarlyPar5ScoringAverage",2014
173,173,"Scott Brown",100,4.82,820,170,"EarlyPar5ScoringAverage",2014
174,174,"Tim Clark",75,4.83,531,110,"EarlyPar5ScoringAverage",2014
175,175,"DA Points",75,4.86,651,134,"EarlyPar5ScoringAverage",2014
176,176,"Louis Oosthuizen",50,4.87,336,69,"EarlyPar5ScoringAverage",2014
177,177,"Jim Renner",61,4.92,428,87,"EarlyPar5ScoringAverage",2014
