"Last15EventsScoring_RANKTHISWEEK_2009","Last15EventsScoring_RANKLASTWEEK_2009","Last15EventsScoring_PLAYERNAME_2009","Last15EventsScoring_EVENTS_2009","Last15EventsScoring_RATING_2009","stat_name","year"
1,1,"Tiger Woods",10,9,"Last15EventsScoring",2009
2,2,"Todd Fischer",1,8.8,"Last15EventsScoring",2009
3,3,"Brent Geiberger",1,8.7,"Last15EventsScoring",2009
3,3,"Padraig Harrington",6,8.7,"Last15EventsScoring",2009
5,5,"Chris Baryla",1,8.6,"Last15EventsScoring",2009
5,5,"Fred Couples",7,8.6,"Last15EventsScoring",2009
5,5,"Jim Furyk",11,8.6,"Last15EventsScoring",2009
5,5,"Greg Kraft",2,8.6,"Last15EventsScoring",2009
5,5,"Steve Stricker",10,8.6,"Last15EventsScoring",2009
10,10,"Stephen Ames",8,8.5,"Last15EventsScoring",2009
10,13,"Matt Kuchar",8,8.5,"Last15EventsScoring",2009
10,10,"Jamie Lovemark",2,8.5,"Last15EventsScoring",2009
10,10,"Arron Oberholser",2,8.5,"Last15EventsScoring",2009
14,13,"Thomas Aiken",1,8.4,"Last15EventsScoring",2009
14,13,"Aaron Baddeley",6,8.4,"Last15EventsScoring",2009
14,13,"Paul Casey",6,8.4,"Last15EventsScoring",2009
14,13,"Zach Johnson",9,8.4,"Last15EventsScoring",2009
14,13,"Danny Lee",6,8.4,"Last15EventsScoring",2009
14,13,"Ryan Moore",8,8.4,"Last15EventsScoring",2009
14,13,"Leif Olson",3,8.4,"Last15EventsScoring",2009
14,13,"Justin Rose",9,8.4,"Last15EventsScoring",2009
14,13,"Jeff Sluman",1,8.4,"Last15EventsScoring",2009
14,13,"Brandt Snedeker",11,8.4,"Last15EventsScoring",2009
14,13,"Lee Westwood",4,8.4,"Last15EventsScoring",2009
25,26,"Woody Austin",8,8.3,"Last15EventsScoring",2009
25,26,"Chad Campbell",8,8.3,"Last15EventsScoring",2009
25,26,"Tim Clark",9,8.3,"Last15EventsScoring",2009
25,26,"Marco Dawson",3,8.3,"Last15EventsScoring",2009
25,26,"Robert Garrigus",10,8.3,"Last15EventsScoring",2009
25,26,"Scott Hoch",1,8.3,"Last15EventsScoring",2009
25,26,"Michael Letzig",9,8.3,"Last15EventsScoring",2009
25,26,"Steve Marino",8,8.3,"Last15EventsScoring",2009
25,26,"George McNeill",8,8.3,"Last15EventsScoring",2009
25,26,"Bryce Molder",10,8.3,"Last15EventsScoring",2009
25,26,"Tim Petrovic",10,8.3,"Last15EventsScoring",2009
25,13,"Ian Poulter",6,8.3,"Last15EventsScoring",2009
25,26,"Charl Schwartzel",2,8.3,"Last15EventsScoring",2009
25,26,"Hideto Tanihara",1,8.3,"Last15EventsScoring",2009
25,26,"Garrett Willis",4,8.3,"Last15EventsScoring",2009
40,40,"Angel Cabrera",6,8.2,"Last15EventsScoring",2009
40,40,"Stewart Cink",6,8.2,"Last15EventsScoring",2009
40,40,"Jason Day",10,8.2,"Last15EventsScoring",2009
40,40,"Bob Estes",9,8.2,"Last15EventsScoring",2009
40,40,"Sergio Garcia",7,8.2,"Last15EventsScoring",2009
40,40,"Dustin Johnson",9,8.2,"Last15EventsScoring",2009
40,40,"Anthony Kim",8,8.2,"Last15EventsScoring",2009
40,40,"James Kingston",1,8.2,"Last15EventsScoring",2009
40,40,"Tom Lehman",7,8.2,"Last15EventsScoring",2009
40,40,"Justin Leonard",9,8.2,"Last15EventsScoring",2009
40,40,"Will Ma Kenzie",5,8.2,"Last15EventsScoring",2009
40,40,"Hunter Mahan",10,8.2,"Last15EventsScoring",2009
40,40,"Phil Mickelson",9,8.2,"Last15EventsScoring",2009
40,40,"Francesco Molinari",1,8.2,"Last15EventsScoring",2009
40,40,"Kevin Na",11,8.2,"Last15EventsScoring",2009
40,40,"Ryan Palmer",6,8.2,"Last15EventsScoring",2009
40,40,"Rod Pampling",8,8.2,"Last15EventsScoring",2009
40,40,"Jeff Quinney",9,8.2,"Last15EventsScoring",2009
40,40,"Vijay Singh",7,8.2,"Last15EventsScoring",2009
40,40,"Kevin Sutherland",7,8.2,"Last15EventsScoring",2009
40,40,"Scott Verplank",11,8.2,"Last15EventsScoring",2009
40,40,"Jimmy Walker",9,8.2,"Last15EventsScoring",2009
40,40,"Bubba Watson",6,8.2,"Last15EventsScoring",2009
40,40,"Matt Weibring",7,8.2,"Last15EventsScoring",2009
64,64,"Robert Allenby",7,8.1,"Last15EventsScoring",2009
64,64,"Kris Blanks",7,8.1,"Last15EventsScoring",2009
64,64,"Jonathan Byrd",12,8.1,"Last15EventsScoring",2009
64,64,"Tom Byrum",1,8.1,"Last15EventsScoring",2009
64,64,"Alex Cejka",10,8.1,"Last15EventsScoring",2009
64,64,"Greg Chalmers",10,8.1,"Last15EventsScoring",2009
64,64,"Ben Curtis",8,8.1,"Last15EventsScoring",2009
64,64,"Graham DeLaet",1,8.1,"Last15EventsScoring",2009
64,64,"Ernie Els",8,8.1,"Last15EventsScoring",2009
64,64,"Mathew Goggin",5,8.1,"Last15EventsScoring",2009
64,64,"Scott Gutschewski",3,8.1,"Last15EventsScoring",2009
64,64,"Bill Haas",9,8.1,"Last15EventsScoring",2009
64,64,"JP Hayes",4,8.1,"Last15EventsScoring",2009
64,64,"John Huston",6,8.1,"Last15EventsScoring",2009
64,64,"Brandt Jobe",8,8.1,"Last15EventsScoring",2009
64,64,"David Mathis",4,8.1,"Last15EventsScoring",2009
64,64,"James Nitties",9,8.1,"Last15EventsScoring",2009
64,64,"Sean OHair",6,8.1,"Last15EventsScoring",2009
64,64,"Geoff Ogilvy",9,8.1,"Last15EventsScoring",2009
64,64,"Scott Piercy",7,8.1,"Last15EventsScoring",2009
64,64,"Tag Ridings",7,8.1,"Last15EventsScoring",2009
64,64,"Chris Riley",13,8.1,"Last15EventsScoring",2009
64,64,"Rory Sabbatini",7,8.1,"Last15EventsScoring",2009
64,64,"John Senden",10,8.1,"Last15EventsScoring",2009
64,64,"Henrik Stenson",5,8.1,"Last15EventsScoring",2009
64,64,"Roland Thatcher",6,8.1,"Last15EventsScoring",2009
64,64,"David Toms",10,8.1,"Last15EventsScoring",2009
64,64,"Bob Tway",3,8.1,"Last15EventsScoring",2009
64,64,"Omar Uresti",5,8.1,"Last15EventsScoring",2009
64,64,"Bo Van Pelt",10,8.1,"Last15EventsScoring",2009
64,64,"Mike Weir",11,8.1,"Last15EventsScoring",2009
95,95,"Michael Allen",8,8,"Last15EventsScoring",2009
95,95,"Rich Beem",5,8,"Last15EventsScoring",2009
95,95,"Jason Bohn",13,8,"Last15EventsScoring",2009
95,95,"Darren Clarke",4,8,"Last15EventsScoring",2009
95,148,"Chris DiMarco",7,8,"Last15EventsScoring",2009
95,95,"Luke Donald",10,8,"Last15EventsScoring",2009
95,95,"Jason Dufner",9,8,"Last15EventsScoring",2009
95,95,"Steve Elkington",8,8,"Last15EventsScoring",2009
95,95,"Richard Finch",1,8,"Last15EventsScoring",2009
95,95,"Rickie Fowler",4,8,"Last15EventsScoring",2009
95,95,"Carlos Franco",6,8,"Last15EventsScoring",2009
95,95,"Harrison Frazar",11,8,"Last15EventsScoring",2009
95,95,"Robert Gamez",1,8,"Last15EventsScoring",2009
95,95,"Lucas Glover",8,8,"Last15EventsScoring",2009
95,95,"Retief Goosen",10,8,"Last15EventsScoring",2009
95,95,"Paul Goydos",8,8,"Last15EventsScoring",2009
95,95,"Mathias Gronberg",7,8,"Last15EventsScoring",2009
95,95,"Mark Hensby",2,8,"Last15EventsScoring",2009
95,95,"Freddie Jacobson",10,8,"Last15EventsScoring",2009
95,95,"Lee Janzen",8,8,"Last15EventsScoring",2009
95,95,"Matt Jones",9,8,"Last15EventsScoring",2009
95,95,"Robert Karlsson",4,8,"Last15EventsScoring",2009
95,95,"Jonathan Kaye",6,8,"Last15EventsScoring",2009
95,95,"Martin Laird",9,8,"Last15EventsScoring",2009
95,95,"Ian Leggatt",1,8,"Last15EventsScoring",2009
95,95,"Davis Love III",8,8,"Last15EventsScoring",2009
95,95,"Bill Lunde",8,8,"Last15EventsScoring",2009
95,95,"Jeff Maggert",5,8,"Last15EventsScoring",2009
95,95,"John Mallinger",8,8,"Last15EventsScoring",2009
95,95,"Shigeki Maruyama",3,8,"Last15EventsScoring",2009
95,95,"Billy Mayfair",6,8,"Last15EventsScoring",2009
95,95,"Scott McCarron",10,8,"Last15EventsScoring",2009
95,95,"Joe Ogilvie",6,8,"Last15EventsScoring",2009
95,95,"Jose Maria Olazabal",4,8,"Last15EventsScoring",2009
95,95,"Jeff Overton",7,8,"Last15EventsScoring",2009
95,95,"Corey Pavin",9,8,"Last15EventsScoring",2009
