"Approaches125150yardsRghRTP_RANKTHISWEEK_2009","Approaches125150yardsRghRTP_RANKLASTWEEK_2009","Approaches125150yardsRghRTP_PLAYERNAME_2009","Approaches125150yardsRghRTP_ROUNDS_2009","Approaches125150yardsRghRTP_AVGRTP_2009","stat_name","year"
1,1,"DA Points",99,-0.116,"Approaches125150yardsRghRTP",2009
2,2,"Anthony Kim",76,-0.111,"Approaches125150yardsRghRTP",2009
3,3,"Nathan Green",104,-0.1,"Approaches125150yardsRghRTP",2009
4,4,"Kevin Stadler",65,-0.093,"Approaches125150yardsRghRTP",2009
5,5,"Jerry Kelly",90,-0.079,"Approaches125150yardsRghRTP",2009
6,6,"Fred Couples",54,-0.07,"Approaches125150yardsRghRTP",2009
6,6,"Matt Kuchar",82,-0.07,"Approaches125150yardsRghRTP",2009
8,8,"Glen Day",79,-0.059,"Approaches125150yardsRghRTP",2009
9,9,"Padraig Harrington",66,-0.056,"Approaches125150yardsRghRTP",2009
10,10,"Justin Leonard",95,-0.054,"Approaches125150yardsRghRTP",2009
11,11,"Rocco Mediate",79,-0.053,"Approaches125150yardsRghRTP",2009
12,12,"Mark Brooks",55,-0.045,"Approaches125150yardsRghRTP",2009
12,12,"Brendon Todd",53,-0.045,"Approaches125150yardsRghRTP",2009
14,14,"Jason Dufner",90,-0.037,"Approaches125150yardsRghRTP",2009
15,15,"Scott McCarron",91,-0.031,"Approaches125150yardsRghRTP",2009
16,16,"Steve Stricker",81,-0.027,"Approaches125150yardsRghRTP",2009
17,17,"Geoff Ogilvy",78,-0.026,"Approaches125150yardsRghRTP",2009
18,18,"Jarrod Lyle",65,-0.025,"Approaches125150yardsRghRTP",2009
19,19,"Vaughn Taylor",88,-0.023,"Approaches125150yardsRghRTP",2009
20,20,"Sean OHair",80,-0.02,"Approaches125150yardsRghRTP",2009
21,21,"Scott Piercy",85,-0.017,"Approaches125150yardsRghRTP",2009
22,22,"Harrison Frazar",93,-0.011,"Approaches125150yardsRghRTP",2009
23,23,"Robert Allenby",71,0,"Approaches125150yardsRghRTP",2009
23,23,"Stephen Ames",77,0,"Approaches125150yardsRghRTP",2009
23,23,"Tommy Armour III",58,0,"Approaches125150yardsRghRTP",2009
23,23,"Woody Austin",84,0,"Approaches125150yardsRghRTP",2009
23,23,"Alex Cejka",82,0,"Approaches125150yardsRghRTP",2009
23,23,"Greg Chalmers",85,0,"Approaches125150yardsRghRTP",2009
23,23,"Ben Curtis",63,0,"Approaches125150yardsRghRTP",2009
23,23,"Ernie Els",70,0,"Approaches125150yardsRghRTP",2009
23,23,"Retief Goosen",74,0,"Approaches125150yardsRghRTP",2009
23,23,"Steve Marino",98,0,"Approaches125150yardsRghRTP",2009
23,23,"Nick OHern",90,0,"Approaches125150yardsRghRTP",2009
23,23,"Pat Perez",74,0,"Approaches125150yardsRghRTP",2009
23,23,"Tag Ridings",50,0,"Approaches125150yardsRghRTP",2009
23,23,"Chris Riley",77,0,"Approaches125150yardsRghRTP",2009
23,23,"Brandt Snedeker",81,0,"Approaches125150yardsRghRTP",2009
38,38,"Charles Howell III",99,0.014,"Approaches125150yardsRghRTP",2009
39,39,"George McNeill",82,0.015,"Approaches125150yardsRghRTP",2009
40,40,"Lucas Glover",93,0.018,"Approaches125150yardsRghRTP",2009
40,40,"Greg Owen",97,0.018,"Approaches125150yardsRghRTP",2009
42,42,"Chad Campbell",90,0.019,"Approaches125150yardsRghRTP",2009
43,43,"David Toms",98,0.022,"Approaches125150yardsRghRTP",2009
44,44,"Brad Adamonis",70,0.023,"Approaches125150yardsRghRTP",2009
44,44,"Boo Weekley",79,0.023,"Approaches125150yardsRghRTP",2009
46,46,"Kent Jones",73,0.024,"Approaches125150yardsRghRTP",2009
