"TenthTeeEarlyRound3ScoringAverage_RANKTHISWEEK_2014","TenthTeeEarlyRound3ScoringAverage_RANKLASTWEEK_2014","TenthTeeEarlyRound3ScoringAverage_PLAYERNAME_2014","TenthTeeEarlyRound3ScoringAverage__2014","TenthTeeEarlyRound3ScoringAverage_AVG_2014","TenthTeeEarlyRound3ScoringAverage_TOTALSTROKES_2014","TenthTeeEarlyRound3ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Brad Fritsch",NA,63,63,1,"TenthTeeEarlyRound3ScoringAverage",2014
2,2,"Hideki Matsuyama",NA,65,65,1,"TenthTeeEarlyRound3ScoringAverage",2014
2,2,"Ted Potter Jr",NA,65,65,1,"TenthTeeEarlyRound3ScoringAverage",2014
4,4,"James Driscoll",NA,65.5,131,2,"TenthTeeEarlyRound3ScoringAverage",2014
5,5,"Greg Chalmers",NA,66,66,1,"TenthTeeEarlyRound3ScoringAverage",2014
5,5,"DH Lee",NA,66,66,1,"TenthTeeEarlyRound3ScoringAverage",2014
5,5,"Graeme McDowell",NA,66,66,1,"TenthTeeEarlyRound3ScoringAverage",2014
5,5,"Bo Van Pelt",NA,66,66,1,"TenthTeeEarlyRound3ScoringAverage",2014
9,9,"Brian Davis",NA,66.67,200,3,"TenthTeeEarlyRound3ScoringAverage",2014
10,10,"Graham DeLaet",NA,67,134,2,"TenthTeeEarlyRound3ScoringAverage",2014
10,10,"Harris English",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2014
10,10,"Ryo Ishikawa",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2014
10,10,"Jerry Kelly",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2014
10,10,"Davis Love III",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2014
10,10,"Robert Streb",NA,67,134,2,"TenthTeeEarlyRound3ScoringAverage",2014
10,10,"Andrew Svoboda",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2014
17,17,"Charles Howell III",NA,67.33,404,6,"TenthTeeEarlyRound3ScoringAverage",2014
17,17,"Tim Wilkinson",NA,67.33,202,3,"TenthTeeEarlyRound3ScoringAverage",2014
19,19,"Jason Bohn",NA,67.5,135,2,"TenthTeeEarlyRound3ScoringAverage",2014
19,19,"Sean OHair",NA,67.5,135,2,"TenthTeeEarlyRound3ScoringAverage",2014
19,19,"Brian Stuard",NA,67.5,135,2,"TenthTeeEarlyRound3ScoringAverage",2014
19,19,"Nicholas Thompson",NA,67.5,135,2,"TenthTeeEarlyRound3ScoringAverage",2014
23,23,"Ben Martin",NA,67.67,203,3,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"Angel Cabrera",NA,68,204,3,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"KJ Choi",NA,68,136,2,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"Ernie Els",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"Rickie Fowler",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"David Lingmerth",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"Bryce Molder",NA,68,136,2,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"Heath Slocum",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2014
24,24,"Josh Teater",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2014
32,32,"Kevin Na",NA,68.25,273,4,"TenthTeeEarlyRound3ScoringAverage",2014
33,33,"Martin Kaymer",NA,68.33,205,3,"TenthTeeEarlyRound3ScoringAverage",2014
33,33,"Patrick Reed",NA,68.33,205,3,"TenthTeeEarlyRound3ScoringAverage",2014
35,35,"Charl Schwartzel",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2014
35,35,"Bubba Watson",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2014
37,37,"Ben Crane",NA,68.67,206,3,"TenthTeeEarlyRound3ScoringAverage",2014
37,37,"Freddie Jacobson",NA,68.67,206,3,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Gonzalo Fdez Castano",NA,69,138,2,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Bill Haas",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Scott Langley",NA,69,207,3,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Danny Lee",NA,69,138,2,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Marc Leishman",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Ryan Moore",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"DA Points",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Michael Thompson",NA,69,345,5,"TenthTeeEarlyRound3ScoringAverage",2014
39,39,"Jimmy Walker",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2014
48,48,"Matt Jones",NA,69.25,277,4,"TenthTeeEarlyRound3ScoringAverage",2014
49,49,"Robert Garrigus",NA,69.33,208,3,"TenthTeeEarlyRound3ScoringAverage",2014
49,49,"Spencer Levin",NA,69.33,208,3,"TenthTeeEarlyRound3ScoringAverage",2014
49,49,"Will Ma Kenzie",NA,69.33,208,3,"TenthTeeEarlyRound3ScoringAverage",2014
49,49,"Vijay Singh",NA,69.33,208,3,"TenthTeeEarlyRound3ScoringAverage",2014
49,49,"Brendan Steele",NA,69.33,208,3,"TenthTeeEarlyRound3ScoringAverage",2014
54,54,"David Hearn",NA,69.5,278,4,"TenthTeeEarlyRound3ScoringAverage",2014
54,54,"Michael Putnam",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2014
56,56,"Jason Kokrak",NA,69.67,209,3,"TenthTeeEarlyRound3ScoringAverage",2014
56,56,"Webb Simpson",NA,69.67,209,3,"TenthTeeEarlyRound3ScoringAverage",2014
56,56,"Lee Westwood",NA,69.67,209,3,"TenthTeeEarlyRound3ScoringAverage",2014
59,59,"Retief Goosen",NA,69.75,279,4,"TenthTeeEarlyRound3ScoringAverage",2014
59,59,"Charley Hoffman",NA,69.75,279,4,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Scott Brown",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Lucas Glover",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Phil Mickelson",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Carl Pettersson",NA,70,350,5,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Shawn Stefani",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Brendon Todd",NA,70,420,6,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Johnson Wagner",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2014
61,61,"Nick Watney",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2014
69,69,"Brice Garnett",NA,70.13,561,8,"TenthTeeEarlyRound3ScoringAverage",2014
70,70,"Tyrone Van Aswegen",NA,70.25,281,4,"TenthTeeEarlyRound3ScoringAverage",2014
71,71,"Rory Sabbatini",NA,70.33,211,3,"TenthTeeEarlyRound3ScoringAverage",2014
71,71,"Jordan Spieth",NA,70.33,211,3,"TenthTeeEarlyRound3ScoringAverage",2014
73,73,"Kevin Chappell",NA,70.5,141,2,"TenthTeeEarlyRound3ScoringAverage",2014
73,73,"Ken Duke",NA,70.5,141,2,"TenthTeeEarlyRound3ScoringAverage",2014
73,73,"John Senden",NA,70.5,282,4,"TenthTeeEarlyRound3ScoringAverage",2014
73,73,"David Toms",NA,70.5,282,4,"TenthTeeEarlyRound3ScoringAverage",2014
73,73,"Boo Weekley",NA,70.5,141,2,"TenthTeeEarlyRound3ScoringAverage",2014
78,78,"Charlie Beljan",NA,70.67,212,3,"TenthTeeEarlyRound3ScoringAverage",2014
78,78,"Steven Bowditch",NA,70.67,212,3,"TenthTeeEarlyRound3ScoringAverage",2014
80,80,"Jeff Overton",NA,70.75,283,4,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Robert Allenby",NA,71,71,1,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Sangmoon Bae",NA,71,142,2,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Ricky Barnes",NA,71,142,2,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Chad Campbell",NA,71,142,2,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Stewart Cink",NA,71,284,4,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Jason Day",NA,71,71,1,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Brendon de Jonge",NA,71,71,1,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Seung Yul Noh",NA,71,213,3,"TenthTeeEarlyRound3ScoringAverage",2014
81,81,"Jim Renner",NA,71,71,1,"TenthTeeEarlyRound3ScoringAverage",2014
90,90,"John Huh",NA,71.25,285,4,"TenthTeeEarlyRound3ScoringAverage",2014
90,90,"Andres Romero",NA,71.25,285,4,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Chad Collins",NA,71.5,143,2,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Luke Donald",NA,71.5,143,2,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Justin Hicks",NA,71.5,143,2,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Chris Kirk",NA,71.5,286,4,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Richard Lee",NA,71.5,286,4,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Andrew Loupe",NA,71.5,143,2,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Wes Roach",NA,71.5,143,2,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Kevin Stadler",NA,71.5,286,4,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Daniel Summerhays",NA,71.5,286,4,"TenthTeeEarlyRound3ScoringAverage",2014
92,92,"Cameron Tringale",NA,71.5,286,4,"TenthTeeEarlyRound3ScoringAverage",2014
102,102,"Erik Compton",NA,71.67,215,3,"TenthTeeEarlyRound3ScoringAverage",2014
102,102,"Ben Curtis",NA,71.67,215,3,"TenthTeeEarlyRound3ScoringAverage",2014
104,104,"Russell Henley",NA,71.83,431,6,"TenthTeeEarlyRound3ScoringAverage",2014
105,105,"Briny Baird",NA,72,144,2,"TenthTeeEarlyRound3ScoringAverage",2014
105,105,"Derek Ernst",NA,72,72,1,"TenthTeeEarlyRound3ScoringAverage",2014
105,105,"Martin Flores",NA,72,216,3,"TenthTeeEarlyRound3ScoringAverage",2014
105,105,"Morgan Hoffmann",NA,72,72,1,"TenthTeeEarlyRound3ScoringAverage",2014
105,105,"Billy Horschel",NA,72,72,1,"TenthTeeEarlyRound3ScoringAverage",2014
105,105,"Zach Johnson",NA,72,144,2,"TenthTeeEarlyRound3ScoringAverage",2014
