"PuttsperRoundRound2_RANKTHISWEEK_2006","PuttsperRoundRound2_RANKLASTWEEK_2006","PuttsperRoundRound2_PLAYERNAME_2006","PuttsperRoundRound2__2006","PuttsperRoundRound2_AVG_2006","PuttsperRoundRound2_TOTALPUTTS_2006","PuttsperRoundRound2_TOTALROUNDS_2006","stat_name","year"
1,1,"Brian Gay",NA,27.39,849,31,"PuttsperRoundRound2",2006
2,2,"Aaron Baddeley",NA,27.58,662,24,"PuttsperRoundRound2",2006
3,3,"Ben Crane",NA,27.62,580,21,"PuttsperRoundRound2",2006
4,4,"Luke Donald",NA,27.69,443,16,"PuttsperRoundRound2",2006
5,5,"Michael Allen",NA,27.75,666,24,"PuttsperRoundRound2",2006
6,6,"Daniel Chopra",NA,27.81,890,32,"PuttsperRoundRound2",2006
7,7,"Ryan Moore",NA,28.2,564,20,"PuttsperRoundRound2",2006
8,8,"Ryan Palmer",NA,28.21,818,29,"PuttsperRoundRound2",2006
9,9,"Mark OMeara",NA,28.24,480,17,"PuttsperRoundRound2",2006
10,10,"Padraig Harrington",NA,28.29,396,14,"PuttsperRoundRound2",2006
11,11,"Paul Azinger",NA,28.32,708,25,"PuttsperRoundRound2",2006
12,12,"Scott Verplank",NA,28.35,652,23,"PuttsperRoundRound2",2006
13,13,"Geoff Ogilvy",NA,28.37,539,19,"PuttsperRoundRound2",2006
14,14,"Freddie Jacobson",NA,28.39,511,18,"PuttsperRoundRound2",2006
15,15,"Stephen Leaney",NA,28.41,767,27,"PuttsperRoundRound2",2006
16,16,"Jose Maria Olazabal",NA,28.44,455,16,"PuttsperRoundRound2",2006
17,17,"Nathan Green",NA,28.45,825,29,"PuttsperRoundRound2",2006
18,18,"Brad Faxon",NA,28.46,740,26,"PuttsperRoundRound2",2006
19,19,"Tom Pernice Jr",NA,28.47,911,32,"PuttsperRoundRound2",2006
19,19,"Tag Ridings",NA,28.47,911,32,"PuttsperRoundRound2",2006
21,21,"Shigeki Maruyama",NA,28.48,769,27,"PuttsperRoundRound2",2006
22,22,"Eric Axley",NA,28.5,798,28,"PuttsperRoundRound2",2006
22,22,"Joe Durant",NA,28.5,798,28,"PuttsperRoundRound2",2006
22,22,"Steve Stricker",NA,28.5,456,16,"PuttsperRoundRound2",2006
25,25,"Jim Furyk",NA,28.52,656,23,"PuttsperRoundRound2",2006
26,26,"Vance Veazey",NA,28.53,542,19,"PuttsperRoundRound2",2006
27,27,"Ernie Els",NA,28.56,457,16,"PuttsperRoundRound2",2006
28,28,"Len Mattiace",NA,28.59,629,22,"PuttsperRoundRound2",2006
28,28,"Brett Quigley",NA,28.59,915,32,"PuttsperRoundRound2",2006
30,30,"Chris Riley",NA,28.6,715,25,"PuttsperRoundRound2",2006
31,31,"Rod Pampling",NA,28.64,630,22,"PuttsperRoundRound2",2006
31,31,"Patrick Sheehan",NA,28.64,945,33,"PuttsperRoundRound2",2006
33,33,"David Duval",NA,28.65,659,23,"PuttsperRoundRound2",2006
33,33,"Tjaart van der Walt",NA,28.65,573,20,"PuttsperRoundRound2",2006
35,35,"Arjun Atwal",NA,28.68,889,31,"PuttsperRoundRound2",2006
35,35,"Todd Fischer",NA,28.68,889,31,"PuttsperRoundRound2",2006
37,37,"Justin Rose",NA,28.7,775,27,"PuttsperRoundRound2",2006
38,38,"Stewart Cink",NA,28.71,689,24,"PuttsperRoundRound2",2006
38,38,"Jesper Parnevik",NA,28.71,689,24,"PuttsperRoundRound2",2006
40,40,"Charley Hoffman",NA,28.75,805,28,"PuttsperRoundRound2",2006
41,41,"Robert Allenby",NA,28.76,604,21,"PuttsperRoundRound2",2006
41,41,"Larry Mize",NA,28.76,489,17,"PuttsperRoundRound2",2006
43,43,"John Cook",NA,28.77,633,22,"PuttsperRoundRound2",2006
43,43,"Corey Pavin",NA,28.77,633,22,"PuttsperRoundRound2",2006
45,45,"Steve Jones",NA,28.81,749,26,"PuttsperRoundRound2",2006
