"TotalPutting_RANKTHISWEEK_2010","TotalPutting_RANKLASTWEEK_2010","TotalPutting_PLAYERNAME_2010","TotalPutting_EVENTS_2010","TotalPutting_TOTAL_2010","stat_name","year"
1,1,"Paul Casey",17,49.5,"TotalPutting",2010
2,2,"Greg Chalmers",27,52.8,"TotalPutting",2010
3,3,"Luke Donald",20,57.8,"TotalPutting",2010
4,4,"Brandt Snedeker",26,61.6,"TotalPutting",2010
5,5,"Matt Kuchar",26,61.8,"TotalPutting",2010
6,6,"Carl Pettersson",29,64.9,"TotalPutting",2010
7,7,"Brian Gay",30,65.3,"TotalPutting",2010
8,8,"Chad Collins",26,68.3,"TotalPutting",2010
9,9,"Retief Goosen",19,69.7,"TotalPutting",2010
10,10,"Zach Johnson",25,74,"TotalPutting",2010
11,11,"Matt Jones",27,81.9,"TotalPutting",2010
12,12,"Dean Wilson",18,82.7,"TotalPutting",2010
13,13,"Michael Sim",20,84.2,"TotalPutting",2010
14,14,"Ryan Palmer",27,84.8,"TotalPutting",2010
15,15,"Justin Rose",22,86.8,"TotalPutting",2010
16,16,"Steve Stricker",19,89,"TotalPutting",2010
17,17,"Ian Poulter",15,91.8,"TotalPutting",2010
18,18,"Aaron Baddeley",26,92.4,"TotalPutting",2010
19,19,"Ryan Moore",24,98.2,"TotalPutting",2010
20,20,"Matt Bettencourt",32,99,"TotalPutting",2010
21,21,"Charles Howell III",28,99.6,"TotalPutting",2010
22,22,"Nathan Green",27,100.9,"TotalPutting",2010
23,23,"Tim Clark",24,105.7,"TotalPutting",2010
24,24,"Charlie Wi",27,107,"TotalPutting",2010
25,25,"Troy Merritt",29,112.3,"TotalPutting",2010
26,26,"James Driscoll",26,114.3,"TotalPutting",2010
27,27,"Jim Furyk",21,117.1,"TotalPutting",2010
27,27,"Ryuji Imada",28,117.1,"TotalPutting",2010
29,29,"Stephen Ames",23,120.4,"TotalPutting",2010
30,30,"Geoff Ogilvy",19,120.7,"TotalPutting",2010
31,31,"Jeff Overton",26,123,"TotalPutting",2010
32,32,"Bryce Molder",26,125,"TotalPutting",2010
33,33,"Kevin Na",26,128.6,"TotalPutting",2010
34,34,"Jeff Quinney",29,130,"TotalPutting",2010
35,35,"David Duval",24,131.1,"TotalPutting",2010
36,36,"David Toms",25,133.1,"TotalPutting",2010
37,37,"Nick Watney",24,137.9,"TotalPutting",2010
38,38,"Scott McCarron",29,138.8,"TotalPutting",2010
39,39,"Alex Prugh",28,141.7,"TotalPutting",2010
40,40,"Ernie Els",20,142.3,"TotalPutting",2010
41,41,"Pat Perez",27,143.9,"TotalPutting",2010
42,42,"Freddie Jacobson",24,144.7,"TotalPutting",2010
43,43,"Skip Kendall",18,145,"TotalPutting",2010
44,44,"Webb Simpson",31,146.3,"TotalPutting",2010
45,45,"Steve Marino",24,149.4,"TotalPutting",2010
46,46,"Chris Riley",24,150.1,"TotalPutting",2010
47,47,"Rich Barcelo",25,153.4,"TotalPutting",2010
47,47,"Brad Faxon",23,153.4,"TotalPutting",2010
49,49,"Jimmy Walker",27,155.3,"TotalPutting",2010
50,50,"Richard Johnson",27,155.4,"TotalPutting",2010
51,51,"Chris Couch",23,156.8,"TotalPutting",2010
52,52,"Shaun Micheel",21,158.6,"TotalPutting",2010
53,53,"YE Yang",21,159.1,"TotalPutting",2010
54,54,"Daniel Chopra",28,160.3,"TotalPutting",2010
55,55,"Scott Piercy",28,160.8,"TotalPutting",2010
56,56,"Ben Curtis",24,162.4,"TotalPutting",2010
57,57,"James Nitties",30,162.6,"TotalPutting",2010
58,58,"JJ Henry",27,165.1,"TotalPutting",2010
59,59,"Michael Connell",25,165.3,"TotalPutting",2010
60,60,"Steve Elkington",22,166.6,"TotalPutting",2010
61,61,"Hunter Mahan",25,167.1,"TotalPutting",2010
62,62,"Bo Van Pelt",28,167.3,"TotalPutting",2010
63,63,"Scott Verplank",22,167.8,"TotalPutting",2010
64,64,"Brent Delahoussaye",21,169.2,"TotalPutting",2010
65,65,"Jason Bohn",25,169.8,"TotalPutting",2010
66,66,"Rickie Fowler",28,170.8,"TotalPutting",2010
67,67,"Padraig Harrington",18,172.8,"TotalPutting",2010
68,68,"Kevin Streelman",28,175.2,"TotalPutting",2010
69,69,"Ben Crane",24,175.8,"TotalPutting",2010
70,70,"Tom Gillis",27,176.3,"TotalPutting",2010
71,71,"George McNeill",28,177.1,"TotalPutting",2010
72,72,"Brian Stuard",28,179.3,"TotalPutting",2010
73,73,"Trevor Immelman",19,181.8,"TotalPutting",2010
74,74,"Charley Hoffman",24,182.4,"TotalPutting",2010
75,75,"Andres Romero",21,184.1,"TotalPutting",2010
76,76,"Blake Adams",26,190.5,"TotalPutting",2010
77,77,"Phil Mickelson",20,191.4,"TotalPutting",2010
78,78,"Spencer Levin",31,192.4,"TotalPutting",2010
79,79,"Mike Weir",19,192.9,"TotalPutting",2010
80,80,"Brendon de Jonge",32,193.1,"TotalPutting",2010
81,81,"Tim Petrovic",32,195.6,"TotalPutting",2010
82,82,"Stewart Cink",23,195.8,"TotalPutting",2010
83,83,"DA Points",29,197.6,"TotalPutting",2010
84,84,"Brett Quigley",29,198.8,"TotalPutting",2010
85,85,"Brett Wetterich",16,200,"TotalPutting",2010
86,86,"John Mallinger",29,201.4,"TotalPutting",2010
87,87,"Steve Wheatcroft",27,201.7,"TotalPutting",2010
88,88,"Steve Flesch",25,202.5,"TotalPutting",2010
89,89,"Justin Leonard",27,202.6,"TotalPutting",2010
90,90,"Robert Allenby",22,205.1,"TotalPutting",2010
91,91,"Paul Stankowski",18,207.4,"TotalPutting",2010
92,92,"Brenden Pappas",24,208,"TotalPutting",2010
93,93,"Briny Baird",28,211.3,"TotalPutting",2010
93,93,"Chad Campbell",28,211.3,"TotalPutting",2010
95,95,"Mark Wilson",28,212,"TotalPutting",2010
96,96,"Tim Herron",24,212.1,"TotalPutting",2010
97,97,"Bob Estes",26,216.2,"TotalPutting",2010
98,98,"Sean OHair",25,216.5,"TotalPutting",2010
99,99,"Vaughn Taylor",26,216.9,"TotalPutting",2010
100,100,"Rory McIlroy",16,218.9,"TotalPutting",2010
101,101,"Bubba Watson",22,219.9,"TotalPutting",2010
102,102,"Bill Haas",25,222.6,"TotalPutting",2010
103,103,"JP Hayes",25,223.1,"TotalPutting",2010
104,104,"Chris Tidland",24,224.8,"TotalPutting",2010
105,105,"Aron Price",22,225.3,"TotalPutting",2010
106,106,"Lucas Glover",23,225.5,"TotalPutting",2010
106,106,"Jerod Turner",21,225.5,"TotalPutting",2010
108,108,"KJ Choi",22,226,"TotalPutting",2010
109,109,"Ted Purdy",30,226.3,"TotalPutting",2010
110,110,"Ricky Barnes",28,226.5,"TotalPutting",2010
111,111,"Jason Day",24,227.3,"TotalPutting",2010
112,112,"Garrett Willis",24,227.4,"TotalPutting",2010
113,113,"Joe Ogilvie",32,228,"TotalPutting",2010
114,114,"Chris Stroud",27,228.4,"TotalPutting",2010
115,115,"Rod Pampling",26,232.4,"TotalPutting",2010
116,116,"Michael Bradley",24,233.3,"TotalPutting",2010
117,117,"Joe Durant",19,233.8,"TotalPutting",2010
118,118,"Jarrod Lyle",18,234.1,"TotalPutting",2010
119,119,"Matt Every",18,234.3,"TotalPutting",2010
120,120,"JB Holmes",26,234.8,"TotalPutting",2010
121,121,"Cameron Beckman",25,236.3,"TotalPutting",2010
122,122,"Jonathan Byrd",26,236.4,"TotalPutting",2010
123,123,"Martin Laird",26,236.5,"TotalPutting",2010
124,124,"John Merrick",31,237.3,"TotalPutting",2010
125,125,"Stuart Appleby",31,237.7,"TotalPutting",2010
126,126,"Sergio Garcia",15,238.3,"TotalPutting",2010
127,127,"Rory Sabbatini",26,238.5,"TotalPutting",2010
128,128,"Dustin Johnson",23,239.6,"TotalPutting",2010
129,129,"Derek Lamely",28,239.9,"TotalPutting",2010
130,130,"Robert Garrigus",22,241.7,"TotalPutting",2010
131,131,"Woody Austin",29,242.2,"TotalPutting",2010
132,132,"Kevin Johnson",26,242.8,"TotalPutting",2010
133,133,"Angel Cabrera",19,245.1,"TotalPutting",2010
134,134,"John Rollins",26,245.6,"TotalPutting",2010
135,135,"Lee Janzen",26,246.5,"TotalPutting",2010
136,136,"Bill Lunde",28,248.3,"TotalPutting",2010
137,137,"Tom Pernice Jr",22,248.6,"TotalPutting",2010
138,138,"Heath Slocum",25,251.4,"TotalPutting",2010
139,139,"Kenny Perry",20,251.7,"TotalPutting",2010
140,140,"John Senden",30,253.3,"TotalPutting",2010
141,141,"Michael Letzig",27,254.5,"TotalPutting",2010
142,142,"Brian Davis",32,255.6,"TotalPutting",2010
142,142,"Mathew Goggin",28,255.6,"TotalPutting",2010
144,144,"Marc Leishman",26,257.8,"TotalPutting",2010
145,145,"Chris DiMarco",25,261.7,"TotalPutting",2010
146,146,"Paul Goydos",25,263.8,"TotalPutting",2010
