"BirdieorBetterPercentage200yards_RANKTHISWEEK_2016","BirdieorBetterPercentage200yards_RANKLASTWEEK_2016","BirdieorBetterPercentage200yards_PLAYERNAME_2016","BirdieorBetterPercentage200yards_ROUNDS_2016","BirdieorBetterPercentage200yards_Pct_2016","BirdieorBetterPercentage200yards_TOTALBIRDIES_2016","BirdieorBetterPercentage200yards_TOTALHOLES_2016","stat_name","year"
1,1,"Ollie Schniederjans",23,43.18,38,88,"BirdieorBetterPercentage200yards",2016
2,2,"Jordan Spieth",34,42.55,40,94,"BirdieorBetterPercentage200yards",2016
3,8,"Phil Mickelson",37,41.67,55,132,"BirdieorBetterPercentage200yards",2016
4,3,"Rickie Fowler",42,41.57,69,166,"BirdieorBetterPercentage200yards",2016
5,4,"Bubba Watson",30,40.48,34,84,"BirdieorBetterPercentage200yards",2016
6,5,"Jimmy Walker",43,40,60,150,"BirdieorBetterPercentage200yards",2016
7,7,"Brooks Koepka",39,39.68,50,126,"BirdieorBetterPercentage200yards",2016
8,9,"Dustin Johnson",37,39.33,35,89,"BirdieorBetterPercentage200yards",2016
9,22,"Rory McIlroy",37,39.29,44,112,"BirdieorBetterPercentage200yards",2016
10,11,"Jason Day",36,38.98,46,118,"BirdieorBetterPercentage200yards",2016
11,10,"Andrew Loupe",50,38.83,73,188,"BirdieorBetterPercentage200yards",2016
12,12,"Adam Scott",39,38.33,46,120,"BirdieorBetterPercentage200yards",2016
13,14,"Smylie Kaufman",57,38.31,77,201,"BirdieorBetterPercentage200yards",2016
14,15,"Branden Grace",31,38.24,26,68,"BirdieorBetterPercentage200yards",2016
15,16,"Marc Leishman",41,37.39,43,115,"BirdieorBetterPercentage200yards",2016
16,26,"Justin Rose",35,36.88,52,141,"BirdieorBetterPercentage200yards",2016
17,13,"Patrick Rodgers",49,36.51,69,189,"BirdieorBetterPercentage200yards",2016
18,18,"Kevin Kisner",49,36.3,49,135,"BirdieorBetterPercentage200yards",2016
19,6,"Robert Garrigus",34,36.27,37,102,"BirdieorBetterPercentage200yards",2016
20,27,"JB Holmes",39,35.77,49,137,"BirdieorBetterPercentage200yards",2016
21,31,"Tony Finau",49,35.76,59,165,"BirdieorBetterPercentage200yards",2016
22,23,"Luke List",51,35.75,64,179,"BirdieorBetterPercentage200yards",2016
23,17,"Gary Woodland",45,35.33,59,167,"BirdieorBetterPercentage200yards",2016
24,30,"Jason Kokrak",52,34.71,59,170,"BirdieorBetterPercentage200yards",2016
25,29,"Charl Schwartzel",29,34.69,34,98,"BirdieorBetterPercentage200yards",2016
26,24,"Martin Laird",46,34.67,52,150,"BirdieorBetterPercentage200yards",2016
27,35,"Harold Varner III",58,34.62,72,208,"BirdieorBetterPercentage200yards",2016
28,20,"Scott Stallings",46,34.59,55,159,"BirdieorBetterPercentage200yards",2016
29,38,"Jhonattan Vegas",49,34.39,65,189,"BirdieorBetterPercentage200yards",2016
30,19,"Michael Thompson",46,34.23,38,111,"BirdieorBetterPercentage200yards",2016
31,25,"Danny Lee",53,34.07,62,182,"BirdieorBetterPercentage200yards",2016
32,41,"Sergio Garcia",28,33.85,22,65,"BirdieorBetterPercentage200yards",2016
32,41,"Pat Perez",28,33.85,22,65,"BirdieorBetterPercentage200yards",2016
32,41,"Scott Piercy",45,33.85,44,130,"BirdieorBetterPercentage200yards",2016
35,39,"Charles Howell III",63,33.84,67,198,"BirdieorBetterPercentage200yards",2016
36,49,"Patrick Reed",53,33.55,52,155,"BirdieorBetterPercentage200yards",2016
37,31,"Emiliano Grillo",47,33.54,54,161,"BirdieorBetterPercentage200yards",2016
38,21,"Daniel Summerhays",55,33.52,61,182,"BirdieorBetterPercentage200yards",2016
39,28,"Matt Jones",45,33.33,42,126,"BirdieorBetterPercentage200yards",2016
40,36,"Jamie Lovemark",57,33.18,70,211,"BirdieorBetterPercentage200yards",2016
41,47,"Ryan Palmer",46,33.13,53,160,"BirdieorBetterPercentage200yards",2016
42,48,"Charley Hoffman",49,33.11,50,151,"BirdieorBetterPercentage200yards",2016
43,33,"Harris English",51,33.1,48,145,"BirdieorBetterPercentage200yards",2016
44,40,"Byeong Hun An",23,32.88,24,73,"BirdieorBetterPercentage200yards",2016
45,45,"Camilo Villegas",50,32.7,52,159,"BirdieorBetterPercentage200yards",2016
46,53,"Wes Roach",33,32.43,24,74,"BirdieorBetterPercentage200yards",2016
46,57,"Henrik Stenson",30,32.43,36,111,"BirdieorBetterPercentage200yards",2016
46,53,"Hudson Swafford",52,32.43,48,148,"BirdieorBetterPercentage200yards",2016
49,68,"Blayne Barber",44,32.41,47,145,"BirdieorBetterPercentage200yards",2016
50,37,"Patton Kizzire",57,32.39,57,176,"BirdieorBetterPercentage200yards",2016
51,50,"Sean OHair",45,32.34,54,167,"BirdieorBetterPercentage200yards",2016
52,81,"Dawie van der Walt",48,32.33,43,133,"BirdieorBetterPercentage200yards",2016
53,58,"Brendan Steele",48,32.24,49,152,"BirdieorBetterPercentage200yards",2016
54,52,"Bill Haas",42,32.2,38,118,"BirdieorBetterPercentage200yards",2016
54,44,"Ben Martin",48,32.2,57,177,"BirdieorBetterPercentage200yards",2016
56,63,"Adam Hadwin",53,32.18,65,202,"BirdieorBetterPercentage200yards",2016
57,46,"Graham DeLaet",50,32.16,55,171,"BirdieorBetterPercentage200yards",2016
58,61,"Angel Cabrera",42,32.05,50,156,"BirdieorBetterPercentage200yards",2016
59,34,"Justin Thomas",53,32.03,49,153,"BirdieorBetterPercentage200yards",2016
60,73,"Kevin Chappell",49,31.93,53,166,"BirdieorBetterPercentage200yards",2016
61,66,"Hideki Matsuyama",40,31.78,41,129,"BirdieorBetterPercentage200yards",2016
62,68,"Padraig Harrington",38,31.72,46,145,"BirdieorBetterPercentage200yards",2016
63,64,"Jonas Blixt",46,31.71,52,164,"BirdieorBetterPercentage200yards",2016
64,65,"Brandt Snedeker",47,31.69,45,142,"BirdieorBetterPercentage200yards",2016
65,62,"Scott Pinckney",53,30.95,52,168,"BirdieorBetterPercentage200yards",2016
66,72,"Russell Henley",42,30.88,42,136,"BirdieorBetterPercentage200yards",2016
67,56,"Sung Kang",51,30.77,56,182,"BirdieorBetterPercentage200yards",2016
68,103,"Robert Streb",51,30.71,43,140,"BirdieorBetterPercentage200yards",2016
69,79,"Derek Ernst",36,30.68,27,88,"BirdieorBetterPercentage200yards",2016
70,70,"Ian Poulter",37,30.53,29,95,"BirdieorBetterPercentage200yards",2016
71,75,"Miguel Angel Carballo",24,30.51,18,59,"BirdieorBetterPercentage200yards",2016
72,74,"William McGirt",54,30.1,62,206,"BirdieorBetterPercentage200yards",2016
73,84,"Boo Weekley",53,30.06,52,173,"BirdieorBetterPercentage200yards",2016
74,71,"Lucas Glover",53,30,57,190,"BirdieorBetterPercentage200yards",2016
74,78,"Seung Yul Noh",54,30,48,160,"BirdieorBetterPercentage200yards",2016
76,51,"Carlos Ortiz",47,29.93,44,147,"BirdieorBetterPercentage200yards",2016
77,77,"Anirban Lahiri",44,29.85,40,134,"BirdieorBetterPercentage200yards",2016
77,86,"Johnson Wagner",44,29.85,40,134,"BirdieorBetterPercentage200yards",2016
79,80,"Russell Knox",48,29.82,34,114,"BirdieorBetterPercentage200yards",2016
