"StrokesGainedTeetoGreen_RANKTHISWEEK_2008","StrokesGainedTeetoGreen_RANKLASTWEEK_2008","StrokesGainedTeetoGreen_PLAYERNAME_2008","StrokesGainedTeetoGreen_ROUNDS_2008","StrokesGainedTeetoGreen_AVERAGE_2008","StrokesGainedTeetoGreen_TOTALSGT2G_2008","StrokesGainedTeetoGreen_SGTOTAL_2008","StrokesGainedTeetoGreen_TOTALSGP_2008","StrokesGainedTeetoGreen_MEASUREDROUNDS_2008","stat_name","year"
1,NA,"Vijay Singh",82,1.849,116.463,90.63,-25.833,63,"StrokesGainedTeetoGreen",2008
2,NA,"Sergio Garcia",72,1.656,91.097,86.674,-4.423,55,"StrokesGainedTeetoGreen",2008
3,NA,"Phil Mickelson",80,1.581,93.286,105.521,12.235,59,"StrokesGainedTeetoGreen",2008
4,NA,"Robert Allenby",108,1.529,129.998,118.054,-11.944,85,"StrokesGainedTeetoGreen",2008
5,NA,"Adam Scott",51,1.295,45.314,30.064,-15.25,35,"StrokesGainedTeetoGreen",2008
6,NA,"Camilo Villegas",79,1.138,70.56,76.383,5.823,62,"StrokesGainedTeetoGreen",2008
7,NA,"Ernie Els",51,1.115,40.132,21.994,-18.138,36,"StrokesGainedTeetoGreen",2008
8,NA,"Anthony Kim",81,1.082,70.313,93.966,23.653,65,"StrokesGainedTeetoGreen",2008
9,NA,"Padraig Harrington",52,0.99,31.684,29.486,-2.198,32,"StrokesGainedTeetoGreen",2008
10,NA,"Boo Weekley",86,0.989,63.272,31.733,-31.539,64,"StrokesGainedTeetoGreen",2008
11,NA,"Kenny Perry",97,0.977,89.9,96.857,6.957,92,"StrokesGainedTeetoGreen",2008
12,NA,"DJ Trahan",94,0.918,71.634,39.503,-32.131,78,"StrokesGainedTeetoGreen",2008
13,NA,"Briny Baird",113,0.897,86.075,63.88,-22.195,96,"StrokesGainedTeetoGreen",2008
14,NA,"Scott Verplank",82,0.89,57.851,39.573,-18.278,65,"StrokesGainedTeetoGreen",2008
15,NA,"John Senden",93,0.882,71.413,45.868,-25.545,81,"StrokesGainedTeetoGreen",2008
16,NA,"Bubba Watson",97,0.86,68.833,37.893,-30.94,80,"StrokesGainedTeetoGreen",2008
17,NA,"Jim Furyk",95,0.845,63.38,93.444,30.064,75,"StrokesGainedTeetoGreen",2008
18,NA,"Pat Perez",93,0.844,65.827,82.611,16.784,78,"StrokesGainedTeetoGreen",2008
19,NA,"Mike Weir",88,0.772,50.939,61.879,10.94,66,"StrokesGainedTeetoGreen",2008
20,NA,"David Toms",70,0.75,41.257,30.686,-10.571,55,"StrokesGainedTeetoGreen",2008
21,NA,"Kevin Sutherland",98,0.748,65.082,94.907,29.825,87,"StrokesGainedTeetoGreen",2008
22,NA,"Chad Campbell",94,0.734,62.376,76.834,14.458,85,"StrokesGainedTeetoGreen",2008
23,NA,"Mathew Goggin",91,0.73,58.411,68.396,9.985,80,"StrokesGainedTeetoGreen",2008
24,NA,"Heath Slocum",104,0.726,61.005,22.859,-38.146,84,"StrokesGainedTeetoGreen",2008
25,NA,"Davis Love III",78,0.721,46.86,41.342,-5.518,65,"StrokesGainedTeetoGreen",2008
26,NA,"Stephen Ames",83,0.683,45.082,64.796,19.714,66,"StrokesGainedTeetoGreen",2008
27,NA,"Fred Couples",60,0.673,34.342,36.632,2.29,51,"StrokesGainedTeetoGreen",2008
28,NA,"Trevor Immelman",70,0.671,35.583,-0.311,-35.894,53,"StrokesGainedTeetoGreen",2008
29,NA,"Bart Bryant",81,0.665,43.891,43.957,0.066,66,"StrokesGainedTeetoGreen",2008
30,NA,"Justin Leonard",101,0.661,48.282,81.821,33.539,73,"StrokesGainedTeetoGreen",2008
31,NA,"Hunter Mahan",87,0.659,46.115,70.597,24.482,70,"StrokesGainedTeetoGreen",2008
32,NA,"Geoff Ogilvy",65,0.638,31.241,37.05,5.809,49,"StrokesGainedTeetoGreen",2008
33,NA,"Joe Durant",92,0.626,49.416,-28.326,-77.742,79,"StrokesGainedTeetoGreen",2008
34,NA,"Stuart Appleby",87,0.612,40.405,69.377,28.972,66,"StrokesGainedTeetoGreen",2008
35,NA,"Charles Howell III",101,0.61,51.827,43.633,-8.194,85,"StrokesGainedTeetoGreen",2008
36,NA,"Sean OHair",81,0.603,40.369,25.586,-14.783,67,"StrokesGainedTeetoGreen",2008
37,NA,"Paul Casey",55,0.599,21.559,10.659,-10.9,36,"StrokesGainedTeetoGreen",2008
38,NA,"Steve Marino",119,0.591,60.872,76.533,15.661,103,"StrokesGainedTeetoGreen",2008
39,NA,"Woody Austin",109,0.584,50.804,52.035,1.231,87,"StrokesGainedTeetoGreen",2008
40,NA,"Billy Mayfair",103,0.583,55.373,33.292,-22.081,95,"StrokesGainedTeetoGreen",2008
41,NA,"Tom Lehman",51,0.558,21.201,13.871,-7.33,38,"StrokesGainedTeetoGreen",2008
42,NA,"Mark Calcavecchia",67,0.557,29.546,1.415,-28.131,53,"StrokesGainedTeetoGreen",2008
42,NA,"Zach Johnson",85,0.557,38.966,42.216,3.25,70,"StrokesGainedTeetoGreen",2008
44,NA,"Stewart Cink",87,0.554,35.466,68.479,33.013,64,"StrokesGainedTeetoGreen",2008
45,NA,"Tim Clark",90,0.521,38.027,43.578,5.551,73,"StrokesGainedTeetoGreen",2008
46,NA,"Lucas Glover",91,0.516,42.323,33.539,-8.784,82,"StrokesGainedTeetoGreen",2008
47,NA,"JB Holmes",86,0.511,35.283,31.661,-3.622,69,"StrokesGainedTeetoGreen",2008
48,NA,"Nick OHern",82,0.51,35.703,60.136,24.433,70,"StrokesGainedTeetoGreen",2008
49,NA,"Steve Stricker",75,0.508,28.956,52.646,23.69,57,"StrokesGainedTeetoGreen",2008
