"GIRPercentagefromFairway_RANKTHISWEEK_2016","GIRPercentagefromFairway_RANKLASTWEEK_2016","GIRPercentagefromFairway_PLAYERNAME_2016","GIRPercentagefromFairway_ROUNDS_2016","GIRPercentagefromFairway_Pct_2016","GIRPercentagefromFairway_GREENSHIT_2016","GIRPercentagefromFairway_OFHOLES_2016","stat_name","year"
1,1,"Adam Scott",39,83.45,237,284,"GIRPercentagefromFairway",2016
2,2,"Gary Woodland",45,82.73,273,330,"GIRPercentagefromFairway",2016
3,3,"Stewart Cink",45,82.43,305,370,"GIRPercentagefromFairway",2016
4,4,"Cameron Percy",22,82.14,161,196,"GIRPercentagefromFairway",2016
5,5,"Jhonattan Vegas",49,81.64,329,403,"GIRPercentagefromFairway",2016
6,12,"Brendan Steele",48,81.16,323,398,"GIRPercentagefromFairway",2016
7,9,"Paul Casey",39,81.07,257,317,"GIRPercentagefromFairway",2016
7,7,"Sergio Garcia",28,81.07,167,206,"GIRPercentagefromFairway",2016
9,9,"Charl Schwartzel",29,81.03,158,195,"GIRPercentagefromFairway",2016
10,6,"Rickie Fowler",42,80.99,277,342,"GIRPercentagefromFairway",2016
11,7,"Lucas Glover",53,80.96,387,478,"GIRPercentagefromFairway",2016
12,11,"Hideki Matsuyama",40,80.5,256,318,"GIRPercentagefromFairway",2016
13,13,"DJ Trahan",23,80.45,144,179,"GIRPercentagefromFairway",2016
14,16,"Dustin Johnson",37,80.08,197,246,"GIRPercentagefromFairway",2016
15,15,"Greg Owen",56,80.04,381,476,"GIRPercentagefromFairway",2016
16,18,"Ryan Palmer",46,80,292,365,"GIRPercentagefromFairway",2016
17,17,"Patrick Rodgers",49,79.8,320,401,"GIRPercentagefromFairway",2016
18,14,"Scott Stallings",46,79.72,283,355,"GIRPercentagefromFairway",2016
19,21,"Dawie van der Walt",48,79.47,302,380,"GIRPercentagefromFairway",2016
20,20,"Roberto Castro",55,79.39,416,524,"GIRPercentagefromFairway",2016
21,32,"Harris English",51,79.35,315,397,"GIRPercentagefromFairway",2016
22,23,"Branden Grace",31,79.28,176,222,"GIRPercentagefromFairway",2016
23,25,"Smylie Kaufman",57,79.25,336,424,"GIRPercentagefromFairway",2016
