"ScramblingAverageDistancetoHole_RANKTHISWEEK_2014","ScramblingAverageDistancetoHole_RANKLASTWEEK_2014","ScramblingAverageDistancetoHole_PLAYERNAME_2014","ScramblingAverageDistancetoHole_ROUNDS_2014","ScramblingAverageDistancetoHole_AVGDTP_2014","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2014","ScramblingAverageDistancetoHole_ATTEMPTS_2014","stat_name","year"
1,1,"Jim Furyk",84,NA,2038.417,331,"ScramblingAverageDistancetoHole",2014
2,2,"Charlie Wi",72,NA,2745.833,404,"ScramblingAverageDistancetoHole",2014
3,3,"Luke Donald",57,NA,1648.417,237,"ScramblingAverageDistancetoHole",2014
3,3,"Ernie Els",85,NA,2666.25,387,"ScramblingAverageDistancetoHole",2014
3,3,"Sergio Garcia",61,NA,1381.333,200,"ScramblingAverageDistancetoHole",2014
6,6,"Vijay Singh",83,NA,2948.917,419,"ScramblingAverageDistancetoHole",2014
7,7,"Jason Day",54,NA,1323.917,186,"ScramblingAverageDistancetoHole",2014
7,7,"Kevin Na",94,NA,3161.833,447,"ScramblingAverageDistancetoHole",2014
9,9,"David Toms",64,NA,2029.75,283,"ScramblingAverageDistancetoHole",2014
10,10,"Scott Langley",95,NA,3292.75,450,"ScramblingAverageDistancetoHole",2014
10,10,"Justin Rose",70,NA,2021.833,276,"ScramblingAverageDistancetoHole",2014
12,12,"Brian Harman",111,NA,4135.583,558,"ScramblingAverageDistancetoHole",2014
12,12,"Matt Kuchar",91,NA,2971.75,399,"ScramblingAverageDistancetoHole",2014
12,12,"Phil Mickelson",71,NA,2116.333,285,"ScramblingAverageDistancetoHole",2014
12,12,"Bryce Molder",77,NA,2678.583,362,"ScramblingAverageDistancetoHole",2014
16,16,"Brian Gay",81,NA,3147.917,419,"ScramblingAverageDistancetoHole",2014
16,16,"Tyrone Van Aswegen",79,NA,2620.917,351,"ScramblingAverageDistancetoHole",2014
18,18,"Retief Goosen",94,NA,3289.917,435,"ScramblingAverageDistancetoHole",2014
18,18,"Zach Johnson",97,NA,3181.75,418,"ScramblingAverageDistancetoHole",2014
18,18,"Justin Leonard",75,NA,3117.333,411,"ScramblingAverageDistancetoHole",2014
18,18,"Webb Simpson",87,NA,2831.833,373,"ScramblingAverageDistancetoHole",2014
22,22,"Paul Casey",56,NA,1863.333,242,"ScramblingAverageDistancetoHole",2014
22,22,"Roberto Castro",76,NA,2665.583,346,"ScramblingAverageDistancetoHole",2014
22,22,"Chad Collins",78,NA,2950.667,384,"ScramblingAverageDistancetoHole",2014
22,22,"Charles Howell III",106,NA,3953.083,517,"ScramblingAverageDistancetoHole",2014
22,22,"Billy Hurley III",86,NA,2998.25,392,"ScramblingAverageDistancetoHole",2014
22,22,"Hideki Matsuyama",82,NA,2866.75,375,"ScramblingAverageDistancetoHole",2014
28,28,"Steven Bowditch",93,NA,3392.417,439,"ScramblingAverageDistancetoHole",2014
28,28,"Brian Davis",93,NA,3989.083,513,"ScramblingAverageDistancetoHole",2014
28,28,"Ryo Ishikawa",75,NA,2629.167,339,"ScramblingAverageDistancetoHole",2014
28,28,"Ben Martin",80,NA,2646.583,340,"ScramblingAverageDistancetoHole",2014
28,28,"Boo Weekley",73,NA,2290.667,294,"ScramblingAverageDistancetoHole",2014
28,28,"Mike Weir",69,NA,2625.083,339,"ScramblingAverageDistancetoHole",2014
34,34,"Stuart Appleby",92,NA,3829.333,489,"ScramblingAverageDistancetoHole",2014
34,34,"Ken Duke",80,NA,2735.083,350,"ScramblingAverageDistancetoHole",2014
34,34,"Jamie Lovemark",64,NA,2012.083,257,"ScramblingAverageDistancetoHole",2014
34,34,"Chris Stroud",88,NA,3153.833,403,"ScramblingAverageDistancetoHole",2014
34,34,"Jhonattan Vegas",77,NA,2599.833,333,"ScramblingAverageDistancetoHole",2014
39,39,"Bud Cauley",56,NA,1883.667,239,"ScramblingAverageDistancetoHole",2014
39,39,"Kevin Chappell",100,NA,3517.333,443,"ScramblingAverageDistancetoHole",2014
39,39,"Graham DeLaet",80,NA,2228.833,283,"ScramblingAverageDistancetoHole",2014
39,39,"Jason Dufner",57,NA,1805.583,228,"ScramblingAverageDistancetoHole",2014
39,39,"Luke Guthrie",85,NA,3411.5,430,"ScramblingAverageDistancetoHole",2014
39,39,"Charley Hoffman",93,NA,3034,385,"ScramblingAverageDistancetoHole",2014
39,39,"Charl Schwartzel",64,NA,2489.083,315,"ScramblingAverageDistancetoHole",2014
39,39,"Shawn Stefani",60,NA,2384.75,302,"ScramblingAverageDistancetoHole",2014
39,39,"Brendon Todd",108,NA,4291.5,541,"ScramblingAverageDistancetoHole",2014
48,48,"Ricky Barnes",92,NA,3511.167,441,"ScramblingAverageDistancetoHole",2014
48,48,"Jonathan Byrd",76,NA,3006.667,375,"ScramblingAverageDistancetoHole",2014
48,48,"Harris English",95,NA,2897.25,364,"ScramblingAverageDistancetoHole",2014
48,48,"Jerry Kelly",80,NA,2984.25,372,"ScramblingAverageDistancetoHole",2014
48,48,"Russell Knox",92,NA,3461.917,434,"ScramblingAverageDistancetoHole",2014
48,48,"Jordan Spieth",102,NA,3910.917,489,"ScramblingAverageDistancetoHole",2014
48,48,"Nick Watney",80,NA,2119.25,266,"ScramblingAverageDistancetoHole",2014
48,48,"Tim Wilkinson",86,NA,3614,452,"ScramblingAverageDistancetoHole",2014
56,56,"Freddie Jacobson",91,NA,3859.25,475,"ScramblingAverageDistancetoHole",2014
56,56,"Geoff Ogilvy",84,NA,3336.25,412,"ScramblingAverageDistancetoHole",2014
56,56,"Bo Van Pelt",83,NA,2638.25,328,"ScramblingAverageDistancetoHole",2014
59,59,"Jonas Blixt",64,NA,2189,267,"ScramblingAverageDistancetoHole",2014
59,59,"Gonzalo Fdez Castano",83,NA,3465.667,425,"ScramblingAverageDistancetoHole",2014
59,59,"JB Holmes",86,NA,3843.833,471,"ScramblingAverageDistancetoHole",2014
62,62,"Rickie Fowler",91,NA,2735.667,331,"ScramblingAverageDistancetoHole",2014
62,62,"Lucas Glover",68,NA,1917.333,232,"ScramblingAverageDistancetoHole",2014
62,62,"Bill Haas",107,NA,3440.167,418,"ScramblingAverageDistancetoHole",2014
62,62,"Martin Laird",66,NA,2416.583,292,"ScramblingAverageDistancetoHole",2014
62,62,"Marc Leishman",81,NA,3082.583,374,"ScramblingAverageDistancetoHole",2014
62,62,"Ryan Palmer",85,NA,2983.583,362,"ScramblingAverageDistancetoHole",2014
62,62,"DA Points",75,NA,2509.417,305,"ScramblingAverageDistancetoHole",2014
